date,open_interest,ticker,expiration,type,strike
6/1/2016,123,FB,8/19/2016,C,90
6/2/2016,123,FB,8/19/2016,C,90
6/3/2016,123,FB,8/19/2016,C,90
6/6/2016,172,FB,8/19/2016,C,90
6/7/2016,191,FB,8/19/2016,C,90
6/8/2016,191,FB,8/19/2016,C,90
6/9/2016,191,FB,8/19/2016,C,90
6/10/2016,190,FB,8/19/2016,C,90
6/13/2016,195,FB,8/19/2016,C,90
6/14/2016,196,FB,8/19/2016,C,90
6/15/2016,222,FB,8/19/2016,C,90
6/16/2016,222,FB,8/19/2016,C,90
6/17/2016,357,FB,8/19/2016,C,90
6/20/2016,358,FB,8/19/2016,C,90
6/21/2016,433,FB,8/19/2016,C,90
6/22/2016,433,FB,8/19/2016,C,90
6/23/2016,403,FB,8/19/2016,C,90
6/24/2016,463,FB,8/19/2016,C,90
6/27/2016,487,FB,8/19/2016,C,90
6/28/2016,485,FB,8/19/2016,C,90
6/29/2016,492,FB,8/19/2016,C,90
6/30/2016,487,FB,8/19/2016,C,90
7/1/2016,487,FB,8/19/2016,C,90
7/5/2016,487,FB,8/19/2016,C,90
7/6/2016,468,FB,8/19/2016,C,90
7/7/2016,473,FB,8/19/2016,C,90
7/8/2016,458,FB,8/19/2016,C,90
7/11/2016,430,FB,8/19/2016,C,90
7/12/2016,504,FB,8/19/2016,C,90
7/13/2016,507,FB,8/19/2016,C,90
7/14/2016,535,FB,8/19/2016,C,90
7/15/2016,555,FB,8/19/2016,C,90
7/18/2016,494,FB,8/19/2016,C,90
7/19/2016,485,FB,8/19/2016,C,90
7/20/2016,484,FB,8/19/2016,C,90
7/21/2016,471,FB,8/19/2016,C,90
7/22/2016,468,FB,8/19/2016,C,90
7/25/2016,468,FB,8/19/2016,C,90
7/26/2016,468,FB,8/19/2016,C,90
7/27/2016,439,FB,8/19/2016,C,90
7/28/2016,435,FB,8/19/2016,C,90
7/29/2016,435,FB,8/19/2016,C,90
8/1/2016,435,FB,8/19/2016,C,90
8/2/2016,435,FB,8/19/2016,C,90
8/3/2016,335,FB,8/19/2016,C,90
8/4/2016,333,FB,8/19/2016,C,90
6/1/2016,194,FB,8/19/2016,C,145
6/2/2016,200,FB,8/19/2016,C,145
6/3/2016,349,FB,8/19/2016,C,145
6/6/2016,339,FB,8/19/2016,C,145
6/7/2016,343,FB,8/19/2016,C,145
6/8/2016,343,FB,8/19/2016,C,145
6/9/2016,457,FB,8/19/2016,C,145
6/10/2016,596,FB,8/19/2016,C,145
6/13/2016,616,FB,8/19/2016,C,145
6/14/2016,616,FB,8/19/2016,C,145
6/15/2016,711,FB,8/19/2016,C,145
6/16/2016,720,FB,8/19/2016,C,145
6/17/2016,719,FB,8/19/2016,C,145
6/20/2016,819,FB,8/19/2016,C,145
6/21/2016,829,FB,8/19/2016,C,145
6/22/2016,830,FB,8/19/2016,C,145
6/23/2016,830,FB,8/19/2016,C,145
6/24/2016,840,FB,8/19/2016,C,145
6/27/2016,892,FB,8/19/2016,C,145
6/28/2016,992,FB,8/19/2016,C,145
6/29/2016,992,FB,8/19/2016,C,145
6/30/2016,992,FB,8/19/2016,C,145
7/1/2016,962,FB,8/19/2016,C,145
7/5/2016,1262,FB,8/19/2016,C,145
7/6/2016,1262,FB,8/19/2016,C,145
7/7/2016,1262,FB,8/19/2016,C,145
7/8/2016,1262,FB,8/19/2016,C,145
7/11/2016,1347,FB,8/19/2016,C,145
7/12/2016,1348,FB,8/19/2016,C,145
7/13/2016,1398,FB,8/19/2016,C,145
7/14/2016,1414,FB,8/19/2016,C,145
7/15/2016,1499,FB,8/19/2016,C,145
7/18/2016,1634,FB,8/19/2016,C,145
7/19/2016,1609,FB,8/19/2016,C,145
7/20/2016,1629,FB,8/19/2016,C,145
7/21/2016,1781,FB,8/19/2016,C,145
7/22/2016,1788,FB,8/19/2016,C,145
7/25/2016,1813,FB,8/19/2016,C,145
7/26/2016,1825,FB,8/19/2016,C,145
7/27/2016,2432,FB,8/19/2016,C,145
7/28/2016,1909,FB,8/19/2016,C,145
7/29/2016,1899,FB,8/19/2016,C,145
8/1/2016,1909,FB,8/19/2016,C,145
8/2/2016,1909,FB,8/19/2016,C,145
8/3/2016,1909,FB,8/19/2016,C,145
8/4/2016,1909,FB,8/19/2016,C,145
6/1/2016,29,FB,8/19/2016,C,95
6/2/2016,29,FB,8/19/2016,C,95
6/3/2016,29,FB,8/19/2016,C,95
6/6/2016,44,FB,8/19/2016,C,95
6/7/2016,44,FB,8/19/2016,C,95
6/8/2016,44,FB,8/19/2016,C,95
6/9/2016,44,FB,8/19/2016,C,95
6/10/2016,44,FB,8/19/2016,C,95
6/13/2016,43,FB,8/19/2016,C,95
6/14/2016,43,FB,8/19/2016,C,95
6/15/2016,47,FB,8/19/2016,C,95
6/16/2016,47,FB,8/19/2016,C,95
6/17/2016,62,FB,8/19/2016,C,95
6/20/2016,60,FB,8/19/2016,C,95
6/21/2016,88,FB,8/19/2016,C,95
6/22/2016,88,FB,8/19/2016,C,95
6/23/2016,88,FB,8/19/2016,C,95
6/24/2016,91,FB,8/19/2016,C,95
6/27/2016,93,FB,8/19/2016,C,95
6/28/2016,92,FB,8/19/2016,C,95
6/29/2016,101,FB,8/19/2016,C,95
6/30/2016,99,FB,8/19/2016,C,95
7/1/2016,99,FB,8/19/2016,C,95
7/5/2016,99,FB,8/19/2016,C,95
7/6/2016,99,FB,8/19/2016,C,95
7/7/2016,106,FB,8/19/2016,C,95
7/8/2016,118,FB,8/19/2016,C,95
7/11/2016,145,FB,8/19/2016,C,95
7/12/2016,155,FB,8/19/2016,C,95
7/13/2016,163,FB,8/19/2016,C,95
7/14/2016,163,FB,8/19/2016,C,95
7/15/2016,184,FB,8/19/2016,C,95
7/18/2016,183,FB,8/19/2016,C,95
7/19/2016,182,FB,8/19/2016,C,95
7/20/2016,177,FB,8/19/2016,C,95
7/21/2016,177,FB,8/19/2016,C,95
7/22/2016,177,FB,8/19/2016,C,95
7/25/2016,181,FB,8/19/2016,C,95
7/26/2016,181,FB,8/19/2016,C,95
7/27/2016,177,FB,8/19/2016,C,95
7/28/2016,177,FB,8/19/2016,C,95
7/29/2016,157,FB,8/19/2016,C,95
8/1/2016,157,FB,8/19/2016,C,95
8/2/2016,157,FB,8/19/2016,C,95
8/3/2016,147,FB,8/19/2016,C,95
8/4/2016,146,FB,8/19/2016,C,95
6/1/2016,399,FB,8/19/2016,C,150
6/2/2016,409,FB,8/19/2016,C,150
6/3/2016,742,FB,8/19/2016,C,150
6/6/2016,742,FB,8/19/2016,C,150
6/7/2016,842,FB,8/19/2016,C,150
6/8/2016,786,FB,8/19/2016,C,150
6/9/2016,786,FB,8/19/2016,C,150
6/10/2016,796,FB,8/19/2016,C,150
6/13/2016,796,FB,8/19/2016,C,150
6/14/2016,841,FB,8/19/2016,C,150
6/15/2016,852,FB,8/19/2016,C,150
6/16/2016,852,FB,8/19/2016,C,150
6/17/2016,853,FB,8/19/2016,C,150
6/20/2016,853,FB,8/19/2016,C,150
6/21/2016,1088,FB,8/19/2016,C,150
6/22/2016,1088,FB,8/19/2016,C,150
6/23/2016,1088,FB,8/19/2016,C,150
6/24/2016,1088,FB,8/19/2016,C,150
6/27/2016,1078,FB,8/19/2016,C,150
6/28/2016,1078,FB,8/19/2016,C,150
6/29/2016,1078,FB,8/19/2016,C,150
6/30/2016,1078,FB,8/19/2016,C,150
7/1/2016,1078,FB,8/19/2016,C,150
7/5/2016,1103,FB,8/19/2016,C,150
7/6/2016,1178,FB,8/19/2016,C,150
7/7/2016,1178,FB,8/19/2016,C,150
7/8/2016,2737,FB,8/19/2016,C,150
7/11/2016,3351,FB,8/19/2016,C,150
7/12/2016,3385,FB,8/19/2016,C,150
7/13/2016,3700,FB,8/19/2016,C,150
7/14/2016,4180,FB,8/19/2016,C,150
7/15/2016,4474,FB,8/19/2016,C,150
7/18/2016,4474,FB,8/19/2016,C,150
7/19/2016,4514,FB,8/19/2016,C,150
7/20/2016,4540,FB,8/19/2016,C,150
7/21/2016,4540,FB,8/19/2016,C,150
7/22/2016,4540,FB,8/19/2016,C,150
7/25/2016,4540,FB,8/19/2016,C,150
