Date,Open,High,Low,Close,Volume,Adj Close,Returns
1984-07-19,22.37504,22.5,22.12496,22.12496,170400,2.034087,
1984-07-20,22.25,22.5,21.87504,21.87504,51400,2.011111,-0.0168521348315
1984-07-23,21.5,21.62496,20.75,21.0,628800,1.930663,-0.0232558139535
1984-07-24,21.0,21.62496,21.0,21.5,223200,1.976631,0.0238095238095
1984-07-25,21.75,21.75,21.25,21.62496,393600,1.988119,-0.00574896551724
1984-07-26,21.62496,21.87504,21.62496,21.87504,259400,2.011111,0.0115644144544
1984-07-27,22.12496,23.5,22.12496,23.5,153800,2.160504,0.0621488129244
1984-07-30,23.25,23.5,22.5,22.5,76800,2.068567,-0.0322580645161
1984-07-31,22.62496,22.75,22.5,22.62496,55200,2.080056,0.0
1984-08-01,22.5,23.25,22.5,23.25,508800,2.137519,0.0333333333333
1984-08-02,23.25,24.87504,23.25,24.75,483400,2.275424,0.0645161290323
1984-08-03,25.0,27.25,25.0,27.12496,655400,2.493769,0.0849984
1984-08-06,28.0,28.37504,27.5,28.0,487400,2.574217,0.0
1984-08-07,27.75,28.25,27.75,28.12496,269800,2.585705,0.0135120720721
1984-08-08,28.37504,28.37504,27.0,27.0,388800,2.482281,-0.0484594911584
1984-08-09,26.75,27.0,26.25,27.0,297800,2.482281,0.00934579439252
1984-08-10,28.25,28.75,28.0,28.12496,408200,2.585705,-0.00442619469027
1984-08-13,27.87504,28.5,27.5,28.37504,259400,2.608697,0.0179371939915
1984-08-14,28.25,28.37504,27.5,27.5,116200,2.528249,-0.0265486725664
1984-08-15,27.0,27.25,26.75,27.0,280800,2.482281,0.0
1984-08-16,26.5,27.5,26.37504,27.25,266600,2.505265,0.0283018867925
1984-08-17,27.5,27.87504,27.0,27.62496,61000,2.539737,0.004544
1984-08-20,27.37504,28.12496,27.12496,28.0,137000,2.574217,0.0228295556828
1984-08-21,28.25,28.75,28.25,28.62496,88800,2.631673,0.013272920354
1984-08-22,28.62496,29.12496,28.5,28.62496,187400,2.631673,0.0
1984-08-23,28.87504,30.0,28.75,29.87504,444000,2.746601,0.034631986657
1984-08-24,30.0,30.0,29.25,29.25,242600,2.689137,-0.025
1984-08-27,29.5,29.62496,29.0,29.25,224200,2.689137,-0.00847457627119
1984-08-28,29.37504,29.37504,28.75,29.0,218400,2.666153,-0.0127673017637
1984-08-29,29.0,29.12496,28.37504,29.0,96000,2.666153,0.0
1984-08-30,29.0,29.12496,28.5,28.5,45600,2.620185,-0.0172413793103
1984-08-31,28.5,28.87504,28.25,28.37504,88800,2.608697,-0.00438456140351
1984-09-04,28.5,28.5,27.87504,28.0,73000,2.574217,-0.0175438596491
1984-09-05,27.75,27.75,26.75,27.0,140200,2.482281,-0.027027027027
1984-09-06,27.0,27.75,27.0,27.5,115200,2.528249,0.0185185185185
1984-09-07,27.75,28.0,27.62496,27.75,207400,2.551233,0.0
1984-09-10,27.5,27.75,27.25,27.62496,184800,2.539737,0.004544
1984-09-11,27.5,27.62496,27.0,27.0,601000,2.482281,-0.0181818181818
1984-09-12,27.0,27.0,25.87504,26.0,129600,2.390344,-0.037037037037
1984-09-13,26.25,27.25,26.12496,27.0,104200,2.482281,0.0285714285714
1984-09-14,27.37504,27.37504,26.87504,27.0,153600,2.482281,-0.0137000713058
1984-09-17,27.12496,27.37504,26.87504,27.25,93600,2.505265,0.00460977638308
1984-09-18,27.5,27.5,26.75,27.0,168000,2.482281,-0.0181818181818
1984-09-19,26.75,26.75,25.25,25.5,341800,2.344376,-0.0467289719626
1984-09-20,25.25,26.0,25.25,26.0,113000,2.390344,0.029702970297
1984-09-21,25.75,26.75,25.62496,26.0,122600,2.390344,0.00970873786408
1984-09-24,25.75,26.0,25.62496,25.75,130600,2.36736,0.0
1984-09-25,25.75,25.75,25.0,25.0,473800,2.298408,-0.0291262135922
1984-09-26,25.0,25.37504,24.75,25.25,561600,2.321392,0.01
1984-09-27,25.25,25.37504,23.5,23.87504,321600,2.194983,-0.0544538613861
1984-09-28,23.62496,23.87504,22.75,22.87504,298600,2.103047,-0.0317426992469
1984-10-01,22.5,22.5,21.5,22.0,885600,2.022599,-0.0222222222222
1984-10-02,21.62496,22.0,21.62496,21.87504,501600,2.011111,0.0115644144544
1984-10-03,21.62496,21.87504,21.5,21.5,835200,1.976631,-0.0057785077984
1984-10-04,21.5,22.0,21.5,22.0,1750600,2.022599,0.0232558139535
1984-10-05,22.0,23.37504,22.0,23.25,136800,2.137519,0.0568181818182
1984-10-08,23.25,23.25,22.5,22.5,57600,2.068567,-0.0322580645161
1984-10-09,22.25,23.0,22.25,22.75,435400,2.091551,0.0224719101124
1984-10-10,22.87504,23.0,22.62496,22.75,1005800,2.091551,-0.00546621994978
1984-10-11,23.0,23.5,23.0,23.5,228200,2.160504,0.0217391304348
1984-10-12,23.62496,23.75,23.37504,23.75,240200,2.183488,0.0052927073739
1984-10-15,24.0,24.5,23.5,24.25,249800,2.229456,0.0104166666667
1984-10-16,24.25,24.75,24.0,24.12496,216000,2.21796,-0.00515628865979
1984-10-17,24.12496,24.37504,23.75,24.0,46600,2.206472,-0.00517969770727
1984-10-18,23.75,24.5,23.62496,24.5,106600,2.25244,0.0315789473684
1984-10-19,25.25,25.75,24.87504,24.87504,372200,2.28692,-0.0148499009901
1984-10-22,25.0,25.5,24.62496,24.62496,201600,2.263928,-0.0150016
1984-10-23,24.62496,25.0,24.62496,25.0,52800,2.298408,0.0152300755006
1984-10-24,24.75,25.0,24.62496,24.87504,93800,2.28692,0.00505212121212
1984-10-25,24.87504,24.87504,23.5,23.87504,338600,2.194983,-0.0402009403804
1984-10-26,23.5,23.5,22.12496,22.62496,105600,2.080056,-0.0372357446809
1984-10-29,22.87504,22.87504,22.5,22.62496,117800,2.080056,-0.0109324398996
1984-10-30,22.75,22.87504,22.5,22.75,225600,2.091551,0.0
1984-10-31,22.75,23.0,22.62496,23.0,302400,2.114535,0.010989010989
1984-11-01,23.12496,24.5,23.12496,24.25,588200,2.229456,0.0486504625305
1984-11-02,24.0,24.0,23.12496,23.12496,238600,2.126024,-0.03646
1984-11-05,23.0,23.62496,23.0,23.62496,44200,2.171992,0.027172173913
1984-11-06,23.87504,24.25,23.75,24.25,159400,2.229456,0.0157051045778
1984-11-07,24.37504,24.37504,24.0,24.0,101800,2.206472,-0.0153862311611
1984-11-08,24.12496,24.25,23.87504,24.0,33600,2.206472,-0.00517969770727
1984-11-09,24.0,24.37504,23.62496,23.87504,212200,2.194983,-0.00520666666667
1984-11-12,23.75,23.87504,23.5,23.75,137800,2.183488,0.0
1984-11-13,23.62496,23.87504,23.12496,23.12496,233000,2.126024,-0.0211640569973
1984-11-14,23.12496,23.12496,22.62496,22.62496,77000,2.080056,-0.0216216590212
1984-11-15,22.62496,23.0,22.62496,23.0,28800,2.114535,0.0165763828975
1984-11-16,23.25,23.37504,22.75,22.75,72200,2.091551,-0.0215053763441
1984-11-19,22.75,23.25,22.75,22.87504,51400,2.103047,0.00549626373626
1984-11-20,23.0,23.25,22.87504,22.87504,437800,2.103047,-0.00543304347826
1984-11-21,22.87504,23.0,22.87504,22.87504,103400,2.103047,0.0
1984-11-23,23.0,23.37504,22.87504,23.37504,196800,2.149015,0.0163060869565
1984-11-26,23.5,23.75,23.37504,23.5,67400,2.160504,0.0
1984-11-27,23.62496,24.0,23.25,23.75,151400,2.183488,0.0052927073739
