Date,Open,High,Low,Close,Volume,Adj Close,Returns
1975-01-02,14.75,15.75,14.75,15.75,54200,0.821936,
1975-01-03,15.75,16.75,15.5,15.625,49000,0.815413,-0.00793650793651
1975-01-06,16.75,17.125,16.75,17.125,83100,0.893692,0.0223880597015
1975-01-07,17.125,17.125,16.75,16.75,39300,0.874123,-0.021897810219
1975-01-08,16.75,17.125,16.75,16.875,36900,0.880646,0.00746268656716
1975-01-09,16.875,17.375,16.75,17.375,68700,0.906739,0.0296296296296
1975-01-10,17.625,18.0,17.625,18.0,65100,0.939356,0.0212765957447
1975-01-13,18.0,18.125,17.625,17.625,74500,0.919786,-0.0208333333333
1975-01-14,17.625,18.0,17.625,17.625,55400,0.919786,0.0
1975-01-15,17.625,18.125,17.625,18.125,41300,0.945879,0.0283687943262
1975-01-16,18.125,18.375,18.0,18.375,54000,0.958926,0.0137931034483
1975-01-17,18.375,18.375,17.875,18.0,35900,0.939356,-0.0204081632653
1975-01-20,18.0,18.0,17.625,17.75,46900,0.926309,-0.0138888888889
1975-01-21,17.75,17.875,17.25,17.5,44400,0.913262,-0.0140845070423
1975-01-22,17.5,17.875,17.375,17.875,26900,0.932832,0.0214285714286
1975-01-23,17.875,18.0,17.625,17.75,32800,0.926309,-0.00699300699301
1975-01-24,17.75,18.25,17.625,18.25,29600,0.952402,0.0281690140845
1975-01-27,18.5,19.125,18.5,18.875,65400,0.985019,0.0202702702703
1975-01-28,18.875,19.375,18.75,19.0,103500,0.991542,0.00662251655629
1975-01-29,18.375,18.375,18.0,18.125,88100,0.945879,-0.0136054421769
1975-01-30,18.125,18.375,18.125,18.25,53600,0.952402,0.00689655172414
1975-01-31,18.25,18.625,18.25,18.5,44900,0.965449,0.013698630137
1975-02-03,18.5,18.625,18.0,18.25,133800,0.952402,-0.0135135135135
1975-02-04,17.875,17.875,17.5,17.75,43700,0.952402,-0.00699300699301
1975-02-05,17.75,18.0,17.75,17.875,39300,0.959109,0.00704225352113
1975-02-06,17.875,18.375,17.75,18.125,55000,0.972523,0.013986013986
1975-02-07,18.125,18.25,17.75,18.125,33500,0.972523,0.0
1975-02-10,18.125,18.125,17.75,17.75,43000,0.952402,-0.0206896551724
1975-02-11,17.75,18.0,17.5,17.75,47300,0.952402,0.0
1975-02-12,17.875,18.25,17.875,18.25,13200,0.97923,0.020979020979
1975-02-13,18.25,18.5,18.125,18.25,36700,0.97923,0.0
