Date,Open,High,Low,Close,Volume,Adj Close,Returns
1994-07-22,18.5,18.625,18.5,18.5,1415500,3.931232,
1994-07-25,18.5,18.625,18.5,18.625,138600,3.957795,0.00675675675676
1994-07-26,18.5,18.625,18.5,18.5,71500,3.931232,0.0
1994-07-27,18.625,18.625,18.5,18.5,37300,3.931232,-0.00671140939597
1994-07-28,18.5,18.625,18.5,18.5,83500,3.931232,0.0
1994-07-29,18.5,18.625,18.5,18.5,19900,3.931232,0.0
1994-08-01,18.5,18.625,18.5,18.5,21700,3.931232,0.0
1994-08-02,18.5,18.625,18.5,18.5,60000,3.931232,0.0
1994-08-03,18.5,18.625,18.5,18.625,37500,3.957795,0.00675675675676
1994-08-04,18.5,18.5,18.25,18.25,553800,3.878108,-0.0135135135135
1994-08-05,18.25,18.375,18.25,18.25,130600,3.878108,0.0
1994-08-08,18.25,18.375,18.25,18.25,50700,3.878108,0.0
1994-08-09,18.375,18.375,18.25,18.375,81700,3.90467,0.0
1994-08-10,18.25,18.25,18.0,18.0,134000,3.824983,-0.013698630137
1994-08-11,18.0,18.25,17.875,17.875,67700,3.798421,-0.00694444444444
1994-08-12,18.0,18.0,17.875,18.0,85700,3.824983,0.0
1994-08-15,17.875,18.125,17.875,18.0,24200,3.824983,0.00699300699301
1994-08-16,18.25,18.25,18.0,18.125,109900,3.851545,-0.00684931506849
1994-08-17,18.125,18.125,18.0,18.0,92800,3.824983,-0.00689655172414
1994-08-18,18.0,18.125,18.0,18.125,44900,3.851545,0.00694444444444
1994-08-19,18.0,18.125,17.875,18.0,54000,3.824983,0.0
1994-08-22,18.0,18.0,17.875,18.0,36100,3.824983,0.0
1994-08-23,17.875,18.0,17.875,17.875,27200,3.798421,0.0
1994-08-24,17.875,18.125,17.875,18.0,64400,3.824983,0.00699300699301
1994-08-25,18.125,18.25,18.0,18.125,51300,3.851545,0.0
1994-08-26,18.125,18.25,18.125,18.25,47500,3.878108,0.00689655172414
1994-08-29,18.25,18.375,18.125,18.25,45300,3.878108,0.0
1994-08-30,18.375,18.5,18.25,18.5,36300,3.931232,0.00680272108844
1994-08-31,18.5,18.5,18.375,18.375,26400,3.90467,-0.00675675675676
1994-09-01,18.5,18.5,18.25,18.25,34800,3.878108,-0.0135135135135
1994-09-02,18.375,18.375,18.125,18.25,35600,3.878108,-0.00680272108844
1994-09-06,18.375,18.375,18.0,18.0,11600,3.824983,-0.0204081632653
1994-09-07,18.0,18.125,18.0,18.0,33200,3.824983,0.0
1994-09-08,18.0,18.125,17.875,18.125,57200,3.851545,0.00694444444444
1994-09-09,18.125,18.25,17.625,18.25,33100,3.878108,0.00689655172414
1994-09-12,18.0,18.25,18.0,18.0,34400,3.824983,0.0
1994-09-13,18.125,18.25,18.0,18.125,45300,3.851545,0.0
1994-09-14,18.125,18.25,17.75,17.75,36200,3.771858,-0.0206896551724
1994-09-15,17.875,18.125,17.875,18.0,116100,3.824983,0.00699300699301
1994-09-16,18.0,18.0,17.75,17.75,25600,3.771858,-0.0138888888889
1994-09-19,17.75,17.875,17.5,17.75,71600,3.771858,0.0
1994-09-20,17.625,17.625,17.25,17.375,72600,3.692171,-0.0141843971631
1994-09-21,17.25,17.5,17.0,17.125,124500,3.639046,-0.00724637681159
1994-09-22,17.125,17.625,17.125,17.625,83800,3.745296,0.029197080292
1994-09-23,17.625,17.75,17.5,17.5,43800,3.718733,-0.00709219858156
