Date,Open,High,Low,Close,Volume,Adj Close,Returns
1984-09-07,10.75,11.0,10.75,10.75,170400,1.0685,
1984-09-10,10.75,11.0,10.75,10.75,107200,1.0685,0.0
1984-09-11,10.75,11.0,10.75,10.75,4800,1.0685,0.0
1984-09-12,10.75,11.0,10.75,10.75,10400,1.0685,0.0
1984-09-13,10.75,11.0,10.75,10.75,31200,1.0685,0.0
1984-09-14,10.75,11.0,10.75,10.75,12000,1.0685,0.0
1984-09-17,10.875,11.125,10.875,10.875,25600,1.080925,0.0
1984-09-18,10.875,11.25,10.875,10.875,108800,1.080925,0.0
1984-09-19,10.875,11.25,10.875,10.875,40000,1.080925,0.0
1984-09-20,10.875,11.125,10.875,10.875,81600,1.080925,0.0
1984-09-21,12.125,12.375,12.125,12.125,404800,1.205169,0.0
1984-09-24,12.125,12.375,12.125,12.125,104000,1.205169,0.0
1984-09-25,12.125,12.375,12.125,12.125,60000,1.205169,0.0
1984-09-26,12.125,12.375,12.125,12.125,41600,1.205169,0.0
1984-09-27,12.125,12.375,12.125,12.125,12000,1.205169,0.0
1984-09-28,12.125,12.375,12.125,12.125,29600,1.205169,0.0
1984-10-01,12.125,12.375,12.125,12.125,187200,1.205169,0.0
1984-10-02,12.25,12.5,12.25,12.25,16800,1.217593,0.0
1984-10-03,12.25,12.5,12.25,12.25,10400,1.217593,0.0
1984-10-04,12.25,12.5,12.25,12.25,200000,1.217593,0.0
1984-10-05,12.25,12.25,12.25,12.25,0,1.217593,0.0
1984-10-08,12.25,12.25,12.25,12.25,0,1.217593,0.0
1984-10-09,12.25,12.5,12.25,12.25,800,1.217593,0.0
1984-10-10,12.25,12.375,12.25,12.25,5600,1.217593,0.0
1984-10-11,12.25,12.375,12.25,12.25,18400,1.217593,0.0
1984-10-12,12.25,12.375,12.25,12.25,2400,1.217593,0.0
1984-10-15,12.375,12.625,12.375,12.375,10400,1.230018,0.0
1984-10-16,12.375,12.625,12.375,12.375,800,1.230018,0.0
1984-10-17,12.5,12.75,12.5,12.5,32000,1.242442,0.0
1984-10-18,12.5,12.75,12.5,12.5,14400,1.242442,0.0
1984-10-19,12.5,12.5,12.5,12.5,0,1.242442,0.0
1984-10-22,12.5,12.75,12.5,12.5,3200,1.242442,0.0
1984-10-23,12.625,12.875,12.625,12.625,9600,1.254867,0.0
