Date,Open,High,Low,Close,Volume,Adj Close,Returns
1998-02-27,17.375,18.0,17.375,17.375,50000,16.153156,
1998-03-02,17.25,17.25,17.0,17.25,75000,16.036946,0.0
1998-03-03,17.125,17.125,16.75,17.125,35000,15.920736,0.0
1998-03-04,15.75,15.75,15.5,15.75,60000,14.642429,0.0
1998-03-05,16.125,16.125,16.125,16.125,400,14.991058,0.0
1998-03-06,16.125,16.375,16.125,16.125,3600,14.991058,0.0
1998-03-09,16.125,16.5,15.875,15.875,3200,14.758639,-0.015503875969
1998-03-10,15.875,16.875,15.875,16.25,56800,15.107268,0.0236220472441
1998-03-11,16.25,16.5,16.125,16.25,10400,15.107268,0.0
1998-03-12,16.25,16.375,16.125,16.375,3800,15.223478,0.00769230769231
1998-03-13,16.5,16.5,16.5,16.5,1000,15.339687,0.0
1998-03-16,16.5,16.5,16.125,16.125,7700,14.991058,-0.0227272727273
1998-03-17,16.125,16.125,15.75,15.875,28000,14.758639,-0.015503875969
1998-03-18,15.875,16.125,15.75,16.125,45700,14.991058,0.0157480314961
1998-03-19,16.125,17.375,16.0,17.125,383600,15.920736,0.062015503876
1998-03-20,17.25,17.75,17.25,17.75,275600,16.501785,0.0289855072464
1998-03-23,17.75,19.0,17.375,18.875,398600,17.547673,0.0633802816901
1998-03-24,18.875,19.875,18.875,19.75,261800,18.361141,0.046357615894
1998-03-25,19.75,20.125,19.5,19.875,135600,18.477351,0.00632911392405
1998-03-26,19.875,19.875,19.25,19.625,26300,18.244931,-0.0125786163522
1998-03-27,19.625,19.75,18.375,19.25,62200,17.896302,-0.0191082802548
1998-03-30,19.25,19.875,19.25,19.875,49500,18.477351,0.0324675324675
1998-03-31,19.875,20.25,19.875,20.125,79000,18.70977,0.0125786163522
1998-04-01,20.125,20.625,20.0,20.5,150100,19.058399,0.0186335403727
1998-04-02,21.75,23.375,21.75,23.25,140500,21.615014,0.0689655172414
1998-04-03,23.25,26.125,21.75,24.75,458700,23.009531,0.0645161290323
1998-04-06,24.75,26.0,23.0,24.0,105300,22.312273,-0.030303030303
1998-04-07,24.0,24.0,22.125,22.125,152800,20.569126,-0.078125
1998-04-08,22.125,23.0,21.0,22.5,45100,20.917756,0.0169491525424
