Date,Open,High,Low,Close,Volume,Adj Close,Returns
1984-09-07,34.125031,34.374982,34.000022,34.125031,228700,2.500642,
1984-09-10,33.875009,33.875009,33.624991,33.624991,381300,2.463999,-0.00738060320515
1984-09-11,33.75,34.374982,33.75,34.000022,209200,2.491481,0.00740805925926
1984-09-12,34.000022,34.374982,34.000022,34.000022,229500,2.491481,0.0
1984-09-13,34.000022,34.499994,34.000022,34.499994,487900,2.528119,0.0147050493085
1984-09-14,34.499994,35.500006,34.499994,35.124975,216000,2.573916,0.0181153944549
1984-09-17,35.124975,35.750025,35.124975,35.374994,103900,2.592237,0.00711798371387
1984-09-18,35.374994,35.750025,35.249985,35.750025,147100,2.619719,0.010601584837
1984-09-19,35.750025,35.999979,35.750025,35.999979,236800,2.638036,0.00699171539041
1984-09-20,35.999979,35.999979,35.625015,35.750025,847800,2.619719,-0.00694317071685
1984-09-21,35.625015,35.625015,35.374994,35.500006,404200,2.601398,-0.00350902308392
1984-09-24,35.500006,35.750025,35.500006,35.500006,233500,2.601398,0.0
1984-09-25,35.500006,35.625015,35.500006,35.500006,299700,2.601398,0.0
1984-09-26,35.500006,35.874966,35.500006,35.750025,45900,2.619719,0.00704278754206
1984-09-27,35.750025,36.124988,35.750025,35.999979,230100,2.638036,0.00699171539041
1984-09-28,35.999979,36.124988,35.500006,35.625015,183600,2.610559,-0.0104156727425
1984-10-01,35.625015,35.999979,35.500006,35.874966,197100,2.628875,0.00701616546688
1984-10-02,35.874966,36.249997,35.500006,35.750025,1127200,2.619719,-0.00348267925885
1984-10-03,35.625015,35.625015,35.249985,35.249985,176100,2.583077,-0.0105271534623
1984-10-04,35.249985,35.374994,34.499994,34.499994,169300,2.528119,-0.0212763494793
1984-10-05,34.499994,35.374994,34.000022,35.249985,205800,2.583077,0.0217388733459
1984-10-08,35.249985,35.249985,34.875021,35.000034,149800,2.564761,-0.007090811528
1984-10-09,34.625003,34.625003,34.499994,34.499994,130900,2.528119,-0.00361036791824
1984-10-10,34.374982,34.374982,33.250028,34.000022,451500,2.491481,-0.0109079329845
1984-10-11,34.249972,34.750012,34.249972,34.625003,58600,2.537279,0.0109498191707
1984-10-12,34.750012,35.249985,34.750012,35.249985,53200,2.583077,0.0143877072618
1984-10-15,35.249985,35.500006,35.000034,35.000034,406900,2.564761,-0.007090811528
1984-10-16,35.249985,35.874966,35.249985,35.625015,271900,2.610559,0.0106391534635
1984-10-17,35.625015,35.999979,35.625015,35.999979,158500,2.638036,0.0105253008315
1984-10-18,36.124988,36.749969,36.124988,36.625028,1038700,2.683838,0.0138419423143
1984-10-19,36.625028,37.125,36.625028,36.874978,345600,2.702155,0.00682456816142
1984-10-22,36.874978,36.874978,36.500018,36.500018,693100,2.674678,-0.0101684128462
1984-10-23,36.625028,37.250009,36.625028,37.250009,490600,2.729636,0.0170643145993
1984-10-24,37.250009,37.500031,36.874978,37.250009,230800,2.729636,0.0
1984-10-25,37.250009,37.500031,37.125,37.250009,163900,2.729636,0.0
1984-10-26,37.250009,37.624972,37.250009,37.624972,469000,2.757113,0.0100661183733
1984-10-29,37.624972,37.749982,37.500031,37.500031,165300,2.747958,-0.00332069350111
1984-10-30,37.500031,38.000003,37.500031,38.000003,189000,2.784595,0.0133325756451
1984-10-31,38.000003,38.375034,38.000003,38.000003,614800,2.784595,0.0
1984-11-01,38.000003,38.375034,38.000003,38.250021,594000,2.802916,0.0065794205332
1984-11-02,38.250021,38.749994,38.250021,38.375034,253000,2.812077,0.00326831193112
1984-11-05,38.375034,38.375034,37.874994,38.000003,325900,2.784595,-0.00977278612965
1984-11-06,38.000003,38.000003,37.375022,37.624972,167400,2.757113,-0.00986923606296
1984-11-07,37.500031,37.500031,36.874978,36.874978,151800,2.702155,-0.0166680662211
1984-11-08,36.874978,37.250009,36.749969,36.749969,177400,2.692994,-0.00339007659883
1984-11-09,36.749969,36.874978,36.249997,36.500018,112600,2.674678,-0.00680139349233
1984-11-12,36.249997,36.249997,35.500006,35.999979,116100,2.638036,-0.00689704884665
1984-11-13,35.999979,35.999979,35.625015,35.625015,104500,2.610559,-0.0104156727425
1984-11-14,35.625015,35.625015,35.000034,35.500006,107200,2.601398,-0.00350902308392
1984-11-15,35.374994,35.374994,35.000034,35.124975,124800,2.573916,-0.00706767611042
1984-11-16,35.000034,35.000034,34.499994,35.000034,97800,2.564761,0.0
1984-11-19,35.000034,35.249985,34.750012,34.875021,118800,2.5556,-0.00357179653025
1984-11-20,34.875021,35.000034,34.625003,34.750012,214600,2.54644,-0.0035844852968
1984-11-21,34.750012,34.875021,34.750012,34.875021,62100,2.5556,0.0035973800527
1984-11-23,34.875021,34.875021,34.499994,34.499994,60700,2.528119,-0.0107534558904
1984-11-26,34.499994,34.750012,34.374982,34.499994,74800,2.528119,0.0
1984-11-27,34.499994,35.750025,34.499994,35.500006,157200,2.601398,0.0289858601135
1984-11-28,35.500006,36.500018,35.500006,36.375006,51900,2.665517,0.0246478831581
1984-11-29,36.249997,36.249997,35.625015,35.750025,121500,2.619719,-0.0137923321759
1984-11-30,35.750025,35.999979,35.750025,35.750025,127500,2.619719,0.0
1984-12-03,35.750025,35.999979,35.625015,35.625015,411700,2.610559,-0.00349678077148
1984-12-04,35.625015,35.874966,35.625015,35.750025,518400,2.619719,0.00350905115408
1984-12-05,35.750025,35.999979,35.625015,35.874966,50500,2.628875,0.0034948507029
1984-12-06,35.874966,35.874966,35.750025,35.750025,61300,2.619719,-0.00348267925885
1984-12-07,35.750025,36.124988,35.750025,35.750025,137700,2.619719,0.0
1984-12-10,35.750025,36.249997,35.625015,35.625015,309100,2.610559,-0.00349678077148
1984-12-11,35.874966,36.375006,35.874966,36.375006,84300,2.665517,0.0139384104225
1984-12-12,36.375006,36.500018,36.124988,36.249997,27000,2.656357,-0.00343667297264
1984-12-13,36.249997,36.249997,35.874966,36.249997,139600,2.656357,0.0
1984-12-14,36.124988,36.124988,35.750025,35.750025,94500,2.619719,-0.0103796020638
1984-12-17,35.750025,35.874966,35.374994,35.874966,110700,2.628875,0.0034948507029
1984-12-18,35.874966,37.250009,35.625015,37.125,321900,2.720476,0.0348441863332
1984-12-19,37.125,38.125012,37.125,37.375022,279400,2.738797,0.0067345993266
1984-12-20,37.375022,37.749982,37.250009,37.500031,180100,2.747958,0.00334472043923
1984-12-21,37.500031,38.000003,37.500031,37.500031,416400,2.747958,0.0
1984-12-24,37.500031,37.874994,37.500031,37.500031,86400,2.747958,0.0
1984-12-26,37.500031,37.749982,37.375022,37.375022,120100,2.738797,-0.00333357057758
1984-12-27,37.375022,37.624972,37.125,37.624972,81000,2.757113,0.00668762148153
1984-12-28,37.749982,38.250021,37.749982,38.125012,65400,2.793756,0.00993457427344
1984-12-31,38.125012,38.375034,38.000003,38.125012,80200,2.793756,0.0
1985-01-02,38.125012,38.375034,37.874994,38.000003,190300,2.784595,-0.00327892355811
1985-01-03,38.000003,38.875006,37.749982,38.875006,105300,2.848714,0.023026392919
1985-01-04,38.749994,38.749994,38.499975,38.499975,64000,2.821232,-0.00645210422484
1985-01-07,38.499975,38.624985,38.000003,38.375034,68800,2.812077,-0.00324522288651
1985-01-08,38.375034,38.875006,38.250021,38.875006,188200,2.848714,0.013028574776
1985-01-09,38.875006,39.000015,38.624985,38.749994,207100,2.839553,-0.00321574226895
1985-01-10,38.749994,39.499988,38.499975,39.374979,263200,2.885352,0.0161286476586
