Date,Open,High,Low,Close,Volume,Adj Close,Returns
1986-09-09,21.375,21.375,20.625,20.625,998000,4.115406,
1986-09-10,20.625,20.75,20.5,20.625,3112800,4.115406,0.0
1986-09-11,20.5,20.5,19.625,20.0,263600,3.990697,-0.0243902439024
1986-09-12,20.0,20.0,19.375,19.75,749600,3.940813,-0.0125
1986-09-15,19.75,19.75,19.625,19.625,175600,3.915871,-0.00632911392405
1986-09-16,19.5,19.5,19.0,19.125,206400,3.816104,-0.0192307692308
1986-09-17,19.125,19.125,18.875,19.0,108400,3.791162,-0.00653594771242
1986-09-18,19.0,19.625,19.0,19.625,643200,3.915871,0.0328947368421
1986-09-19,19.625,19.75,19.625,19.75,212400,3.940813,0.00636942675159
1986-09-22,19.875,20.25,19.875,20.25,200000,4.040581,0.0188679245283
1986-09-23,20.25,20.375,20.0,20.25,405600,4.040581,0.0
1986-09-24,20.25,21.375,20.25,21.0,1560000,4.190232,0.037037037037
1986-09-25,20.875,20.875,20.625,20.75,414000,4.140348,-0.0059880239521
1986-09-26,20.75,20.75,20.625,20.75,314400,4.140348,0.0
1986-09-29,20.75,20.875,20.625,20.875,951600,4.16529,0.00602409638554
1986-09-30,20.875,21.375,20.875,21.25,331600,4.240116,0.0179640718563
1986-10-01,21.375,21.75,21.375,21.5,1872400,4.289999,0.00584795321637
1986-10-02,21.5,22.5,21.375,22.5,2767200,4.489534,0.046511627907
1986-10-03,22.5,23.0,22.125,22.375,3138400,4.464592,-0.00555555555556
1986-10-06,22.375,22.5,22.125,22.25,925200,4.43965,-0.00558659217877
1986-10-07,22.25,22.375,21.75,22.0,1152000,4.389767,-0.0112359550562
1986-10-08,22.0,22.25,21.75,22.25,2980400,4.43965,0.0113636363636
1986-10-09,22.25,22.5,22.0,22.25,4265200,4.43965,0.0
1986-10-10,22.25,22.5,22.125,22.375,996400,4.464592,0.00561797752809
1986-10-13,22.375,22.375,21.75,21.875,1656000,4.364825,-0.0223463687151
1986-10-14,21.5,21.5,20.5,20.875,2104000,4.16529,-0.0290697674419
1986-10-15,21.125,21.625,21.125,21.25,3973200,4.240116,0.00591715976331
1986-10-16,21.25,21.25,20.75,21.125,1820400,4.215174,-0.00588235294118
1986-10-17,21.0,21.0,20.0,20.5,2462800,4.090464,-0.0238095238095
1986-10-20,20.5,20.75,20.375,20.5,599600,4.090464,0.0
1986-10-21,20.5,20.5,20.125,20.25,1184800,4.040581,-0.0121951219512
1986-10-22,20.25,20.5,20.125,20.5,1871600,4.090464,0.0123456790123
1986-10-23,20.5,21.125,20.5,20.75,1907200,4.140348,0.0121951219512
1986-10-24,20.75,20.875,20.375,20.375,997200,4.065523,-0.0180722891566
1986-10-27,20.375,20.375,19.75,20.0,412400,3.990697,-0.0184049079755
1986-10-28,20.0,20.0,19.75,19.875,474800,3.965755,-0.00625
1986-10-29,19.875,19.875,19.625,19.625,407600,3.915871,-0.0125786163522
1986-10-30,19.625,20.125,19.625,19.625,740400,3.915871,0.0
1986-10-31,19.875,20.125,19.875,20.0,1260800,3.990697,0.0062893081761
1986-11-03,20.0,20.0,19.75,19.875,352400,3.965755,-0.00625
1986-11-04,19.875,20.0,19.375,19.75,992400,3.940813,-0.0062893081761
1986-11-05,19.75,20.75,19.625,20.75,4848800,4.140348,0.0506329113924
1986-11-06,20.75,21.375,20.625,21.0,1708400,4.190232,0.0120481927711
1986-11-07,21.0,21.125,20.5,20.625,988400,4.115406,-0.0178571428571
1986-11-10,20.625,20.875,20.5,20.75,714800,4.140348,0.00606060606061
1986-11-11,20.75,21.125,20.75,21.0,806800,4.190232,0.0120481927711
1986-11-12,21.0,21.25,20.75,21.0,360400,4.190232,0.0
1986-11-13,21.25,21.5,21.25,21.375,1512400,4.265057,0.00588235294118
1986-11-14,21.25,21.25,20.75,20.75,974400,4.140348,-0.0235294117647
1986-11-17,20.5,20.5,20.0,20.25,1936800,4.040581,-0.0121951219512
1986-11-18,20.25,20.625,19.875,20.375,3282000,4.065523,0.00617283950617
1986-11-19,20.25,20.25,19.75,20.0,2298800,3.990697,-0.0123456790123
1986-11-20,20.0,20.125,19.75,20.0,828000,3.990697,0.0
1986-11-21,20.0,20.125,19.75,19.875,546000,3.965755,-0.00625
1986-11-24,19.875,20.125,19.875,19.875,1268800,3.965755,0.0
1986-11-25,19.875,19.875,19.5,19.5,1481200,3.89093,-0.0188679245283
1986-11-26,19.5,19.875,19.5,19.875,682000,3.965755,0.0192307692308
1986-11-28,19.875,19.875,19.75,19.75,118000,3.940813,-0.0062893081761
1986-12-01,19.75,19.875,19.625,19.75,219200,3.940813,0.0
1986-12-02,19.75,20.25,19.625,19.75,2114400,3.940813,0.0
1986-12-03,19.75,19.875,19.5,19.75,865600,3.940813,0.0
1986-12-04,19.75,20.0,19.625,19.75,1023200,3.940813,0.0
1986-12-05,19.75,19.75,19.25,19.5,298400,3.89093,-0.0126582278481
1986-12-08,19.375,19.375,19.0,19.125,261200,3.816104,-0.0129032258065
1986-12-09,19.125,19.125,18.5,18.875,602800,3.76622,-0.0130718954248
1986-12-10,18.75,18.75,18.375,18.625,3072400,3.716337,-0.00666666666667
1986-12-11,18.625,18.75,18.375,18.5,456400,3.691395,-0.00671140939597
1986-12-12,18.5,18.625,18.375,18.375,1894000,3.666453,-0.00675675675676
1986-12-15,18.5,19.125,18.5,18.875,2924800,3.76622,0.0202702702703
1986-12-16,18.875,19.375,18.875,19.25,2084000,3.841046,0.0198675496689
1986-12-17,19.25,19.375,19.0,19.0,1300800,3.791162,-0.012987012987
1986-12-18,19.0,19.25,18.75,18.875,1665600,3.76622,-0.00657894736842
1986-12-19,18.875,19.125,18.875,19.0,1401600,3.791162,0.00662251655629
1986-12-22,19.0,19.375,18.875,19.25,1045600,3.841046,0.0131578947368
1986-12-23,19.375,20.5,19.375,20.375,1435600,4.065523,0.0516129032258
1986-12-24,20.375,20.5,19.875,19.875,394000,3.965755,-0.0245398773006
1986-12-26,20.0,20.125,20.0,20.125,58400,4.015639,0.00625
1986-12-29,20.125,20.25,19.875,20.0,304000,3.990697,-0.00621118012422
1986-12-30,20.0,20.5,20.0,20.5,686000,4.090464,0.025
1986-12-31,20.375,20.375,20.125,20.125,434800,4.015639,-0.0122699386503
1987-01-02,20.125,20.25,20.0,20.25,166000,4.040581,0.00621118012422
1987-01-05,20.25,20.5,20.0,20.5,539600,4.090464,0.0123456790123
1987-01-06,20.5,21.0,20.5,20.75,458800,4.140348,0.0121951219512
1987-01-07,20.75,20.875,20.375,20.75,904800,4.140348,0.0
1987-01-08,20.75,21.125,20.75,20.75,498000,4.140348,0.0
1987-01-09,20.75,21.375,20.75,21.25,1431200,4.240116,0.0240963855422
1987-01-12,21.25,22.25,21.25,22.0,1696800,4.389767,0.0352941176471
1987-01-13,22.0,22.625,21.875,22.5,1767600,4.489534,0.0227272727273
1987-01-14,22.625,23.375,22.625,23.375,3704000,4.664127,0.0331491712707
1987-01-15,23.375,23.375,22.5,22.75,3809600,4.539418,-0.0267379679144
1987-01-16,22.625,22.625,21.75,21.875,1547600,4.364825,-0.0331491712707
1987-01-19,21.875,22.75,21.875,22.5,938000,4.489534,0.0285714285714
1987-01-20,22.5,22.75,22.25,22.75,2273200,4.539418,0.0111111111111
1987-01-21,22.75,22.75,22.25,22.25,528400,4.43965,-0.021978021978
1987-01-22,22.25,22.625,21.625,22.5,518000,4.489534,0.0112359550562
1987-01-23,22.5,23.0,22.5,22.75,365600,4.539418,0.0111111111111
1987-01-26,22.625,22.625,22.125,22.375,274400,4.464592,-0.0110497237569
1987-01-27,22.375,22.75,22.375,22.5,226000,4.489534,0.00558659217877
1987-01-28,22.5,22.625,22.25,22.375,664800,4.464592,-0.00555555555556
1987-01-29,22.375,22.625,22.25,22.25,1347200,4.43965,-0.00558659217877
1987-01-30,22.25,22.25,21.625,22.0,268000,4.389767,-0.0112359550562
1987-02-02,22.0,22.75,21.875,22.75,586800,4.539418,0.0340909090909
1987-02-03,22.75,22.75,22.375,22.375,774000,4.464592,-0.0164835164835
1987-02-04,22.375,23.125,22.375,23.0,2430400,4.589302,0.0279329608939
1987-02-05,23.375,24.125,23.375,23.875,3942800,4.763895,0.0213903743316
1987-02-06,24.125,24.75,24.125,24.5,3120400,4.888604,0.0155440414508
1987-02-09,24.375,24.375,23.625,23.625,1524400,4.714011,-0.0307692307692
1987-02-10,23.625,23.625,23.25,23.375,214800,4.664127,-0.010582010582
1987-02-11,23.375,24.0,23.375,23.75,1678800,4.738953,0.0160427807487
1987-02-12,23.625,23.625,23.0,23.25,327200,4.639185,-0.015873015873
1987-02-13,23.25,23.375,22.875,23.375,1074000,4.664127,0.00537634408602
1987-02-17,23.5,24.125,23.5,24.125,1408800,4.813778,0.0265957446809
1987-02-18,24.125,24.125,23.75,23.75,2650800,4.738953,-0.0155440414508
1987-02-19,23.75,23.875,22.875,23.0,1731200,4.589302,-0.0315789473684
1987-02-20,23.0,23.0,22.625,22.75,304000,4.539418,-0.0108695652174
1987-02-23,22.75,23.0,22.5,22.5,592400,4.489534,-0.010989010989
1987-02-24,22.5,23.125,22.5,22.75,1123600,4.539418,0.0111111111111
1987-02-25,22.75,23.75,22.625,23.75,924000,4.738953,0.043956043956
1987-02-26,23.75,23.875,23.5,23.5,690800,4.689069,-0.0105263157895
1987-02-27,23.5,23.625,23.25,23.25,165200,4.639185,-0.0106382978723
1987-03-02,23.25,23.5,23.0,23.0,336800,4.589302,-0.010752688172
1987-03-03,23.0,23.375,22.75,23.375,291200,4.664127,0.0163043478261
1987-03-04,23.5,24.125,23.5,24.0,1012400,4.788836,0.0212765957447
1987-03-05,24.0,24.875,23.75,24.75,594000,4.938487,0.03125
1987-03-06,24.75,25.875,24.625,25.375,792400,5.063197,0.0252525252525
1987-03-09,25.25,25.25,24.75,25.0,360000,4.988371,-0.00990099009901
1987-03-10,25.0,25.25,24.5,25.0,671600,4.988371,0.0
1987-03-11,25.0,25.125,24.75,25.0,837200,4.988371,0.0
1987-03-12,25.0,25.125,24.625,24.625,1148000,4.913546,-0.015
1987-03-13,24.625,25.0,24.625,24.75,888400,4.938487,0.00507614213198
1987-03-16,24.75,24.875,24.5,24.75,310000,4.938487,0.0
1987-03-17,25.0,25.75,25.0,25.625,1797200,5.11308,0.025
1987-03-18,25.875,27.5,25.875,26.25,2446400,5.23779,0.0144927536232
1987-03-19,26.25,27.25,26.125,27.0,643600,5.387441,0.0285714285714
1987-03-20,27.0,27.25,27.0,27.125,235200,5.412383,0.00462962962963
1987-03-23,27.125,27.25,27.0,27.125,790000,5.412383,0.0
1987-03-24,27.125,27.25,26.875,26.875,903200,5.362499,-0.00921658986175
1987-03-25,26.875,27.0,26.375,26.625,820000,5.312615,-0.0093023255814
1987-03-26,26.75,27.125,26.75,27.0,911200,5.387441,0.00934579439252
1987-03-27,27.0,27.0,26.5,26.625,1165200,5.312615,-0.0138888888889
1987-03-30,26.25,26.25,25.0,25.25,1118800,5.038255,-0.0380952380952
1987-03-31,25.25,26.0,25.25,26.0,835200,5.187906,0.029702970297
1987-04-01,26.0,26.0,25.5,25.875,574800,5.162964,-0.00480769230769
1987-04-02,26.0,26.5,26.0,26.25,954000,5.23779,0.00961538461538
1987-04-03,26.5,27.75,26.5,27.25,2568800,5.437325,0.0283018867925
1987-04-06,27.25,27.25,26.625,26.75,1047200,5.337557,-0.0183486238532
1987-04-07,26.75,26.875,26.5,26.5,2482000,5.287673,-0.00934579439252
1987-04-08,26.5,26.75,26.125,26.375,354800,5.262732,-0.00471698113208
1987-04-09,26.375,26.875,26.0,26.25,540800,5.23779,-0.00473933649289
1987-04-10,26.25,26.75,26.25,26.75,701200,5.337557,0.0190476190476
1987-04-13,26.625,26.625,26.0,26.25,431600,5.23779,-0.0140845070423
1987-04-14,25.875,25.875,24.75,24.75,338400,4.938487,-0.0434782608696
1987-04-15,25.0,26.5,25.0,26.5,759600,5.287673,0.06
1987-04-16,26.5,27.25,26.5,26.75,1009600,5.337557,0.00943396226415
1987-04-20,26.75,26.75,25.625,25.75,557600,5.138022,-0.0373831775701
1987-04-21,25.75,26.125,25.375,25.625,1383200,5.11308,-0.00485436893204
1987-04-22,25.625,25.875,25.5,25.5,632800,5.088139,-0.00487804878049
1987-04-23,25.5,26.25,25.5,26.25,392000,5.23779,0.0294117647059
1987-04-24,26.25,26.75,26.125,26.75,332800,5.337557,0.0190476190476
1987-04-27,26.75,26.75,25.75,26.5,559600,5.287673,-0.00934579439252
1987-04-28,26.5,27.0,26.375,26.75,411600,5.337557,0.00943396226415
1987-04-29,26.75,27.0,26.625,26.75,1167600,5.337557,0.0
1987-04-30,26.75,28.0,26.75,27.75,1685600,5.537092,0.0373831775701
1987-05-01,28.0,28.875,28.0,28.5,1240400,5.686743,0.0178571428571
1987-05-04,28.5,29.0,28.25,28.75,801200,5.736627,0.00877192982456
1987-05-05,28.875,30.0,28.875,29.125,981200,5.811452,0.00865800865801
1987-05-06,29.125,29.375,28.75,29.375,448000,5.861336,0.00858369098712
1987-05-07,29.375,30.25,29.375,30.125,1583600,6.010987,0.0255319148936
1987-05-08,30.125,31.5,30.125,30.25,1290000,6.035929,0.00414937759336
1987-05-11,30.25,31.0,30.125,30.25,920800,6.035929,0.0
1987-05-12,30.0,30.0,29.625,29.75,622000,5.936162,-0.00833333333333
1987-05-13,29.75,29.875,29.5,29.625,1746400,5.91122,-0.00420168067227
1987-05-14,29.625,29.625,29.25,29.375,378800,5.861336,-0.0084388185654
1987-05-15,29.375,29.375,29.25,29.375,55200,5.861336,0.0
1987-05-18,29.25,29.25,28.75,29.0,845600,5.786511,-0.00854700854701
1987-05-19,29.0,29.125,28.0,28.25,624400,5.636859,-0.0258620689655
1987-05-20,28.25,28.25,27.25,27.625,636000,5.51215,-0.0221238938053
1987-05-21,27.75,29.125,27.75,29.0,1168800,5.786511,0.045045045045
1987-05-22,29.0,29.0,28.875,29.0,763600,5.786511,0.0
1987-05-26,29.0,29.125,28.375,29.0,890000,5.786511,0.0
1987-05-27,29.0,29.0,28.625,28.625,604800,5.711685,-0.0129310344828
1987-05-28,28.625,28.75,28.375,28.5,707200,5.686743,-0.00436681222707
1987-05-29,28.625,29.25,28.625,29.0,767200,5.786511,0.0131004366812
1987-06-01,29.0,29.0,28.25,28.25,418800,5.636859,-0.0258620689655
1987-06-02,28.25,28.5,27.75,28.5,394000,5.686743,0.00884955752212
1987-06-03,28.5,28.5,28.125,28.125,143200,5.611918,-0.0131578947368
1987-06-04,28.125,28.5,28.0,28.375,718400,5.661801,0.00888888888889
1987-06-05,28.375,28.5,28.0,28.25,487600,5.636859,-0.00440528634361
1987-06-08,28.25,28.375,28.0,28.25,296800,5.636859,0.0
1987-06-09,28.25,28.25,27.875,28.0,537600,5.586976,-0.00884955752212
1987-06-10,28.0,28.0,27.625,27.75,1435600,5.537092,-0.00892857142857
1987-06-11,27.75,27.875,27.625,27.625,163600,5.51215,-0.0045045045045
1987-06-12,27.75,28.5,27.75,28.375,1015200,5.661801,0.0225225225225
1987-06-15,28.375,28.75,28.25,28.625,1044800,5.711685,0.00881057268722
1987-06-16,28.625,29.0,28.375,29.0,802800,5.786511,0.0131004366812
1987-06-17,29.0,29.75,29.0,29.25,2414400,5.836394,0.00862068965517
1987-06-18,29.25,29.25,28.75,29.25,237600,5.836394,0.0
1987-06-19,29.125,29.125,28.75,28.875,420000,5.761569,-0.00858369098712
1987-06-22,28.875,29.125,28.875,28.875,432400,5.761569,0.0
1987-06-23,28.625,28.625,27.0,28.125,5986000,5.611918,-0.0174672489083
1987-06-24,28.125,28.5,27.25,27.625,1806400,5.51215,-0.0177777777778
1987-06-25,27.625,27.75,27.125,27.125,992400,5.412383,-0.0180995475113
1987-06-26,27.25,27.625,27.25,27.25,2168800,5.437325,0.0
1987-06-29,27.5,29.0,27.5,29.0,1783600,5.786511,0.0545454545455
1987-06-30,29.0,29.625,29.0,29.625,531200,5.91122,0.0215517241379
1987-07-01,29.25,29.25,29.125,29.125,1246800,5.811452,-0.0042735042735
1987-07-02,29.125,29.375,29.0,29.375,325600,5.861336,0.00858369098712
1987-07-06,29.375,29.5,29.25,29.5,683600,5.886278,0.00425531914894
1987-07-07,29.75,30.375,29.75,30.0,2949200,5.986045,0.00840336134454
1987-07-08,29.875,29.875,29.5,29.625,1643200,5.91122,-0.00836820083682
1987-07-09,29.75,30.5,29.75,29.875,2672400,5.961104,0.00420168067227
1987-07-10,30.0,30.25,30.0,30.0,2282400,5.986045,0.0
1987-07-13,30.0,30.0,29.5,29.625,1967200,5.91122,-0.0125
1987-07-14,29.625,29.625,29.375,29.5,551200,5.886278,-0.0042194092827
1987-07-15,29.5,31.0,29.5,30.625,938800,6.110755,0.0381355932203
1987-07-16,30.625,31.0,30.625,30.75,1157200,6.135697,0.00408163265306
1987-07-17,30.75,30.75,30.25,30.5,160800,6.085813,-0.00813008130081
1987-07-20,30.25,30.25,30.0,30.25,1234800,6.035929,0.0
1987-07-21,30.25,30.25,29.875,30.0,938800,5.986045,-0.00826446280992
1987-07-22,30.0,31.0,30.0,30.875,850000,6.160638,0.0291666666667
1987-07-23,30.875,30.875,30.0,30.75,603200,6.135697,-0.00404858299595
1987-07-24,30.75,31.125,30.25,31.0,851200,6.18558,0.00813008130081
1987-07-27,31.0,31.375,30.75,31.25,694000,6.235464,0.00806451612903
1987-07-28,31.25,32.0,31.25,31.875,524400,6.360173,0.02
1987-07-29,31.875,32.375,31.75,31.875,1302000,6.360173,0.0
1987-07-30,31.875,33.0,31.875,33.0,314000,6.58465,0.0352941176471
1987-07-31,33.0,33.0,32.0,32.625,384400,6.509824,-0.0113636363636
1987-08-03,32.75,33.5,32.75,33.5,270000,6.684417,0.0229007633588
1987-08-04,33.5,33.75,33.0,33.125,1699600,6.609592,-0.0111940298507
1987-08-05,33.125,33.25,32.5,33.25,549200,6.634534,0.00377358490566
1987-08-06,33.25,33.375,33.0,33.25,527200,6.634534,0.0
1987-08-07,33.25,33.5,33.0,33.125,1298000,6.609592,-0.00375939849624
1987-08-10,33.125,33.375,32.875,33.25,378400,6.634534,0.00377358490566
1987-08-11,33.25,33.875,33.0,33.5,608800,6.684417,0.00751879699248
1987-08-12,33.5,33.625,32.625,32.875,395200,6.559708,-0.0186567164179
1987-08-13,32.875,32.875,31.25,31.25,546400,6.235464,-0.0494296577947
1987-08-14,31.25,31.5,29.75,30.375,1411200,6.060871,-0.028
1987-08-17,30.125,30.125,29.375,29.625,515600,5.91122,-0.0165975103734
1987-08-18,29.5,29.5,28.5,28.75,1132800,5.736627,-0.0254237288136
1987-08-19,28.75,29.5,28.75,29.375,837600,5.861336,0.0217391304348
1987-08-20,29.625,31.5,29.625,31.25,598400,6.235464,0.0548523206751
1987-08-21,31.5,32.0,31.5,31.75,215600,6.335231,0.00793650793651
1987-08-24,31.75,32.125,31.25,32.125,365200,6.410057,0.011811023622
1987-08-25,32.125,33.0,31.75,32.875,566000,6.559708,0.0233463035019
1987-08-26,32.875,34.875,32.25,34.875,671200,6.958778,0.0608365019011
1987-08-27,34.875,34.875,33.5,33.625,429600,6.709359,-0.0358422939068
1987-08-28,33.375,33.375,32.5,32.5,330000,6.484883,-0.0262172284644
1987-08-31,32.5,33.125,31.875,32.375,313600,6.459941,-0.00384615384615
1987-09-01,32.75,33.5,32.75,32.875,337200,6.559708,0.00381679389313
1987-09-02,32.625,32.625,32.0,32.0,247600,6.385115,-0.0191570881226
1987-09-03,32.0,32.125,31.5,31.625,210400,6.31029,-0.01171875
1987-09-04,31.625,31.625,31.125,31.625,234000,6.31029,0.0
1987-09-08,31.375,31.375,30.0,30.25,458000,6.035929,-0.0358565737052
1987-09-09,30.25,30.25,29.0,29.5,619200,5.886278,-0.0247933884298
1987-09-10,29.5,30.125,29.5,30.0,714000,5.986045,0.0169491525424
1987-09-11,30.0,30.75,29.75,30.625,213600,6.110755,0.0208333333333
1987-09-14,30.875,31.875,30.875,31.875,265200,6.360173,0.0323886639676
1987-09-15,31.875,31.875,30.25,30.625,520000,6.110755,-0.0392156862745
1987-09-16,30.625,30.875,30.25,30.25,543600,6.035929,-0.0122448979592
1987-09-17,30.25,30.25,28.25,29.25,903600,5.836394,-0.0330578512397
1987-09-18,29.25,29.75,28.875,29.0,407200,5.786511,-0.00854700854701
