Date,Open,High,Low,Close,Volume,Adj Close,Returns
1983-04-06,39.75,39.875038,38.624962,38.75,1148000,2.319688,
1983-04-07,38.624962,38.875038,38.25,38.375038,774400,2.297242,-0.00647053063767
1983-04-08,38.375038,39.124962,38.25,39.0,1748000,2.334654,0.0162856385966
1983-04-11,41.0,41.0,39.124962,41.0,1413600,2.45438,0.0
1983-04-12,41.25,41.375038,40.875038,40.875038,164800,2.446899,-0.00908998787879
1983-04-13,40.875038,41.0,40.0,40.75,2317600,2.439414,-0.00305903079527
1983-04-14,41.124962,41.124962,40.0,40.25,314400,2.409483,-0.0212756913915
1983-04-15,40.124962,40.75,39.624962,40.75,532000,2.439414,0.0155772857804
1983-04-18,42.0,43.5,41.0,43.124962,641600,2.581586,0.0267848095238
1983-04-19,43.124962,43.875038,42.875038,43.0,932000,2.574106,-0.00289767211853
1983-04-20,42.875038,43.624962,42.875038,43.375038,979200,2.596557,0.0116617972444
1983-04-21,43.875038,44.124962,43.25,43.25,1032800,2.589071,-0.0142458680036
1983-04-22,43.0,43.624962,42.5,42.75,1437600,2.55914,-0.00581395348837
1983-04-25,42.124962,42.875038,41.25,41.375038,197600,2.476831,-0.0178023662075
1983-04-26,41.375038,41.875038,40.875038,41.875038,249600,2.506762,0.0120845810462
1983-04-27,41.875038,42.25,41.5,41.624962,680800,2.491792,-0.00597195875977
1983-04-28,42.5,43.375038,41.5,42.75,349600,2.55914,0.00588235294118
1983-04-29,42.624962,43.25,42.0,42.875038,546400,2.566625,0.00586689086081
1983-05-02,42.25,42.875038,41.5,41.5,361600,2.484311,-0.0177514792899
1983-05-03,41.5,41.5,41.124962,41.25,235200,2.469346,-0.00602409638554
1983-05-04,41.25,41.5,41.0,41.124962,364800,2.46186,-0.00303122424242
1983-05-05,41.25,41.5,40.875038,40.875038,1818400,2.446899,-0.00908998787879
1983-05-06,41.0,42.0,41.0,41.124962,2374400,2.46186,0.00304785365854
1983-05-09,41.0,41.124962,40.624962,41.124962,656000,2.46186,0.00304785365854
1983-05-10,41.124962,42.624962,41.124962,42.624962,1560800,2.551655,0.0364741978363
1983-05-11,42.624962,42.624962,41.5,41.75,347200,2.499277,-0.0205269860417
1983-05-12,41.75,41.75,41.375038,41.375038,503200,2.476831,-0.0089811257485
1983-05-13,41.375038,41.75,41.375038,41.624962,302400,2.491792,0.00604045366677
1983-05-16,41.624962,41.875038,41.25,41.5,308800,2.484311,-0.00300209283074
1983-05-17,41.624962,41.875038,41.375038,41.624962,1470400,2.491792,0.0
1983-05-18,41.875038,43.624962,41.75,43.25,1429600,2.589071,0.0328348836364
1983-05-19,43.0,43.5,43.0,43.124962,232800,2.581586,0.00290609302326
1983-05-20,42.75,42.875038,42.5,42.75,204800,2.55914,0.0
1983-05-23,42.624962,42.624962,42.25,42.5,642400,2.544174,-0.00293166243761
1983-05-24,42.624962,43.75,42.624962,43.75,1520800,2.619003,0.0263938769025
1983-05-25,44.0,45.5,44.0,45.5,707200,2.723763,0.0340909090909
1983-05-26,45.5,46.875038,45.5,46.0,1496000,2.753694,0.010989010989
1983-05-27,46.0,46.375038,45.875038,46.0,1136800,2.753694,0.0
1983-05-31,46.0,46.375038,45.5,45.5,2111200,2.723763,-0.0108695652174
1983-06-01,45.5,45.75,44.5,44.5,2802400,2.6639,-0.021978021978
