Date,Open,High,Low,Close,Volume,Adj Close,Returns
1991-11-08,9.24992,9.24992,9.24992,9.24992,44014400,0.550535,
1991-11-11,9.24992,9.24992,9.24992,9.24992,5929600,0.550535,0.0
1991-11-12,9.24992,9.24992,9.24992,9.24992,6548800,0.550535,0.0
1991-11-13,9.24992,9.24992,9.0,9.0,9529600,0.53566,-0.0270186120529
1991-11-14,8.37504,8.75008,8.37504,8.75008,10417600,0.520786,0.0447806816445
1991-11-15,8.75008,8.75008,8.24992,8.24992,10873600,0.491017,-0.0571606202458
1991-11-18,8.12496,8.24992,7.62496,7.75008,4436800,0.461268,-0.0461393040704
1991-11-19,7.75008,8.0,7.5,7.75008,4979200,0.461268,0.0
1991-11-20,7.87504,7.87504,7.75008,7.87504,486400,0.468705,0.0
1991-11-21,7.75008,7.75008,7.5,7.5,841600,0.446384,-0.0322680540072
1991-11-22,7.5,7.5,7.0,7.12496,1305600,0.424062,-0.0500053333333
1991-11-25,7.24992,7.75008,7.0,7.37504,2828800,0.438946,0.0172581214689
1991-11-26,7.5,7.62496,7.37504,7.37504,1646400,0.438946,-0.0166613333333
1991-11-27,7.5,7.62496,7.5,7.62496,1689600,0.453821,0.0166613333333
1991-11-29,7.5,7.75008,7.5,7.75008,492800,0.461268,0.033344
1991-12-02,7.62496,8.24992,7.62496,7.87504,1017600,0.468705,0.0327975491019
1991-12-03,8.0,8.12496,7.87504,8.12496,1113600,0.48358,0.01562
1991-12-04,8.24992,9.0,8.24992,8.37504,4912000,0.498464,0.0151662076723
1991-12-05,8.24992,8.75008,8.12496,8.62496,2524800,0.513339,0.045459834762
1991-12-06,8.62496,8.62496,8.5,8.62496,724800,0.513339,0.0
1991-12-09,8.62496,8.62496,8.5,8.5,1179200,0.505901,-0.0144881831336
1991-12-10,8.37504,8.37504,8.12496,8.12496,1187200,0.48358,-0.0298601558918
1991-12-11,8.12496,8.24992,7.87504,7.87504,990400,0.468705,-0.0307595360469
1991-12-12,8.0,8.24992,7.75008,8.12496,988800,0.48358,0.01562
1991-12-13,8.24992,8.5,8.24992,8.37504,753600,0.498464,0.0151662076723
1991-12-16,8.5,8.5,8.24992,8.37504,1377600,0.498464,-0.0147011764706
1991-12-17,8.24992,8.24992,8.12496,8.12496,548800,0.48358,-0.0151468135449
1991-12-18,8.12496,8.12496,7.75008,7.87504,993600,0.468705,-0.0307595360469
1991-12-19,7.75008,7.75008,7.5,7.75008,790400,0.461268,0.0
1991-12-20,7.87504,7.87504,7.24992,7.75008,1028800,0.461268,-0.0158678559093
1991-12-23,7.62496,8.12496,7.5,8.12496,958400,0.48358,0.0655741144872
1991-12-24,8.0,8.62496,8.0,8.62496,1214400,0.513339,0.07812
1991-12-26,8.62496,9.0,8.62496,9.0,1072000,0.53566,0.0434831002115
1991-12-27,8.87504,9.0,8.5,9.0,1681600,0.53566,0.0140799365411
1991-12-30,9.0,9.0,8.75008,8.87504,1315200,0.528223,-0.0138844444444
1991-12-31,8.87504,9.0,8.75008,9.0,3147200,0.53566,0.0140799365411
1992-01-02,8.87504,8.87504,8.62496,8.87504,728000,0.528223,0.0
1992-01-03,8.87504,9.12496,8.87504,9.0,3009600,0.53566,0.0140799365411
1992-01-06,9.12496,9.87504,9.0,9.24992,9798400,0.550535,0.0136943066052
1992-01-07,9.24992,9.62496,9.12496,9.5,5996800,0.565419,0.0270359094998
1992-01-08,9.5,10.12496,9.5,9.87504,18376000,0.587741,0.0394778947368
1992-01-09,10.0,10.0,9.62496,9.62496,4745600,0.572857,-0.037504
1992-01-10,9.75008,9.75008,9.62496,9.62496,2241600,0.572857,-0.0128327152187
1992-01-13,9.62496,9.87504,9.62496,9.75008,1465600,0.580303,0.0129995345435
1992-01-14,9.62496,9.87504,9.62496,9.75008,2419200,0.580303,0.0129995345435
1992-01-15,9.75008,9.87504,9.62496,9.75008,1452800,0.580303,0.0
1992-01-16,9.75008,10.12496,9.62496,10.12496,15385600,0.602615,0.038448915291
1992-01-17,10.12496,10.62496,10.0,10.12496,4595200,0.602615,0.0
1992-01-20,10.12496,10.12496,9.75008,9.75008,2064000,0.580303,-0.0370253314581
1992-01-21,9.75008,9.87504,9.5,9.62496,2052800,0.572857,-0.0128327152187
1992-01-22,9.62496,9.62496,9.37504,9.37504,1148800,0.557982,-0.0259658221956
1992-01-23,9.5,9.5,9.24992,9.37504,1174400,0.557982,-0.0131536842105
1992-01-24,9.24992,9.37504,9.24992,9.37504,1064000,0.557982,0.0135266034733
1992-01-27,9.24992,9.37504,9.12496,9.37504,1724800,0.557982,0.0135266034733
1992-01-28,9.24992,9.37504,9.24992,9.24992,561600,0.550535,0.0
1992-01-29,9.24992,9.62496,9.12496,9.12496,2720000,0.543098,-0.0135093060264
1992-01-30,9.0,9.87504,8.5,9.37504,3827200,0.557982,0.0416711111111
1992-01-31,9.12496,9.24992,9.12496,9.12496,585600,0.543098,0.0
1992-02-03,9.0,9.37504,9.0,9.37504,284800,0.557982,0.0416711111111
1992-02-04,8.62496,8.75008,8.0,8.62496,9392000,0.513339,0.0
1992-02-05,8.62496,8.87504,8.37504,8.37504,2843200,0.498464,-0.0289763662672
1992-02-06,8.37504,8.62496,8.37504,8.37504,996800,0.498464,0.0
1992-02-07,8.5,8.75008,8.5,8.62496,1348800,0.513339,0.0147011764706
1992-02-10,8.5,8.62496,8.5,8.5,1184000,0.505901,0.0
1992-02-11,8.5,8.62496,8.37504,8.37504,2147200,0.498464,-0.0147011764706
1992-02-12,8.5,8.5,8.37504,8.5,1521600,0.505901,0.0
1992-02-13,8.75008,8.75008,8.5,8.5,534400,0.505901,-0.0285803101229
1992-02-14,8.5,8.62496,8.24992,8.24992,764800,0.491017,-0.0294211764706
1992-02-18,8.37504,8.37504,8.24992,8.24992,553600,0.491017,-0.0149396301391
1992-02-19,8.24992,8.24992,8.0,8.0,1182400,0.476142,-0.0302936270897
1992-02-20,8.0,8.12496,7.75008,8.0,580800,0.476142,0.0
1992-02-21,8.12496,8.24992,8.0,8.12496,1761600,0.48358,0.0
1992-02-24,8.12496,8.12496,7.87504,7.87504,601600,0.468705,-0.0307595360469
1992-02-25,8.0,8.0,7.87504,7.87504,609600,0.468705,-0.01562
1992-02-26,8.0,8.37504,7.87504,8.24992,1526400,0.491017,0.03124
1992-02-27,8.37504,8.37504,8.12496,8.12496,512000,0.48358,-0.0298601558918
1992-02-28,8.24992,8.24992,8.0,8.24992,420800,0.491017,0.0
1992-03-02,8.12496,8.12496,8.0,8.12496,387200,0.48358,0.0
1992-03-03,8.12496,8.24992,7.87504,8.12496,2374400,0.48358,0.0
1992-03-04,8.24992,8.62496,8.24992,8.5,1617600,0.505901,0.0303130212172
1992-03-05,8.75008,8.75008,8.37504,8.37504,891200,0.498464,-0.0428613224108
1992-03-06,8.5,8.5,8.12496,8.24992,545600,0.491017,-0.0294211764706
1992-03-09,8.24992,8.24992,8.12496,8.12496,657600,0.48358,-0.0151468135449
1992-03-10,8.24992,8.37504,8.12496,8.12496,1262400,0.48358,-0.0151468135449
1992-03-11,8.0,8.12496,7.75008,7.87504,574400,0.468705,-0.01562
1992-03-12,7.75008,7.87504,7.75008,7.75008,526400,0.461268,0.0
1992-03-13,7.75008,8.0,7.75008,7.87504,1020800,0.468705,0.0161237045295
1992-03-16,7.87504,7.87504,7.75008,7.75008,102400,0.461268,-0.0158678559093
1992-03-17,7.87504,7.87504,7.62496,7.75008,819200,0.461268,-0.0158678559093
1992-03-18,7.75008,7.87504,7.75008,7.87504,505600,0.468705,0.0161237045295
1992-03-19,7.75008,7.87504,7.62496,7.62496,305600,0.453821,-0.0161443494777
1992-03-20,7.75008,8.0,7.75008,7.87504,457600,0.468705,0.0161237045295
1992-03-23,7.87504,8.0,7.62496,8.0,443200,0.476142,0.0158678559093
1992-03-24,8.0,8.75008,8.0,8.5,3633600,0.505901,0.0625
1992-03-25,8.5,8.5,8.24992,8.24992,563200,0.491017,-0.0294211764706
1992-03-26,8.24992,8.24992,7.87504,8.0,2016000,0.476142,-0.0302936270897
1992-03-27,8.12496,8.24992,8.12496,8.24992,499200,0.491017,0.0153797680235
1992-03-30,8.24992,8.24992,7.87504,8.0,638400,0.476142,-0.0302936270897
1992-03-31,7.87504,8.12496,7.87504,8.12496,1443200,0.48358,0.0317357118186
1992-04-01,8.0,8.24992,8.0,8.24992,259200,0.491017,0.03124
1992-04-02,8.12496,8.24992,8.12496,8.12496,278400,0.48358,0.0
1992-04-03,8.12496,8.12496,8.12496,8.12496,110400,0.48358,0.0
1992-04-06,8.12496,8.12496,8.0,8.12496,216000,0.48358,0.0
1992-04-07,8.12496,8.12496,7.87504,7.87504,561600,0.468705,-0.0307595360469
1992-04-08,7.87504,7.87504,7.62496,7.87504,609600,0.468705,0.0
1992-04-09,7.87504,8.12496,7.87504,8.12496,331200,0.48358,0.0317357118186
1992-04-10,8.24992,8.24992,8.0,8.12496,2217600,0.48358,-0.0151468135449
1992-04-13,8.12496,8.37504,8.12496,8.24992,171200,0.491017,0.0153797680235
1992-04-14,8.24992,8.24992,8.12496,8.12496,249600,0.48358,-0.0151468135449
1992-04-15,8.0,8.12496,7.37504,7.5,654400,0.446384,-0.0625
1992-04-16,7.62496,7.62496,7.5,7.5,404800,0.446384,-0.0163882826926
1992-04-20,7.62496,7.62496,7.24992,7.24992,912000,0.431499,-0.0491858317945
1992-04-21,7.37504,7.37504,7.24992,7.37504,409600,0.438946,0.0
1992-04-22,7.24992,7.37504,7.12496,7.24992,697600,0.431499,0.0
1992-04-23,7.24992,7.62496,7.12496,7.5,664000,0.446384,0.0344941737288
1992-04-24,7.37504,7.37504,7.0,7.37504,529600,0.438946,0.0
1992-04-27,7.37504,7.75008,7.37504,7.75008,446400,0.461268,0.0508526055452
1992-04-28,7.75008,7.75008,7.5,7.62496,188800,0.453821,-0.0161443494777
1992-04-29,7.62496,7.62496,7.5,7.62496,64000,0.453821,0.0
1992-04-30,7.5,7.87504,7.5,7.87504,516800,0.468705,0.0500053333333
1992-05-01,7.87504,7.87504,7.75008,7.75008,30400,0.461268,-0.0158678559093
1992-05-04,7.87504,8.0,7.87504,8.0,128000,0.476142,0.0158678559093
1992-05-05,7.87504,7.87504,7.5,7.62496,1209600,0.453821,-0.0317560291757
1992-05-06,7.75008,7.75008,7.5,7.62496,203200,0.453821,-0.0161443494777
1992-05-07,7.75008,7.87504,7.75008,7.87504,484800,0.468705,0.0161237045295
1992-05-08,7.87504,7.87504,7.75008,7.75008,49600,0.461268,-0.0158678559093
1992-05-11,7.75008,7.87504,7.75008,7.87504,513600,0.468705,0.0161237045295
1992-05-12,7.75008,7.87504,7.62496,7.62496,308800,0.453821,-0.0161443494777
1992-05-13,7.62496,7.62496,7.5,7.5,388800,0.446384,-0.0163882826926
1992-05-14,7.5,7.5,7.37504,7.5,307200,0.446384,0.0
1992-05-15,7.37504,7.37504,7.12496,7.24992,545600,0.431499,-0.0169653317135
1992-05-18,7.5,7.62496,7.5,7.5,172800,0.446384,0.0
1992-05-19,7.5,7.5,7.37504,7.5,188800,0.446384,0.0
1992-05-20,7.37504,7.5,7.37504,7.37504,107200,0.438946,0.0
1992-05-21,7.5,7.5,7.37504,7.5,102400,0.446384,0.0
1992-05-22,7.37504,7.62496,7.37504,7.5,268800,0.446384,0.0169436369159
1992-05-26,7.37504,7.87504,7.37504,7.75008,478400,0.461268,0.0508526055452
1992-05-27,7.62496,7.87504,7.62496,7.62496,264000,0.453821,0.0
1992-05-28,7.62496,7.62496,7.5,7.5,107200,0.446384,-0.0163882826926
1992-05-29,7.5,7.75008,7.5,7.62496,396800,0.453821,0.0166613333333
1992-06-01,7.62496,7.87504,7.62496,7.87504,219200,0.468705,0.0327975491019
1992-06-02,7.75008,8.24992,7.75008,8.12496,937600,0.48358,0.0483711135885
1992-06-03,8.24992,8.24992,7.87504,8.0,1203200,0.476142,-0.0302936270897
1992-06-04,8.0,8.0,7.87504,8.0,145600,0.476142,0.0
1992-06-05,7.87504,8.0,7.62496,7.62496,264000,0.453821,-0.0317560291757
1992-06-08,7.62496,7.75008,7.62496,7.62496,305600,0.453821,0.0
1992-06-09,7.75008,7.75008,7.5,7.62496,284800,0.453821,-0.0161443494777
1992-06-10,7.62496,7.62496,7.5,7.62496,126400,0.453821,0.0
1992-06-11,7.5,7.75008,7.5,7.75008,198400,0.461268,0.033344
1992-06-12,7.75008,7.75008,7.62496,7.75008,238400,0.461268,0.0
1992-06-15,7.75008,7.75008,7.5,7.62496,836800,0.453821,-0.0161443494777
1992-06-16,7.62496,7.75008,7.5,7.62496,267200,0.453821,0.0
1992-06-17,7.75008,7.75008,7.5,7.5,184000,0.446384,-0.0322680540072
1992-06-18,7.62496,7.62496,7.37504,7.37504,206400,0.438946,-0.0327765653853
1992-06-19,7.37504,7.5,7.37504,7.37504,169600,0.438946,0.0
1992-06-22,7.5,7.5,7.24992,7.24992,40000,0.431499,-0.033344
1992-06-23,7.0,7.0,6.87504,6.87504,248000,0.409187,-0.0178514285714
1992-06-24,7.0,7.0,6.87504,6.87504,137600,0.409187,-0.0178514285714
1992-06-25,6.87504,6.87504,6.87504,6.87504,36800,0.409187,0.0
1992-06-26,6.75008,6.75008,6.5,6.5,488000,0.386866,-0.0370484497962
1992-06-29,6.62496,7.0,6.62496,7.0,876800,0.416625,0.0566101531179
1992-06-30,7.0,7.24992,6.87504,7.24992,1601600,0.431499,0.0357028571429
1992-07-01,7.37504,7.37504,6.87504,7.0,508800,0.416625,-0.0508526055452
