Date,Open,High,Low,Close,Volume,Adj Close,Returns
1994-03-11,20.625,20.875,20.625,20.875,2359000,9.311949,
1994-03-14,20.75,20.75,20.625,20.625,536500,9.200428,-0.00602409638554
1994-03-15,20.625,20.75,20.625,20.625,215700,9.200428,0.0
1994-03-16,20.625,21.375,20.625,21.375,338600,9.534989,0.0363636363636
1994-03-17,21.375,21.375,20.875,21.125,195900,9.423469,-0.0116959064327
1994-03-18,21.125,21.125,20.75,21.0,285700,9.367709,-0.00591715976331
1994-03-21,21.0,21.0,20.875,20.875,38900,9.311949,-0.00595238095238
1994-03-22,20.875,20.875,20.75,20.75,78400,9.256188,-0.0059880239521
1994-03-23,20.75,21.5,20.75,21.25,209200,9.479229,0.0240963855422
1994-03-24,21.125,21.125,21.0,21.0,155000,9.367709,-0.00591715976331
1994-03-25,21.0,21.125,21.0,21.0,91500,9.367709,0.0
1994-03-28,21.0,21.125,20.875,21.125,111200,9.423469,0.00595238095238
1994-03-29,21.125,21.125,20.625,20.625,101200,9.200428,-0.0236686390533
1994-03-30,20.625,20.75,20.375,20.5,105000,9.144668,-0.00606060606061
1994-03-31,20.5,20.625,20.5,20.625,108300,9.200428,0.00609756097561
1994-04-04,20.375,20.375,20.0,20.125,42300,8.977388,-0.0122699386503
1994-04-05,20.25,20.875,20.25,20.75,55600,9.256188,0.0246913580247
1994-04-06,20.75,20.875,20.75,20.875,31800,9.311949,0.00602409638554
1994-04-07,20.875,21.0,20.75,20.75,52000,9.256188,-0.0059880239521
1994-04-08,20.75,20.75,20.5,20.5,24000,9.144668,-0.0120481927711
1994-04-11,20.5,20.625,20.375,20.375,44400,9.088908,-0.00609756097561
1994-04-12,20.375,20.5,20.25,20.5,15100,9.144668,0.00613496932515
1994-04-13,20.5,20.5,20.375,20.375,30500,9.088908,-0.00609756097561
1994-04-14,20.375,20.5,20.375,20.375,38800,9.088908,0.0
1994-04-15,20.375,20.5,20.125,20.125,12200,8.977388,-0.0122699386503
1994-04-18,20.125,20.375,20.125,20.125,39800,8.977388,0.0
1994-04-19,20.25,20.375,20.25,20.25,24500,9.033148,0.0
1994-04-20,20.25,20.25,20.125,20.25,72000,9.033148,0.0
1994-04-21,20.25,20.375,20.25,20.25,15000,9.033148,0.0
1994-04-22,20.25,20.5,20.125,20.5,20700,9.144668,0.0123456790123
1994-04-25,20.5,20.5,20.25,20.25,27300,9.033148,-0.0121951219512
1994-04-26,20.375,20.5,20.375,20.5,64000,9.144668,0.00613496932515
1994-04-28,20.5,20.75,20.5,20.625,27100,9.200428,0.00609756097561
1994-04-29,20.625,20.625,20.5,20.5,5500,9.144668,-0.00606060606061
1994-05-02,20.5,20.625,20.5,20.625,11700,9.200428,0.00609756097561
1994-05-03,20.625,20.625,20.375,20.5,29000,9.144668,-0.00606060606061
1994-05-04,20.5,20.5,20.25,20.25,39600,9.033148,-0.0121951219512
1994-05-05,20.25,20.375,20.125,20.375,7600,9.088908,0.00617283950617
1994-05-06,20.375,20.375,20.0,20.125,13600,8.977388,-0.0122699386503
1994-05-09,20.125,20.25,20.125,20.25,3700,9.033148,0.00621118012422
1994-05-10,20.25,20.25,20.125,20.25,75100,9.033148,0.0
1994-05-11,20.25,20.375,20.125,20.25,81400,9.033148,0.0
1994-05-12,20.25,20.375,20.25,20.25,7100,9.033148,0.0
1994-05-13,20.25,20.375,20.25,20.25,14500,9.033148,0.0
1994-05-16,20.25,20.375,20.125,20.25,12600,9.033148,0.0
1994-05-17,20.25,20.375,20.125,20.125,13400,8.977388,-0.00617283950617
1994-05-18,20.125,20.375,20.125,20.375,6700,9.088908,0.0124223602484
1994-05-19,20.375,20.5,20.375,20.5,36500,9.144668,0.00613496932515
1994-05-20,20.5,20.75,20.5,20.5,26800,9.144668,0.0
1994-05-23,20.625,21.0,20.625,21.0,36200,9.367709,0.0181818181818
1994-05-24,21.0,21.375,20.875,21.375,116200,9.534989,0.0178571428571
1994-05-25,21.625,21.875,21.625,21.75,283300,9.70227,0.00578034682081
1994-05-26,21.625,21.625,21.5,21.5,50200,9.590749,-0.00578034682081
1994-05-27,21.5,21.625,21.375,21.375,10000,9.534989,-0.00581395348837
1994-05-31,21.375,21.5,21.375,21.5,41400,9.590749,0.00584795321637
1994-06-01,21.5,21.875,21.5,21.75,166300,9.70227,0.0116279069767
1994-06-02,21.75,21.875,21.75,21.75,243600,9.70227,0.0
1994-06-03,21.75,21.875,21.75,21.75,42400,9.70227,0.0
1994-06-06,21.875,22.75,21.875,22.625,87200,10.092591,0.0342857142857
1994-06-07,22.625,22.625,21.875,21.875,19700,9.75803,-0.0331491712707
1994-06-08,21.875,22.125,21.75,21.875,16100,9.75803,0.0
1994-06-09,21.875,22.0,21.875,22.0,25000,9.81379,0.00571428571429
1994-06-10,22.0,22.125,22.0,22.0,23900,9.81379,0.0
1994-06-13,22.0,22.0,21.875,22.0,72800,9.81379,0.0
1994-06-14,22.0,22.25,22.0,22.125,38700,9.86955,0.00568181818182
1994-06-15,22.125,22.25,21.75,22.0,74700,9.81379,-0.00564971751412
1994-06-16,22.0,22.0,21.75,21.875,15200,9.75803,-0.00568181818182
1994-06-17,21.875,21.875,21.375,21.375,12700,9.534989,-0.0228571428571
1994-06-20,21.375,21.375,20.75,21.0,31300,9.367709,-0.0175438596491
1994-06-21,21.0,21.0,20.75,21.0,9800,9.367709,0.0
1994-06-22,21.0,21.25,21.0,21.25,13200,9.479229,0.0119047619048
1994-06-23,21.25,21.25,20.75,20.75,35400,9.256188,-0.0235294117647
1994-06-24,20.75,21.375,20.75,21.375,19400,9.534989,0.0301204819277
1994-06-27,21.25,21.25,20.75,20.75,58300,9.256188,-0.0235294117647
1994-06-28,20.75,21.0,20.5,20.625,14500,9.200428,-0.00602409638554
1994-06-29,20.625,20.75,20.375,20.5,37700,9.144668,-0.00606060606061
1994-06-30,20.5,20.5,20.25,20.5,103200,9.144668,0.0
1994-07-01,20.5,21.5,20.5,21.25,36800,9.479229,0.0365853658537
1994-07-05,21.375,22.0,21.375,21.625,66800,9.64651,0.0116959064327
1994-07-06,21.625,21.875,21.5,21.75,26500,9.70227,0.00578034682081
1994-07-07,21.625,21.625,21.375,21.5,53900,9.590749,-0.00578034682081
1994-07-08,21.5,21.625,21.5,21.625,13200,9.64651,0.00581395348837
1994-07-11,21.625,22.125,21.625,21.75,84800,9.70227,0.00578034682081
