Date,Open,High,Low,Close,Volume,Adj Close,Returns
1992-06-05,18.0,18.5,16.75008,17.0,77576000,1.0625,
1992-06-08,17.5,17.5,16.5,16.5,13020800,1.03125,-0.0571428571429
1992-06-09,17.0,17.24992,16.5,16.75008,8281600,1.04688,-0.0147011764706
1992-06-10,16.5,16.75008,16.0,16.0,4707200,1.0,-0.030303030303
1992-06-11,16.0,16.24992,15.75008,15.87504,4974400,0.99219,-0.00781
1992-06-12,15.75008,16.24992,15.75008,16.24992,2393600,1.01562,0.0317357118186
1992-06-15,15.75008,16.24992,15.75008,16.0,1944000,1.0,0.0158678559093
1992-06-16,16.24992,16.24992,15.75008,15.75008,1276800,0.98438,-0.0307595360469
1992-06-17,15.75008,16.24992,14.0,14.24992,17123200,0.89062,-0.0952477701701
1992-06-18,14.24992,14.5,14.0,14.0,5713600,0.875,-0.0175383440749
1992-06-19,14.0,15.24992,14.0,14.75008,1252800,0.92188,0.0535771428571
1992-06-22,15.0,15.5,15.0,15.24992,2241600,0.95312,0.0166613333333
1992-06-23,15.5,16.0,15.0,16.0,3516800,1.0,0.0322580645161
1992-06-24,15.75008,15.87504,14.5,15.24992,4502400,0.95312,-0.0317560291757
1992-06-25,15.5,15.75008,15.0,15.75008,1024000,0.98438,0.0161341935484
1992-06-26,16.0,16.0,15.5,15.75008,568000,0.98438,-0.01562
1992-06-29,16.0,16.75008,16.0,16.5,1724800,1.03125,0.03125
1992-06-30,17.0,17.5,16.5,17.0,3028800,1.0625,0.0
1992-07-01,17.0,17.0,16.5,16.5,1216000,1.03125,-0.0294117647059
1992-07-02,16.5,16.87504,16.0,16.12496,1054400,1.00781,-0.0227296969697
1992-07-06,16.0,16.0,15.24992,15.24992,1363200,0.95312,-0.04688
1992-07-07,15.24992,16.0,15.24992,16.0,998400,1.0,0.0491858317945
1992-07-08,15.5,16.0,15.12496,15.24992,2686400,0.95312,-0.0161341935484
1992-07-09,15.75008,16.75008,15.5,16.75008,2024000,1.04688,0.0634917409943
1992-07-10,16.75008,16.75008,16.24992,16.75008,680000,1.04688,0.0
1992-07-13,16.75008,16.75008,16.24992,16.75008,334400,1.04688,0.0
1992-07-14,16.24992,17.5,16.24992,17.5,3032000,1.09375,0.0769283787243
1992-07-15,17.5,17.5,17.0,17.0,875200,1.0625,-0.0285714285714
1992-07-16,17.0,17.24992,16.5,16.5,369600,1.03125,-0.0294117647059
1992-07-17,16.5,17.0,16.0,16.75008,592000,1.04688,0.0151563636364
1992-07-20,16.24992,16.75008,16.24992,16.5,387200,1.03125,0.0153896142258
1992-07-21,16.75008,16.75008,16.24992,16.24992,268800,1.01562,-0.0298601558918
1992-07-22,16.75008,16.75008,16.24992,16.75008,840000,1.04688,0.0
1992-07-23,16.75008,17.75008,16.24992,17.0,2128000,1.0625,0.0149205257527
1992-07-24,17.5,17.75008,17.0,17.75008,1436800,1.10938,0.0142902857143
1992-07-27,17.75008,17.75008,17.0,17.37504,507200,1.08594,-0.0211289188556
1992-07-28,17.0,17.75008,17.0,17.5,2584000,1.09375,0.0294117647059
1992-07-29,17.75008,17.75008,17.12496,17.5,1678400,1.09375,-0.014088950585
1992-07-30,17.75008,18.75008,17.24992,18.5,7366400,1.15625,0.0422488236673
1992-07-31,18.5,20.5,18.5,19.5,10646400,1.21875,0.0540540540541
1992-08-03,20.0,20.0,18.75008,19.24992,3025600,1.20312,-0.037504
1992-08-04,19.24992,19.5,18.75008,19.24992,1408000,1.20312,0.0
1992-08-05,19.24992,19.75008,19.24992,19.24992,625600,1.20312,0.0
1992-08-06,19.0,19.5,19.0,19.0,417600,1.1875,0.0
1992-08-07,19.5,19.75008,19.0,19.24992,632000,1.20312,-0.0128246153846
1992-08-10,19.24992,19.75008,19.24992,19.37504,192000,1.21094,0.00649976727176
1992-08-11,19.75008,19.75008,19.24992,19.75008,3062400,1.23438,0.0
1992-08-12,20.24992,20.24992,19.75008,20.12496,5353600,1.25781,-0.00617088857635
