Date,Open,High,Low,Close,Volume,Adj Close,Returns
1983-04-06,41.0,41.25,40.25,41.25,284000,3.268615,
1983-04-07,41.0,41.25,40.875038,41.0,296000,3.248805,0.0
1983-04-08,41.375038,41.875038,41.0,41.75,129600,3.308234,0.00906251735648
1983-04-11,41.25,41.75,41.0,41.5,138400,3.288425,0.00606060606061
1983-04-12,41.75,41.75,41.25,41.25,41600,3.268615,-0.0119760479042
1983-04-13,41.5,41.75,41.25,41.624962,108800,3.298326,0.00301113253012
1983-04-14,41.75,41.875038,41.124962,41.5,168800,3.288425,-0.0059880239521
1983-04-15,41.5,41.5,40.0,40.75,373600,3.228995,-0.0180722891566
1983-04-18,41.375038,41.75,41.0,41.75,2135200,3.308234,0.00906251735648
1983-04-19,41.5,41.875038,41.375038,41.875038,252800,3.318142,0.00903706024096
1983-04-20,41.75,42.0,41.375038,41.875038,565600,3.318142,0.00299492215569
1983-04-21,41.75,41.875038,41.5,41.75,207200,3.308234,0.0
1983-04-22,41.0,41.0,40.124962,40.25,97600,3.189376,-0.0182926829268
1983-04-25,39.5,40.5,38.5,38.75,720000,3.077784,-0.0189873417722
1983-04-26,38.75,39.5,38.0,39.5,591200,3.137354,0.0193548387097
1983-04-27,39.124962,39.75,38.5,38.75,426400,3.077784,-0.00958370259887
1983-04-28,38.624962,39.25,38.0,38.124962,234400,3.02814,-0.0129449965543
1983-04-29,39.124962,39.5,38.75,39.5,881600,3.137354,0.00958564509277
1983-05-02,39.0,39.25,38.0,39.0,605600,3.097641,0.0
1983-05-03,39.0,39.0,38.25,38.875038,54400,3.087716,-0.00320415384615
1983-05-04,39.25,39.875038,38.624962,39.875038,211200,3.167142,0.0159245350318
1983-05-05,39.375038,39.875038,38.875038,39.875038,101600,3.167142,0.0126984004434
1983-05-06,39.0,39.75,38.875038,39.5,156000,3.137354,0.0128205128205
1983-05-09,39.624962,39.75,39.0,39.5,128800,3.137354,-0.00315361816625
1983-05-10,38.75,39.624962,38.75,39.624962,932800,3.14728,0.0225796645161
1983-05-11,39.5,39.624962,38.75,38.75,287200,3.077784,-0.0189873417722
1983-05-12,38.624962,39.0,38.5,38.75,170400,3.077784,0.00323723295831
1983-05-13,38.75,39.5,38.75,39.25,389600,3.117498,0.0129032258065
1983-05-16,39.124962,39.25,38.624962,38.624962,232000,3.067853,-0.0127795651278
1983-05-17,38.875038,39.0,38.75,39.0,389600,3.097641,0.00321445344954
1983-05-18,39.375038,39.875038,39.0,39.0,528000,3.097641,-0.00952476541102
1983-05-19,39.25,40.0,39.25,40.0,112000,3.177068,0.0191082802548
1983-05-20,40.375038,40.5,40.25,40.25,124800,3.196924,-0.00309691349393
1983-05-23,40.124962,40.124962,39.5,39.75,161600,3.157211,-0.00934485620198
1983-05-24,39.624962,40.25,39.5,39.75,350400,3.157211,0.00315553614916
1983-05-25,39.875038,40.5,39.624962,40.5,172000,3.216781,0.0156730132771
1983-05-26,40.5,41.5,40.5,40.75,215200,3.236638,0.00617283950617
1983-05-27,40.75,41.25,40.5,41.0,107200,3.256494,0.00613496932515
1983-05-31,40.5,40.75,39.875038,40.124962,82400,3.186993,-0.00926019753086
1983-06-01,39.875038,39.875038,39.25,39.624962,735200,3.14728,-0.00627149245601
1983-06-02,39.5,39.624962,39.25,39.375038,222400,3.127429,-0.00316359493671
1983-06-03,39.624962,39.75,39.0,39.25,280800,3.117498,-0.00946277248165
1983-06-06,39.25,39.25,38.25,39.124962,589600,3.107566,-0.00318568152866
1983-06-07,39.124962,39.5,38.875038,39.375038,152800,3.127429,0.00639172505778
1983-06-08,39.375038,39.375038,38.75,38.75,300800,3.077784,-0.0158739656327
1983-06-09,39.0,39.875038,39.0,39.75,422400,3.157211,0.0192307692308
1983-06-10,40.0,43.25,40.0,43.0,375200,3.415348,0.075
1983-06-13,45.5,46.75,45.0,45.0,396800,3.574201,-0.010989010989
1983-06-14,45.25,46.0,45.0,45.25,348000,3.594058,0.0
1983-06-15,45.0,45.0,44.375038,44.5,263200,3.534488,-0.0111111111111
1983-06-16,45.0,46.25,45.0,45.75,209600,3.633771,0.0166666666667
1983-06-17,45.75,45.75,45.124962,45.25,110400,3.594058,-0.0109289617486
1983-06-20,45.0,45.0,44.25,44.75,137600,3.554344,-0.00555555555556
1983-06-21,44.5,44.875038,44.0,44.875038,292800,3.564276,0.00842782022472
1983-06-22,44.25,44.5,43.875038,44.5,148800,3.534488,0.00564971751412
1983-06-23,44.5,46.0,44.5,45.25,260000,3.594058,0.0168539325843
1983-06-24,45.5,45.5,45.25,45.5,72000,3.613914,0.0
1983-06-27,45.75,45.75,45.5,45.75,67200,3.633771,0.0
1983-06-28,45.5,45.5,44.124962,44.124962,93600,3.5047,-0.0302206153846
1983-06-29,44.124962,44.124962,43.25,43.875038,89600,3.484849,-0.00566400487778
1983-06-30,44.0,44.25,43.25,43.5,357600,3.455061,-0.0113636363636
1983-07-01,43.5,43.5,42.25,42.25,52000,3.355778,-0.0287356321839
1983-07-05,41.875038,42.0,41.0,41.25,223200,3.276351,-0.014926267052
1983-07-06,41.0,42.375038,40.75,41.75,218400,3.316064,0.0182926829268
1983-07-07,41.75,43.25,41.75,42.875038,1198400,3.405422,0.0269470179641
1983-07-08,42.875038,42.875038,42.5,42.5,304000,3.375634,-0.00874723422986
1983-07-11,43.0,43.0,42.375038,42.5,24000,3.375634,-0.0116279069767
1983-07-12,42.0,42.5,41.124962,41.25,55200,3.276351,-0.0178571428571
1983-07-13,40.75,41.25,40.375038,40.624962,395200,3.226706,-0.00306841717791
1983-07-14,41.124962,42.25,40.75,41.5,136000,3.296208,0.0091194734721
1983-07-15,41.5,42.0,40.75,41.0,73600,3.256494,-0.0120481927711
1983-07-18,41.0,41.75,41.0,41.75,122400,3.324172,0.0182926829268
1983-07-19,42.0,44.5,42.0,43.5,168800,3.463508,0.0357142857143
1983-07-20,43.5,45.0,43.5,44.5,104800,3.543129,0.0229885057471
1983-07-21,44.5,45.0,44.5,44.5,144800,3.543129,0.0
1983-07-22,44.25,44.5,44.0,44.0,17600,3.503319,-0.00564971751412
1983-07-25,43.75,44.25,42.624962,44.25,107200,3.523224,0.0114285714286
1983-07-26,44.5,44.75,43.75,43.75,68800,3.483414,-0.0168539325843
1983-07-27,44.0,44.0,42.124962,42.624962,198400,3.393837,-0.0312508636364
1983-07-28,42.25,42.25,39.5,39.5,264800,3.145025,-0.0650887573964
1983-07-29,39.624962,41.0,39.624962,41.0,464000,3.264456,0.0347013077262
1983-08-01,40.75,40.75,39.0,39.75,531200,3.16493,-0.0245398773006
1983-08-02,40.25,41.0,39.875038,40.0,180800,3.184835,-0.00621118012422
1983-08-03,40.5,40.75,39.75,40.25,427200,3.204741,-0.00617283950617
1983-08-04,40.624962,40.75,39.124962,39.875038,82400,3.174886,-0.0184596849592
1983-08-05,40.5,41.0,40.5,41.0,70400,3.264456,0.0123456790123
1983-08-08,40.75,40.75,38.25,39.75,268800,3.16493,-0.0245398773006
1983-08-09,39.5,39.875038,39.25,39.75,109600,3.16493,0.00632911392405
1983-08-10,40.25,40.25,39.25,40.124962,323200,3.194785,-0.00310653416149
1983-08-11,40.375038,41.624962,40.375038,41.5,90400,3.304267,0.0278628096895
1983-08-12,41.75,42.25,41.25,41.25,45600,3.284361,-0.0119760479042
1983-08-15,41.624962,42.0,41.5,41.75,307200,3.324172,0.00300391865823
1983-08-16,41.75,41.75,41.124962,41.124962,420800,3.274406,-0.0149709700599
1983-08-17,41.25,42.0,41.25,42.0,70400,3.344077,0.0181818181818
1983-08-18,42.25,42.25,41.25,41.875038,185600,3.334128,-0.00887484023669
1983-08-19,41.75,41.75,41.25,41.5,312000,3.304267,-0.0059880239521
1983-08-22,41.624962,43.375038,41.624962,43.375038,652000,3.453559,0.0420439062503
1983-08-23,43.624962,44.0,43.25,43.5,628000,3.463508,-0.00286446094784
1983-08-24,43.375038,43.5,41.75,41.75,335200,3.324172,-0.0374648202037
1983-08-25,42.0,42.0,39.75,40.0,84000,3.184835,-0.047619047619
1983-08-26,40.25,40.5,40.124962,40.5,118400,3.224646,0.00621118012422
1983-08-29,40.75,41.25,40.0,41.25,105600,3.284361,0.0122699386503
1983-08-30,41.375038,41.5,40.75,41.5,51200,3.304267,0.00302022683339
1983-08-31,42.0,42.25,41.75,42.0,143200,3.344077,0.0
1983-09-01,42.25,42.25,41.875038,42.124962,112000,3.354027,-0.00295947928994
1983-09-02,42.25,42.5,42.25,42.5,36800,3.383888,0.00591715976331
1983-09-06,42.875038,43.0,42.25,42.75,61600,3.403793,-0.00291633560768
1983-09-07,42.5,42.5,42.25,42.5,152800,3.383888,0.0
1983-09-08,42.624962,43.75,42.624962,43.75,164800,3.483414,0.0263938769025
1983-09-09,44.0,44.375038,42.75,42.75,292000,3.403793,-0.0284090909091
1983-09-12,43.25,43.75,42.25,42.5,130400,3.383888,-0.0173410404624
1983-09-13,41.75,42.375038,41.5,41.5,125600,3.304267,-0.0059880239521
1983-09-14,41.5,41.5,41.0,41.0,103200,3.264456,-0.0120481927711
1983-09-15,41.25,41.25,39.0,39.25,119200,3.12512,-0.0484848484848
1983-09-16,39.5,40.0,39.0,40.0,640800,3.184835,0.0126582278481
1983-09-19,40.0,41.624962,40.0,41.0,482400,3.264456,0.025
1983-09-20,42.5,42.75,41.624962,41.75,201600,3.324172,-0.0176470588235
1983-09-21,42.25,42.375038,41.875038,42.0,123200,3.344077,-0.00591715976331
1983-09-22,41.75,42.25,41.5,42.25,152800,3.363982,0.0119760479042
1983-09-23,42.25,42.5,42.0,42.25,141600,3.363982,0.0
1983-09-26,42.375038,43.0,42.25,42.5,236000,3.383888,0.00294895310772
1983-09-27,42.75,42.75,42.5,42.5,174400,3.383888,-0.00584795321637
1983-09-28,42.75,42.75,42.624962,42.75,104000,3.403793,0.0
1983-09-29,42.75,42.75,42.5,42.5,36800,3.383888,-0.00584795321637
1983-09-30,42.5,42.5,41.75,41.75,322400,3.324172,-0.0176470588235
1983-10-03,41.875038,41.875038,41.0,41.124962,47200,3.274406,-0.0179122464319
1983-10-04,41.25,41.75,41.25,41.5,82400,3.304267,0.00606060606061
1983-10-05,41.75,41.875038,41.25,41.25,184800,3.284361,-0.0119760479042
1983-10-06,41.5,43.0,41.5,42.624962,203200,3.393837,0.0271075180723
1983-10-07,42.624962,42.624962,41.75,42.375038,135200,3.373938,-0.00586332487522
1983-10-10,42.0,42.25,42.0,42.0,319200,3.344077,0.0
1983-10-11,42.0,42.25,41.624962,41.624962,62400,3.314216,-0.00892947619048
1983-10-12,41.75,42.0,41.375038,41.375038,110400,3.294317,-0.0089811257485
1983-10-13,41.75,41.75,41.124962,41.375038,293600,3.294317,-0.0089811257485
1983-10-14,41.5,41.5,41.25,41.5,236000,3.304267,0.0
1983-10-17,41.624962,41.624962,40.875038,41.375038,184000,3.302274,-0.00600418566148
1983-10-18,41.5,41.5,40.875038,41.0,45600,3.272341,-0.0120481927711
1983-10-19,40.5,40.75,39.0,39.0,160800,3.112715,-0.037037037037
1983-10-20,39.25,40.5,39.25,40.25,180000,3.212481,0.0254777070064
1983-10-21,39.875038,39.875038,39.124962,39.124962,61600,3.122689,-0.0188106654594
1983-10-24,38.875038,39.0,36.0,38.0,608000,3.032902,-0.0225089940748
1983-10-25,37.75,38.0,36.875038,37.5,369600,2.992995,-0.00662251655629
1983-10-26,37.0,37.25,36.75,36.875038,141600,2.943115,-0.00337735135135
1983-10-27,36.5,36.5,33.75,34.75,609600,2.773509,-0.0479452054795
1983-10-28,35.25,36.0,34.0,34.0,487200,2.713649,-0.0354609929078
1983-10-31,34.5,35.25,34.25,35.0,334400,2.793462,0.0144927536232
1983-11-01,35.0,35.25,33.5,34.75,113600,2.773509,-0.00714285714286
1983-11-02,34.25,34.25,32.0,33.0,1283200,2.633836,-0.036496350365
1983-11-03,34.0,34.75,33.75,33.75,812800,2.693696,-0.00735294117647
1983-11-04,33.5,33.875038,33.25,33.875038,1179200,2.703675,0.0111951641791
1983-11-07,34.124962,34.124962,32.5,32.5,1148800,2.593929,-0.0476179870911
1983-11-08,32.875038,33.0,31.75,32.75,1190400,2.613882,-0.00380343286599
1983-11-09,32.75,33.5,32.75,33.5,435200,2.673742,0.0229007633588
1983-11-10,33.75,34.5,33.5,34.0,298400,2.713649,0.00740740740741
1983-11-11,34.0,34.25,34.0,34.0,381600,2.713649,0.0
1983-11-14,34.25,35.624962,33.75,35.0,661600,2.793462,0.021897810219
1983-11-15,35.0,35.5,34.75,35.25,141600,2.813415,0.00714285714286
1983-11-16,35.25,35.25,34.0,34.75,320000,2.773509,-0.0141843971631
1983-11-17,34.5,34.875038,33.75,34.25,156000,2.733602,-0.00724637681159
1983-11-18,34.5,34.5,33.25,33.875038,326400,2.703675,-0.0181148405797
1983-11-21,33.375038,34.0,32.5,33.5,502400,2.673742,0.00374417551225
1983-11-22,33.75,33.75,32.5,33.0,376000,2.633836,-0.0222222222222
1983-11-23,33.0,33.25,32.5,32.5,420800,2.593929,-0.0151515151515
1983-11-25,32.5,33.875038,32.5,33.875038,494400,2.703675,0.0423088615385
1983-11-28,33.25,34.5,33.25,33.875038,360800,2.703675,0.0187981353383
1983-11-29,33.75,34.0,33.624962,34.0,664000,2.713649,0.00740740740741
1983-11-30,34.25,35.0,34.25,34.875038,668000,2.783489,0.0182492846715
1983-12-01,34.875038,35.0,33.75,33.875038,493600,2.703675,-0.0286738038823
1983-12-02,33.5,33.5,31.5,31.87504,1076800,2.544049,-0.0485062686567
1983-12-05,31.5,32.75,30.75,32.75,398400,2.613882,0.0396825396825
1983-12-06,32.75,33.5,32.75,33.375038,366400,2.663769,0.019085129771
1983-12-07,33.624962,34.375038,33.375038,34.0,320000,2.713649,0.0111535590732
1983-12-08,33.75,33.75,33.0,33.0,367200,2.633836,-0.0222222222222
1983-12-09,33.25,33.375038,32.5,32.75,117600,2.613882,-0.015037593985
1983-12-12,32.5,32.5,31.5,31.75,362400,2.534069,-0.0230769230769
1983-12-13,31.87504,32.0,31.75,32.0,193600,2.554023,0.00392030880589
1983-12-14,32.0,32.0,31.25,31.75,770400,2.534069,-0.0078125
1983-12-15,31.75,31.75,30.5,30.75,1285600,2.454256,-0.0314960629921
1983-12-16,31.25,32.25,31.0,32.25,95200,2.573976,0.032
1983-12-19,32.5,32.75,31.75,32.375038,236800,2.583956,-0.00384498461538
1983-12-20,32.375038,32.375038,31.37504,31.62496,271200,2.524089,-0.0231684052386
1983-12-21,32.0,33.124962,32.0,33.0,981600,2.633836,0.03125
1983-12-22,33.0,33.25,31.87504,31.87504,228800,2.544049,-0.0340896969697
1983-12-23,31.62496,32.124962,31.5,31.75,264000,2.534069,0.003953838993
1983-12-27,32.25,32.375038,31.5,32.25,451200,2.573976,0.0
1983-12-28,32.25,33.0,32.0,33.0,1190400,2.633836,0.0232558139535
1983-12-29,33.25,34.25,33.25,34.25,160800,2.733602,0.0300751879699
1983-12-30,34.5,34.5,34.0,34.5,176000,2.753556,0.0
1984-01-03,34.5,35.124962,34.5,34.875038,241600,2.783489,0.0108706666667
1984-01-04,35.0,35.375038,35.0,35.375038,138400,2.823395,0.0107153714286
1984-01-05,35.624962,37.0,35.5,36.624962,550400,2.923156,0.0280702053801
1984-01-06,36.624962,37.124962,36.375038,36.875038,862400,2.943115,0.00682802073624
1984-01-09,37.0,37.25,36.75,37.0,189600,2.953089,0.0
1984-01-10,37.5,37.75,37.124962,37.124962,324800,2.963062,-0.0100010133333
1984-01-11,37.0,37.5,36.75,37.25,265600,2.973042,0.00675675675676
1984-01-12,37.124962,37.375038,36.124962,37.0,256000,2.953089,-0.0033659832433
1984-01-13,37.25,37.25,36.375038,37.0,205600,2.953089,-0.00671140939597
1984-01-16,36.5,36.75,36.124962,36.25,118400,2.901069,-0.00684931506849
1984-01-17,36.25,36.375038,35.0,35.25,472000,2.82104,-0.0275862068966
1984-01-18,34.875038,35.25,34.624962,35.25,712800,2.82104,0.0107515868513
1984-01-19,35.0,35.124962,34.624962,35.0,684800,2.801033,0.0
1984-01-20,35.0,35.0,34.75,34.875038,528800,2.791032,-0.00357034285714
1984-01-23,34.75,34.75,34.25,34.25,76000,2.74101,-0.0143884892086
1984-01-24,34.25,34.25,33.75,34.25,982400,2.74101,0.0
1984-01-25,33.875038,33.875038,33.0,33.124962,912000,2.650974,-0.0221424401059
1984-01-26,33.375038,33.5,32.124962,32.5,420800,2.600959,-0.0262183371896
1984-01-27,32.25,32.25,32.0,32.25,248000,2.580951,0.0
1984-01-30,32.5,32.5,31.75,32.25,272000,2.580951,-0.00769230769231
1984-01-31,32.5,33.0,32.5,33.0,1623200,2.640974,0.0153846153846
1984-02-01,32.75,33.0,32.75,33.0,1619200,2.640974,0.00763358778626
1984-02-02,32.624962,33.0,32.124962,32.624962,235200,2.610959,0.0
1984-02-03,33.5,33.5,32.624962,33.0,705600,2.640974,-0.0149253731343
1984-02-06,33.25,33.25,32.624962,32.75,185600,2.620966,-0.015037593985
1984-02-07,32.75,32.75,31.5,32.624962,1017600,2.610959,-0.00381795419847
1984-02-08,33.0,33.25,32.124962,32.25,164000,2.580951,-0.0227272727273
1984-02-09,31.62496,31.87504,30.5,31.0,1275200,2.480915,-0.0197616060226
1984-02-10,31.25,31.5,31.0,31.12496,197600,2.490915,-0.00400128
1984-02-13,31.75,31.87504,30.75,31.12496,344800,2.490915,-0.0196862992126
1984-02-14,31.0,32.0,31.0,31.5,414400,2.520929,0.0161290322581
1984-02-15,32.0,32.75,32.0,32.624962,328000,2.610959,0.0195300625
1984-02-16,32.75,33.25,32.75,33.25,248000,2.660981,0.0152671755725
1984-02-17,33.0,33.25,32.75,32.875038,67200,2.630973,-0.00378672727273
1984-02-21,33.0,33.25,32.75,32.875038,92000,2.630973,-0.00378672727273
1984-02-22,32.5,32.624962,31.0,31.37504,132800,2.510929,-0.0346141538462
1984-02-23,31.37504,31.75,31.37504,31.75,96800,2.540937,0.0119509010985
1984-02-24,32.25,32.875038,32.25,32.875038,432800,2.630973,0.0193810232558
1984-02-27,33.0,33.375038,32.5,32.5,156000,2.600959,-0.0151515151515
1984-02-28,33.0,33.0,30.87504,31.25,283200,2.500922,-0.0530303030303
1984-02-29,31.0,32.0,31.0,31.37504,240000,2.510929,0.0120980645161
1984-03-01,31.0,31.0,29.5,30.75,358400,2.460907,-0.00806451612903
1984-03-02,30.37504,31.25,30.37504,31.12496,159200,2.490915,0.024688691768
1984-03-05,31.25,31.37504,30.87504,31.12496,171200,2.490915,-0.00400128
1984-03-06,31.25,31.37504,29.87504,29.87504,159200,2.390885,-0.04399872
1984-03-07,29.87504,29.87504,28.25,28.75,721600,2.300848,-0.0376581922568
1984-03-08,28.5,29.0,28.37504,29.0,51200,2.320856,0.0175438596491
1984-03-09,29.12496,30.5,28.75,30.0,344800,2.400885,0.0300443331081
1984-03-12,29.5,29.5,28.5,29.0,412000,2.320856,-0.0169491525424
1984-03-13,29.5,30.25,29.5,29.87504,508800,2.390885,0.012713220339
1984-03-14,30.12496,30.5,30.0,30.25,51200,2.420892,0.00415071090551
1984-03-15,30.62496,30.87504,30.25,30.25,70400,2.420892,-0.0122436078284
1984-03-16,30.5,31.25,30.5,31.0,245600,2.480915,0.016393442623
1984-03-19,30.62496,30.75,30.0,30.25,225600,2.420892,-0.0122436078284
1984-03-20,30.0,30.25,29.25,30.0,632800,2.400885,0.0
1984-03-21,29.75,29.75,28.5,29.75,268800,2.380878,0.0
1984-03-22,29.25,29.62496,28.62496,28.75,86400,2.300848,-0.017094017094
1984-03-23,29.0,30.0,28.75,29.5,128800,2.36087,0.0172413793103
1984-03-26,29.62496,29.87504,29.25,29.37504,37600,2.35087,-0.00843612953401
1984-03-27,29.12496,29.25,29.0,29.0,32800,2.320856,-0.00429047799551
1984-03-28,29.5,30.0,29.25,30.0,199200,2.400885,0.0169491525424
1984-03-29,30.25,30.25,29.5,29.5,153600,2.36087,-0.0247933884298
1984-03-30,29.75,29.75,29.5,29.75,94400,2.380878,0.0
1984-04-02,29.87504,30.0,29.5,29.75,143200,2.380878,-0.00418543372662
1984-04-03,29.75,29.75,29.25,29.37504,104000,2.35087,-0.012603697479
1984-04-04,29.25,29.62496,29.0,29.37504,201600,2.35087,0.00427487179487
1984-04-05,29.62496,29.75,28.5,28.5,152000,2.280841,-0.0379733846054
1984-04-06,28.37504,29.25,28.37504,28.75,224800,2.300848,0.0132144307109
1984-04-09,28.87504,28.87504,28.12496,28.37504,288000,2.27084,-0.0173159933285
1984-04-10,28.37504,29.0,27.75,28.0,325600,2.240826,-0.0132172500902
1984-04-11,28.0,28.0,27.0,27.0,120800,2.160797,-0.0357142857143
1984-04-12,27.12496,28.5,27.12496,28.5,140000,2.280841,0.0506927936484
1984-04-13,28.75,28.75,27.75,27.87504,212000,2.230826,-0.0304333913043
1984-04-16,27.25,28.25,27.25,27.75,308000,2.220819,0.0183486238532
1984-04-17,27.62496,27.87504,27.0,27.62496,332800,2.210812,0.0
1984-04-18,27.87504,27.87504,26.75,27.0,284800,2.160797,-0.0313915244606
1984-04-19,26.25,26.75,26.12496,26.5,188800,2.120782,0.00952380952381
1984-04-23,26.37504,26.87504,26.37504,26.62496,135200,2.138853,0.00947562543981
