Date,Open,High,Low,Close,Volume,Adj Close,Returns
1984-09-07,8.1243,8.50095,8.1243,8.1243,363600,0.02759,
1984-09-10,8.1243,8.50095,8.1243,8.1243,666000,0.02759,0.0
1984-09-11,8.1243,8.1243,8.1243,8.1243,2592000,0.02759,0.0
1984-09-12,8.1243,8.50095,8.1243,8.1243,707400,0.02759,0.0
1984-09-13,8.1243,8.50095,8.1243,8.1243,707400,0.02759,0.0
1984-09-14,8.1243,8.50095,8.1243,8.1243,99000,0.02759,0.0
1984-09-17,8.1243,8.50095,7.875225,7.875225,1071000,0.026744,-0.0306580259222
1984-09-18,7.875225,8.1243,7.875225,7.875225,4554000,0.026744,0.0
1984-09-19,8.1243,8.1243,8.1243,8.1243,2286000,0.02759,0.0
1984-09-20,8.1243,8.1243,8.1243,8.1243,4554000,0.02759,0.0
1984-09-21,8.1243,8.1243,7.875225,7.875225,768600,0.026744,-0.0306580259222
1984-09-24,7.875225,8.1243,7.875225,7.875225,363600,0.026744,0.0
1984-09-25,7.875225,8.1243,7.875225,7.875225,1517400,0.026744,0.0
1984-09-26,7.875225,8.1243,7.875225,7.875225,201600,0.026744,0.0
1984-09-27,7.875225,8.1243,7.875225,7.875225,2894400,0.026744,0.0
1984-09-28,7.875225,8.50095,7.875225,7.875225,1416600,0.026744,0.0
1984-10-01,7.875225,8.50095,7.875225,7.875225,99000,0.026744,0.0
1984-10-02,8.1243,8.50095,8.1243,8.1243,4818600,0.02759,0.0
1984-10-03,8.1243,8.50095,8.1243,8.1243,261000,0.02759,0.0
1984-10-04,8.1243,8.50095,8.1243,8.1243,162000,0.02759,0.0
1984-10-05,8.1243,8.50095,8.1243,8.1243,707400,0.02759,0.0
1984-10-08,8.1243,8.50095,8.1243,8.1243,1314000,0.02759,0.0
1984-10-09,8.1243,8.50095,8.1243,8.1243,1071000,0.02759,0.0
1984-10-10,8.1243,8.50095,8.1243,8.1243,99000,0.02759,0.0
1984-10-11,8.50095,8.50095,8.50095,8.50095,1782000,0.028869,0.0
1984-10-12,8.50095,8.750025,8.50095,8.50095,1377000,0.028869,0.0
1984-10-15,8.50095,8.9991,8.50095,8.50095,567000,0.028869,0.0
1984-10-16,8.750025,9.12465,8.750025,8.750025,1679400,0.029715,0.0
1984-10-17,8.750025,9.12465,8.750025,8.750025,162000,0.029715,0.0
1984-10-18,8.750025,9.2502,8.750025,8.750025,2894400,0.029715,0.0
1984-10-19,8.750025,9.2502,8.750025,8.750025,666000,0.029715,0.0
1984-10-22,8.750025,9.12465,8.750025,8.750025,302400,0.029715,0.0
1984-10-23,8.750025,9.2502,8.750025,8.750025,567000,0.029715,0.0
1984-10-24,8.750025,9.2502,8.750025,8.750025,2997000,0.029715,0.0
1984-10-25,9.12465,9.624825,9.12465,9.12465,666000,0.030987,0.0
1984-10-26,9.12465,9.12465,8.9991,8.9991,707400,0.030561,-0.0137594318686
1984-10-29,8.9991,9.2502,8.9991,8.9991,261000,0.030561,0.0
1984-10-30,8.9991,9.2502,8.9991,8.9991,59400,0.030561,0.0
1984-10-31,8.9991,9.2502,8.9991,8.9991,2934000,0.030561,0.0
1984-11-01,9.2502,9.624825,9.2502,9.2502,1679400,0.031414,0.0
1984-11-02,9.2502,9.624825,9.12465,9.12465,504000,0.030987,-0.0135726795096
1984-11-05,9.12465,9.624825,9.12465,9.12465,201600,0.030987,0.0
1984-11-06,9.12465,9.624825,9.12465,9.12465,99000,0.030987,0.0
1984-11-07,9.12465,9.2502,8.9991,8.9991,504000,0.030561,-0.0137594318686
1984-11-08,8.9991,9.12465,8.9991,8.9991,567000,0.030561,0.0
1984-11-09,8.9991,9.2502,8.9991,8.9991,59400,0.030561,0.0
1984-11-12,9.12465,9.37575,9.12465,9.12465,201600,0.030987,0.0
1984-11-13,9.12465,9.12465,9.12465,9.12465,0,0.030987,0.0
1984-11-14,9.12465,9.37575,8.9991,8.9991,2592000,0.030561,-0.0137594318686
1984-11-15,8.9991,9.12465,8.750025,8.750025,201600,0.029715,-0.0276777677768
1984-11-16,8.750025,8.750025,8.750025,8.750025,0,0.029715,0.0
1984-11-19,8.750025,8.9991,8.750025,8.750025,302400,0.029715,0.0
1984-11-20,8.750025,9.12465,8.750025,8.750025,2187000,0.029715,0.0
1984-11-21,8.9991,9.2502,8.9991,8.9991,59400,0.030561,0.0
1984-11-23,8.9991,9.37575,8.9991,8.9991,2691000,0.030561,0.0
1984-11-26,8.9991,9.37575,8.9991,8.9991,504000,0.030561,0.0
1984-11-27,8.9991,9.37575,8.9991,8.9991,1274400,0.030561,0.0
1984-11-28,8.9991,9.12465,8.9991,8.9991,99000,0.030561,0.0
1984-11-29,8.9991,9.12465,8.750025,8.750025,162000,0.029715,-0.0276777677768
1984-11-30,8.750025,9.12465,8.750025,8.750025,162000,0.029715,0.0
1984-12-03,8.750025,9.12465,8.750025,8.750025,261000,0.029715,0.0
1984-12-04,8.750025,9.12465,8.750025,8.750025,405000,0.029715,0.0
1984-12-05,8.750025,8.750025,8.50095,8.50095,1011600,0.028869,-0.0284656329553
1984-12-06,8.50095,8.50095,8.1243,8.1243,1578600,0.02759,-0.044306812768
1984-12-07,8.1243,8.50095,7.875225,7.875225,201600,0.026744,-0.0306580259222
1984-12-10,7.875225,8.1243,7.875225,7.875225,606600,0.026744,0.0
1984-12-11,8.50095,8.750025,8.50095,8.50095,2226600,0.028869,0.0
1984-12-12,8.50095,8.750025,8.50095,8.50095,99000,0.028869,0.0
1984-12-13,8.750025,8.9991,8.750025,8.750025,2997000,0.029715,0.0
1984-12-14,8.750025,8.9991,8.750025,8.750025,1719000,0.029715,0.0
1984-12-17,9.624825,9.750375,9.624825,9.624825,1782000,0.032686,0.0
1984-12-18,9.750375,9.99945,9.750375,9.750375,2025000,0.033112,0.0
1984-12-19,9.750375,9.99945,9.750375,9.750375,666000,0.033112,0.0
1984-12-20,9.750375,9.99945,9.750375,9.750375,59400,0.033112,0.0
1984-12-21,9.750375,9.99945,9.750375,9.750375,162000,0.033112,0.0
1984-12-24,9.99945,10.125,9.99945,9.99945,1377000,0.033958,0.0
1984-12-26,9.99945,9.99945,9.750375,9.750375,201600,0.033112,-0.0249088699878
1984-12-27,9.750375,9.99945,9.750375,9.750375,2226600,0.033112,0.0
1984-12-28,9.750375,9.99945,9.750375,9.750375,1011600,0.033112,0.0
1984-12-31,9.750375,9.750375,9.750375,9.750375,0,0.033112,0.0
1985-01-02,9.875925,9.99945,9.875925,9.875925,59400,0.033539,0.0
1985-01-03,10.125,10.374075,10.125,10.125,3501000,0.034385,0.0
1985-01-04,10.374075,11.2509,10.374075,10.374075,1173600,0.035231,0.0
1985-01-07,10.374075,10.750725,10.374075,10.374075,810000,0.035231,0.0
1985-01-08,10.374075,10.374075,10.125,10.125,302400,0.034385,-0.0240093695101
1985-01-09,10.374075,10.750725,10.374075,10.374075,1578600,0.035231,0.0
1985-01-10,10.374075,10.750725,10.374075,10.374075,1011600,0.035231,0.0
1985-01-11,10.750725,10.9998,10.750725,10.750725,4149000,0.03651,0.0
1985-01-14,11.2509,11.2509,10.9998,11.2509,2187000,0.038208,0.0
1985-01-15,10.9998,11.374425,10.9998,10.9998,1719000,0.037355,0.0
1985-01-16,10.9998,11.625525,10.9998,10.9998,1679400,0.037355,0.0
1985-01-17,11.374425,11.8746,11.374425,11.374425,1071000,0.038628,0.0
1985-01-18,11.374425,11.8746,11.374425,11.374425,1476000,0.038628,0.0
1985-01-21,11.8746,12.249225,11.8746,11.8746,1821600,0.040326,0.0
1985-01-22,11.8746,12.249225,11.8746,11.8746,1215000,0.040326,0.0
1985-01-23,12.374775,12.625875,12.374775,12.374775,1983600,0.042025,0.0
1985-01-24,12.374775,13.0005,12.374775,12.374775,4352400,0.042025,0.0
1985-01-25,12.374775,13.0005,12.374775,12.374775,3603600,0.042025,0.0
1985-01-28,12.374775,13.0005,12.374775,12.374775,972000,0.042025,0.0
1985-01-29,12.374775,13.0005,12.374775,12.374775,1377000,0.042025,0.0
1985-01-30,12.374775,12.625875,12.374775,12.374775,1314000,0.042025,0.0
1985-01-31,12.374775,12.374775,12.249225,12.249225,567000,0.041599,-0.0101456390116
1985-02-01,12.249225,12.249225,11.8746,11.8746,1274400,0.040326,-0.0305835675318
1985-02-04,12.374775,12.625875,12.374775,12.374775,3096000,0.042025,0.0
1985-02-05,12.374775,12.625875,12.374775,12.374775,666000,0.042025,0.0
1985-02-06,12.625875,13.0005,12.625875,12.625875,1719000,0.042878,0.0
1985-02-07,13.249575,13.74975,13.249575,13.249575,2997000,0.044996,0.0
1985-02-08,13.74975,14.249926,13.74975,13.74975,4311000,0.046694,0.0
1985-02-11,13.8753,14.249926,13.8753,13.8753,1377000,0.047121,0.0
1985-02-12,14.124376,14.499,14.124376,14.124376,3906000,0.047967,0.0
1985-02-13,15.49935,15.876,15.49935,15.49935,5508000,0.052636,0.0
