Date,Open,High,Low,Close,Volume,Adj Close,Returns
1991-09-17,18.0,19.5,18.0,18.75,17096400,3.125,
1991-09-18,18.250021,19.249979,18.250021,18.75,1704000,3.125,0.0273960780648
1991-09-19,18.250021,19.000021,18.250021,18.874979,1717800,3.14583,0.0342442345683
1991-09-20,19.000021,19.000021,18.499979,18.499979,2092800,3.08333,-0.0263179709117
1991-09-23,19.000021,19.000021,17.749979,17.749979,1954800,2.95833,-0.0657916114935
1991-09-24,17.749979,18.499979,17.749979,18.0,1826400,3.0,0.0140857068056
1991-09-25,17.749979,18.499979,17.749979,18.250021,473400,3.04167,0.0281714136112
1991-09-26,18.250021,19.5,18.250021,19.000021,598800,3.16667,0.0410958431226
1991-09-27,19.5,20.25,19.000021,19.999979,779400,3.33333,0.0256399487179
1991-09-30,19.999979,19.999979,18.250021,18.75,594600,3.125,-0.062499015624
1991-10-01,19.000021,19.000021,18.499979,18.499979,112800,3.08333,-0.0263179709117
1991-10-02,19.000021,19.000021,18.499979,19.000021,409800,3.16667,0.0
1991-10-03,19.000021,19.000021,17.749979,17.749979,246600,2.95833,-0.0657916114935
1991-10-04,18.499979,18.499979,17.25,17.25,303000,2.875,-0.0675665091296
1991-10-07,17.25,17.749979,16.000021,16.000021,605400,2.66667,-0.0724625507246
1991-10-08,16.000021,16.5,14.749979,15.250021,4804200,2.54167,-0.0468749384766
1991-10-09,15.250021,15.499979,15.0,15.124979,469200,2.52083,-0.00819946411877
1991-10-10,15.499979,15.499979,15.0,15.375,1455600,2.5625,-0.00806317221462
1991-10-11,15.75,16.5,15.250021,16.125,312000,2.6875,0.0238095238095
1991-10-14,16.5,17.749979,16.000021,17.749979,369600,2.95833,0.0757563030303
1991-10-15,18.0,19.999979,18.0,19.875,779400,3.3125,0.104166666667
1991-10-16,19.999979,21.250021,19.750021,21.250021,1215600,3.54167,0.0625021656273
1991-10-17,20.749979,20.749979,18.250021,19.000021,954600,3.16667,-0.0843354106527
1991-10-18,19.000021,20.25,18.250021,20.25,764400,3.375,0.0657882957077
1991-10-21,19.999979,20.749979,19.750021,19.750021,196800,3.29167,-0.0124979131228
1991-10-22,20.25,20.25,19.5,19.5,84600,3.25,-0.037037037037
1991-10-23,19.999979,20.749979,19.000021,19.000021,540000,3.16667,-0.0499979524979
1991-10-24,19.750021,19.750021,18.250021,18.499979,164400,3.08333,-0.0632931985237
1991-10-25,19.000021,19.000021,17.25,18.0,243600,3.0,-0.0526326260376
1991-10-28,18.75,19.000021,17.749979,17.749979,292200,2.95833,-0.0533344533333
1991-10-29,18.250021,19.000021,18.0,19.000021,162600,3.16667,0.0410958431226
1991-10-30,19.249979,19.750021,18.499979,19.000021,277200,3.16667,-0.0129848453341
1991-10-31,19.000021,19.000021,18.0,18.499979,178200,3.08333,-0.0263179709117
1991-11-01,18.0,18.75,17.875021,18.250021,1586400,3.04167,0.0138900555556
1991-11-04,18.250021,18.75,17.749979,17.749979,270000,2.95833,-0.0273995301156
1991-11-05,17.749979,18.250021,16.000021,16.5,716400,2.75,-0.0704214354282
1991-11-06,16.999979,16.999979,15.499979,16.000021,443400,2.66667,-0.0588211314849
1991-11-07,16.000021,16.5,15.0,15.250021,601200,2.54167,-0.0468749384766
1991-11-08,15.250021,16.249979,14.749979,16.249979,1528200,2.70833,0.0655709260991
1991-11-11,16.249979,17.500021,16.249979,16.249979,818400,2.70833,0.0
1991-11-12,16.999979,17.500021,16.750021,17.500021,776400,2.91667,0.0294142716294
1991-11-13,17.500021,18.0,16.999979,17.500021,1289400,2.91667,0.0
1991-11-14,18.0,18.499979,17.500021,17.875021,1420200,2.97917,-0.00694327777778
1991-11-15,17.749979,17.749979,14.25,14.25,1191000,2.375,-0.197182148779
1991-11-18,13.5,15.0,12.0,14.749979,2312400,2.45833,0.092591037037
1991-11-19,14.749979,14.749979,13.5,14.25,2037000,2.375,-0.033896929616
1991-11-20,14.25,14.500021,12.0,13.249979,434400,2.20833,-0.0701769122807
1991-11-21,13.5,13.999979,12.75,13.5,208800,2.25,0.0
1991-11-22,13.750021,13.750021,11.74998,12.499979,1123800,2.08333,-0.0909120066071
1991-11-25,12.250021,12.75,11.74998,12.499979,323400,2.08333,0.0204046997144
1991-11-26,11.74998,12.499979,10.99998,11.25,199200,1.875,-0.0425515617899
1991-11-27,12.0,12.250021,11.50002,11.74998,192600,1.95833,-0.020835
1991-11-29,11.74998,12.0,11.74998,12.0,60000,2.0,0.0212783340908
1991-12-02,11.25,13.000021,11.25,12.75,833400,2.125,0.133333333333
1991-12-03,13.000021,13.000021,11.25,12.375,910800,2.0625,-0.0480784607963
1991-12-04,12.250021,12.75,11.87502,12.0,370200,2.0,-0.0204098425627
