Date,Open,High,Low,Close,Volume,Adj Close,Returns
1998-08-18,12.875,13.125,12.875,13.0,5783000,12.052054,
1998-08-19,13.0,13.25,13.0,13.0,388700,12.052054,0.0
1998-08-20,13.125,13.25,13.0,13.0,348500,12.052054,-0.00952380952381
1998-08-21,13.0,13.0,13.0,13.0,804000,12.052054,0.0
1998-08-24,13.0,13.0,13.0,13.0,119700,12.052054,0.0
1998-08-25,13.0,13.0,12.875,13.0,294100,12.052054,0.0
1998-08-26,13.0,13.0,12.125,12.25,383800,11.356743,-0.0576923076923
1998-08-27,12.25,12.375,10.75,11.125,435300,10.313777,-0.0918367346939
1998-08-28,11.375,11.375,10.0,10.0,192400,9.27081,-0.120879120879
1998-08-31,10.0,10.125,7.625,8.125,150800,7.532534,-0.1875
1998-09-01,8.25,9.0,6.6875,8.5,440700,7.880189,0.030303030303
1998-09-02,8.5,10.5,8.5,9.5625,509200,8.865213,0.125
1998-09-03,9.75,9.75,8.5,8.75,165900,8.111959,-0.102564102564
1998-09-04,9.0,9.0,8.125,8.375,155700,7.764304,-0.0694444444444
1998-09-08,9.0,10.0,8.75,9.875,149300,9.154925,0.0972222222222
1998-09-09,9.875,10.0,9.5,9.5,116900,8.80727,-0.0379746835443
1998-09-10,9.375,9.375,9.0,9.25,80700,8.5755,-0.0133333333333
1998-09-11,9.3125,9.375,9.0,9.0,84800,8.343729,-0.0335570469799
1998-09-14,9.25,9.625,9.0,9.0,90800,8.343729,-0.027027027027
1998-09-15,9.125,9.25,8.625,8.75,200400,8.111959,-0.041095890411
1998-09-16,8.75,8.75,7.75,7.875,221300,7.300763,-0.1
1998-09-17,7.875,8.625,7.875,8.28125,87300,7.67739,0.0515873015873
1998-09-18,8.375,8.6875,7.75,8.25,147300,7.648419,-0.0149253731343
1998-09-21,7.875,8.0,6.875,7.0,472900,6.489567,-0.111111111111
1998-09-22,7.125,8.125,7.0625,8.0,728300,7.416648,0.122807017544
1998-09-23,8.25,8.625,8.0,8.375,382500,7.764304,0.0151515151515
1998-09-24,8.5,9.375,8.5,9.0625,280800,8.401672,0.0661764705882
1998-09-25,8.75,9.4375,8.75,9.375,44400,8.691385,0.0714285714286
1998-09-28,9.5,9.875,9.375,9.375,26500,8.691385,-0.0131578947368
1998-09-29,9.5,9.75,9.25,9.53125,88300,8.836241,0.00328947368421
1998-09-30,9.5,10.0625,9.375,9.625,172300,8.923155,0.0131578947368
1998-10-01,9.625,9.625,8.875,8.875,85500,8.227844,-0.0779220779221
1998-10-02,8.875,9.25,8.875,8.875,58700,8.227844,0.0
1998-10-05,8.75,8.875,8.0,8.0,63000,7.416648,-0.0857142857143
1998-10-06,9.0,9.125,8.0,8.375,129500,7.764304,-0.0694444444444
1998-10-07,8.375,8.625,7.8125,7.8125,340400,7.242821,-0.0671641791045
1998-10-08,7.75,7.8125,6.0,6.3125,346800,5.852199,-0.185483870968
1998-10-09,7.0,7.125,6.125,6.25,271500,5.794257,-0.107142857143
1998-10-12,6.5,6.5,6.0,6.25,660400,5.794257,-0.0384615384615
1998-10-13,6.25,7.5,6.25,7.0,228600,6.489567,0.12
1998-10-14,6.875,7.625,6.875,7.625,46400,7.068993,0.109090909091
1998-10-15,7.5,7.625,7.375,7.5625,44100,7.01105,0.00833333333333
1998-10-16,7.8125,8.375,7.5,7.875,421600,7.300763,0.008
1998-10-19,8.125,8.5625,8.0,8.5625,50600,7.938131,0.0538461538462
1998-10-20,8.625,9.5,8.5,9.375,354800,8.691385,0.0869565217391
1998-10-21,9.4375,10.375,9.4375,10.0,156000,9.27081,0.0596026490066
1998-10-22,10.125,11.5,10.0,11.4375,134600,10.603489,0.12962962963
1998-10-23,11.625,13.125,11.375,13.0,411400,12.052054,0.118279569892
1998-10-26,13.0,13.0,12.625,12.75,125500,11.820283,-0.0192307692308
1998-10-27,12.875,13.375,12.375,12.4375,417500,11.530571,-0.0339805825243
1998-10-28,12.375,12.75,12.25,12.75,53000,11.820283,0.030303030303
1998-10-29,12.625,13.0625,11.75,12.0,280000,11.124973,-0.049504950495
1998-10-30,12.0,12.875,11.875,12.875,198600,11.936168,0.0729166666667
1998-11-02,12.9375,13.3125,12.625,12.875,105900,11.936168,-0.0048309178744
1998-11-03,12.8125,12.875,12.625,12.75,24900,11.820283,-0.00487804878049
1998-11-04,12.875,12.875,12.25,12.5,105800,11.588513,-0.0291262135922
1998-11-05,12.5,13.25,12.3125,13.25,81800,12.283824,0.06
1998-11-06,13.25,13.3125,12.875,13.25,55600,12.283824,0.0
1998-11-09,12.875,13.3125,12.75,13.25,84200,12.283824,0.0291262135922
1998-11-10,13.25,13.3125,12.875,13.0,22600,12.052054,-0.0188679245283
1998-11-11,12.875,13.125,12.625,12.75,22200,11.820283,-0.00970873786408
1998-11-12,12.75,12.75,12.25,12.5,23700,11.588513,-0.0196078431373
1998-11-13,12.5625,12.5625,10.5,11.8125,96600,10.951145,-0.0597014925373
1998-11-16,11.6875,12.25,11.25,11.5,70500,10.661432,-0.0160427807487
1998-11-17,11.75,12.0,11.125,11.75,188500,10.893202,0.0
1998-11-18,11.5,12.0,11.5,11.9375,22500,11.06703,0.0380434782609
1998-11-19,12.0,12.0,10.75,10.875,41700,10.082006,-0.09375
1998-11-20,11.0,11.0,9.875,10.625,148500,9.850236,-0.0340909090909
1998-11-23,10.75,12.5,10.75,11.625,151200,10.777317,0.0813953488372
1998-11-24,11.4375,11.4375,11.1875,11.3125,33400,10.487604,-0.0109289617486
1998-11-25,11.375,12.625,11.1875,12.0,66200,11.124973,0.0549450549451
1998-11-27,11.875,13.25,11.875,12.9375,203200,11.994111,0.0894736842105
1998-11-30,13.25,13.625,12.875,13.4375,265900,12.457652,0.0141509433962
1998-12-01,13.25,13.5,12.625,13.3125,73100,12.341766,0.00471698113208
1998-12-02,13.125,13.75,12.9375,13.3125,142400,12.341766,0.0142857142857
1998-12-03,13.5,13.625,13.25,13.625,100000,12.631479,0.00925925925926
1998-12-04,14.375,16.625,13.9375,16.375,377200,15.180952,0.139130434783
1998-12-07,16.5,16.75,15.5,15.6875,193400,14.543584,-0.0492424242424
1998-12-08,15.875,15.9375,14.875,15.1875,140300,14.080043,-0.0433070866142
1998-12-09,14.75,19.375,14.75,17.625,412500,16.339803,0.194915254237
