Date,Open,High,Low,Close,Volume,Adj Close,Returns
1989-01-05,15.375,15.5,15.125,15.5,124000,2.256604,
1989-01-06,15.375,15.5,15.25,15.375,180400,2.238406,0.0
1989-01-09,15.625,15.625,15.25,15.5,236400,2.256604,-0.008
1989-01-10,15.625,15.875,15.25,15.875,409600,2.311199,0.016
1989-01-11,15.875,16.375,15.875,16.125,892000,2.347596,0.0157480314961
1989-01-12,16.125,16.5,16.0,16.5,1088400,2.402192,0.0232558139535
1989-01-13,16.625,16.875,16.5,16.75,372800,2.438588,0.00751879699248
1989-01-16,16.75,16.75,16.375,16.625,529600,2.42039,-0.00746268656716
1989-01-17,16.625,16.75,16.25,16.5,388400,2.402192,-0.00751879699248
1989-01-18,16.625,17.0,16.375,17.0,572800,2.474985,0.0225563909774
1989-01-19,17.0,17.0,16.625,16.625,100400,2.42039,-0.0220588235294
1989-01-20,16.75,16.875,16.625,16.875,452400,2.456787,0.00746268656716
1989-01-23,16.875,16.875,16.5,16.625,238000,2.42039,-0.0148148148148
1989-01-24,16.625,16.625,16.375,16.625,402000,2.42039,0.0
1989-01-25,16.75,17.25,16.5,17.0,194400,2.474985,0.0149253731343
1989-01-26,17.125,17.625,17.0,17.625,1333600,2.565977,0.029197080292
1989-01-27,17.625,18.625,17.5,18.25,2786800,2.656969,0.0354609929078
1989-01-30,18.0,18.125,17.875,18.0,1008400,2.620573,0.0
1989-01-31,18.25,18.375,17.75,18.0,724800,2.620573,-0.013698630137
1989-02-01,17.875,18.0,17.75,17.875,398800,2.602374,0.0
1989-02-02,17.875,18.0,17.75,17.875,76000,2.602374,0.0
1989-02-03,17.875,18.125,17.75,18.125,285600,2.638771,0.013986013986
1989-02-06,18.125,18.125,17.625,17.75,270800,2.584176,-0.0206896551724
1989-02-07,17.625,17.875,17.5,17.75,1048800,2.584176,0.00709219858156
1989-02-08,17.875,17.875,17.375,17.5,124400,2.547779,-0.020979020979
1989-02-09,17.375,17.5,16.875,16.875,137200,2.456787,-0.0287769784173
1989-02-10,16.625,16.875,16.375,16.625,282400,2.42039,0.0
1989-02-13,16.5,16.5,16.25,16.5,272000,2.402192,0.0
1989-02-14,16.375,17.0,16.375,16.875,130400,2.456787,0.030534351145
1989-02-15,17.0,17.125,16.875,17.0,431600,2.474985,0.0
1989-02-16,17.0,17.125,16.75,16.875,168400,2.456787,-0.00735294117647
1989-02-17,16.75,16.875,16.75,16.875,114800,2.456787,0.00746268656716
1989-02-21,16.75,16.875,16.5,16.5,193200,2.402192,-0.0149253731343
1989-02-22,16.375,16.375,16.0,16.375,193600,2.39853,0.0
1989-02-23,16.375,16.5,16.125,16.5,544800,2.416839,0.00763358778626
1989-02-24,16.5,16.75,16.375,16.625,882000,2.435149,0.00757575757576
1989-02-27,16.625,16.75,16.5,16.625,449600,2.435149,0.0
1989-02-28,16.625,16.625,16.25,16.5,569600,2.416839,-0.00751879699248
1989-03-01,16.375,16.5,16.25,16.375,110000,2.39853,0.0
1989-03-02,16.375,16.375,16.25,16.375,508400,2.39853,0.0
1989-03-03,16.25,16.5,16.25,16.5,1703200,2.416839,0.0153846153846
1989-03-06,16.375,16.5,16.125,16.25,1486400,2.38022,-0.00763358778626
1989-03-07,16.25,16.25,15.625,15.75,271200,2.306983,-0.0307692307692
1989-03-08,15.875,16.0,15.5,16.0,521200,2.343602,0.00787401574803
1989-03-09,15.75,16.0,15.75,16.0,863600,2.343602,0.015873015873
1989-03-10,16.0,16.0,15.75,15.75,339200,2.306983,-0.015625
1989-03-13,15.625,15.875,15.5,15.75,587200,2.306983,0.008
1989-03-14,15.875,16.0,15.875,16.0,219200,2.343602,0.00787401574803
1989-03-15,16.0,16.125,15.875,16.0,1554400,2.343602,0.0
1989-03-16,16.125,16.125,15.875,16.0,823600,2.343602,-0.0077519379845
1989-03-17,15.875,15.875,15.375,15.5,311200,2.270364,-0.0236220472441
1989-03-20,15.5,15.5,15.125,15.25,268800,2.233745,-0.0161290322581
1989-03-21,15.25,15.5,15.25,15.25,808400,2.233745,0.0
1989-03-22,15.375,15.5,15.0,15.25,2554800,2.233745,-0.00813008130081
1989-03-23,15.375,15.5,15.0,15.125,876400,2.215436,-0.0162601626016
1989-03-27,15.25,15.375,14.875,15.0,173200,2.197127,-0.016393442623
1989-03-28,15.125,15.875,15.0,15.5,518000,2.270364,0.0247933884298
1989-03-29,15.75,16.25,15.75,16.125,1122800,2.361911,0.0238095238095
1989-03-30,16.25,16.25,15.875,16.125,284000,2.361911,-0.00769230769231
1989-03-31,16.0,16.375,16.0,16.0,540000,2.343602,0.0
1989-04-03,16.125,16.25,16.0,16.125,158400,2.361911,0.0
1989-04-04,16.25,16.375,16.125,16.125,596000,2.361911,-0.00769230769231
1989-04-05,16.25,16.25,16.125,16.25,230400,2.38022,0.0
1989-04-06,16.375,16.375,16.125,16.25,209200,2.38022,-0.00763358778626
1989-04-07,16.375,16.375,15.875,16.0,199200,2.343602,-0.0229007633588
1989-04-10,16.0,16.375,16.0,16.25,672000,2.38022,0.015625
1989-04-11,16.25,16.25,16.125,16.25,401200,2.38022,0.0
1989-04-12,16.25,16.375,16.0,16.125,563600,2.361911,-0.00769230769231
1989-04-13,16.25,16.25,15.875,16.125,374400,2.361911,-0.00769230769231
1989-04-14,16.125,16.5,16.125,16.5,781600,2.416839,0.0232558139535
1989-04-17,16.5,17.375,16.5,17.375,781600,2.545005,0.0530303030303
1989-04-18,17.5,18.125,17.375,18.0,758000,2.636552,0.0285714285714
1989-04-19,17.75,18.125,17.625,18.0,657600,2.636552,0.0140845070423
1989-04-20,18.0,18.0,17.375,17.5,610800,2.563314,-0.0277777777778
1989-04-21,17.375,17.5,17.25,17.25,720400,2.526696,-0.00719424460432
1989-04-24,17.375,17.75,17.375,17.75,260000,2.599933,0.0215827338129
1989-04-25,17.75,18.0,17.625,17.75,1207600,2.599933,0.0
1989-04-26,17.75,17.75,17.375,17.625,772000,2.581624,-0.00704225352113
1989-04-27,17.75,18.0,17.75,17.875,840000,2.618243,0.00704225352113
1989-04-28,17.875,17.875,17.125,17.5,232800,2.563314,-0.020979020979
1989-05-01,17.5,17.5,17.0,17.0,117200,2.490077,-0.0285714285714
1989-05-02,17.25,17.375,17.0,17.0,148400,2.490077,-0.0144927536232
1989-05-03,16.875,17.0,16.875,17.0,278000,2.490077,0.00740740740741
1989-05-04,17.0,17.125,16.875,16.875,86000,2.471767,-0.00735294117647
1989-05-05,16.875,17.375,16.875,17.125,452000,2.508386,0.0148148148148
1989-05-08,17.125,17.125,16.875,17.125,295200,2.508386,0.0
1989-05-09,17.125,17.25,16.875,17.0,193200,2.490077,-0.00729927007299
1989-05-10,17.0,17.125,17.0,17.0,159600,2.490077,0.0
1989-05-11,17.0,17.375,16.875,17.375,226000,2.545005,0.0220588235294
1989-05-12,17.625,18.0,17.5,18.0,382400,2.636552,0.0212765957447
1989-05-15,18.0,18.125,17.75,17.875,887600,2.618243,-0.00694444444444
1989-05-16,17.75,17.875,17.625,17.625,189600,2.581624,-0.00704225352113
1989-05-17,17.875,18.0,17.5,17.875,608800,2.618243,0.0
1989-05-18,17.625,18.125,17.625,17.875,855600,2.618243,0.0141843971631
1989-05-19,18.0,18.125,17.875,18.0,696000,2.636552,0.0
1989-05-22,18.0,18.0,17.75,17.875,293600,2.618243,-0.00694444444444
1989-05-23,17.625,17.75,17.5,17.625,271200,2.581624,0.0
1989-05-24,17.375,17.625,17.375,17.625,40400,2.596355,0.0143884892086
1989-05-25,17.375,17.75,17.25,17.625,222000,2.596355,0.0143884892086
1989-05-26,17.625,17.625,17.375,17.625,79600,2.596355,0.0
1989-05-30,17.5,17.625,17.375,17.375,164400,2.559527,-0.00714285714286
1989-05-31,17.625,18.0,17.5,18.0,1340000,2.651596,0.0212765957447
1989-06-01,18.125,18.375,18.125,18.375,1404400,2.706838,0.0137931034483
1989-06-02,18.5,19.125,18.5,19.125,1428000,2.817321,0.0337837837838
1989-06-05,19.375,19.5,19.0,19.125,542000,2.817321,-0.0129032258065
1989-06-06,19.125,19.625,19.125,19.5,430800,2.872563,0.0196078431373
1989-06-07,19.75,21.125,19.75,21.0,1306000,3.093529,0.0632911392405
1989-06-08,20.875,21.5,20.875,21.125,1220000,3.111943,0.0119760479042
1989-06-09,21.0,21.375,20.875,21.125,513600,3.111943,0.00595238095238
1989-06-12,21.375,21.5,20.625,21.125,481200,3.111943,-0.0116959064327
1989-06-13,21.0,21.0,20.125,20.375,391600,3.00146,-0.0297619047619
1989-06-14,20.375,20.625,20.25,20.625,384000,3.038288,0.0122699386503
1989-06-15,20.625,20.875,20.5,20.5,244000,3.019874,-0.00606060606061
1989-06-16,20.5,20.875,20.375,20.625,599200,3.038288,0.00609756097561
1989-06-19,20.625,20.875,20.375,20.75,463600,3.056701,0.00606060606061
1989-06-20,21.0,21.25,20.75,21.0,290800,3.093529,0.0
1989-06-21,20.75,20.75,20.25,20.375,1326400,3.00146,-0.0180722891566
1989-06-22,20.5,20.875,20.5,20.75,334800,3.056701,0.0121951219512
1989-06-23,20.75,21.25,20.75,21.125,220800,3.111943,0.0180722891566
1989-06-26,21.0,21.125,20.5,20.5,99600,3.019874,-0.0238095238095
1989-06-27,20.875,21.0,20.5,20.75,289200,3.056701,-0.0059880239521
1989-06-28,20.875,20.875,20.375,20.5,427600,3.019874,-0.0179640718563
1989-06-29,20.5,20.5,19.375,19.625,511200,2.890977,-0.0426829268293
1989-06-30,19.375,19.375,18.625,19.25,339200,2.835735,-0.00645161290323
1989-07-03,19.125,19.25,18.875,19.0,400000,2.798907,-0.00653594771242
1989-07-05,18.875,19.875,18.875,19.875,701600,2.927804,0.0529801324503
1989-07-06,20.0,20.625,20.0,20.5,823600,3.019874,0.025
1989-07-07,20.875,21.0,20.5,20.75,476400,3.056701,-0.0059880239521
1989-07-10,20.875,21.375,20.75,21.375,716800,3.148771,0.0239520958084
1989-07-11,21.5,21.75,21.375,21.5,518800,3.167185,0.0
1989-07-12,21.625,22.25,21.5,22.25,547200,3.277668,0.028901734104
1989-07-13,22.125,22.875,21.75,22.75,368400,3.351323,0.0282485875706
1989-07-14,22.875,23.0,22.625,22.625,329200,3.332909,-0.0109289617486
1989-07-17,22.5,22.625,22.25,22.625,231600,3.332909,0.00555555555556
1989-07-18,22.625,22.625,22.375,22.5,281600,3.314496,-0.00552486187845
1989-07-19,22.375,22.375,22.125,22.25,367200,3.277668,-0.00558659217877
1989-07-20,22.25,22.25,22.0,22.0,306400,3.24084,-0.0112359550562
1989-07-21,22.0,22.0,21.625,21.625,141600,3.185598,-0.0170454545455
1989-07-24,21.5,21.875,21.25,21.5,416000,3.167185,0.0
1989-07-25,21.5,21.875,21.5,21.875,594400,3.222426,0.0174418604651
1989-07-26,22.0,22.875,22.0,22.875,427200,3.369737,0.0397727272727
1989-07-27,22.875,23.375,22.625,23.375,300800,3.443393,0.0218579234973
1989-07-28,23.125,23.375,22.75,23.0,465200,3.388151,-0.00540540540541
1989-07-31,23.0,23.25,22.875,23.0,188400,3.388151,0.0
1989-08-01,23.25,23.5,23.0,23.0,501600,3.388151,-0.010752688172
1989-08-02,22.875,22.875,21.625,21.875,794800,3.222426,-0.0437158469945
1989-08-03,21.75,22.25,21.0,22.25,565600,3.277668,0.0229885057471
1989-08-04,22.375,23.0,22.25,22.5,344800,3.314496,0.00558659217877
1989-08-07,22.625,23.875,22.375,23.5,142400,3.461806,0.0386740331492
1989-08-08,23.75,24.75,23.375,24.75,356000,3.645945,0.0421052631579
1989-08-09,24.625,24.75,24.25,24.25,258400,3.57229,-0.0152284263959
1989-08-10,24.125,24.875,24.0,24.875,317200,3.664359,0.0310880829016
1989-08-11,24.875,24.875,24.0,24.25,298000,3.57229,-0.0251256281407
1989-08-14,24.25,24.25,23.875,23.875,276400,3.517048,-0.0154639175258
1989-08-15,24.0,24.375,24.0,24.125,327600,3.553876,0.00520833333333
1989-08-16,24.125,24.25,23.875,24.125,92800,3.553876,0.0
1989-08-17,23.875,24.125,23.75,23.875,208400,3.517048,0.0
1989-08-18,24.0,24.25,23.5,24.0,326400,3.535462,0.0
1989-08-21,24.25,24.5,24.0,24.125,97200,3.553876,-0.00515463917526
1989-08-22,24.25,24.25,23.875,24.0,207200,3.535462,-0.0103092783505
1989-08-23,24.375,25.25,24.375,25.125,391200,3.701187,0.0307692307692
1989-08-24,25.25,26.375,25.25,26.0,1317200,3.830084,0.029702970297
1989-08-25,25.625,26.0,25.0,25.0,286000,3.696992,-0.0243902439024
1989-08-28,25.0,25.125,24.625,25.0,262400,3.696992,0.0
1989-08-29,25.0,25.125,24.625,24.875,170000,3.678507,-0.005
1989-08-30,24.875,25.0,24.25,24.375,260400,3.604567,-0.0201005025126
1989-08-31,24.5,24.5,24.0,24.5,193200,3.623052,0.0
1989-09-01,24.5,24.625,24.25,24.5,126800,3.623052,0.0
1989-09-05,24.5,24.75,24.25,24.75,252400,3.660022,0.0102040816327
1989-09-06,24.75,24.875,24.375,24.625,196000,3.641537,-0.00505050505051
1989-09-07,24.75,24.75,24.5,24.625,110400,3.641537,-0.00505050505051
1989-09-08,24.625,24.875,24.5,24.875,380000,3.678507,0.010152284264
1989-09-11,24.875,24.875,24.5,24.5,76000,3.623052,-0.0150753768844
1989-09-12,24.5,24.75,24.25,24.75,87600,3.660022,0.0102040816327
1989-09-13,24.625,24.875,24.5,24.625,43600,3.641537,0.0
