Date,Open,High,Low,Close,Volume,Adj Close,Returns
2002-12-06,39.000001,43.200002,38.900001,42.9,27551000,6.049525,
2002-12-09,42.7,42.800002,41.139998,42.020001,3149500,5.925432,-0.0159250351288
2002-12-10,42.049999,43.299999,41.65,42.750001,1723000,6.028373,0.0166468969476
2002-12-11,42.7,45.500002,42.3,45.06,2549000,6.354116,0.0552693208431
2002-12-12,45.06,45.06,43.600001,43.909998,1355500,6.191949,-0.0255215712383
2002-12-13,43.909998,43.969998,43.249998,43.649998,987500,6.155285,-0.00592120272927
2002-12-16,43.499999,43.75,42.950001,43.099999,798000,6.077728,-0.00919540251024
2002-12-17,43.000002,44.000001,42.800002,43.270001,1646000,6.1017,0.00627904621958
2002-12-18,43.200002,43.200002,42.550001,42.670002,742000,6.017092,-0.0122685179505
2002-12-19,42.550001,42.7,42.17,42.3,684000,5.964916,-0.00587546402173
2002-12-20,42.399998,44.6,41.999998,44.450002,904500,6.268098,0.048349153224
2002-12-23,44.349999,44.549999,43.35,43.400002,638500,6.120032,-0.0214204514413
2002-12-24,43.600001,43.600001,42.96,43.049998,218000,6.070677,-0.0126147474171
2002-12-26,43.099999,43.150001,42.550001,42.600002,325000,6.007221,-0.0116008587378
2002-12-27,42.5,42.5,41.750002,41.999998,830500,5.922611,-0.0117647529412
2002-12-30,42.3,42.849998,42.1,42.319999,1076500,5.967736,0.000472789598109
2002-12-31,42.270002,43.800001,42.270002,43.660002,1778000,6.156696,0.0328838404124
2003-01-02,43.660002,43.95,43.449998,43.720002,315000,6.165157,0.00137425554859
2003-01-03,43.720002,45.799999,43.520002,45.799999,861500,6.458467,0.0475754095345
2003-01-06,45.029998,48.35,45.029998,48.099999,1874500,6.7828,0.068176796277
2003-01-07,48.000002,48.600001,47.249999,48.02,1383000,6.771519,0.000416624982641
2003-01-08,48.03,48.270001,47.670002,48.010001,411000,6.770109,-0.000416385592338
2003-01-09,48.099999,49.200001,47.659998,49.050002,649000,6.916765,0.0197505825312
2003-01-10,48.850002,49.349999,48.709998,48.990002,844000,6.908304,0.00286591595227
2003-01-13,49.000001,49.679999,48.870001,49.619999,810000,6.997143,0.0126530201499
2003-01-14,49.619999,50.0,49.070001,49.099998,554000,6.923815,-0.0104796656687
2003-01-15,48.400002,48.400002,46.760001,47.049999,1459000,6.634735,-0.0278926228144
2003-01-16,46.999998,46.999998,45.27,45.380001,725000,6.399241,-0.0344680227433
2003-01-17,45.250001,45.52,44.8,45.019999,590500,6.348475,-0.00508291701474
2003-01-21,45.050001,45.2,44.260001,44.450002,468000,6.268098,-0.013318512468
2003-01-22,44.299998,44.400001,44.099998,44.15,163500,6.225793,-0.00338595952081
2003-01-23,44.200001,45.749998,44.130001,45.430002,476000,6.406292,0.0278280762935
2003-01-24,45.349998,47.1,45.0,46.989999,685000,6.626274,0.0361631989488
2003-01-27,46.789999,46.900001,46.199999,46.25,209000,6.521924,-0.0115409064232
2003-01-28,46.300001,46.58,45.999999,46.009998,364500,6.48808,-0.00626356357962
2003-01-29,45.900002,46.999998,45.760002,46.500001,401500,6.557177,0.0130718730688
2003-01-30,46.500001,46.589999,43.800001,44.200001,735000,6.232844,-0.0494623645277
2003-01-31,44.000001,44.050002,42.010002,42.5,2886000,5.993119,-0.0340909310434
2003-02-03,42.449999,42.9,42.160001,42.350001,780000,5.971967,-0.0023556655443
2003-02-04,42.199998,42.199998,41.550002,41.999998,740000,5.922611,-0.0047393367175
2003-02-05,41.950002,41.999998,41.350002,41.739998,1159000,5.885948,-0.00500605458851
2003-02-06,41.700001,42.020001,41.45,41.500001,1077500,5.852105,-0.00479616295453
2003-02-07,41.599998,42.150002,41.550002,42.11,744500,5.938123,0.0122596640509
2003-02-10,42.11,43.400002,42.049999,43.000002,278500,6.063627,0.0211351697934
2003-02-11,43.000002,43.530002,42.9,42.909999,222500,6.050935,-0.0020930929259
2003-02-12,42.750001,42.950001,42.480001,42.909999,355500,6.050935,0.00374264318731
2003-02-13,42.849998,43.720002,42.820001,43.499999,265500,6.134133,0.015169218911
2003-02-14,43.699999,44.8,43.699999,44.499998,958000,6.275148,0.0183066136912
2003-02-18,44.749999,44.8,44.15,44.520001,753500,6.277969,-0.00513962022658
2003-02-19,44.530001,45.0,44.400001,44.770002,420500,6.313222,0.00538964730767
