Date,Open,High,Low,Close,Volume,Adj Close,Returns
1984-12-18,74.25,75.875038,74.25,75.75,336000,4.6038,
1984-12-19,75.5,76.875038,75.5,76.75,268000,4.664577,0.0165562913907
1984-12-20,76.75,77.5,76.75,77.5,153600,4.710159,0.00977198697068
1984-12-21,77.5,77.5,76.0,76.5,92800,4.649382,-0.0129032258065
1984-12-24,76.375038,77.0,76.375038,77.0,44800,4.679771,0.00818280443932
1984-12-26,76.75,78.25,76.75,78.124962,104800,4.748142,0.0179148143322
1984-12-27,78.375038,78.375038,77.5,77.5,36800,4.710159,-0.0111647537574
1984-12-28,77.75,78.0,77.75,77.75,199200,4.725353,0.0
1984-12-31,78.0,78.0,77.5,77.624962,55200,4.717753,-0.00480817948718
1985-01-02,77.75,77.75,76.25,76.624962,86400,4.656977,-0.0144699421222
1985-01-03,76.875038,77.5,76.875038,77.0,96800,4.679771,0.00162552114771
1985-01-04,77.124962,77.25,76.75,76.75,128000,4.664577,-0.00486174631762
1985-01-07,77.0,77.25,76.75,77.25,135200,4.694965,0.00324675324675
1985-01-08,77.5,77.5,77.25,77.25,96800,4.694965,-0.00322580645161
1985-01-09,77.624962,78.375038,77.624962,78.124962,404800,4.748142,0.00644122698572
1985-01-10,77.875038,79.5,77.875038,79.5,339200,4.831711,0.0208662755323
1985-01-11,80.0,81.5,80.0,80.624962,740000,4.900082,0.007812025
1985-01-14,81.0,84.0,81.0,83.375038,612800,5.067221,0.0293214567901
1985-01-15,84.0,85.5,83.75,84.5,1579200,5.135592,0.00595238095238
1985-01-16,85.0,85.375038,84.75,85.25,529600,5.181175,0.00294117647059
1985-01-17,85.624962,86.0,85.25,85.25,122400,5.181175,-0.00437912019161
1985-01-18,85.0,85.124962,83.75,84.75,320800,5.150786,-0.00294117647059
1985-01-21,84.75,85.0,84.5,85.0,252800,5.16598,0.00294985250737
1985-01-22,85.0,85.25,84.5,84.875038,380000,5.158386,-0.00147014117647
1985-01-23,84.875038,85.75,84.25,85.75,1116800,5.211563,0.0103088260178
1985-01-24,86.25,86.5,83.5,83.5,715200,5.074816,-0.031884057971
1985-01-25,83.75,85.25,83.75,85.0,173600,5.16598,0.0149253731343
1985-01-28,85.0,87.75,85.0,87.124962,715200,5.295128,0.0249995529412
1985-01-29,86.875038,87.0,86.124962,87.0,547200,5.287533,0.00143841088162
1985-01-30,87.25,88.5,87.25,87.5,181600,5.317921,0.00286532951289
1985-01-31,87.5,87.5,86.5,86.75,76000,5.272339,-0.00857142857143
1985-02-01,86.75,88.0,86.75,88.0,324000,5.348309,0.014409221902
1985-02-04,88.0,88.0,87.75,88.0,228000,5.348309,0.0
1985-02-05,88.25,88.25,83.0,83.75,1265600,5.09001,-0.0509915014164
