Date,Open,High,Low,Close,Volume,Adj Close,Returns
2001-12-13,14.26998,17.7,14.26998,17.200019,28186800,2.86667,
2001-12-14,17.20998,17.29002,16.450019,16.69998,5653600,2.78333,-0.0296339681975
2001-12-17,16.69998,17.099999,16.60002,16.98,878400,2.83,0.0167676847517
2001-12-18,16.90002,17.37,16.69998,17.260019,1792800,2.87667,0.0213016907672
2001-12-19,17.25,21.3,17.200019,20.71002,1676400,3.45167,0.200580869565
2001-12-20,20.400001,22.8,19.750021,19.84998,1927600,3.30833,-0.0269618124038
2001-12-21,20.08998,20.099999,19.84998,19.90002,1622800,3.31667,-0.00945545988597
2001-12-24,19.93998,20.25,19.609981,19.95,484000,3.325,0.000502508026588
2001-12-26,19.90002,20.59998,19.81998,20.320021,1057600,3.38667,0.0211055566778
2001-12-27,20.500021,20.890019,20.280001,20.80002,1186000,3.46667,0.01463408257
2001-12-28,20.65002,21.799981,20.65002,21.499979,554400,3.58333,0.0411602022661
2001-12-31,21.880021,23.099999,21.27,21.94998,225600,3.65833,0.00319739181238
2002-01-02,22.669981,22.669981,21.840001,22.000021,724000,3.66667,-0.0295527376049
2002-01-03,21.88998,22.05,21.88998,22.000021,164400,3.66667,0.00502700322248
2002-01-04,22.03998,22.03998,21.39,21.75,274800,3.625,-0.013156999235
2002-01-07,21.45,21.69,20.400001,20.56998,394800,3.42833,-0.0410265734266
2002-01-08,20.61,21.19998,20.55,21.19998,592000,3.53333,0.0286259097525
2002-01-09,21.19998,21.19998,20.71998,20.71998,348400,3.45333,-0.0226415307939
2002-01-10,20.849999,20.849999,19.84002,20.56002,276000,3.42667,-0.0139078663745
2002-01-11,20.260019,21.700019,20.25,21.19998,97200,3.53333,0.0463948725813
2002-01-14,21.40002,21.40002,20.77998,20.95998,64800,3.49333,-0.020562597605
2002-01-15,21.0,21.049981,20.80002,21.0,47200,3.5,0.0
2002-01-16,21.0,21.06,20.05002,20.05002,74800,3.34167,-0.0452371428571
2002-01-17,20.02002,20.52,18.19998,19.549981,518400,3.25833,-0.0234784480735
2002-01-18,19.32,19.690021,19.12002,19.5,416800,3.25,0.00931677018634
2002-01-22,19.30002,20.200019,19.2,20.200019,235200,3.36667,0.0466320242155
2002-01-23,19.86,21.70998,19.86,21.70998,115600,3.61833,0.0931510574018
2002-01-24,21.58998,21.840001,21.0,21.55002,54000,3.59167,-0.00185085859274
2002-01-25,21.55002,21.64998,21.150001,21.64998,126400,3.60833,0.00463851077632
2002-01-28,21.45,21.45,19.750021,20.320021,692400,3.38667,-0.0526796736597
2002-01-29,20.239981,21.0,20.239981,20.500021,371200,3.41667,0.0128478381477
2002-01-30,20.50998,20.50998,20.11002,20.119979,534000,3.35333,-0.0190151818773
2002-01-31,20.059979,20.359981,18.10002,18.499979,1617600,3.08333,-0.0777667813112
2002-02-01,19.2,19.999979,19.000021,19.39998,908800,3.23333,0.010415625
2002-02-04,19.39998,19.60002,18.55002,18.799981,3652800,3.13333,-0.0309278153895
2002-02-05,18.81,19.12002,18.81,19.09998,22800,3.18333,0.0154162679426
2002-02-06,19.09998,20.17002,19.09998,20.099999,285600,3.35,0.052357070531
2002-02-07,19.95,20.099999,19.21002,19.21002,49200,3.20167,-0.0370917293233
2002-02-08,19.21002,19.21002,19.21002,19.21002,4000,3.20167,0.0
2002-02-11,19.60002,19.84002,19.249979,19.249979,18000,3.20833,-0.0178592164702
2002-02-12,19.2,19.450019,19.03002,19.27002,24400,3.21167,0.003646875
2002-02-13,19.2,19.2,18.75,18.780001,418800,3.13,-0.0218749479167
2002-02-14,18.900001,19.27002,18.900001,19.27002,69600,3.21167,0.0195777238319
2002-02-15,19.14,19.15002,18.599999,19.000021,481600,3.16667,-0.00731342737722
2002-02-19,19.05,19.09998,18.760019,18.760019,15600,3.12667,-0.0152220997375
2002-02-20,18.76998,19.05,18.760019,18.859981,181600,3.14333,0.00479494384118
2002-02-21,18.99,19.15002,18.760019,18.94998,277200,3.15833,-0.00210742496051
2002-02-22,18.94998,19.08,18.799981,18.799981,285600,3.13333,-0.00791552286599
2002-02-25,18.94998,19.06998,18.760019,18.900001,1034800,3.15,-0.00263741703157
2002-02-26,18.900001,19.14,18.81,18.91002,112800,3.15167,0.000530105792058
2002-02-27,18.820021,19.000021,18.76998,18.82998,664000,3.13833,0.000529170504114
