Date,Open,High,Low,Close,Volume,Adj Close,Returns
1986-07-09,42.75,44.25,42.25,44.0,1116800,8.684334,
1986-07-10,44.25,44.5,42.75,43.75,595600,8.634991,-0.0112994350282
1986-07-11,43.5,43.75,42.25,42.25,800400,8.338934,-0.0287356321839
1986-07-14,42.5,42.5,40.5,41.0,738000,8.09222,-0.0352941176471
1986-07-15,40.75,40.75,37.25,39.75,2059200,7.845506,-0.0245398773006
1986-07-16,39.75,42.0,39.75,40.5,1160400,7.993535,0.0188679245283
1986-07-17,40.5,41.0,40.0,40.75,1046000,8.042878,0.00617283950617
1986-07-18,40.75,41.375,40.0,41.0,1420000,8.09222,0.00613496932515
1986-07-21,41.0,41.25,40.75,41.0,322800,8.09222,0.0
1986-07-22,41.0,41.125,40.75,40.75,390800,8.042878,-0.00609756097561
1986-07-23,41.0,41.0,40.0,40.25,1004000,7.944192,-0.0182926829268
1986-07-24,40.25,40.5,39.25,39.75,1071600,7.845506,-0.0124223602484
1986-07-25,39.75,40.5,39.5,40.25,688400,7.944192,0.0125786163522
1986-07-28,40.25,41.0,39.875,40.5,414800,7.993535,0.00621118012422
1986-07-29,40.0,40.75,40.0,40.75,278400,8.042878,0.01875
1986-07-30,40.25,40.5,39.5,40.5,459200,7.993535,0.00621118012422
1986-07-31,40.5,41.0,40.0,40.25,1213600,7.944192,-0.00617283950617
1986-08-01,40.0,40.5,39.0,39.0,1118000,7.697478,-0.025
1986-08-04,39.25,39.25,38.125,39.0,892400,7.697478,-0.00636942675159
1986-08-05,39.0,39.0,38.0,38.25,868800,7.54945,-0.0192307692308
1986-08-06,38.25,38.5,36.5,36.5,550400,7.20405,-0.0457516339869
1986-08-07,36.0,36.25,32.5,33.5,7560000,6.611936,-0.0694444444444
1986-08-08,33.75,35.75,33.5,35.5,2802000,7.006679,0.0518518518519
1986-08-11,36.0,36.5,35.5,36.5,1428000,7.20405,0.0138888888889
1986-08-12,36.5,37.75,36.5,37.5,1155200,7.401421,0.027397260274
1986-08-13,37.75,40.375,37.5,38.75,865600,7.648135,0.0264900662252
1986-08-14,39.0,39.25,37.5,38.0,762000,7.500107,-0.025641025641
1986-08-15,38.0,38.0,36.75,37.5,654400,7.401421,-0.0131578947368
1986-08-18,37.75,39.5,37.0,38.75,606800,7.648135,0.0264900662252
1986-08-19,39.0,39.0,38.0,38.25,2744000,7.54945,-0.0192307692308
1986-08-20,38.25,38.25,37.5,38.0,500000,7.500107,-0.00653594771242
1986-08-21,38.0,38.25,37.75,37.75,353200,7.450764,-0.00657894736842
1986-08-22,38.0,38.25,37.5,37.5,286000,7.401421,-0.0131578947368
1986-08-25,38.0,38.0,36.5,37.0,766400,7.302735,-0.0263157894737
1986-08-26,36.75,37.5,36.75,37.5,408800,7.401421,0.0204081632653
1986-08-27,37.5,37.5,36.75,37.25,686400,7.352078,-0.00666666666667
1986-08-28,37.25,37.25,36.5,36.75,286000,7.253393,-0.0134228187919
1986-08-29,36.5,37.0,36.25,36.5,1128800,7.20405,0.0
1986-09-02,36.75,36.75,34.75,35.0,916800,6.907993,-0.047619047619
1986-09-03,35.0,35.75,34.75,35.75,684400,7.056021,0.0214285714286
1986-09-04,36.0,37.25,35.5,37.25,576800,7.352078,0.0347222222222
1986-09-05,37.25,37.75,36.0,36.0,961600,7.105364,-0.0335570469799
1986-09-08,36.5,36.5,34.5,35.0,1793200,6.907993,-0.041095890411
1986-09-09,34.75,35.0,34.0,34.5,388000,6.809307,-0.00719424460432
1986-09-10,34.5,34.5,34.0,34.0,802400,6.710622,-0.0144927536232
1986-09-11,34.25,34.25,31.0,31.75,6240000,6.266537,-0.0729927007299
1986-09-12,31.5,31.75,30.25,30.5,2066800,6.019823,-0.031746031746
1986-09-15,30.5,31.0,29.75,30.5,1746800,6.019823,0.0
1986-09-16,30.25,30.5,29.25,29.75,1547200,5.871794,-0.0165289256198
1986-09-17,30.0,30.0,28.25,29.5,997600,5.822451,-0.0166666666667
