Date,Open,High,Low,Close,Volume,Adj Close,Returns
1995-12-08,26.000041,30.500041,25.5,30.0,44502000,2.5,
1995-12-11,31.125,35.000041,30.999959,33.0,8887200,2.75,0.0602409638554
1995-12-12,32.750041,34.749959,32.000041,32.000041,4262400,2.66667,-0.0229007346892
1995-12-13,31.5,32.25,31.250041,31.374959,2055600,2.61458,-0.00396955555556
1995-12-14,30.999959,31.749959,26.750041,29.25,3476400,2.4375,-0.0564503649827
1995-12-15,28.749959,29.25,28.250041,28.250041,948000,2.35417,-0.0173884769714
1995-12-18,27.999959,28.250041,24.75,25.250041,2029200,2.10417,-0.0982115009526
1995-12-19,24.999959,27.500041,24.999959,27.249959,2164800,2.27083,0.0900001476002
1995-12-20,27.500041,27.500041,26.750041,27.0,1099200,2.25,-0.0181832819813
1995-12-21,26.750041,27.500041,26.750041,27.500041,662400,2.29167,0.0280373402045
1995-12-22,27.500041,27.500041,26.750041,27.249959,634800,2.27083,-0.00909387735095
1995-12-26,27.500041,27.500041,26.750041,26.750041,259200,2.22917,-0.0272726866116
1995-12-27,26.750041,30.75,26.750041,30.75,1314000,2.5625,0.149530948382
1995-12-28,30.0,30.999959,28.749959,30.249959,618000,2.52083,0.00833196666667
1995-12-29,30.249959,33.0,30.249959,32.499959,855600,2.70833,0.0743802661022
1996-01-02,32.750041,33.0,32.000041,32.000041,450000,2.66667,-0.0229007346892
1996-01-03,32.000041,32.499959,29.25,29.25,692400,2.4375,-0.0859386711411
1996-01-04,28.250041,28.749959,27.0,27.75,1677600,2.3125,-0.0177005406824
1996-01-05,27.0,27.0,25.250041,25.749959,2160000,2.14583,-0.0462978148148
1996-01-08,26.499959,26.499959,25.5,26.499959,477600,2.20833,0.0
1996-01-09,25.5,26.499959,24.999959,24.999959,981600,2.08333,-0.0196094509804
1996-01-10,25.749959,25.749959,23.49996,24.249959,1050000,2.02083,-0.0582525199361
1996-01-11,25.250041,28.5,24.999959,26.750041,1106400,2.22917,0.0594058441331
1996-01-12,26.750041,27.249959,24.999959,27.249959,880800,2.27083,0.0186884947204
1996-01-15,27.249959,29.25,27.249959,27.999959,1008000,2.33333,0.0275229771905
1996-01-16,28.250041,28.250041,24.75,26.25,470400,2.1875,-0.0707978087536
1996-01-17,26.000041,27.75,26.000041,27.249959,348000,2.27083,0.0480736934223
1996-01-18,27.249959,27.75,27.0,27.0,384000,2.25,-0.00917282114076
1996-01-19,27.249959,27.999959,27.249959,27.999959,326400,2.33333,0.0275229771905
1996-01-22,27.500041,27.999959,27.500041,27.75,360000,2.3125,0.00908940463034
1996-01-23,32.499959,32.750041,30.500041,31.250041,3007200,2.60417,-0.0384590639022
1996-01-24,30.75,31.5,30.624959,30.624959,610800,2.55208,-0.00406637398374
1996-01-25,30.75,31.749959,30.75,30.75,500400,2.5625,0.0
1996-01-26,31.749959,31.749959,30.75,31.749959,156000,2.64583,0.0
1996-01-29,31.749959,31.749959,30.75,31.749959,219600,2.64583,0.0
1996-01-30,31.5,33.0,31.5,31.749959,434400,2.64583,0.00793520634921
1996-01-31,32.25,32.25,31.250041,31.749959,520800,2.64583,-0.0155051472868
1996-02-01,31.250041,31.749959,30.999959,30.999959,62400,2.58333,-0.00800261350057
1996-02-02,31.749959,34.749959,31.250041,34.749959,750000,2.89583,0.0944883109928
1996-02-05,34.5,36.500041,34.5,36.0,529200,3.0,0.0434782608696
1996-02-06,36.0,38.000041,36.0,37.5,675600,3.125,0.0416666666667
1996-02-07,37.5,38.000041,36.500041,36.75,842400,3.0625,-0.02
1996-02-08,36.75,37.250041,36.75,36.75,181200,3.0625,0.0
1996-02-09,36.75,37.250041,36.75,37.250041,246000,3.10417,0.0136065578231
1996-02-12,36.75,40.749959,36.75,39.249959,1652400,3.27083,0.0680260952381
1996-02-13,39.0,40.250041,38.499959,39.75,1402800,3.3125,0.0192307692308
1996-02-14,40.5,42.0,39.75,41.25,723600,3.4375,0.0185185185185
1996-02-15,41.25,45.500041,41.25,42.249959,1340400,3.52083,0.024241430303
1996-02-16,42.999959,44.25,42.500041,44.000041,537600,3.66667,0.0232577431062
1996-02-20,43.250041,44.25,43.250041,43.374959,289200,3.61458,0.00288827471863
1996-02-21,44.000041,44.25,43.250041,43.95312,368400,3.66276,-0.00106638536996
1996-02-22,44.25,49.5,44.000041,49.5,729600,4.125,0.118644067797
1996-02-23,50.000038,52.250038,50.000038,51.375,1137600,4.28125,0.0274992191006
1996-02-26,51.249962,52.250038,50.000038,52.250038,1021200,4.35417,0.0195136925175
1996-02-27,52.5,55.749962,51.999962,54.75,1328400,4.5625,0.0428571428571
1996-02-28,54.249962,54.500038,46.5,47.25,1225200,3.9375,-0.129031647985
1996-02-29,46.749959,47.25,40.5,43.5,6306000,3.625,-0.0695179005398
1996-03-01,42.999959,43.749959,39.500041,42.500041,2108400,3.54167,-0.0116260110853
1996-03-04,43.250041,45.999959,42.75,45.75,1191600,3.8125,0.0578024654358
1996-03-05,47.000041,48.500038,45.875041,47.25,573600,3.9375,0.0053182719564
1996-03-06,47.25,47.25,44.499959,45.249959,306000,3.77083,-0.0423289100529
1996-03-07,44.25,44.25,39.249959,39.999959,1844400,3.33333,-0.0960461242938
1996-03-08,39.0,39.249959,35.000041,36.500041,3118800,3.04167,-0.0641015128205
1996-03-11,37.5,38.750041,36.500041,38.000041,3459600,3.16667,0.0133344266667
1996-03-12,38.25,46.250041,37.5,46.125,4461600,3.84375,0.205882352941
1996-03-13,48.999962,51.375,44.750041,46.68744,3696000,3.89062,-0.0471943631303
1996-03-14,42.999959,43.749959,41.625,42.75,13941600,3.5625,-0.00581300554263
1996-03-15,43.749959,45.500041,43.5,44.25,4718400,3.6875,0.0114295192825
1996-03-18,45.249959,45.500041,44.625,44.750041,1386000,3.72917,-0.0110479216125
1996-03-19,45.500041,45.500041,44.000041,44.000041,1926000,3.66667,-0.0329670032605
1996-03-20,44.25,44.25,41.750041,42.999959,1627200,3.58333,-0.0282495141243
1996-03-21,43.749959,43.749959,42.249959,42.249959,756000,3.52083,-0.0342857464164
1996-03-22,41.750041,43.5,41.750041,43.5,1545600,3.625,0.0419151444666
1996-03-25,42.999959,43.5,42.999959,42.999959,315600,3.58333,0.0
1996-03-26,42.999959,43.5,42.500041,42.999959,576000,3.58333,0.0
1996-03-27,42.500041,43.5,42.500041,42.999959,814800,3.58333,0.011762765123
1996-03-28,42.999959,43.5,42.75,43.5,700800,3.625,0.0116288715531
1996-03-29,43.5,45.0,42.999959,44.25,1890000,3.6875,0.0172413793103
1996-04-01,43.749959,46.5,43.749959,45.75,1191600,3.8125,0.0457152656989
1996-04-02,46.5,47.499959,45.999959,47.000041,903600,3.91667,0.0107535698925
1996-04-03,47.499959,48.75,47.000041,48.249962,1051200,4.02083,0.015789550471
1996-04-04,48.249962,49.5,48.249962,49.250038,1952400,4.10417,0.0207269800544
1996-04-08,48.500038,48.999962,47.000041,48.0,573600,4.0,-0.0103100537777
1996-04-09,48.999962,51.0,48.500038,51.0,3057600,4.25,0.0408171336949
1996-04-10,51.0,51.0,49.250038,50.25,1282800,4.1875,-0.0147058823529
1996-04-11,49.749962,50.750038,49.250038,49.749962,501600,4.14583,0.0
1996-04-12,49.250038,51.0,49.250038,50.750038,1641600,4.22917,0.0304568292922
1996-04-15,51.0,54.75,50.25,54.249962,818400,4.52083,0.063724745098
1996-04-16,55.374962,55.749962,54.75,54.75,1227600,4.5625,-0.0112860032301
1996-04-17,54.75,55.5,53.25,54.0,542400,4.5,-0.013698630137
1996-04-18,53.499962,55.749962,53.499962,55.749962,444000,4.64583,0.042056104638
1996-04-19,56.000038,63.249962,55.749962,61.749962,3902400,5.14583,0.102677144612
