Date,Open,High,Low,Close,Volume,Adj Close,Returns
1984-12-17,39.0,39.25,38.375038,39.0,741600,2.451062,
1984-12-18,39.25,40.5,39.25,40.375038,784800,2.537481,0.028663388535
1984-12-19,40.124962,40.25,39.0,39.375038,1562400,2.474633,-0.018689712404
1984-12-20,39.0,39.5,38.75,39.25,664800,2.466774,0.00641025641026
1984-12-21,39.0,39.0,37.0,37.5,578400,2.356791,-0.0384615384615
1984-12-24,37.75,38.0,37.75,37.875038,170400,2.380361,0.00331226490066
1984-12-26,38.0,38.124962,37.75,38.0,348000,2.388215,0.0
1984-12-27,38.0,38.5,37.75,37.75,380800,2.372503,-0.00657894736842
1984-12-28,37.875038,37.875038,37.25,37.25,1130400,2.341079,-0.0165026369082
1984-12-31,37.124962,37.25,36.25,37.25,911200,2.341079,0.00336803038344
1985-01-02,37.0,37.0,35.25,35.25,1360000,2.215383,-0.0472972972973
1985-01-03,35.75,36.624962,35.75,36.5,996800,2.293943,0.020979020979
1985-01-04,36.25,37.25,36.124962,36.875038,421600,2.317513,0.0172424275862
1985-01-07,37.375038,37.624962,37.0,37.124962,580000,2.333221,-0.00669098985264
1985-01-08,37.25,37.375038,36.25,36.5,973600,2.293943,-0.0201342281879
1985-01-09,37.0,37.25,36.875038,36.875038,496800,2.317513,-0.00337735135135
1985-01-10,36.875038,37.75,36.875038,37.624962,444800,2.364644,0.0203369010765
1985-01-11,37.25,38.75,37.25,38.75,2984000,2.435351,0.0402684563758
1985-01-14,38.624962,40.0,38.5,39.75,3213600,2.498198,0.0291272260669
1985-01-15,39.875038,40.0,39.5,39.624962,3285600,2.49034,-0.00627149245601
1985-01-16,39.375038,40.0,39.25,39.875038,1461600,2.529033,0.0126984004434
1985-01-17,39.875038,39.875038,39.624962,39.875038,477600,2.529033,0.0
1985-01-18,39.875038,39.875038,39.624962,39.75,668800,2.521103,-0.003135746228
1985-01-21,39.624962,40.25,39.5,40.0,2425600,2.536959,0.00946469046456
1985-01-22,40.124962,42.25,40.124962,41.75,2204000,2.647951,0.0404994277627
1985-01-23,41.624962,41.75,41.25,41.5,726400,2.632095,-0.00300209283074
1985-01-24,41.624962,42.0,41.5,42.0,1661600,2.663807,0.0090099301472
1985-01-25,41.875038,42.0,39.375038,41.375038,1444800,2.624169,-0.0119402876721
1985-01-28,41.5,41.75,40.75,41.0,627200,2.600383,-0.0120481927711
1985-01-29,40.75,40.875038,40.25,40.75,926400,2.584527,0.0
1985-01-30,41.0,41.624962,41.0,41.624962,1828800,2.640021,0.0152429756098
1985-01-31,41.624962,41.624962,40.75,41.0,827200,2.600383,-0.0150141158087
1985-02-01,41.25,41.25,40.75,40.875038,683200,2.592457,-0.00908998787879
1985-02-04,41.124962,41.5,41.124962,41.5,736800,2.632095,0.0091194734721
1985-02-05,42.25,43.25,42.25,42.875038,1245600,2.719305,0.0147937988166
1985-02-06,43.375038,43.375038,42.75,42.75,581600,2.711375,-0.0144100853583
1985-02-07,42.75,43.0,42.5,42.75,413600,2.711375,0.0
1985-02-08,42.75,43.25,42.75,43.0,683200,2.727231,0.00584795321637
1985-02-11,43.0,43.25,43.0,43.124962,282400,2.735157,0.00290609302326
1985-02-12,43.25,43.375038,42.875038,42.875038,547200,2.719305,-0.0086696416185
1985-02-13,43.0,44.875038,43.0,44.75,486400,2.838223,0.0406976744186
1985-02-14,44.875038,45.5,44.375038,44.375038,2080000,2.814441,-0.0111420518463
1985-02-15,44.124962,44.624962,44.124962,44.5,696800,2.822367,0.00849945207885
1985-02-19,44.25,44.375038,43.5,44.124962,924800,2.798581,-0.00282571751412
1985-02-20,44.0,44.0,42.75,43.0,938400,2.727231,-0.0227272727273
1985-02-21,42.75,43.0,42.0,42.5,547200,2.695519,-0.00584795321637
1985-02-22,42.375038,42.5,41.5,41.5,471200,2.632095,-0.0206498457889
1985-02-25,41.5,41.5,40.875038,41.25,765600,2.616239,-0.00602409638554
1985-02-26,41.25,42.5,41.25,42.0,888000,2.663807,0.0181818181818
1985-02-27,42.0,42.0,41.624962,41.624962,566400,2.640021,-0.00892947619048
1985-02-28,41.875038,42.25,41.0,42.25,952800,2.679663,0.00895430829221
1985-03-01,42.25,43.624962,42.25,43.0,1145600,2.727231,0.0177514792899
1985-03-04,43.25,43.25,41.0,41.624962,748000,2.640021,-0.037573132948
1985-03-05,41.75,42.624962,41.624962,42.624962,1109600,2.703445,0.0209571736527
1985-03-06,42.75,43.375038,42.624962,42.75,420800,2.711375,0.0
1985-03-07,43.25,43.25,42.624962,43.25,630400,2.743087,0.0
1985-03-08,43.124962,43.5,43.124962,43.124962,168000,2.735157,0.0
