Date,Open,High,Low,Close,Volume,Adj Close,Returns
2007-08-03,11.61,13.39,11.6,12.9,6608700,12.9,
2007-08-06,13.0,13.23,12.07,12.7,796500,12.7,-0.0230769230769
2007-08-07,12.64,12.9,12.37,12.6,450100,12.6,-0.00316455696203
2007-08-08,12.65,13.0,12.52,12.88,225500,12.88,0.0181818181818
2007-08-09,12.45,13.1,12.27,12.94,131900,12.94,0.0393574297189
2007-08-10,12.72,13.2,12.61,12.81,236000,12.81,0.00707547169811
2007-08-13,12.91,13.21,12.9,13.07,240400,13.07,0.012393493416
2007-08-14,13.45,13.49,12.81,13.01,45600,13.01,-0.0327137546468
2007-08-15,12.99,13.1,12.6,12.88,298900,12.88,-0.00846805234796
2007-08-16,12.6,12.73,12.5,12.7,78900,12.7,0.00793650793651
2007-08-17,12.49,13.0,12.49,13.0,297300,13.0,0.0408326661329
2007-08-20,12.89,12.89,12.45,12.75,88600,12.75,-0.010861132661
2007-08-21,12.7,13.0,12.56,12.9,280800,12.9,0.0157480314961
2007-08-22,12.99,12.99,12.5,12.63,158900,12.63,-0.0277136258661
2007-08-23,12.51,12.99,12.5,12.9,351400,12.9,0.031175059952
2007-08-24,12.83,13.0,12.77,12.99,40200,12.99,0.012470771629
2007-08-27,12.99,13.1,12.6,13.1,104900,13.1,0.00846805234796
2007-08-28,13.16,13.2,12.76,12.76,17800,12.76,-0.0303951367781
2007-08-29,12.76,13.2,12.76,12.77,47400,12.77,0.000783699059561
2007-08-30,12.61,12.85,12.54,12.54,38100,12.54,-0.00555114988105
2007-08-31,12.69,12.82,12.53,12.69,22600,12.69,0.0
2007-09-04,12.68,13.8,12.5,13.75,154200,13.75,0.0843848580442
2007-09-05,13.77,15.0,13.1,14.55,451200,14.55,0.0566448801743
2007-09-06,14.53,14.78,13.95,14.5,73600,14.5,-0.0020646937371
2007-09-07,14.5,14.7,14.25,14.5,93800,14.5,0.0
2007-09-10,14.53,15.29,14.5,14.83,358900,14.83,0.020646937371
2007-09-11,14.84,15.95,14.84,15.2,126600,15.2,0.0242587601078
2007-09-12,15.29,15.5,15.1,15.22,216000,15.22,-0.00457815565729
2007-09-13,15.34,15.56,15.22,15.55,459700,15.55,0.0136897001304
2007-09-14,15.55,16.0,15.47,15.89,210200,15.89,0.0218649517685
2007-09-17,15.84,15.9,15.65,15.7,517600,15.7,-0.00883838383838
2007-09-18,15.59,15.91,15.25,15.4,391600,15.4,-0.012187299551
2007-09-19,15.3,15.7,15.0,15.7,72100,15.7,0.0261437908497
2007-09-20,15.74,15.91,15.65,15.85,44200,15.85,0.00698856416773
2007-09-21,15.94,16.32,15.75,16.129999,489600,16.129999,0.0119196361355
2007-09-24,16.23,16.440001,16.02,16.17,214700,16.17,-0.00369685767098
2007-09-25,16.139999,16.139999,15.65,15.65,67900,15.65,-0.0303592955613
2007-09-26,16.0,16.389999,16.0,16.1,301100,16.1,0.00625
2007-09-27,16.17,16.379999,15.15,15.42,203200,15.42,-0.0463821892393
2007-09-28,15.3,15.5,14.81,14.81,1450100,14.81,-0.0320261437908
2007-10-01,14.79,16.209999,14.3,15.8,298900,15.8,0.0682893847194
2007-10-02,15.71,16.34,15.71,16.030001,130600,16.030001,0.0203692552514
2007-10-03,16.0,16.549999,16.0,16.42,220100,16.42,0.02625
2007-10-04,16.51,17.24,16.26,16.950001,210800,16.950001,0.0266505754088
2007-10-05,17.15,17.309999,16.709999,17.25,154600,17.25,0.00583090379009
2007-10-08,17.24,17.43,16.700001,16.700001,160600,16.700001,-0.0313224477958
2007-10-09,16.799999,17.18,16.01,17.07,156500,17.07,0.0160714890519
2007-10-10,17.0,17.549999,16.51,17.540001,366300,17.540001,0.0317647647059
2007-10-11,17.549999,18.690001,17.440001,18.6,713200,18.6,0.0598291202182
2007-10-12,18.65,18.83,18.35,18.459999,216600,18.459999,-0.0101877211796
2007-10-15,18.459999,18.5,17.77,18.030001,100000,18.030001,-0.0232935007201
2007-10-16,18.200001,18.940001,18.1,18.82,409000,18.82,0.0340658772491
2007-10-17,19.01,19.370001,18.700001,18.860001,1175200,18.860001,-0.00789053129932
2007-10-18,19.059999,19.74,18.950001,19.73,117000,19.73,0.035152205412
2007-10-19,19.68,20.07,19.309999,19.65,242800,19.65,-0.0015243902439
2007-10-22,19.58,20.5,19.33,19.559999,165300,19.559999,-0.00102150153218
2007-10-23,19.75,20.0,19.110001,19.950001,374600,19.950001,0.0101266329114
2007-10-24,20.0,20.18,19.309999,20.16,103600,20.16,0.008
2007-10-25,19.51,19.98,19.5,19.74,242200,19.74,0.011788826243
2007-10-26,20.030001,21.75,19.709999,21.370001,149100,21.370001,0.0668996471842
2007-10-29,21.799999,22.299999,20.870001,21.99,196600,21.99,0.00871564260163
2007-10-30,21.65,22.17,20.35,20.459999,146900,20.459999,-0.054965404157
2007-10-31,20.799999,20.799999,19.23,19.49,201500,19.49,-0.0629807241818
2007-11-01,19.450001,20.08,19.0,19.92,196200,19.92,0.0241644717653
2007-11-02,19.98,20.0,19.280001,19.940001,120300,19.940001,-0.00200195195195
2007-11-05,19.969999,20.219999,19.74,19.780001,270900,19.780001,-0.00951417173331
2007-11-06,19.780001,19.780001,18.65,19.4,91500,19.4,-0.0192113741551
2007-11-07,19.25,19.99,18.780001,19.01,246700,19.01,-0.0124675324675
2007-11-08,19.1,19.1,18.67,18.889999,140800,18.889999,-0.0109948167539
2007-11-09,18.82,18.82,18.299999,18.559999,155200,18.559999,-0.0138151434644
2007-11-12,18.43,18.469999,17.120001,18.120001,163100,18.120001,-0.0168203472599
2007-11-13,18.129999,18.4,17.309999,18.4,122000,18.4,0.0148924994425
2007-11-14,18.9,18.9,17.459999,17.6,95800,17.6,-0.0687830687831
2007-11-15,17.559999,18.559999,17.540001,18.5,280200,18.5,0.0535308117045
2007-11-16,18.379999,18.92,18.0,18.540001,190600,18.540001,0.00870522354218
2007-11-19,18.360001,18.780001,17.98,18.07,61600,18.07,-0.0157952605776
2007-11-20,18.01,19.68,17.9,19.65,198200,19.65,0.0910605219323
