Date,Open,High,Low,Close,Volume,Adj Close,Returns
1975-01-02,42.624959,43.125,42.624959,42.875041,537600,1.107939,
1975-01-03,42.75,42.75,40.749959,41.499959,214800,1.072406,-0.0292407251462
1975-01-06,41.499959,42.0,40.749959,41.124959,1214400,1.062715,-0.0090361535056
1975-01-07,41.124959,41.124959,40.125,40.250041,98400,1.040106,-0.0212746230337
1975-01-08,40.250041,40.625041,38.874959,38.874959,272400,1.004573,-0.0341634931502
1975-01-09,38.874959,39.75,38.375041,39.624959,142800,1.023954,0.0192926248488
1975-01-10,39.875041,41.25,39.875041,40.374959,597600,1.043334,0.0125371156358
1975-01-13,40.374959,40.625041,39.75,40.374959,351600,1.043334,0.0
1975-01-14,40.374959,41.000041,39.624959,39.999959,289200,1.033644,-0.00928793512831
1975-01-15,39.999959,40.250041,39.0,40.250041,234000,1.040106,0.00625205640836
1975-01-16,40.250041,40.875,39.500041,39.75,286800,1.027185,-0.0124233662271
1975-01-17,39.75,39.875041,39.249959,39.75,259200,1.027185,0.0
1975-01-20,39.75,40.374959,39.500041,40.125,291600,1.036875,0.00943396226415
1975-01-21,40.125,40.5,40.125,40.374959,309600,1.043334,0.00622950778816
1975-01-22,40.125,40.125,39.500041,39.999959,409200,1.033644,-0.00311628660436
1975-01-23,39.999959,39.999959,38.124959,38.124959,247200,0.985192,-0.0468750480469
1975-01-24,38.124959,38.375041,37.125,37.125,502800,0.959352,-0.0262284609932
1975-01-27,38.25,39.0,38.25,38.499959,762000,0.994882,0.00653487581699
1975-01-28,38.499959,39.375,38.375041,39.0,511200,1.007804,0.0129880917536
1975-01-29,39.0,39.500041,38.25,39.375,687600,1.017494,0.00961538461538
1975-01-30,39.375,40.374959,38.499959,38.625,876000,0.998114,-0.0190476190476
1975-01-31,38.625,38.625,38.25,38.375041,271200,0.991654,-0.00647143042071
1975-02-03,38.375041,38.750041,38.25,38.750041,555600,1.001345,0.00977197653027
1975-02-04,38.499959,38.499959,37.250041,37.5,546000,0.969042,-0.0259729886985
1975-02-05,37.5,38.25,36.624959,38.000041,850800,0.981964,0.0133344266667
1975-02-06,37.749959,37.749959,36.75,36.75,667200,0.949661,-0.026489008902
1975-02-07,36.0,36.0,35.124959,35.499959,919200,0.917359,-0.0138900277778
1975-02-10,35.499959,35.499959,34.5,35.124959,576000,0.907669,-0.0105633924817
1975-02-11,35.124959,36.249959,34.749959,36.249959,1050000,0.93674,0.0320285071365
1975-02-12,36.249959,37.625041,35.874959,37.625041,612000,0.972273,0.0379333394556
1975-02-13,38.25,38.750041,38.25,38.499959,772800,0.994882,0.00653487581699
1975-02-14,38.499959,38.874959,38.25,38.750041,892800,1.001345,0.00649564328107
1975-02-18,38.750041,39.0,38.499959,38.625,567600,0.998114,-0.0032268611019
