Date,Open,High,Low,Close,Volume,Adj Close,Returns
1983-06-10,126.0,126.0,125.0,125.0,403200,2.621435,
1983-06-13,62.75,63.0,61.5,62.25,63200,2.610949,-0.00796812749004
1983-06-14,62.0,64.625,62.0,64.375,516400,2.700078,0.0383064516129
1983-06-15,64.5,70.0,64.5,70.0,300000,2.936007,0.0852713178295
1983-06-16,69.5,69.5,66.125,66.5,280000,2.789207,-0.0431654676259
1983-06-17,67.0,68.0,66.0,66.75,236000,2.799693,-0.00373134328358
1983-06-20,66.5,68.0,65.5,65.5,119200,2.747264,-0.015037593985
1983-06-21,65.0,65.75,65.0,65.25,457600,2.736778,0.00384615384615
1983-06-22,64.625,65.25,64.125,65.25,233200,2.736778,0.00967117988395
1983-06-23,65.25,65.25,64.5,65.0,186000,2.726292,-0.00383141762452
1983-06-24,65.0,65.0,63.75,64.0,431200,2.68435,-0.0153846153846
1983-06-27,64.5,64.5,59.5,61.75,383200,2.589978,-0.0426356589147
1983-06-28,61.75,63.0,61.5,61.75,571200,2.589978,0.0
1983-06-29,61.5,65.0,61.25,63.5,188000,2.663378,0.0325203252033
1983-06-30,63.0,63.25,62.0,62.5,356800,2.621435,-0.00793650793651
1983-07-01,63.25,63.5,62.75,63.25,131200,2.652892,0.0
1983-07-05,63.25,63.25,61.75,62.25,298000,2.610949,-0.0158102766798
1983-07-06,62.5,62.75,62.0,62.75,134800,2.631921,0.004
1983-07-07,62.75,62.75,61.625,61.75,217200,2.589978,-0.0159362549801
1983-07-08,61.75,61.75,60.625,60.75,798400,2.548035,-0.0161943319838
1983-07-11,60.75,60.875,60.25,60.5,410800,2.537549,-0.00411522633745
1983-07-12,60.25,60.25,59.75,59.75,585600,2.506092,-0.00829875518672
1983-07-13,59.75,59.75,59.125,59.25,595600,2.48512,-0.00836820083682
1983-07-14,59.875,61.0,59.25,60.0,203200,2.516578,0.00208768267223
1983-07-15,59.75,59.75,58.5,59.0,696400,2.474635,-0.0125523012552
1983-07-18,59.0,59.5,59.0,59.25,129600,2.48512,0.00423728813559
1983-07-19,59.25,59.25,58.0,58.0,1117200,2.432692,-0.0210970464135
1983-07-20,58.625,58.75,57.5,58.75,1038800,2.464149,0.00213219616205
1983-07-21,59.0,59.0,58.625,58.875,775600,2.469392,-0.0021186440678
1983-07-22,58.875,59.25,58.0,58.75,424000,2.464149,-0.00212314225053
1983-07-25,58.75,59.0,57.875,59.0,145200,2.474635,0.00425531914894
1983-07-26,58.0,59.0,57.75,58.5,683200,2.453663,0.00862068965517
