Date,Open,High,Low,Close,Volume,Adj Close,Returns
1995-10-11,24.0,24.25,24.0,24.0,5690400,6.147794,
1995-10-12,24.0,24.375,24.0,24.25,2014200,6.211834,0.0104166666667
1995-10-13,24.25,24.5,24.25,24.25,413000,6.211834,0.0
1995-10-16,24.25,24.25,24.0,24.0,376800,6.147794,-0.0103092783505
1995-10-17,24.0,24.375,24.0,24.25,361200,6.211834,0.0104166666667
1995-10-18,24.125,24.375,24.125,24.25,232000,6.211834,0.00518134715026
1995-10-19,24.25,24.25,24.125,24.125,827800,6.179814,-0.00515463917526
1995-10-20,24.25,24.25,24.0,24.0,218400,6.147794,-0.0103092783505
1995-10-23,24.0,24.375,24.0,24.25,1179800,6.211834,0.0104166666667
1995-10-24,24.25,24.875,24.25,24.875,378400,6.371932,0.0257731958763
1995-10-25,25.0,26.0,25.0,25.5,398200,6.532031,0.02
1995-10-26,25.75,25.75,24.875,25.0,169400,6.403952,-0.0291262135922
1995-10-27,24.75,24.75,23.375,24.375,1240600,6.243853,-0.0151515151515
1995-10-30,24.5,24.625,24.5,24.625,123400,6.307893,0.00510204081633
1995-10-31,24.875,25.125,24.875,24.875,134000,6.371932,0.0
1995-11-01,24.875,25.75,24.875,25.5,186200,6.532031,0.0251256281407
1995-11-02,25.5,25.875,25.375,25.625,96400,6.564051,0.00490196078431
1995-11-03,25.75,26.0,25.5,25.75,224600,6.596071,0.0
1995-11-06,26.0,27.375,26.0,27.375,275200,7.012328,0.0528846153846
1995-11-07,27.375,27.375,27.0,27.0,304800,6.916268,-0.013698630137
1995-11-08,27.0,27.125,26.5,27.0,171000,6.916268,0.0
1995-11-09,27.0,27.125,26.875,27.125,161800,6.948288,0.00462962962963
1995-11-10,26.875,27.0,26.75,27.0,155000,6.916268,0.0046511627907
1995-11-13,26.875,27.0,26.75,26.75,9800,6.852229,-0.0046511627907
1995-11-14,27.25,27.25,25.875,26.0,187600,6.66011,-0.045871559633
1995-11-15,26.0,26.125,25.75,25.875,59000,6.62809,-0.00480769230769
1995-11-16,25.25,26.25,25.125,26.125,583000,6.69213,0.0346534653465
1995-11-17,26.125,26.125,26.0,26.0,24400,6.66011,-0.00478468899522
1995-11-20,26.125,26.375,26.125,26.125,32000,6.69213,0.0
1995-11-21,26.375,26.375,26.0,26.25,223800,6.72415,-0.00473933649289
1995-11-22,26.625,26.75,26.625,26.75,20800,6.852229,0.00469483568075
1995-11-24,26.625,26.75,26.625,26.75,13400,6.852229,0.00469483568075
1995-11-27,26.875,27.0,26.75,27.0,23600,6.916268,0.0046511627907
1995-11-28,27.125,27.5,27.125,27.125,130800,6.948288,0.0
1995-11-29,28.0,28.25,27.875,28.0,90400,7.172426,0.0
1995-11-30,27.875,28.875,27.75,28.875,77400,7.396565,0.0358744394619
1995-12-01,28.75,28.75,28.5,28.75,97200,7.364545,0.0
1995-12-04,28.625,29.375,28.625,29.25,391000,7.492624,0.0218340611354
1995-12-05,29.125,29.875,29.125,29.375,254200,7.524644,0.00858369098712
1995-12-06,29.375,29.5,29.25,29.375,132800,7.524644,0.0
1995-12-07,29.375,29.375,28.5,28.875,204600,7.396565,-0.0170212765957
1995-12-08,28.875,30.75,28.375,30.5,1719400,7.812822,0.0562770562771
1995-12-11,30.5,31.625,30.0,31.625,962400,8.100999,0.0368852459016
1995-12-12,32.25,32.75,31.625,32.0,712400,8.197059,-0.0077519379845
1995-12-13,32.0,33.75,32.0,33.75,725800,8.645335,0.0546875
1995-12-14,34.0,34.5,33.0,33.5,1265400,8.581296,-0.0147058823529
1995-12-15,33.625,34.0,33.625,34.0,307600,8.709375,0.0111524163569
1995-12-18,33.25,33.875,33.0,33.625,193000,8.613316,0.0112781954887
1995-12-19,33.5,33.75,33.0,33.25,120400,8.517256,-0.00746268656716
1995-12-20,33.25,33.625,32.875,33.125,255600,8.485237,-0.00375939849624
1995-12-21,33.25,33.625,32.875,33.5,1111000,8.581296,0.00751879699248
1995-12-22,33.5,33.5,32.625,32.875,117800,8.421197,-0.0186567164179
1995-12-26,33.0,33.0,32.625,33.0,528800,8.453217,0.0
1995-12-27,33.0,33.625,33.0,33.25,199600,8.517256,0.00757575757576
1995-12-28,33.375,33.75,33.375,33.5,281800,8.581296,0.00374531835206
1995-12-29,33.5,33.75,33.5,33.75,92800,8.645335,0.00746268656716
1996-01-02,33.625,33.75,33.5,33.625,381000,8.613316,0.0
1996-01-03,33.5,33.875,33.5,33.875,463600,8.677355,0.0111940298507
1996-01-04,33.875,33.875,33.25,33.375,191200,8.549276,-0.0147601476015
1996-01-05,33.375,33.75,33.25,33.75,335400,8.645335,0.0112359550562
1996-01-08,33.25,33.5,33.25,33.375,17600,8.549276,0.00375939849624
1996-01-09,33.375,34.0,33.375,33.875,383000,8.677355,0.0149812734082
1996-01-10,33.75,34.75,33.5,34.5,1140800,8.837454,0.0222222222222
1996-01-11,34.5,34.625,34.25,34.625,805600,8.869474,0.0036231884058
1996-01-12,34.5,35.0,34.5,34.875,267600,8.933513,0.0108695652174
1996-01-15,35.0,35.25,33.75,34.0,442800,8.709375,-0.0285714285714
1996-01-16,33.875,34.5,33.875,34.375,203600,8.805434,0.0147601476015
1996-01-17,34.5,35.0,34.5,34.75,105200,8.901493,0.00724637681159
1996-01-18,34.625,34.75,34.5,34.5,18800,8.837454,-0.00361010830325
1996-01-19,34.5,34.5,34.25,34.25,59600,8.773414,-0.00724637681159
1996-01-22,34.125,34.25,34.125,34.25,11200,8.773414,0.003663003663
1996-01-23,34.25,34.25,33.75,33.875,254800,8.677355,-0.0109489051095
1996-01-24,34.0,35.625,33.75,35.625,140400,9.125632,0.0477941176471
1996-01-25,35.25,35.375,35.125,35.25,50400,9.029572,0.0
1996-01-26,35.125,35.25,34.875,35.25,79600,9.029572,0.00355871886121
1996-01-29,35.375,37.75,35.375,37.5,224600,9.605928,0.0600706713781
1996-01-30,37.25,38.625,37.25,38.375,404000,9.830066,0.0302013422819
1996-01-31,38.375,38.375,38.0,38.125,275000,9.766027,-0.00651465798046
1996-02-01,38.125,38.875,38.125,38.875,140800,9.958146,0.0196721311475
1996-02-02,38.75,40.375,38.75,40.0,363200,10.246323,0.0322580645161
1996-02-05,39.875,40.125,39.5,39.5,679200,10.118244,-0.00940438871473
1996-02-06,39.25,39.25,38.125,38.25,428000,9.798047,-0.0254777070064
1996-02-07,38.125,38.125,37.25,37.25,126200,9.541889,-0.0229508196721
1996-02-08,37.125,37.125,36.875,37.0,482600,9.477849,-0.003367003367
1996-02-09,37.0,37.375,36.875,37.125,136000,9.509869,0.00337837837838
1996-02-12,37.25,37.75,37.125,37.625,130000,9.637948,0.010067114094
1996-02-13,37.625,37.625,37.25,37.5,53600,9.605928,-0.00332225913621
1996-02-14,37.625,37.625,37.25,37.25,85000,9.541889,-0.00996677740864
1996-02-15,37.375,38.5,37.25,37.875,83400,9.701987,0.0133779264214
1996-02-16,38.0,38.25,37.875,38.125,35000,9.766027,0.00328947368421
1996-02-20,38.0,38.125,38.0,38.125,48200,9.766027,0.00328947368421
1996-02-21,38.0,38.25,37.875,37.875,196800,9.701987,-0.00328947368421
1996-02-22,38.0,38.125,37.875,38.125,286800,9.766027,0.00328947368421
1996-02-23,38.25,38.5,37.875,37.875,158600,9.701987,-0.00980392156863
1996-02-26,37.625,37.625,37.25,37.25,142600,9.541889,-0.00996677740864
1996-02-27,37.0,37.0,36.375,36.5,83000,9.34977,-0.0135135135135
1996-02-28,36.25,36.5,35.375,35.375,60800,9.061592,-0.0241379310345
1996-02-29,35.25,36.625,35.125,36.625,483400,9.38179,0.0390070921986
1996-03-01,36.875,38.125,36.875,38.0,211400,9.734007,0.0305084745763
1996-03-04,38.125,38.5,38.125,38.5,89200,9.862086,0.00983606557377
1996-03-05,38.5,38.75,38.5,38.625,80800,9.894106,0.00324675324675
1996-03-06,38.875,39.75,38.875,39.5,190000,10.118244,0.016077170418
1996-03-07,39.625,40.875,39.625,40.875,286200,10.470462,0.0315457413249
1996-03-08,40.625,41.25,39.875,41.0,161200,10.502481,0.00923076923077
1996-03-11,41.125,41.5,40.875,41.5,453400,10.63056,0.00911854103343
1996-03-12,41.5,41.875,41.375,41.75,86800,10.6946,0.00602409638554
1996-03-13,41.625,42.375,41.625,42.375,668600,10.854699,0.018018018018
1996-03-14,42.5,42.75,42.375,42.375,474600,10.854699,-0.00294117647059
1996-03-15,42.125,42.125,41.0,41.375,118200,10.598541,-0.0178041543027
1996-03-18,41.25,41.375,41.0,41.375,106200,10.598541,0.0030303030303
1996-03-19,41.5,41.75,40.875,41.0,117000,10.502481,-0.0120481927711
1996-03-20,41.125,42.125,41.125,42.125,296400,10.790659,0.0243161094225
1996-03-21,42.125,43.125,42.0,43.125,216400,11.046817,0.0237388724036
1996-03-22,43.0,43.375,43.0,43.375,87400,11.110857,0.00872093023256
1996-03-25,43.625,43.75,43.125,43.25,163600,11.078837,-0.00859598853868
1996-03-26,43.0,43.25,42.75,43.125,131200,11.046817,0.00290697674419
1996-03-27,43.25,43.375,42.875,43.0,626800,11.014798,-0.00578034682081
1996-03-28,43.0,43.125,43.0,43.125,175200,11.046817,0.00290697674419
1996-03-29,43.0,43.0,42.875,42.875,70400,10.982778,-0.00290697674419
1996-04-01,42.75,43.5,42.625,43.5,123200,11.142877,0.0175438596491
1996-04-02,43.375,44.25,43.375,44.25,280200,11.334995,0.0201729106628
1996-04-03,44.5,45.375,44.25,45.375,375200,11.623173,0.0196629213483
1996-04-04,46.25,49.125,46.25,49.0,570800,12.551746,0.0594594594595
1996-04-08,48.75,48.75,47.625,48.25,559400,12.359628,-0.0102564102564
1996-04-09,49.0,49.25,48.375,49.125,696200,12.583766,0.00255102040816
1996-04-10,49.375,51.625,49.25,50.25,505000,12.871944,0.0177215189873
1996-04-11,50.5,50.875,50.375,50.5,206000,12.935983,0.0
1996-04-12,50.75,50.75,49.625,49.75,89400,12.743865,-0.0197044334975
1996-04-15,49.75,49.875,49.375,49.5,340400,12.679825,-0.00502512562814
1996-04-16,49.375,50.875,49.375,50.875,294800,13.032043,0.0303797468354
1996-04-17,50.625,50.625,50.375,50.375,160600,12.903963,-0.00493827160494
1996-04-18,50.375,50.375,50.0,50.125,113200,12.839924,-0.00496277915633
1996-04-19,49.875,50.0,49.625,50.0,124000,12.807904,0.00250626566416
1996-04-22,50.75,51.75,50.75,50.875,793600,13.032043,0.00246305418719
1996-04-23,51.125,51.25,50.5,50.75,118200,13.000023,-0.00733496332518
1996-04-24,50.875,51.875,50.875,51.5,212000,13.192141,0.012285012285
1996-04-25,51.5,52.125,51.5,51.625,154200,13.224161,0.00242718446602
1996-04-26,51.75,52.75,51.625,52.625,152200,13.480319,0.0169082125604
1996-04-29,52.5,52.5,50.875,51.5,84600,13.192141,-0.0190476190476
1996-04-30,51.5,51.5,49.375,49.75,164600,12.743865,-0.0339805825243
1996-05-01,48.5,48.5,47.25,48.0,144600,12.295588,-0.0103092783505
1996-05-02,48.0,48.0,47.125,47.375,208200,12.135489,-0.0130208333333
1996-05-03,47.25,47.25,45.25,45.25,210600,11.591153,-0.042328042328
1996-05-06,44.5,44.875,44.125,44.25,379000,11.334995,-0.00561797752809
1996-05-07,44.625,45.875,44.125,44.625,304400,11.431054,0.0
1996-05-08,44.5,44.5,43.375,44.375,339400,11.367015,-0.00280898876404
1996-05-09,44.5,46.25,44.5,46.25,854200,11.847311,0.0393258426966
1996-05-10,46.5,48.625,46.25,48.5,1075800,12.423667,0.0430107526882
1996-05-13,48.5,49.0,48.5,48.875,297800,12.519726,0.00773195876289
1996-05-14,48.625,49.0,48.125,49.0,166400,12.551746,0.00771208226221
1996-05-15,49.125,49.5,49.0,49.5,242600,12.679825,0.00763358778626
1996-05-16,49.25,49.25,49.0,49.125,173400,12.583766,-0.00253807106599
1996-05-17,49.0,49.125,48.0,48.375,327200,12.391647,-0.0127551020408
1996-05-20,48.25,49.625,47.0,49.375,280200,12.647805,0.0233160621762
1996-05-21,49.75,49.875,49.25,49.25,5376800,12.615786,-0.0100502512563
1996-05-22,48.875,49.125,48.375,48.75,2631600,12.487707,-0.00255754475703
1996-05-23,48.5,49.25,48.5,48.5,1509000,12.423667,0.0
1996-05-24,48.5,49.375,48.5,49.0,743000,12.551746,0.0103092783505
1996-05-28,49.125,49.375,48.125,48.5,566200,12.423667,-0.0127226463104
1996-05-29,48.25,48.5,47.0,47.375,839800,12.135489,-0.0181347150259
1996-05-30,47.375,48.375,47.375,48.25,463800,12.359628,0.0184696569921
1996-05-31,48.375,48.375,47.625,47.875,502800,12.263568,-0.0103359173127
1996-06-03,47.875,48.25,47.375,48.25,290200,12.359628,0.00783289817232
1996-06-04,48.125,48.875,48.125,48.875,295400,12.519726,0.0155844155844
1996-06-05,48.875,48.875,48.375,48.75,154400,12.487707,-0.00255754475703
1996-06-06,49.0,50.0,49.0,49.375,1177800,12.647805,0.00765306122449
1996-06-07,48.75,49.125,48.375,49.0,396000,12.551746,0.00512820512821
1996-06-10,50.0,50.125,49.375,49.5,370600,12.679825,-0.01
1996-06-11,49.375,49.625,49.0,49.0,346400,12.551746,-0.00759493670886
1996-06-12,49.0,49.375,49.0,49.25,288200,12.615786,0.00510204081633
1996-06-13,49.25,49.375,49.125,49.25,385800,12.615786,0.0
1996-06-14,49.125,49.25,48.875,49.125,800000,12.583766,0.0
1996-06-17,49.375,49.375,47.75,47.875,841600,12.263568,-0.0303797468354
1996-06-18,48.125,49.875,48.125,49.375,493000,12.647805,0.025974025974
1996-06-19,49.25,50.125,49.25,49.625,365000,12.711845,0.00761421319797
1996-06-20,49.75,49.875,49.5,49.5,240200,12.679825,-0.00502512562814
1996-06-21,49.75,50.875,49.625,50.625,429600,12.968003,0.0175879396985
1996-06-24,51.25,51.875,51.25,51.875,457200,13.288201,0.0121951219512
1996-06-25,51.75,55.0,51.75,55.0,611000,14.088695,0.0628019323671
1996-06-26,54.875,54.875,53.75,54.0,218600,13.832537,-0.0159453302961
1996-06-27,54.0,54.25,53.5,54.0,202400,13.832537,0.0
1996-06-28,54.0,57.25,53.75,57.0,541200,14.601011,0.0555555555556
1996-07-01,57.0,57.0,55.375,56.125,147600,14.376872,-0.015350877193
1996-07-02,55.625,57.125,55.375,56.375,359000,14.440912,0.0134831460674
1996-07-03,56.625,56.625,56.0,56.0,219800,14.344853,-0.0110375275938
1996-07-05,55.75,55.75,55.125,55.5,23800,14.216774,-0.00448430493274
1996-07-08,55.625,56.875,55.0,56.5,117200,14.472932,0.0157303370787
1996-07-09,56.75,58.625,56.625,57.625,169800,14.76111,0.0154185022026
1996-07-10,57.75,57.875,57.0,57.375,92200,14.69707,-0.00649350649351
1996-07-11,57.5,57.5,56.375,57.25,274600,14.66505,-0.00434782608696
1996-07-12,57.125,58.125,57.0,58.125,130000,14.889189,0.0175054704595
1996-07-15,58.25,59.0,56.5,57.5,294200,14.72909,-0.0128755364807
1996-07-16,57.25,57.5,53.5,55.5,904000,14.216774,-0.0305676855895
1996-07-17,55.75,56.375,55.125,55.25,494600,14.152734,-0.00896860986547
1996-07-18,55.375,55.375,53.875,54.125,122200,13.864556,-0.0225733634312
1996-07-19,54.25,54.5,54.125,54.125,122800,13.864556,-0.00230414746544
1996-07-22,54.5,55.375,53.625,55.0,359600,14.088695,0.00917431192661
1996-07-23,55.0,56.25,54.375,54.375,758000,13.928596,-0.0113636363636
1996-07-24,53.0,53.0,52.25,52.25,143000,13.38426,-0.0141509433962
1996-07-25,52.5,52.625,52.0,52.25,68400,13.38426,-0.0047619047619
1996-07-26,51.5,51.75,51.0,51.25,200000,13.128102,-0.00485436893204
1996-07-29,51.25,51.25,49.625,49.875,486200,12.775884,-0.0268292682927
1996-07-30,49.875,50.0,47.75,48.25,653000,12.359628,-0.0325814536341
1996-07-31,48.25,48.5,47.25,47.25,573400,12.103469,-0.020725388601
1996-08-01,47.5,49.5,47.5,49.25,618600,12.615786,0.0368421052632
1996-08-02,49.5,50.0,47.125,47.125,574000,12.07145,-0.0479797979798
1996-08-05,47.125,47.75,46.875,47.375,299400,12.135489,0.0053050397878
1996-08-06,47.625,49.0,47.25,48.75,269400,12.487707,0.0236220472441
1996-08-07,48.75,48.875,48.375,48.375,280200,12.391647,-0.00769230769231
1996-08-08,48.5,49.25,48.375,49.125,128600,12.583766,0.0128865979381
1996-08-09,48.875,49.0,48.5,49.0,105400,12.551746,0.00255754475703
1996-08-12,48.875,49.0,48.125,48.125,202800,12.327608,-0.0153452685422
1996-08-13,48.25,48.25,47.5,47.609379,141800,12.195527,-0.013277119171
1996-08-14,47.0,48.0,47.0,47.0,269600,12.03943,0.0
1996-08-15,46.875,47.875,46.625,47.5,644400,12.167509,0.0133333333333
1996-08-16,47.5,48.25,47.0,48.25,434600,12.359628,0.0157894736842
1996-08-19,49.0,51.25,49.0,50.625,662000,12.968003,0.0331632653061
1996-08-20,50.375,52.25,50.375,51.375,226800,13.160122,0.0198511166253
1996-08-21,51.375,51.625,51.0,51.375,243800,13.160122,0.0
1996-08-22,51.375,51.5,50.75,51.0,320200,13.064062,-0.00729927007299
1996-08-23,51.0,51.125,50.375,50.375,44800,12.903963,-0.0122549019608
1996-08-26,50.25,51.0,50.25,50.875,156800,13.032043,0.0124378109453
1996-08-27,50.75,51.0,50.25,50.25,29800,12.871944,-0.00985221674877
1996-08-28,50.5,51.375,50.0,51.0,89400,13.064062,0.00990099009901
1996-08-29,50.875,51.5,50.625,51.0,72000,13.064062,0.002457002457
1996-08-30,51.125,51.25,50.5,51.0,42800,13.064062,-0.00244498777506
1996-09-03,51.5,51.625,51.375,51.5,960000,13.192141,0.0
1996-09-04,51.0,51.5,51.0,51.375,380200,13.160122,0.00735294117647
1996-09-05,51.375,51.875,51.25,51.375,411400,13.160122,0.0
1996-09-06,51.5,51.5,50.875,51.125,342800,13.096082,-0.00728155339806
1996-09-09,50.75,53.125,50.75,52.875,1303800,13.544359,0.0418719211823
1996-09-10,53.0,54.375,53.0,54.25,374600,13.896576,0.0235849056604
1996-09-11,54.375,55.75,54.125,55.25,609200,14.152734,0.016091954023
1996-09-12,55.25,55.75,55.25,55.5,381400,14.216774,0.00452488687783
1996-09-13,55.5,56.625,55.5,56.5,191800,14.472932,0.018018018018
1996-09-16,56.125,56.5,56.0,56.375,236000,14.440912,0.00445434298441
1996-09-17,56.25,56.5,55.875,56.5,334200,14.472932,0.00444444444444
1996-09-18,56.375,56.625,55.125,55.25,419800,14.152734,-0.019955654102
1996-09-19,55.0,55.0,54.375,54.375,293200,13.928596,-0.0113636363636
1996-09-20,54.5,54.5,53.625,53.875,75600,13.800517,-0.0114678899083
1996-09-23,53.25,53.25,52.5,52.5,335600,13.448299,-0.0140845070423
1996-09-24,52.5,52.625,51.0,51.0,357400,13.064062,-0.0285714285714
1996-09-25,51.25,53.0,51.25,52.5,883200,13.448299,0.0243902439024
1996-09-26,53.625,56.5,53.25,55.875,812800,14.312833,0.041958041958
1996-09-27,55.875,56.0,55.125,55.5,169400,14.216774,-0.00671140939597
1996-09-30,55.625,56.5,55.0,55.0,212000,14.088695,-0.0112359550562
1996-10-01,55.125,55.125,54.5,54.875,134200,14.056675,-0.00453514739229
1996-10-02,54.75,56.375,54.75,56.125,166800,14.376872,0.0251141552511
1996-10-03,56.375,57.375,56.375,56.875,299600,14.568991,0.00886917960089
1996-10-04,57.0,57.875,56.875,57.375,355800,14.69707,0.00657894736842
1996-10-07,57.25,58.25,57.0,57.75,190400,14.793129,0.00873362445415
1996-10-08,57.875,58.75,57.5,57.875,193000,14.825149,0.0
1996-10-09,58.25,59.0,58.0,58.375,377000,14.953228,0.00214592274678
1996-10-10,58.25,59.125,58.25,58.875,239400,15.081307,0.0107296137339
1996-10-11,58.625,62.125,58.625,61.375,337400,15.721702,0.046908315565
1996-10-14,61.5,61.5,60.5,61.25,357800,15.689683,-0.00406504065041
1996-10-15,61.375,63.0,61.125,62.75,159800,16.07392,0.0224032586558
1996-10-16,63.0,63.25,62.375,62.5,142800,16.00988,-0.00793650793651
