Date,Open,High,Low,Close,Volume,Adj Close,Returns
1975-01-02,8.375,9.375,8.375,9.25,27800,0.423528,
1975-01-03,9.375,10.0,9.375,9.75,23200,0.446421,0.04
1975-01-06,9.875,10.5,9.875,10.375,31300,0.475038,0.0506329113924
1975-01-07,10.375,10.625,10.375,10.5,12000,0.480762,0.0120481927711
1975-01-08,10.5,10.75,10.25,10.375,11600,0.475038,-0.0119047619048
1975-01-09,10.25,10.25,10.0,10.125,10300,0.463592,-0.0121951219512
1975-01-10,10.125,10.375,10.0,10.25,13800,0.469315,0.0123456790123
1975-01-13,10.25,10.5,10.25,10.375,15400,0.475038,0.0121951219512
1975-01-14,10.375,10.5,10.375,10.5,10700,0.480762,0.0120481927711
1975-01-15,10.5,10.625,10.375,10.625,23000,0.486485,0.0119047619048
1975-01-16,10.625,10.75,10.625,10.75,11600,0.492208,0.0117647058824
1975-01-17,10.75,10.75,10.625,10.625,8700,0.486485,-0.0116279069767
1975-01-20,10.625,10.75,10.625,10.625,13200,0.486485,0.0
1975-01-21,10.625,10.875,10.625,10.625,21000,0.486485,0.0
1975-01-22,10.625,10.875,10.625,10.875,9000,0.497932,0.0235294117647
1975-01-23,10.875,11.125,10.875,11.0,13600,0.503655,0.0114942528736
1975-01-24,11.25,11.375,11.25,11.25,13700,0.515102,0.0
1975-01-27,11.25,12.875,11.25,12.625,27800,0.578059,0.122222222222
1975-01-28,12.625,13.0,12.625,12.875,37200,0.589505,0.019801980198
1975-01-29,12.875,13.0,12.625,12.75,32300,0.583782,-0.00970873786408
1975-01-30,12.75,12.75,12.375,12.5,16500,0.572335,-0.0196078431373
1975-01-31,12.5,12.5,11.75,11.875,17600,0.543718,-0.05
1975-02-03,12.0,13.0,12.0,13.0,26000,0.595229,0.0833333333333
1975-02-04,13.0,13.375,12.875,12.875,21500,0.589505,-0.00961538461538
1975-02-05,12.875,13.0,12.625,12.75,12300,0.583782,-0.00970873786408
1975-02-06,12.75,12.875,12.25,12.25,16500,0.560889,-0.0392156862745
1975-02-07,12.25,12.625,12.125,12.375,10800,0.566612,0.0102040816327
1975-02-10,12.375,12.625,12.25,12.375,10900,0.566612,0.0
1975-02-11,12.375,12.375,12.125,12.125,9400,0.555165,-0.020202020202
1975-02-12,12.125,12.25,11.875,12.125,8700,0.555165,0.0
1975-02-13,12.125,12.25,11.875,11.875,9300,0.543718,-0.020618556701
1975-02-14,11.875,12.0,11.625,11.75,10000,0.537995,-0.0105263157895
1975-02-18,11.5,11.5,11.125,11.25,16100,0.515102,-0.0217391304348
1975-02-19,11.25,11.25,11.125,11.125,11400,0.509378,-0.0111111111111
1975-02-20,11.125,11.125,11.0,11.0,14500,0.503655,-0.0112359550562
1975-02-21,11.0,11.125,11.0,11.0,21200,0.503655,0.0
1975-02-24,11.0,11.5,11.0,11.25,16900,0.515102,0.0227272727273
1975-02-25,11.25,11.375,11.125,11.375,10100,0.520825,0.0111111111111
1975-02-26,11.375,11.375,11.125,11.375,5100,0.520825,0.0
