Date,Open,High,Low,Close,Volume,Adj Close,Returns
1988-01-05,24.5,25.25,24.5,25.0,425600,2.012357,
1988-01-06,25.0,25.0,24.5,24.5,296800,1.97211,-0.02
1988-01-07,24.62496,24.62496,24.12496,24.37504,527200,1.962051,-0.0101490520188
1988-01-08,24.5,24.5,23.87504,23.87504,412000,1.921804,-0.0255085714286
1988-01-11,24.12496,24.12496,23.0,23.5,134400,1.891616,-0.0259051206717
1988-01-12,23.5,23.5,22.37504,22.62496,260000,1.82118,-0.0372357446809
1988-01-13,23.0,23.5,22.75,23.25,342400,1.871492,0.0108695652174
1988-01-14,23.25,23.75,23.25,23.75,73600,1.911739,0.0215053763441
1988-01-15,24.12496,24.5,24.0,24.12496,223200,1.941921,0.0
1988-01-18,24.37504,24.37504,24.0,24.0,49600,1.931863,-0.0153862311611
1988-01-19,23.75,24.0,23.5,23.75,177600,1.911739,0.0
1988-01-20,24.0,24.12496,23.0,23.0,152800,1.851368,-0.0416666666667
1988-01-21,23.0,23.0,22.25,22.25,211200,1.790998,-0.0326086956522
1988-01-22,22.37504,22.5,22.37504,22.37504,284000,1.801063,0.0
1988-01-25,22.5,22.87504,22.37504,22.75,303200,1.831245,0.0111111111111
1988-01-26,22.75,22.87504,22.5,22.5,125600,1.811121,-0.010989010989
1988-01-27,22.75,23.0,22.62496,22.75,52000,1.831245,0.0
1988-01-28,22.75,23.37504,22.75,23.12496,195200,1.861427,0.0164817582418
1988-01-29,23.25,23.87504,23.12496,23.62496,363200,1.901674,0.016127311828
1988-02-01,23.5,23.75,23.25,23.25,134400,1.871492,-0.0106382978723
1988-02-02,23.25,23.87504,23.0,23.87504,144800,1.921804,0.0268834408602
1988-02-03,23.75,24.0,23.75,23.75,39200,1.911739,0.0
1988-02-04,23.75,23.87504,23.62496,23.62496,154400,1.901674,-0.00526484210526
1988-02-05,23.87504,23.87504,23.5,23.5,131200,1.891616,-0.0157084553576
1988-02-08,23.37504,23.37504,22.5,22.75,362400,1.831245,-0.0267396333867
1988-02-09,23.0,23.5,23.0,23.37504,148800,1.881557,0.0163060869565
1988-02-10,23.5,23.62496,23.25,23.25,38400,1.871492,-0.0106382978723
1988-02-11,23.25,23.62496,23.25,23.62496,200800,1.901674,0.016127311828
1988-02-12,23.37504,23.75,23.37504,23.37504,197600,1.881557,0.0
1988-02-16,23.25,23.25,22.37504,22.5,1862400,1.811121,-0.0322580645161
1988-02-17,22.5,23.37504,22.5,23.25,557600,1.871492,0.0333333333333
1988-02-18,23.25,23.87504,23.0,23.5,264000,1.891616,0.010752688172
1988-02-19,23.5,23.87504,23.5,23.87504,104800,1.921804,0.0159591489362
1988-02-22,23.75,24.0,23.62496,24.0,294400,1.931863,0.0105263157895
1988-02-23,24.25,25.0,24.25,24.5,564800,1.97211,0.0103092783505
1988-02-24,24.37504,24.5,24.0,24.37504,902400,1.962051,0.0
1988-02-25,24.12496,25.0,24.12496,24.75,955200,1.992233,0.0259084367394
1988-02-26,24.75,25.37504,24.75,25.0,884000,2.012357,0.010101010101
1988-02-29,25.0,25.62496,25.0,25.62496,522400,2.062663,0.0249984
1988-03-01,25.5,26.62496,25.5,26.5,274400,2.133098,0.0392156862745
1988-03-02,26.25,26.62496,26.25,26.25,673600,2.112975,0.0
1988-03-03,26.5,27.0,26.5,27.0,3256000,2.173345,0.0188679245283
1988-03-04,27.0,27.0,26.62496,27.0,248000,2.173345,0.0
1988-03-07,27.0,27.25,26.75,27.12496,233600,2.183404,0.00462814814815
1988-03-08,27.37504,27.75,27.25,27.5,180000,2.213593,0.0045647421885
1988-03-09,27.62496,27.75,27.25,27.37504,267200,2.203534,-0.00904689092762
1988-03-10,27.5,27.62496,27.0,27.25,546400,2.193469,-0.00909090909091
1988-03-11,27.25,27.25,26.75,26.87504,555200,2.163287,-0.01376
1988-03-14,26.62496,27.12496,26.62496,27.0,409600,2.173345,0.0140860305518
1988-03-15,26.87504,27.25,26.75,27.25,981600,2.193469,0.0139519792343
1988-03-16,27.0,27.25,26.75,26.87504,293600,2.175666,-0.00462814814815
1988-03-17,26.75,26.87504,26.5,26.75,232000,2.165543,0.0
1988-03-18,27.0,27.0,26.75,26.87504,151200,2.175666,-0.00462814814815
1988-03-21,26.75,26.75,26.75,26.75,24800,2.165543,0.0
1988-03-22,27.0,27.12496,26.75,26.87504,136800,2.175666,-0.00462814814815
1988-03-23,26.87504,27.0,26.75,26.75,1249600,2.165543,-0.00465264423792
1988-03-24,26.62496,26.87504,26.62496,26.62496,382400,2.15542,0.0
1988-03-25,26.62496,26.87504,26.62496,26.62496,183200,2.15542,0.0
1988-03-28,26.62496,26.75,26.37504,26.75,330400,2.165543,0.00469634508371
1988-03-29,26.62496,26.75,26.25,26.62496,555200,2.15542,0.0
1988-03-30,26.62496,26.62496,25.87504,26.12496,539200,2.114943,-0.0187793709361
1988-03-31,26.0,26.0,25.25,25.5,129600,2.064349,-0.0192307692308
1988-04-04,25.25,26.0,25.25,25.75,176800,2.084588,0.019801980198
1988-04-05,25.62496,26.0,25.62496,26.0,410400,2.104827,0.0146357301631
1988-04-06,25.75,26.37504,25.62496,26.25,687200,2.125066,0.0194174757282
1988-04-07,26.37504,26.75,26.37504,26.5,365600,2.145304,0.0047378127199
1988-04-08,26.5,27.0,26.5,27.0,220000,2.185782,0.0188679245283
1988-04-11,26.75,27.5,26.75,27.5,668000,2.226259,0.0280373831776
1988-04-12,27.62496,27.62496,27.37504,27.37504,182400,2.216143,-0.00904689092762
1988-04-13,27.5,27.62496,27.25,27.62496,178400,2.236375,0.004544
1988-04-14,27.37504,27.37504,26.5,26.5,306400,2.145304,-0.0319648848002
1988-04-15,26.12496,27.25,25.62496,27.12496,1169600,2.195898,0.0382775705685
1988-04-18,27.25,27.25,26.87504,27.12496,256000,2.195898,-0.00458862385321
1988-04-19,27.12496,27.25,26.87504,27.0,217600,2.185782,-0.00460682706998
1988-04-20,27.12496,27.25,27.0,27.0,1296800,2.185782,-0.00460682706998
1988-04-21,27.25,27.37504,27.0,27.12496,808800,2.195898,-0.00458862385321
1988-04-22,26.87504,26.87504,26.0,26.0,614400,2.104827,-0.0325595794462
1988-04-25,25.75,26.0,25.5,25.75,220800,2.084588,0.0
1988-04-26,25.75,26.0,25.75,26.0,652800,2.104827,0.00970873786408
1988-04-27,26.0,26.0,25.5,25.62496,197600,2.074466,-0.0144246153846
1988-04-28,25.5,26.0,25.5,25.75,408800,2.084588,0.00980392156863
1988-04-29,25.75,26.0,25.62496,26.0,80800,2.104827,0.00970873786408
1988-05-02,25.75,26.0,25.62496,25.75,1244000,2.084588,0.0
1988-05-03,25.75,26.0,25.75,25.87504,187200,2.094711,0.0048559223301
1988-05-04,25.87504,25.87504,25.25,25.62496,442400,2.074466,-0.0096649125953
