Date,Open,High,Low,Close,Volume,Adj Close,Returns
1975-01-02,7.5,8.375,7.5,8.125,386000,0.136742,
1975-01-03,8.125,8.875,8.125,8.875,524800,0.149365,0.0923076923077
1975-01-06,8.875,9.25,8.75,8.875,360400,0.149365,0.0
1975-01-07,8.875,8.875,8.625,8.875,98800,0.149365,0.0
1975-01-08,8.875,8.875,8.5,8.625,120000,0.145157,-0.0281690140845
1975-01-09,8.625,9.0,8.5,8.875,140000,0.149365,0.0289855072464
1975-01-10,8.875,9.125,8.875,9.125,262800,0.153572,0.0281690140845
1975-01-13,9.125,9.25,8.75,9.125,357200,0.153572,0.0
1975-01-14,9.0,9.0,8.75,8.875,168400,0.149365,-0.0138888888889
1975-01-15,8.875,9.0,8.75,8.875,120800,0.149365,0.0
1975-01-16,8.875,9.0,8.875,9.0,84800,0.151468,0.0140845070423
1975-01-17,9.0,9.0,8.875,8.875,82400,0.149365,-0.0138888888889
1975-01-20,8.875,9.0,8.75,9.0,128400,0.151468,0.0140845070423
1975-01-21,9.0,9.0,8.875,8.875,131200,0.149365,-0.0138888888889
1975-01-22,8.875,9.875,8.875,9.75,300400,0.164091,0.0985915492958
1975-01-23,9.75,9.875,9.625,9.875,207600,0.166194,0.0128205128205
1975-01-24,9.875,10.25,9.875,10.25,327600,0.172506,0.0379746835443
1975-01-27,10.25,10.5,10.25,10.5,412800,0.176713,0.0243902439024
1975-01-28,10.625,11.0,10.625,10.875,630800,0.183024,0.0235294117647
1975-01-29,10.875,11.625,10.875,11.625,563200,0.195647,0.0689655172414
1975-01-30,11.625,11.875,11.125,11.125,412800,0.187232,-0.0430107526882
1975-01-31,11.125,11.25,10.75,10.875,320800,0.183024,-0.0224719101124
1975-02-03,10.875,11.25,10.875,11.0,238800,0.185128,0.0114942528736
1975-02-04,11.0,11.375,11.0,11.375,161200,0.191439,0.0340909090909
1975-02-05,11.125,11.125,10.875,11.125,154000,0.192303,0.0
1975-02-06,11.125,11.375,11.0,11.125,207200,0.192303,0.0
1975-02-07,11.125,11.125,10.875,11.0,406000,0.190143,-0.0112359550562
1975-02-10,11.0,11.0,10.875,10.875,100000,0.187982,-0.0113636363636
1975-02-11,10.875,10.875,10.625,10.75,105600,0.185821,-0.0114942528736
1975-02-12,10.75,10.875,10.625,10.75,134000,0.185821,0.0
1975-02-13,10.75,10.75,10.5,10.5,333200,0.1815,-0.0232558139535
1975-02-14,10.5,10.75,10.375,10.5,167600,0.1815,0.0
1975-02-18,10.5,10.625,10.25,10.375,213600,0.179339,-0.0119047619048
1975-02-19,10.375,10.5,10.25,10.5,94800,0.1815,0.0120481927711
1975-02-20,10.5,10.5,10.25,10.375,168800,0.179339,-0.0119047619048
1975-02-21,10.375,10.5,10.25,10.375,149600,0.179339,0.0
1975-02-24,10.375,10.625,10.375,10.5,119600,0.1815,0.0120481927711
1975-02-25,10.5,10.5,10.125,10.375,148800,0.179339,-0.0119047619048
1975-02-26,10.375,10.5,10.125,10.125,104400,0.175018,-0.0240963855422
1975-02-27,10.125,10.375,10.125,10.375,71200,0.179339,0.0246913580247
1975-02-28,10.375,10.75,10.25,10.625,165600,0.183661,0.0240963855422
1975-03-03,10.75,11.5,10.75,11.5,411600,0.198786,0.0697674418605
1975-03-04,11.5,11.75,11.375,11.375,262000,0.196625,-0.0108695652174
1975-03-05,11.375,11.875,11.375,11.625,322000,0.200946,0.021978021978
1975-03-06,11.625,12.25,11.5,12.125,311200,0.209589,0.0430107526882
1975-03-07,12.125,12.375,12.0,12.125,184000,0.209589,0.0
1975-03-10,12.125,12.125,11.875,11.875,169200,0.205268,-0.020618556701
1975-03-11,11.875,12.0,11.75,11.75,169600,0.203107,-0.0105263157895
1975-03-12,11.75,12.0,11.625,11.875,91600,0.205268,0.0106382978723
1975-03-13,11.875,12.0,11.75,11.75,144800,0.203107,-0.0105263157895
1975-03-14,11.875,12.0,11.875,12.0,127200,0.207428,0.0105263157895
1975-03-17,12.0,12.125,11.875,12.125,136000,0.209589,0.0104166666667
1975-03-18,12.125,12.25,12.0,12.125,161200,0.209589,0.0
1975-03-19,12.0,12.0,11.875,11.875,131200,0.205268,-0.0104166666667
1975-03-20,11.875,12.0,11.875,11.875,81600,0.205268,0.0
1975-03-21,11.875,11.875,11.75,11.75,155600,0.203107,-0.0105263157895
1975-03-24,11.625,11.625,11.0,11.375,201200,0.196625,-0.0215053763441
1975-03-25,11.0,11.0,10.625,10.875,166000,0.187982,-0.0113636363636
1975-03-26,10.875,11.375,10.875,11.25,80000,0.194464,0.0344827586207
1975-03-27,11.25,11.375,11.125,11.125,61600,0.192303,-0.0111111111111
