Date,Open,High,Low,Close,Volume,Adj Close,Returns
1993-12-14,43.0,45.5,42.875,45.25,1077400,10.907233,
1993-12-15,45.0,45.0,43.5,44.25,897800,10.666189,-0.0166666666667
1993-12-16,44.375,44.375,44.0,44.25,571200,10.666189,-0.00281690140845
1993-12-17,44.25,44.25,43.25,43.25,1053000,10.425145,-0.0225988700565
1993-12-20,43.25,44.625,43.25,44.625,1284800,10.756581,0.0317919075145
1993-12-21,44.5,45.75,44.5,45.25,882800,10.907233,0.0168539325843
1993-12-22,45.375,45.375,44.875,45.25,200600,10.907233,-0.00275482093664
1993-12-23,45.375,46.25,45.375,46.125,195800,11.118146,0.0165289256198
1993-12-27,46.375,47.5,46.375,47.25,68400,11.389321,0.0188679245283
1993-12-28,47.125,47.125,46.75,47.0,273600,11.32906,-0.0026525198939
1993-12-29,47.25,47.625,47.25,47.625,264400,11.479712,0.00793650793651
1993-12-30,47.625,48.125,47.625,47.875,156200,11.539973,0.00524934383202
1993-12-31,47.625,47.75,47.25,47.5,133000,11.449581,-0.00262467191601
1994-01-03,47.625,47.625,46.25,46.875,467800,11.298929,-0.0157480314961
1994-01-04,46.875,46.875,44.625,45.125,2250200,10.877102,-0.0373333333333
1994-01-05,44.0,44.375,43.5,44.375,2933400,10.69632,0.00852272727273
1994-01-06,44.0,44.375,43.0,43.5,2753200,10.485406,-0.0113636363636
1994-01-07,43.375,43.375,41.5,41.75,3428400,10.06358,-0.0374639769452
1994-01-10,41.875,43.0,41.75,42.875,1411000,10.334754,0.0238805970149
1994-01-11,43.0,43.0,42.375,42.75,1185400,10.304623,-0.00581395348837
1994-01-12,42.625,42.625,41.75,42.0,2209200,10.12384,-0.0146627565982
1994-01-13,41.875,42.0,41.625,41.75,1033400,10.06358,-0.00298507462687
1994-01-14,41.875,42.125,41.625,41.875,1366000,10.09371,0.0
1994-01-17,41.75,42.0,41.5,41.875,1157400,10.09371,0.00299401197605
1994-01-18,41.875,41.875,41.5,41.625,1118400,10.033449,-0.00597014925373
1994-01-19,41.5,42.5,41.5,42.25,1327800,10.184101,0.0180722891566
1994-01-20,42.25,42.375,41.625,42.0,1121400,10.12384,-0.00591715976331
1994-01-21,42.125,42.125,41.75,42.0,1460800,10.12384,-0.00296735905045
1994-01-24,42.0,42.0,41.5,41.625,2101400,10.033449,-0.00892857142857
1994-01-25,41.5,41.875,41.25,41.625,1470400,10.033449,0.00301204819277
1994-01-26,41.5,41.75,41.5,41.625,723600,10.033449,0.00301204819277
1994-01-27,41.625,41.875,41.5,41.625,1610600,10.033449,0.0
1994-01-28,41.875,43.125,41.75,43.0,1285200,10.364884,0.0268656716418
1994-01-31,43.0,44.375,43.0,43.75,1316000,10.545667,0.0174418604651
1994-02-01,42.25,42.5,42.0,42.25,3041400,10.184101,0.0
1994-02-02,42.125,42.125,41.625,42.0,3352000,10.12384,-0.00296735905045
1994-02-03,42.125,42.875,42.0,42.75,2135600,10.304623,0.0148367952522
1994-02-04,42.625,43.25,42.5,42.625,1256600,10.274493,0.0
1994-02-07,42.625,43.625,42.625,43.5,799400,10.485406,0.0205278592375
1994-02-08,43.0,43.25,42.75,42.875,916600,10.334754,-0.00290697674419
1994-02-09,42.625,43.125,42.625,43.125,769800,10.395015,0.0117302052786
1994-02-10,43.0,43.375,42.75,42.75,977600,10.304623,-0.00581395348837
1994-02-11,42.75,42.875,42.5,42.75,690800,10.304623,0.0
1994-02-14,42.875,43.125,42.75,43.0,616800,10.364884,0.00291545189504
1994-02-15,42.875,43.5,42.875,43.125,701200,10.395015,0.00583090379009
1994-02-16,43.125,43.625,43.0,43.375,668800,10.455276,0.00579710144928
1994-02-17,43.625,44.0,43.375,43.375,995000,10.455276,-0.00573065902579
1994-02-18,43.375,43.5,43.0,43.125,434000,10.395015,-0.00576368876081
1994-02-22,42.5,42.875,42.125,42.5,1151800,10.244362,0.0
1994-02-23,42.5,42.875,42.5,42.875,1016000,10.334754,0.00882352941176
1994-02-24,42.75,42.75,42.25,42.375,537800,10.214232,-0.00877192982456
1994-02-25,42.125,42.25,41.875,41.875,651200,10.09371,-0.00593471810089
1994-02-28,42.125,42.125,41.625,41.75,520400,10.06358,-0.00890207715134
1994-03-01,41.625,41.75,41.5,41.75,751800,10.06358,0.003003003003
1994-03-02,41.5,41.625,41.125,41.125,1084800,9.912927,-0.00903614457831
1994-03-03,41.125,41.125,40.5,40.5,731600,9.762275,-0.0151975683891
1994-03-04,40.5,40.625,40.0,40.25,1008400,9.702014,-0.00617283950617
1994-03-07,40.25,40.25,40.125,40.125,600000,9.671883,-0.00310559006211
1994-03-08,40.125,40.25,40.0,40.125,1083600,9.671883,0.0
1994-03-09,39.625,40.125,39.625,40.125,268400,9.769271,0.01261829653
1994-03-10,40.0,40.25,39.625,39.75,1073200,9.67797,-0.00625
1994-03-11,39.75,40.75,39.75,40.625,297400,9.891007,0.0220125786164
1994-03-14,40.875,40.875,40.5,40.75,343400,9.921441,-0.00305810397554
1994-03-15,40.75,41.125,40.625,41.0,630600,9.982308,0.00613496932515
1994-03-16,41.0,41.125,40.375,40.5,474000,9.860573,-0.0121951219512
1994-03-17,40.375,41.0,40.375,40.75,672600,9.921441,0.00928792569659
1994-03-18,40.75,40.75,40.0,40.125,991400,9.769271,-0.0153374233129
1994-03-21,40.125,40.375,40.0,40.125,422000,9.769271,0.0
1994-03-22,40.125,40.25,39.75,40.25,550200,9.799705,0.00311526479751
1994-03-23,40.375,40.875,40.25,40.875,512000,9.951875,0.0123839009288
1994-03-24,40.625,41.25,40.625,41.0,419600,9.982308,0.00923076923077
1994-03-25,41.25,41.25,41.0,41.0,231600,9.982308,-0.00606060606061
1994-03-28,41.125,41.375,40.625,41.375,484600,10.07361,0.00607902735562
1994-03-29,41.25,41.625,41.25,41.375,313200,10.07361,0.0030303030303
1994-03-30,41.125,41.375,40.625,40.75,595000,9.921441,-0.00911854103343
1994-03-31,40.625,40.75,40.125,40.25,674200,9.799705,-0.00923076923077
1994-04-04,39.625,40.0,39.5,39.75,944200,9.67797,0.00315457413249
1994-04-05,40.0,40.5,40.0,40.375,1030000,9.830139,0.009375
1994-04-06,41.5,42.0,41.25,41.75,834000,10.164912,0.00602409638554
1994-04-07,41.75,41.875,41.375,41.875,1355400,10.195345,0.00299401197605
1994-04-08,41.75,43.125,41.75,42.875,897400,10.438816,0.0269461077844
1994-04-11,42.75,42.875,42.25,42.625,469200,10.377949,-0.00292397660819
1994-04-12,42.75,42.75,41.625,41.625,437600,10.134478,-0.0263157894737
1994-04-13,42.0,42.625,41.875,42.625,1111000,10.377949,0.014880952381
1994-04-14,42.375,42.5,42.25,42.375,703000,10.317081,0.0
1994-04-15,42.75,43.25,42.5,42.625,590600,10.377949,-0.00292397660819
1994-04-18,42.625,42.875,42.25,42.375,499200,10.317081,-0.0058651026393
1994-04-19,42.625,42.625,42.0,42.375,628400,10.317081,-0.0058651026393
1994-04-20,42.375,42.5,41.0,41.25,755000,10.043176,-0.0265486725664
1994-04-21,41.375,42.5,41.25,42.0,671400,10.225779,0.0151057401813
1994-04-22,42.125,42.375,42.0,42.125,280200,10.256213,0.0
1994-04-25,42.375,43.125,42.25,43.125,862200,10.499684,0.0176991150442
1994-04-26,45.0,45.25,44.625,44.75,1685800,10.895324,-0.00555555555556
1994-04-28,44.75,44.75,43.75,44.375,1094800,10.804023,-0.00837988826816
1994-04-29,44.25,44.75,44.125,44.5,974200,10.834457,0.00564971751412
1994-05-02,44.5,45.0,44.25,44.875,494600,10.925758,0.00842696629213
1994-05-03,45.0,45.125,44.5,45.0,713000,10.956192,0.0
1994-05-04,44.875,45.25,44.875,45.125,592600,10.986626,0.00557103064067
1994-05-05,45.25,45.25,44.875,44.875,343200,10.925758,-0.00828729281768
1994-05-06,44.75,44.875,44.0,44.125,368000,10.743155,-0.0139664804469
1994-05-09,44.125,44.125,43.875,44.0,241800,10.712721,-0.0028328611898
1994-05-10,44.125,45.75,44.125,45.0,817000,10.956192,0.0198300283286
1994-05-11,45.75,46.0,45.125,45.125,828200,10.986626,-0.0136612021858
1994-05-12,45.25,45.5,45.125,45.125,358400,10.986626,-0.00276243093923
1994-05-13,45.625,46.125,45.625,45.875,891000,11.169229,0.00547945205479
1994-05-16,45.625,46.0,45.5,46.0,605200,11.199663,0.00821917808219
1994-05-17,45.75,46.25,45.625,46.0,381200,11.199663,0.00546448087432
1994-05-18,45.875,45.875,45.625,45.75,343600,11.138795,-0.00272479564033
1994-05-19,45.625,46.25,45.625,46.0,929800,11.199663,0.00821917808219
1994-05-20,45.875,45.875,45.0,45.0,397800,10.956192,-0.0190735694823
1994-05-23,45.5,46.0,45.5,45.5,502000,11.077928,0.0
1994-05-24,46.5,47.25,46.5,46.75,929600,11.382266,0.00537634408602
1994-05-25,46.5,47.75,46.5,47.625,675600,11.595303,0.0241935483871
1994-05-26,47.75,48.375,47.75,48.25,1315800,11.747473,0.0104712041885
1994-05-27,48.0,48.875,48.0,48.75,634400,11.869208,0.015625
1994-05-31,48.5,48.875,48.125,48.125,536000,11.717039,-0.00773195876289
1994-06-01,48.0,48.25,47.125,47.375,349800,11.534436,-0.0130208333333
1994-06-02,47.125,47.875,46.875,47.75,542400,11.625737,0.0132625994695
1994-06-03,47.625,48.0,47.625,47.75,507800,11.625737,0.00262467191601
1994-06-06,47.875,48.125,47.75,48.125,299800,11.717039,0.00522193211488
