Date,Open,High,Low,Close,Volume,Adj Close,Returns
1993-08-12,29.0,29.0,27.375,28.625,13086600,3.962559,
1993-08-13,28.5,28.5,27.75,27.75,1277800,3.841432,-0.0263157894737
1993-08-16,27.75,28.0,27.625,28.0,559000,3.87604,0.00900900900901
1993-08-17,28.0,28.25,27.875,28.125,545600,3.893344,0.00446428571429
1993-08-18,28.125,28.125,28.125,28.125,469200,3.893344,0.0
1993-08-19,28.125,28.125,27.625,27.625,409400,3.824129,-0.0177777777778
1993-08-20,27.75,28.125,27.75,27.875,540800,3.858736,0.0045045045045
1993-08-23,27.875,28.125,27.75,28.0,335600,3.87604,0.00448430493274
1993-08-24,28.0,28.375,28.0,28.375,234400,3.927951,0.0133928571429
1993-08-25,28.125,28.125,28.0,28.0,102600,3.87604,-0.00444444444444
1993-08-26,28.0,28.625,28.0,28.625,180400,3.962559,0.0223214285714
1993-08-27,28.625,28.625,28.125,28.25,119600,3.910647,-0.0131004366812
1993-08-30,28.125,28.5,28.125,28.25,71400,3.910647,0.00444444444444
1993-08-31,28.25,28.875,28.25,28.75,147000,3.979862,0.0176991150442
1993-09-01,28.875,29.0,28.625,28.625,141600,3.962559,-0.00865800865801
1993-09-02,29.0,29.0,28.75,29.0,217600,4.01447,0.0
1993-09-03,28.875,29.625,28.875,29.25,178800,4.049077,0.012987012987
1993-09-07,29.125,29.625,29.125,29.375,167600,4.066381,0.00858369098712
1993-09-08,29.625,29.75,29.0,29.0,276200,4.01447,-0.0210970464135
1993-09-09,29.0,29.75,29.0,29.25,74400,4.049077,0.00862068965517
1993-09-10,29.125,30.5,29.125,30.25,245000,4.187507,0.0386266094421
1993-09-13,29.875,30.0,29.75,30.0,251200,4.1529,0.00418410041841
1993-09-14,29.5,29.625,29.125,29.5,127000,4.083685,0.0
1993-09-15,29.5,29.5,29.125,29.5,162400,4.083685,0.0
1993-09-16,29.75,29.75,29.375,29.75,88800,4.118292,0.0
1993-09-17,29.625,30.125,29.5,30.125,113000,4.170204,0.0168776371308
1993-09-20,29.625,29.875,29.5,29.5,15400,4.112352,-0.0042194092827
1993-09-21,29.75,29.75,29.375,29.625,286000,4.129777,-0.00420168067227
1993-09-22,29.5,29.875,29.375,29.875,54800,4.164628,0.0127118644068
1993-09-23,29.75,29.75,29.375,29.625,51000,4.129777,-0.00420168067227
