Date,Open,High,Low,Close,Volume,Adj Close,Returns
1995-07-10,23.625,24.5,23.625,24.5,5438000,7.358044,
1995-07-11,25.125,25.125,24.75,25.0,4907000,7.508209,-0.00497512437811
1995-07-12,25.0,26.125,24.875,26.125,1055800,7.846078,0.045
1995-07-13,26.0,26.25,25.875,26.125,1373600,7.846078,0.00480769230769
1995-07-14,26.0,26.125,25.875,26.0,985600,7.808537,0.0
1995-07-17,26.0,26.0,25.75,25.875,947600,7.770996,-0.00480769230769
1995-07-18,25.875,25.875,25.125,25.25,727400,7.583291,-0.024154589372
1995-07-19,25.125,25.125,23.375,23.75,558200,7.132798,-0.0547263681592
1995-07-20,23.5,23.625,23.5,23.625,464600,7.095257,0.00531914893617
1995-07-21,23.75,24.375,23.75,24.125,721200,7.245421,0.0157894736842
1995-07-24,24.125,24.5,24.125,24.125,509000,7.245421,0.0
1995-07-25,24.25,24.75,24.125,24.25,847000,7.282962,0.0
1995-07-26,24.5,25.125,24.5,25.125,1584800,7.54575,0.0255102040816
1995-07-27,25.0,25.75,25.0,25.75,2082600,7.733455,0.03
1995-07-28,25.75,27.375,25.375,27.375,14640800,8.221488,0.0631067961165
1995-07-31,27.25,27.25,26.5,27.0,2544600,8.108865,-0.00917431192661
1995-08-01,26.875,26.875,26.5,26.625,1956000,7.996242,-0.0093023255814
1995-08-02,26.625,26.625,25.25,25.375,2307600,7.620832,-0.0469483568075
1995-08-03,25.125,26.0,25.125,26.0,1762800,7.808537,0.0348258706468
1995-08-04,25.75,25.875,25.0,25.375,903800,7.620832,-0.0145631067961
1995-08-07,25.25,25.25,24.875,25.125,837000,7.54575,-0.0049504950495
1995-08-08,25.0,25.125,24.875,24.875,729000,7.470668,-0.005
1995-08-09,24.875,24.875,24.375,24.5,586600,7.358044,-0.0150753768844
1995-08-10,24.5,25.125,24.5,24.75,1319400,7.433127,0.0102040816327
1995-08-11,24.75,25.25,24.75,25.0,1152000,7.508209,0.010101010101
1995-08-14,25.0,25.0,24.25,24.5,379800,7.358044,-0.02
1995-08-15,24.5,24.75,24.5,24.625,349600,7.395585,0.00510204081633
1995-08-16,24.875,25.0,24.625,24.75,440200,7.433127,-0.00502512562814
1995-08-17,24.75,25.125,24.625,25.125,410600,7.54575,0.0151515151515
1995-08-18,25.125,25.125,24.375,24.5,598800,7.358044,-0.0248756218905
1995-08-21,24.625,24.875,24.25,24.25,440400,7.282962,-0.0152284263959
1995-08-22,24.375,24.5,23.75,24.0,444200,7.20788,-0.0153846153846
1995-08-23,24.125,24.125,23.125,23.625,193200,7.095257,-0.020725388601
1995-08-24,23.625,23.625,23.125,23.25,1284000,6.982634,-0.015873015873
1995-08-25,23.25,23.875,22.875,23.625,733400,7.095257,0.0161290322581
1995-08-28,23.625,23.625,23.0,23.25,447600,6.982634,-0.015873015873
1995-08-29,23.25,23.25,22.625,22.875,368600,6.870011,-0.0161290322581
1995-08-30,22.625,23.5,22.625,23.125,398000,6.945093,0.0220994475138
1995-08-31,23.25,23.375,23.125,23.375,417400,7.020175,0.00537634408602
1995-09-01,23.25,23.625,23.25,23.5,594600,7.057716,0.010752688172
1995-09-05,23.75,23.875,23.375,23.625,487600,7.095257,-0.00526315789474
1995-09-06,23.75,24.0,23.625,23.875,476400,7.170339,0.00526315789474
1995-09-07,23.75,23.75,23.125,23.25,618000,6.982634,-0.0210526315789
1995-09-08,23.25,23.375,23.125,23.25,1015600,6.982634,0.0
1995-09-11,23.25,24.0,23.125,23.75,279000,7.132798,0.0215053763441
1995-09-12,23.75,24.0,23.375,24.0,290000,7.20788,0.0105263157895
1995-09-13,24.375,24.875,24.375,24.375,325000,7.320503,0.0
1995-09-14,24.375,24.5,24.125,24.5,491800,7.358044,0.00512820512821
1995-09-15,24.75,24.875,24.5,24.75,1108600,7.433127,0.0
1995-09-18,24.75,24.875,24.625,24.875,609400,7.470668,0.00505050505051
1995-09-19,24.75,24.875,24.625,24.875,581600,7.470668,0.00505050505051
1995-09-20,24.75,24.875,24.625,24.75,597600,7.433127,0.0
1995-09-21,24.75,24.875,24.625,24.75,437400,7.433127,0.0
1995-09-22,24.5,24.75,24.375,24.625,832200,7.395585,0.00510204081633
1995-09-25,24.75,24.875,24.5,24.75,436400,7.433127,0.0
1995-09-26,24.625,24.875,24.5,24.625,571000,7.395585,0.0
1995-09-27,24.75,25.125,24.625,24.625,893200,7.395585,-0.00505050505051
1995-09-28,24.75,25.375,24.75,25.375,728200,7.620832,0.0252525252525
1995-09-29,25.375,26.0,25.25,25.625,300800,7.695914,0.00985221674877
1995-10-02,25.75,25.75,25.5,25.75,292800,7.733455,0.0
1995-10-03,25.625,25.75,25.25,25.625,197600,7.695914,0.0
1995-10-04,25.625,25.625,24.875,25.0,232000,7.508209,-0.0243902439024
1995-10-05,25.25,25.25,24.75,24.875,397000,7.470668,-0.0148514851485
1995-10-06,24.875,25.25,24.75,25.0,124400,7.508209,0.00502512562814
1995-10-09,24.875,25.0,24.625,25.0,148600,7.508209,0.00502512562814
1995-10-10,25.125,25.25,25.0,25.125,407600,7.54575,0.0
1995-10-11,25.25,25.25,24.875,25.125,251400,7.54575,-0.0049504950495
1995-10-12,25.0,25.25,24.875,25.25,462800,7.651814,0.01
1995-10-13,25.25,26.0,25.25,25.625,666400,7.765455,0.0148514851485
1995-10-16,25.75,25.75,25.125,25.25,304400,7.651814,-0.0194174757282
1995-10-17,25.25,25.25,24.75,25.0,358600,7.576054,-0.00990099009901
1995-10-18,25.0,25.5,25.0,25.375,860000,7.689694,0.015
1995-10-19,25.375,25.5,25.125,25.375,437600,7.689694,0.0
1995-10-20,25.25,25.25,24.75,24.75,459600,7.500293,-0.019801980198
1995-10-23,24.75,24.875,24.375,24.5,109800,7.424533,-0.010101010101
1995-10-24,24.625,24.625,24.125,24.625,294200,7.462413,0.0
1995-10-25,24.5,24.625,23.875,23.875,149800,7.235131,-0.0255102040816
1995-10-26,23.875,24.0,23.375,23.5,187600,7.12149,-0.0157068062827
1995-10-27,23.375,23.75,23.0,23.75,491200,7.197251,0.0160427807487
1995-10-30,23.75,23.75,23.5,23.625,131600,7.159371,-0.00526315789474
1995-10-31,23.5,23.5,22.75,22.75,267000,6.894209,-0.031914893617
1995-11-01,22.625,23.625,22.625,23.5,1125400,7.12149,0.0386740331492
1995-11-02,23.375,23.375,22.875,23.125,1404800,7.00785,-0.0106951871658
1995-11-03,23.125,23.375,23.0,23.25,184600,7.04573,0.00540540540541
1995-11-06,23.125,23.375,23.0,23.25,426200,7.04573,0.00540540540541
1995-11-07,23.5,23.75,23.375,23.625,336000,7.159371,0.00531914893617
1995-11-08,23.5,23.75,23.5,23.75,288800,7.197251,0.0106382978723
1995-11-09,23.75,23.875,23.5,23.875,408400,7.235131,0.00526315789474
1995-11-10,24.5,24.75,24.25,24.75,798200,7.500293,0.0102040816327
1995-11-13,24.75,25.125,24.625,25.0,720000,7.576054,0.010101010101
1995-11-14,25.125,25.25,25.0,25.25,400800,7.651814,0.00497512437811
1995-11-15,25.25,25.25,24.875,25.25,497400,7.651814,0.0
1995-11-16,25.125,25.375,25.125,25.375,381600,7.689694,0.00995024875622
1995-11-17,25.375,25.375,24.875,25.0,260600,7.576054,-0.0147783251232
1995-11-20,25.0,25.5,24.875,25.375,758600,7.689694,0.015
1995-11-21,25.625,25.625,25.375,25.625,340200,7.765455,0.0
1995-11-22,25.5,26.5,25.5,26.25,755200,7.954856,0.0294117647059
1995-11-24,26.5,26.875,26.5,26.5,181000,8.030617,0.0
1995-11-27,26.625,27.125,26.375,27.125,1088000,8.220018,0.018779342723
1995-11-28,27.125,27.5,26.75,27.125,790800,8.220018,0.0
1995-11-29,27.0,27.125,26.75,26.875,594000,8.144258,-0.00462962962963
