Date,Open,High,Low,Close,Volume,Adj Close,Returns
1990-03-26,36.250045,36.250045,35.500056,35.500056,31100,2.157671,
1990-03-27,35.500056,36.250045,35.500056,36.250045,10600,2.203255,0.021126417378
1990-03-28,36.000033,36.000033,35.500056,35.500056,24000,2.157671,-0.0138882372691
1990-03-29,35.00003,35.250042,34.250038,34.750017,49600,2.112084,-0.00714322244867
1990-03-30,34.250038,34.750017,34.250038,34.750017,98300,2.112084,0.0145979108111
1990-04-02,34.62501,34.750017,34.000026,34.500052,11400,2.096892,-0.00360889426458
1990-04-03,34.500052,34.750017,34.000026,34.750017,66100,2.112084,0.00724535139831
1990-04-04,35.500056,35.500056,34.500052,35.00003,9900,2.12728,-0.0140852172177
1990-04-05,35.00003,36.250045,34.500052,35.250042,134700,2.142475,0.00714319387726
1990-04-06,35.500056,36.50001,35.500056,36.50001,9700,2.218448,0.0281676738763
1990-04-09,35.750021,36.250045,35.500056,35.500056,110200,2.157671,-0.00699202386483
1990-04-10,35.500056,35.750021,35.00003,35.00003,19200,2.12728,-0.0140852172177
1990-04-11,35.750021,35.750021,34.750017,35.750021,11000,2.172864,0.0
1990-04-12,36.000033,36.000033,35.500056,35.500056,34300,2.157671,-0.0138882372691
1990-04-16,36.000033,36.000033,35.250042,35.250042,75700,2.142475,-0.0208330642364
1990-04-17,35.750021,35.750021,35.250042,35.750021,30000,2.172864,0.0
1990-04-18,35.250042,35.750021,35.00003,35.00003,53300,2.12728,-0.00709253055642
1990-04-19,35.500056,35.500056,34.000026,34.500052,84200,2.096892,-0.0281690823248
1990-04-20,34.000026,34.500052,34.000026,34.250038,133600,2.081696,0.00735328849454
1990-04-23,34.500052,34.500052,33.250034,33.250034,49600,2.020916,-0.036232351186
1990-04-24,33.625007,34.000026,33.250034,34.000026,60400,2.0665,0.0111529790908
1990-04-25,34.000026,34.000026,33.375041,33.500049,115800,2.036112,-0.0147051946372
1990-04-26,33.125029,33.500049,32.75001,32.75001,51100,1.990525,-0.0113213183904
1990-04-27,33.000022,33.500049,32.000019,32.000019,115100,1.944941,-0.0303031010101
