Date,Open,High,Low,Close,Volume,Adj Close,Returns
1975-01-02,9.5,9.875,9.5,9.5,3900,1.174519,
1975-01-03,9.875,10.125,9.875,9.875,2700,1.220882,0.0
1975-01-06,10.125,10.5,10.125,10.125,3200,1.25179,0.0
1975-01-07,10.125,10.25,10.0,10.0,1400,1.236336,-0.0123456790123
1975-01-08,10.125,10.5,10.125,10.125,1100,1.25179,0.0
1975-01-09,10.125,10.625,10.125,10.125,2100,1.25179,0.0
1975-01-10,10.5,10.875,10.5,10.5,5700,1.298153,0.0
1975-01-13,10.5,10.75,10.25,10.25,2600,1.267244,-0.0238095238095
1975-01-14,10.25,10.625,10.125,10.125,2200,1.25179,-0.0121951219512
1975-01-15,10.125,10.625,10.125,10.125,1000,1.25179,0.0
1975-01-16,10.625,11.0,10.625,10.625,2700,1.313607,0.0
1975-01-17,10.625,11.0,10.625,10.625,1600,1.313607,0.0
1975-01-20,10.625,11.0,10.625,10.625,2200,1.313607,0.0
1975-01-21,10.625,11.0,10.625,10.625,1800,1.313607,0.0
1975-01-22,10.625,10.875,10.5,10.5,4000,1.298153,-0.0117647058824
1975-01-23,10.75,11.125,10.75,10.75,5700,1.329061,0.0
1975-01-24,11.0,11.25,11.0,11.0,3000,1.359969,0.0
1975-01-27,11.125,11.625,11.125,11.125,5000,1.375424,0.0
1975-01-28,11.5,11.875,11.5,11.5,9200,1.421786,0.0
1975-01-29,11.625,12.0,11.625,11.625,6500,1.43724,0.0
1975-01-30,11.625,11.875,11.5,11.5,2800,1.421786,-0.010752688172
1975-01-31,11.75,12.125,11.75,11.75,3300,1.452695,0.0
1975-02-03,11.875,12.125,11.875,11.875,1800,1.468149,0.0
1975-02-04,11.875,12.125,11.875,11.875,2900,1.468149,0.0
1975-02-05,12.0,12.25,12.0,12.0,5300,1.483603,0.0
1975-02-06,12.0,12.25,12.0,12.0,2600,1.483603,0.0
1975-02-07,12.25,12.75,12.25,12.25,4400,1.514511,0.0
1975-02-10,12.5,12.875,12.5,12.5,3400,1.54542,0.0
1975-02-11,12.5,12.875,12.5,12.5,2900,1.54542,0.0
1975-02-12,12.5,12.875,12.5,12.5,2300,1.54542,0.0
1975-02-13,12.5,12.75,12.25,12.25,4700,1.514511,-0.02
1975-02-14,12.25,12.625,12.125,12.125,3000,1.499057,-0.0102040816327
1975-02-18,12.125,12.5,12.125,12.125,5200,1.499057,0.0
1975-02-19,12.25,12.75,12.25,12.25,6100,1.514511,0.0
1975-02-20,12.25,12.75,12.25,12.25,1900,1.514511,0.0
1975-02-21,12.25,12.75,12.25,12.25,1200,1.514511,0.0
1975-02-24,12.5,12.875,12.5,12.5,2300,1.54542,0.0
1975-02-25,12.5,12.875,12.5,12.5,2100,1.54542,0.0
1975-02-26,12.5,12.875,12.5,12.5,4300,1.54542,0.0
1975-02-27,12.875,13.125,12.875,12.875,4200,1.591782,0.0
1975-02-28,13.125,13.5,13.125,13.125,4800,1.622691,0.0
1975-03-03,13.125,13.5,13.125,13.125,4600,1.622691,0.0
1975-03-04,13.125,13.5,13.125,13.125,2200,1.622691,0.0
1975-03-05,13.125,13.5,13.125,13.125,1500,1.622691,0.0
1975-03-06,13.125,13.25,13.0,13.0,600,1.607237,-0.00952380952381
1975-03-07,13.0,13.25,13.0,13.0,1300,1.607237,0.0
1975-03-10,13.0,13.25,13.0,13.0,1500,1.607237,0.0
1975-03-11,13.0,13.125,12.75,12.75,6000,1.576328,-0.0192307692308
1975-03-12,12.75,13.125,12.75,12.75,1800,1.576328,0.0
1975-03-13,12.75,13.125,12.75,12.75,1900,1.576328,0.0
1975-03-14,13.0,13.25,13.0,13.0,4100,1.607237,0.0
1975-03-17,13.0,13.25,13.0,13.0,800,1.607237,0.0
1975-03-18,13.0,13.25,13.0,13.0,1300,1.607237,0.0
1975-03-19,13.0,13.125,12.875,12.875,2600,1.591782,-0.00961538461538
1975-03-20,12.875,13.125,12.75,12.75,2100,1.576328,-0.00970873786408
1975-03-21,12.75,13.125,12.75,12.75,3700,1.576328,0.0
1975-03-24,12.75,13.0,12.625,12.625,3100,1.560874,-0.00980392156863
1975-03-25,12.625,13.0,12.625,12.625,1600,1.560874,0.0
1975-03-26,12.625,13.0,12.625,12.625,3200,1.560874,0.0
1975-03-27,12.625,13.0,12.625,12.625,400,1.560874,0.0
1975-03-31,12.625,13.0,12.625,12.625,2200,1.560874,0.0
1975-04-01,12.625,12.875,12.5,12.5,3900,1.54542,-0.00990099009901
1975-04-02,12.625,13.0,12.625,12.625,1300,1.560874,0.0
1975-04-03,12.625,12.875,12.5,12.5,1900,1.54542,-0.00990099009901
1975-04-04,12.5,12.875,12.5,12.5,900,1.54542,0.0
1975-04-07,12.5,12.875,12.5,12.5,3500,1.54542,0.0
1975-04-08,12.5,12.875,12.5,12.5,2100,1.54542,0.0
1975-04-09,12.875,13.125,12.875,12.875,8200,1.591782,0.0
1975-04-10,13.0,13.25,13.0,13.0,3200,1.607237,0.0
1975-04-11,13.0,13.25,13.0,13.0,0,1.607237,0.0
1975-04-14,13.0,13.25,13.0,13.0,1600,1.607237,0.0
1975-04-15,13.0,13.25,13.0,13.0,1100,1.607237,0.0
1975-04-16,13.0,13.25,13.0,13.0,3000,1.607237,0.0
1975-04-17,13.0,13.25,13.0,13.0,2100,1.607237,0.0
1975-04-18,13.125,13.625,13.125,13.125,6600,1.622691,0.0
1975-04-21,13.25,13.75,13.25,13.25,1500,1.638145,0.0
1975-04-22,13.25,13.75,13.25,13.25,2100,1.638145,0.0
1975-04-23,13.25,13.75,13.25,13.25,1600,1.638145,0.0
1975-04-24,13.25,13.5,13.125,13.125,8100,1.622691,-0.00943396226415
1975-04-25,13.125,13.5,13.125,13.125,2100,1.622691,0.0
1975-04-28,13.125,13.25,13.0,13.0,1700,1.607237,-0.00952380952381
1975-04-29,13.0,13.25,13.0,13.0,800,1.607237,0.0
1975-04-30,13.0,13.125,12.875,12.875,2700,1.591782,-0.00961538461538
1975-05-01,12.875,13.125,12.875,12.875,700,1.591782,0.0
1975-05-02,12.875,13.125,12.875,12.875,1400,1.591782,0.0
1975-05-05,12.875,13.125,12.75,12.75,900,1.576328,-0.00970873786408
1975-05-06,12.75,13.0,12.625,12.625,3100,1.560874,-0.00980392156863
1975-05-07,12.75,13.125,12.75,12.75,600,1.576328,0.0
1975-05-08,12.875,13.125,12.875,12.875,1400,1.591782,0.0
1975-05-09,13.0,13.25,13.0,13.0,2500,1.607237,0.0
1975-05-12,13.0,13.125,12.75,12.75,1900,1.576328,-0.0192307692308
1975-05-13,12.75,13.125,12.75,12.75,1400,1.576328,0.0
