Date,Open,High,Low,Close,Volume,Adj Close,Returns
2001-01-16,15.0,15.0,15.0,15.0,3200,3.614304,
2001-01-17,15.0,15.0,15.0,15.0,122800,3.614304,0.0
2001-01-18,15.32,16.32,15.32,16.32,167200,3.932362,0.065274151436
2001-01-19,16.48,17.08,16.48,17.08,59600,4.115487,0.0364077669903
2001-01-22,17.0,18.32,17.0,18.16,146800,4.375717,0.0682352941176
2001-01-23,18.0,19.08,18.0,18.48,76000,4.452822,0.0266666666667
2001-01-24,18.32,18.32,18.16,18.16,560000,4.375717,-0.00873362445415
2001-01-25,18.4,18.48,18.32,18.48,143200,4.452822,0.00434782608696
2001-01-26,18.32,18.360001,18.32,18.32,82000,4.41427,0.0
2001-01-29,18.52,18.75,18.4,18.700001,262000,4.505832,0.00971927645788
2001-01-30,18.700001,18.700001,18.35,18.6,339200,4.481737,-0.00534764677285
2001-01-31,18.700001,19.049999,18.700001,18.75,326000,4.51788,0.00267374317253
2001-02-01,19.0,21.200001,18.76,20.9,2556800,5.03593,0.1
2001-02-02,20.75,21.0,20.6,20.83,795600,5.019063,0.00385542168675
2001-02-05,20.85,21.450001,19.92,19.969999,644800,4.811843,-0.0422062829736
2001-02-06,19.9,20.02,19.75,19.75,1338800,4.758833,-0.00753768844221
2001-02-07,19.700001,20.0,19.65,20.0,1350400,4.819072,0.0152283748615
2001-02-08,20.0,20.16,19.5,19.5,578800,4.698595,-0.025
2001-02-09,19.5,19.75,19.5,19.75,441600,4.758833,0.0128205128205
2001-02-12,19.75,19.75,19.299999,19.299999,327200,4.650404,-0.0227848607595
2001-02-13,19.299999,19.540001,19.25,19.25,648800,4.638356,-0.00259062189589
2001-02-14,19.25,19.25,19.07,19.08,135600,4.597394,-0.00883116883117
2001-02-15,19.1,19.15,18.299999,18.299999,454400,4.40945,-0.0418848691099
2001-02-16,18.1,18.1,17.4,18.07,427200,4.354031,-0.00165745856354
2001-02-20,18.07,18.15,17.809999,18.09,1000400,4.35885,0.0011068068622
2001-02-21,18.09,18.09,17.9,18.08,443600,4.356441,-0.000552791597568
2001-02-22,18.08,18.139999,17.9,18.030001,623600,4.344393,-0.00276543141593
2001-02-23,18.1,18.700001,18.0,18.450001,1222800,4.445594,0.0193370718232
2001-02-26,18.5,19.120001,18.5,19.0,1182400,4.578118,0.027027027027
2001-02-27,19.0,19.0,18.9,18.9,690000,4.554023,-0.00526315789474
2001-02-28,18.9,19.0,18.85,19.0,326000,4.578118,0.00529100529101
2001-03-01,18.9,18.9,18.700001,18.700001,155200,4.505832,-0.010581957672
2001-03-02,18.75,18.809999,18.700001,18.76,836800,4.520289,0.000533333333333
2001-03-05,18.75,19.049999,18.75,19.01,402800,4.580528,0.0138666666667
2001-03-06,19.01,19.1,18.799999,18.799999,610000,4.529927,-0.0110468700684
2001-03-07,18.799999,18.99,18.799999,18.99,89600,4.575708,0.0101064367078
2001-03-08,18.98,18.98,18.799999,18.799999,211600,4.529927,-0.00948371970495
2001-03-09,18.799999,18.809999,18.700001,18.780001,269600,4.525108,-0.00106372346084
2001-03-12,18.780001,18.9,18.65,18.700001,106400,4.505832,-0.00425985067839
2001-03-13,18.85,18.85,18.450001,18.450001,671600,4.445594,-0.0212201061008
2001-03-14,18.450001,18.549999,17.870001,17.9,455600,4.313069,-0.0298103506878
2001-03-15,17.799999,17.799999,17.15,17.43,1160400,4.199821,-0.0207864618419
2001-03-16,17.549999,17.799999,17.35,17.35,402800,4.180545,-0.0113959550653
2001-03-19,17.15,17.75,17.15,17.200001,1173600,4.144402,0.00291551020408
2001-03-20,17.25,17.559999,17.0,17.1,222000,4.120306,-0.00869565217391
2001-03-21,17.1,17.200001,16.25,16.65,135200,4.011877,-0.0263157894737
2001-03-22,17.25,17.85,17.0,17.85,2125600,4.301021,0.0347826086957
2001-03-23,17.9,18.299999,17.9,18.299999,757600,4.40945,0.0223463128492
2001-03-26,18.450001,18.5,18.280001,18.5,207600,4.457641,0.00270997275285
2001-03-27,18.4,18.450001,18.129999,18.35,435200,4.421498,-0.00271739130435
2001-03-28,18.299999,18.4,17.85,17.85,420800,4.301021,-0.0245901106333
2001-03-29,17.799999,17.799999,17.299999,17.299999,535200,4.168497,-0.0280898892185
2001-03-30,17.299999,18.5,17.299999,18.5,1308800,4.457641,0.0693642236627
2001-04-02,18.4,18.4,17.700001,17.799999,685600,4.288974,-0.03260875
2001-04-03,17.799999,18.0,17.450001,18.0,192800,4.337164,0.0112360118672
2001-04-04,17.85,18.0,17.75,17.99,606000,4.334755,0.0078431372549
2001-04-05,18.0,18.120001,17.93,18.120001,629200,4.366079,0.00666672222222
2001-04-06,18.07,18.940001,18.0,18.85,476000,4.541975,0.0431654676259
2001-04-09,18.860001,18.959999,18.450001,18.610001,113600,4.484146,-0.0132555666354
2001-04-10,18.709999,19.1,18.709999,19.049999,954400,4.590166,0.0181721014523
2001-04-11,19.5,20.9,19.5,20.9,1570000,5.03593,0.0717948717949
2001-04-12,20.67,22.35,20.67,22.35,689200,5.385313,0.0812772133527
2001-04-16,22.299999,22.299999,21.459999,21.5,368000,5.180502,-0.0358743962276
2001-04-17,21.4,21.75,21.059999,21.5,581200,5.180502,0.00467289719626
2001-04-18,21.0,21.41,21.0,21.280001,285200,5.127492,0.0133333809524
2001-04-19,21.18,21.280001,20.65,21.24,121600,5.117854,0.0028328611898
2001-04-20,21.4,21.799999,20.950001,21.0,1139600,5.060025,-0.018691588785
2001-04-23,21.1,21.1,20.85,20.9,946400,5.03593,-0.00947867298578
2001-04-24,20.879999,20.93,20.75,20.9,626000,5.03593,0.000957902344727
2001-04-25,20.9,21.15,20.9,21.049999,326000,5.072073,0.00717698564593
2001-04-26,21.059999,21.15,20.91,20.98,469200,5.055206,-0.00379862316233
2001-04-27,20.99,21.01,20.92,21.0,549200,5.060025,0.000476417341591
2001-04-30,20.799999,21.6,20.75,21.15,946800,5.096168,0.0168269719628
2001-05-01,21.15,24.379999,21.15,23.860001,889200,5.749153,0.128132434988
2001-05-02,24.0,24.950001,23.200001,24.459999,547600,5.893724,0.019166625
2001-05-03,24.299999,24.4,23.799999,24.0,289200,5.782886,-0.0123456383681
2001-05-04,23.85,24.200001,23.799999,23.98,521600,5.778067,0.00545073375262
2001-05-07,24.1,24.5,24.1,24.389999,176000,5.876858,0.012033153527
2001-05-08,24.5,25.17,24.5,25.17,920000,6.064802,0.0273469387755
2001-05-09,25.1,25.1,24.25,24.25,213200,5.843124,-0.0338645418327
2001-05-10,24.049999,24.15,23.690001,23.690001,161600,5.70819,-0.0149687324311
2001-05-11,23.790001,23.790001,23.0,23.01,71600,5.544342,-0.0327869259022
2001-05-14,23.15,24.1,22.530001,24.07,136400,5.799753,0.0397408207343
2001-05-15,24.15,24.99,24.15,24.700001,244800,5.961461,0.02277436853
2001-05-16,24.65,25.200001,24.5,25.049999,309600,6.045934,0.0162271399594
2001-05-17,25.120001,26.200001,25.120001,26.1,278800,6.299357,0.0390126974915
2001-05-18,26.0,26.200001,25.969999,26.0,119600,6.275222,0.0
2001-05-21,25.9,26.299999,25.700001,26.299999,113600,6.347628,0.015443976834
2001-05-22,26.5,27.700001,26.23,26.5,606800,6.395899,0.0
2001-05-23,26.450001,26.5,25.85,25.9,323200,6.251086,-0.0207939878717
2001-05-24,25.9,25.9,24.65,25.1,375200,6.058002,-0.030888030888
2001-05-25,25.1,25.4,25.1,25.4,251600,6.130409,0.0119521912351
2001-05-29,25.35,25.75,25.299999,25.450001,271200,6.142477,0.00394481262327
2001-05-30,25.450001,26.0,25.450001,25.959999,334000,6.265567,0.020039213358
2001-05-31,26.0,26.700001,26.0,26.299999,350400,6.347628,0.0115384230769
2001-06-01,26.299999,26.4,26.01,26.049999,77200,6.287289,-0.00950570378349
2001-06-04,26.15,26.799999,26.15,26.799999,92800,6.468305,0.0248565583174
2001-06-05,27.200001,27.200001,26.6,27.1,513600,6.540712,-0.00367650721778
2001-06-06,27.049999,27.24,26.91,27.110001,279200,6.543125,0.00221818862174
2001-06-07,27.01,27.700001,27.0,27.52,400000,6.642081,0.0188818955942
2001-06-08,27.4,27.450001,27.299999,27.35,111600,6.60105,-0.00182481751825
2001-06-11,27.33,27.35,26.9,26.950001,267200,6.504509,-0.0139040980607
