Date,Open,High,Low,Close,Volume,Adj Close,Returns
2000-12-08,15.8125,22.875,15.125,20.0,17149800,6.87638,
2000-12-11,22.6875,22.75,19.875,21.1875,2919200,7.284666,-0.0661157024793
2000-12-12,21.21876,21.25,19.375,19.875,1077400,6.833403,-0.0633288655888
2000-12-13,20.75,20.875,19.75,19.875,422400,6.833403,-0.0421686746988
2000-12-14,19.984381,20.25,19.875,20.125,265400,6.919358,0.00703644511181
2000-12-15,20.25,20.25,18.0,20.125,950200,6.919358,-0.00617283950617
2000-12-18,20.5,20.5,19.4375,20.0625,483600,6.897869,-0.0213414634146
2000-12-19,20.046881,20.0625,19.25,19.625,457400,6.747448,-0.0210447201238
2000-12-20,19.375,19.625,18.0,18.25,1228800,6.274697,-0.058064516129
2000-12-21,18.0625,18.5,17.75,18.1875,1017400,6.253208,0.00692041522491
2000-12-22,18.625,19.375,18.5,19.25,416000,6.618516,0.0335570469799
2000-12-26,19.3125,19.375,18.875,19.0,754000,6.532561,-0.0161812297735
2000-12-27,18.90624,19.125,18.25,18.5625,361400,6.382141,-0.0181812988728
2000-12-28,18.625,19.375,18.3125,18.625,1048600,6.403629,0.0
2000-12-29,19.0,20.125,18.75,19.75,232800,6.790426,0.0394736842105
2001-01-02,20.171881,20.25,18.6875,19.25,330400,6.618516,-0.0457012908216
2001-01-03,18.78124,19.375,17.5,17.625,545400,6.05981,-0.0615635602335
2001-01-04,17.9375,19.0,17.625,18.0625,287600,6.210231,0.00696864111498
2001-01-05,18.109381,18.5,17.75,18.125,962000,6.23172,0.000862481163768
2001-01-08,18.0,18.1875,17.5,17.5,631000,6.016833,-0.0277777777778
2001-01-09,17.90624,18.0,17.0,17.25,821800,5.930878,-0.0366486766624
2001-01-10,17.1875,17.25,16.75,17.0,976800,5.844923,-0.0109090909091
2001-01-11,17.03124,18.5,17.0,18.1875,1357000,6.253208,0.0678905352752
2001-01-12,18.59376,19.25,18.5,19.125,566200,6.575539,0.0285708753905
2001-01-16,19.625,20.5,18.875,19.0,663200,6.532561,-0.031847133758
2001-01-17,19.109381,19.875,18.875,19.375,486000,6.661494,0.0138999269521
2001-01-18,19.484381,19.5,18.5,19.0,292800,6.532561,-0.0248599634754
2001-01-19,19.0625,19.25,18.25,18.375,254200,6.317675,-0.0360655737705
2001-01-22,18.625,18.625,17.625,17.875,764600,6.145765,-0.0402684563758
2001-01-23,18.25,18.375,17.875,17.875,442600,6.145765,-0.0205479452055
2001-01-24,17.890619,18.0,16.9375,17.0,1197200,5.844923,-0.0497813407127
2001-01-25,17.25,18.0,16.25,17.875,985800,6.145765,0.036231884058
2001-01-26,17.5,19.375,17.375,18.625,249000,6.403629,0.0642857142857
2001-01-29,18.984381,20.0,18.625,19.9375,206600,6.854892,0.0502054294001
2001-01-30,19.9375,20.0625,18.9375,20.0625,188800,6.897869,0.00626959247649
2001-01-31,19.765619,20.0625,19.375,19.4375,84200,6.682982,-0.0166004919957
2001-02-01,19.375,20.0625,19.375,19.875,100600,6.833403,0.0258064516129
2001-02-02,20.0625,21.75,20.0,21.625,477200,7.435086,0.0778816199377
2001-02-05,22.0625,24.375,21.75,23.875,562400,8.208679,0.0821529745042
2001-02-06,24.234381,25.6875,23.875,24.75,585600,8.509521,0.0212763428948
2001-02-07,24.125,25.0,23.875,24.375,189400,8.380589,0.0103626943005
2001-02-08,24.265619,25.375,24.25,25.125,451400,8.638453,0.0354155811974
2001-02-09,25.0625,25.1875,24.0,24.0,730200,8.251657,-0.0423940149626
2001-02-12,24.25,24.375,23.5,23.5,2362200,8.079747,-0.0309278350515
2001-02-13,23.8125,24.625,23.375,24.375,228600,8.380589,0.0236220472441
2001-02-14,24.5,24.625,21.375,22.25,1363600,7.649973,-0.0918367346939
2001-02-15,22.75,23.0,20.75,21.25,359400,7.306154,-0.0659340659341
2001-02-16,21.1875,22.375,20.125,21.375,264200,7.349132,0.00884955752212
2001-02-20,22.0,22.0,19.125,19.625,391400,6.747448,-0.107954545455
2001-02-21,19.265619,20.125,18.875,19.625,196800,6.747448,0.0186540074316
2001-02-22,19.609381,19.625,18.5625,18.5625,197400,6.382141,-0.0533867438243
2001-02-23,18.5,20.5625,18.375,20.5,122800,7.04829,0.108108108108
2001-02-26,20.5,21.5,20.453119,21.21876,118600,7.295413,0.0350614634146
2001-02-27,21.5,22.0,21.375,22.0,271800,7.564018,0.0232558139535
2001-02-28,22.125,22.125,21.8125,21.875,142600,7.521041,-0.0112994350282
2001-03-01,21.75,21.875,18.875,20.0,232000,6.87638,-0.0804597701149
2001-03-02,20.1875,20.25,19.25,20.125,167000,6.919358,-0.0030959752322
2001-03-05,20.5,21.125,20.1875,20.875,110000,7.177222,0.0182926829268
2001-03-06,21.0,21.375,20.0,20.0,257000,6.87638,-0.047619047619
2001-03-07,20.71876,20.875,20.0625,20.625,175800,7.091267,-0.00452536734824
2001-03-08,20.75,20.75,19.5,19.875,137000,6.833403,-0.0421686746988
2001-03-09,19.96876,20.5,19.5,19.625,140000,6.747448,-0.0172148896576
2001-03-12,19.25,19.625,18.125,18.125,255000,6.23172,-0.0584415584416
2001-03-13,18.375,19.0,18.1875,18.875,229200,6.489584,0.0272108843537
2001-03-14,18.5,20.25,18.25,19.8125,184000,6.811914,0.0709459459459
2001-03-15,19.9375,20.5,19.875,20.25,57200,6.962335,0.0156739811912
2001-03-16,20.375,20.375,19.6875,19.6875,75800,6.768937,-0.0337423312883
2001-03-19,19.6875,19.75,18.875,19.375,120800,6.661494,-0.015873015873
2001-03-20,19.5,20.5,19.125,19.125,309800,6.575539,-0.0192307692308
2001-03-21,19.125,20.125,19.125,19.9375,75200,6.854892,0.0424836601307
2001-03-22,20.109381,20.125,19.25,19.625,126800,6.747448,-0.0240873152684
2001-03-23,20.0,20.625,19.625,20.0,339800,6.87638,0.0
2001-03-26,20.0,20.625,19.875,20.25,491400,6.962335,0.0125
2001-03-27,19.875,20.25,19.75,19.75,230800,6.790426,-0.0062893081761
2001-03-28,19.625,19.875,18.0,18.75,172400,6.446607,-0.0445859872611
2001-03-29,18.75,19.125,18.125,19.0625,129600,6.55405,0.0166666666667
2001-03-30,19.0,20.0,19.0,19.875,97200,6.833403,0.0460526315789
2001-04-02,19.375,20.0,19.375,19.75,125000,6.790426,0.0193548387097
2001-04-03,20.0,20.125,18.5,18.5,224600,6.360652,-0.075
2001-04-04,18.875,20.25,18.375,20.0625,190000,6.897869,0.0629139072848
2001-04-05,20.25,20.375,19.9375,20.25,109600,6.962335,0.0
2001-04-06,20.125,20.125,19.0,19.125,138800,6.575539,-0.0496894409938
2001-04-09,18.92,18.92,17.950001,18.25,801400,6.274697,-0.0354122621564
2001-04-10,18.65,18.75,18.450001,18.549999,488200,6.377843,-0.00536198391421
2001-04-11,18.9,18.9,18.26,18.32,347600,6.298764,-0.0306878306878
2001-04-12,18.200001,18.5,18.1,18.1,120000,6.223124,-0.00549456013766
2001-04-16,18.1,18.440001,17.9,18.049999,149600,6.205933,-0.00276248618785
2001-04-17,18.16,18.5,18.16,18.4,80600,6.32627,0.0132158590308
2001-04-18,18.549999,19.0,17.799999,18.0,599400,6.188742,-0.0296495433773
2001-04-19,18.08,18.139999,18.0,18.0,258400,6.188742,-0.00442477876106
2001-04-20,18.5,18.620001,18.190001,18.559999,391200,6.381281,0.00324318918919
2001-04-23,18.5,18.5,18.35,18.469999,151600,6.350337,-0.00162167567568
2001-04-24,18.299999,18.5,18.26,18.4,135400,6.32627,0.00546453581773
2001-04-25,18.33,18.6,18.129999,18.200001,366200,6.257506,-0.00709214402619
2001-04-26,18.16,18.75,18.15,18.65,350600,6.412225,0.0269823788546
2001-04-27,18.75,20.049999,18.700001,20.049999,956000,6.893571,0.06933328
2001-04-30,20.75,23.049999,19.389999,21.0,1306400,7.220199,0.0120481927711
2001-05-01,21.0,21.700001,21.0,21.540001,393600,7.405862,0.0257143333333
