Date,Open,High,Low,Close,Volume,Adj Close,Returns
1975-01-02,12.875,13.375,12.75,13.375,39200,1.929022,
1975-01-03,13.375,13.875,13.125,13.875,54600,2.001135,0.0373831775701
1975-01-06,14.0,14.25,14.0,14.0,62000,2.019163,0.0
1975-01-07,14.0,14.25,14.0,14.0,202200,2.019163,0.0
1975-01-08,14.0,14.0,13.75,13.875,28800,2.001135,-0.00892857142857
1975-01-09,13.875,14.0,13.625,14.0,73200,2.019163,0.00900900900901
1975-01-10,14.25,14.75,14.25,14.625,220600,2.109305,0.0263157894737
1975-01-13,14.75,15.25,14.75,14.875,77600,2.145361,0.00847457627119
1975-01-14,14.75,14.75,14.25,14.5,45000,2.091276,-0.0169491525424
1975-01-15,14.5,15.0,14.375,15.0,145600,2.163389,0.0344827586207
1975-01-16,15.0,15.125,14.75,14.875,57200,2.145361,-0.00833333333333
1975-01-17,14.875,15.0,14.75,14.75,168800,2.127333,-0.00840336134454
1975-01-20,14.75,14.875,14.625,14.75,39600,2.127333,0.0
1975-01-21,14.75,15.125,14.75,14.75,59600,2.127333,0.0
1975-01-22,14.75,15.0,14.75,15.0,27600,2.163389,0.0169491525424
1975-01-23,15.0,15.5,15.0,15.25,66200,2.199446,0.0166666666667
1975-01-24,15.25,15.5,15.25,15.5,160600,2.235502,0.016393442623
1975-01-27,15.625,16.0,15.625,16.0,149600,2.307615,0.024
1975-01-28,16.0,16.375,16.0,16.125,191600,2.325644,0.0078125
1975-01-29,16.125,16.375,16.0,16.125,63200,2.325644,0.0
1975-01-30,16.125,16.375,15.75,15.75,72400,2.271559,-0.0232558139535
1975-01-31,15.75,16.125,15.5,16.0,45600,2.307615,0.015873015873
1975-02-03,16.0,16.375,15.875,16.25,29200,2.343672,0.015625
1975-02-04,16.0,16.0,15.75,16.0,67600,2.307615,0.0
1975-02-05,16.0,16.375,15.75,16.0,49200,2.307615,0.0
1975-02-06,16.0,16.375,15.875,16.0,58400,2.307615,0.0
1975-02-07,15.875,15.875,15.25,15.75,53000,2.311284,-0.00787401574803
1975-02-10,15.75,15.875,15.5,15.5,62400,2.274597,-0.015873015873
1975-02-11,15.5,15.5,15.25,15.375,53600,2.256254,-0.00806451612903
1975-02-12,15.375,15.625,15.25,15.5,35800,2.274597,0.00813008130081
1975-02-13,15.875,16.125,15.875,16.0,228800,2.347971,0.00787401574803
1975-02-14,16.0,16.125,15.625,15.75,51600,2.311284,-0.015625
1975-02-18,15.75,15.75,15.375,15.5,124000,2.274597,-0.015873015873
1975-02-19,15.5,15.75,15.375,15.75,53000,2.311284,0.0161290322581
1975-02-20,15.75,15.875,15.5,15.5,56600,2.274597,-0.015873015873
1975-02-21,15.5,16.125,15.5,16.0,160400,2.347971,0.0322580645161
1975-02-24,16.0,16.0,15.75,15.75,71000,2.311284,-0.015625
1975-02-25,15.625,15.625,15.375,15.5,59000,2.274597,-0.008
1975-02-26,15.5,15.5,15.125,15.5,57800,2.274597,0.0
1975-02-27,15.5,15.75,15.375,15.5,74400,2.274597,0.0
1975-02-28,15.5,15.625,15.25,15.625,67200,2.292941,0.00806451612903
1975-03-03,15.625,15.625,15.25,15.5,57800,2.274597,-0.008
1975-03-04,15.625,16.0,15.625,15.625,80800,2.292941,0.0
1975-03-05,15.625,15.75,15.125,15.625,117200,2.292941,0.0
1975-03-06,15.625,16.25,15.5,16.25,126200,2.384658,0.04
1975-03-07,16.25,16.5,16.125,16.5,125400,2.421345,0.0153846153846
1975-03-10,16.5,16.875,16.5,16.875,112400,2.476376,0.0227272727273
1975-03-11,16.875,16.875,16.5,16.5,86800,2.421345,-0.0222222222222
1975-03-12,16.5,16.875,16.25,16.5,51800,2.421345,0.0
1975-03-13,16.625,17.125,16.625,17.0,167800,2.494719,0.0225563909774
1975-03-14,17.0,17.375,17.0,17.125,90800,2.513063,0.00735294117647
1975-03-17,17.125,17.125,17.0,17.125,133200,2.513063,0.0
1975-03-18,17.125,17.125,16.625,16.75,102200,2.458032,-0.021897810219
1975-03-19,16.75,17.0,16.625,16.875,102000,2.476376,0.00746268656716
1975-03-20,16.875,17.0,16.75,16.875,73000,2.476376,0.0
1975-03-21,16.875,17.0,16.75,16.875,63800,2.476376,0.0
1975-03-24,16.875,16.875,16.5,16.75,46000,2.458032,-0.00740740740741
1975-03-25,16.75,16.75,16.625,16.75,109600,2.458032,0.0
1975-03-26,16.75,17.25,16.75,17.25,104400,2.531406,0.0298507462687
1975-03-27,17.25,17.5,17.25,17.25,51600,2.531406,0.0
1975-03-31,17.25,17.375,17.125,17.375,71800,2.54975,0.00724637681159
1975-04-01,17.375,17.375,17.25,17.375,32400,2.54975,0.0
1975-04-02,17.375,17.5,17.25,17.375,78800,2.54975,0.0
1975-04-03,17.375,17.5,17.125,17.125,80800,2.513063,-0.0143884892086
1975-04-04,17.125,17.25,17.0,17.125,31600,2.513063,0.0
1975-04-07,17.125,17.125,16.75,16.875,69600,2.476376,-0.014598540146
1975-04-08,16.875,17.125,16.875,17.0,29000,2.494719,0.00740740740741
