Date,Open,High,Low,Close,Volume,Adj Close,Returns
1983-04-06,23.75001,23.75001,23.25,23.49999,563100,4.864909,
1983-04-07,23.625,24.0,23.25,23.87499,654000,4.94254,0.0105815873016
1983-04-08,24.50001,24.87501,24.0,24.75,1287900,5.123683,0.0102036693046
1983-04-11,24.99999,25.62501,24.87501,25.25001,1340100,5.227193,0.0100008040003
1983-04-12,25.37499,25.37499,24.99999,25.25001,903900,5.227193,-0.00492532213806
1983-04-13,25.25001,25.25001,24.50001,24.87501,449400,5.149562,-0.0148514792667
1983-04-14,24.99999,25.74999,24.99999,25.74999,2201400,5.330698,0.030000012
1983-04-15,25.875,25.875,25.5,25.74999,618600,5.330698,-0.00483130434783
1983-04-18,25.74999,25.875,25.125,25.74999,1045800,5.330698,0.0
1983-04-19,25.37499,25.74999,24.99999,25.125,569100,5.201314,-0.00985182654259
1983-04-20,24.87501,25.5,24.87501,25.125,731400,5.201314,0.0100498452061
1983-04-21,25.25001,25.25001,24.375,24.50001,667500,5.07193,-0.0297029585335
1983-04-22,24.50001,24.62499,24.12501,24.24999,364800,5.020172,-0.0102048937939
1983-04-25,24.75,24.99999,24.50001,24.99999,513300,5.175435,0.0101006060606
1983-04-26,25.62501,26.49999,24.75,26.12499,1484100,5.40833,0.0195114070199
1983-04-27,26.37501,26.87499,25.875,26.12499,1817700,5.40833,-0.00947942768552
1983-04-28,26.37501,26.625,26.12499,26.37501,920100,5.460088,0.0
1983-04-29,27.0,27.50001,26.37501,27.12501,2624100,5.615351,0.00463
1983-05-02,26.87499,27.12501,26.49999,26.49999,915300,5.485961,-0.0139534935641
1983-05-03,26.37501,26.75001,26.12499,26.625,1007100,5.51184,0.0094782902452
1983-05-04,27.12501,27.50001,26.75001,26.87499,971100,5.563593,-0.00921732379085
1983-05-05,25.74999,26.87499,24.50001,24.99999,834900,5.175435,-0.0291262249034
1983-05-06,25.5,26.75001,25.5,26.25,702600,5.434209,0.0294117647059
1983-05-09,25.875,26.12499,25.5,25.875,754500,5.356577,0.0
1983-05-10,25.74999,26.49999,25.74999,26.25,415800,5.434209,0.0194178716186
1983-05-11,26.25,27.0,26.25,26.625,614100,5.51184,0.0142857142857
1983-05-12,26.625,26.87499,26.25,26.49999,914700,5.485961,-0.00469521126761
1983-05-13,26.49999,27.0,26.49999,26.625,993600,5.51184,0.0047173602707
1983-05-16,26.625,27.12501,26.25,27.0,538500,5.589472,0.0140845070423
1983-05-17,27.24999,27.50001,26.87499,27.24999,753000,5.641224,0.0
1983-05-18,27.50001,27.50001,26.49999,27.0,972000,5.589472,-0.0181821752065
1983-05-19,27.0,27.12501,26.37501,26.49999,540900,5.485961,-0.0185188888889
1983-05-20,26.49999,26.87499,26.25,26.625,485700,5.51184,0.0047173602707
1983-05-23,26.75001,27.75,26.12499,27.75,726000,5.744735,0.0373827897634
1983-05-24,27.87501,27.87501,26.75001,27.50001,670500,5.692983,-0.0134529099721
1983-05-25,27.50001,27.62499,27.0,27.62499,545700,5.718856,0.0045447256201
1983-05-26,27.50001,27.50001,26.75001,27.12501,260700,5.615351,-0.0136363586777
1983-05-27,27.0,27.12501,26.87499,27.0,248700,5.589472,0.0
1983-05-31,26.625,27.12501,26.625,26.625,388500,5.51184,0.0
1983-06-01,26.25,26.75001,26.25,26.625,414000,5.51184,0.0142857142857
1983-06-02,26.49999,26.75001,25.875,26.25,566700,5.434209,-0.00943358846551
1983-06-03,26.25,26.625,26.00001,26.37501,429000,5.460088,0.00476228571429
1983-06-06,26.49999,26.625,26.00001,26.00001,366000,5.382456,-0.018867176931
1983-06-07,25.62501,25.875,25.25001,25.25001,717600,5.283074,-0.0146341406306
1983-06-08,25.37499,25.875,25.25001,25.62501,590100,5.361536,0.00985300880907
1983-06-09,25.62501,26.00001,25.5,25.62501,321900,5.361536,0.0
1983-06-10,25.74999,26.37501,25.74999,26.12499,578700,5.466147,0.0145631124517
1983-06-13,26.37501,26.49999,25.875,26.25,714300,5.492303,-0.00473971384276
1983-06-14,26.49999,27.50001,26.25,27.12501,739200,5.675382,0.0235856692776
1983-06-15,27.0,28.5,26.75001,28.25001,792000,5.910766,0.0462966666667
1983-06-16,29.00001,29.00001,28.37499,28.875,2281800,6.041533,-0.00431068816873
1983-06-17,28.74999,29.12499,27.99999,29.00001,1424100,6.067689,0.0086963508509
1983-06-20,29.37501,29.625,28.875,29.12499,1101300,6.093839,-0.00851131625147
1983-06-21,29.00001,30.24999,29.00001,30.24999,1344600,6.329223,0.0431027437577
1983-06-22,30.0,30.375,29.49999,30.0,1783500,6.276917,0.0
1983-06-23,30.0,30.50001,29.625,30.50001,699000,6.381535,0.016667
1983-06-24,29.625,30.0,29.625,29.625,501900,6.198456,0.0
1983-06-27,29.625,29.625,28.74999,28.875,448500,6.041533,-0.0253164556962
1983-06-28,28.875,29.12499,27.87501,28.125,266100,5.88461,-0.025974025974
1983-06-29,27.99999,28.875,27.99999,28.74999,337200,6.015377,0.026785723852
1983-06-30,29.00001,29.49999,28.875,29.37501,549900,6.14615,0.0129310300238
1983-07-01,29.37501,30.0,29.37501,29.87499,553200,6.250762,0.0170205899504
1983-07-05,29.37501,29.75001,29.12499,29.625,736800,6.198456,0.00851029497522
1983-07-06,29.75001,31.25001,29.49999,30.87501,1429500,6.459996,0.0378151133395
1983-07-07,30.87501,31.25001,30.12501,30.24999,1465500,6.329223,-0.0202435561964
1983-07-08,30.50001,30.62499,29.75001,30.0,522000,6.276917,-0.0163937651168
1983-07-11,30.24999,30.99999,30.24999,30.75,801300,6.43384,0.0165292616626
1983-07-12,30.62499,30.75,29.75001,29.87499,804900,6.250762,-0.024489803915
1983-07-13,29.49999,29.625,29.25,29.37501,489600,6.14615,-0.00423661160563
1983-07-14,29.37501,30.12501,29.25,29.25,411000,6.119995,-0.00425565812573
1983-07-15,29.00001,29.12499,28.62501,28.74999,297900,6.015377,-0.00862137633746
1983-07-18,28.74999,29.75001,28.125,29.25,1121700,6.119995,0.0173916582232
1983-07-19,29.49999,30.62499,29.49999,30.24999,898500,6.329223,0.0254237374318
1983-07-20,30.99999,31.62501,30.24999,31.5,1593600,6.590763,0.0161293600417
1983-07-21,31.5,31.62501,30.24999,30.87501,1466700,6.459996,-0.019840952381
1983-07-22,30.81249,30.99999,30.62499,30.75,482400,6.43384,-0.00202807368051
1983-07-25,30.50001,31.125,30.50001,30.75,518700,6.43384,0.00819639075528
1983-07-26,30.75,30.99999,30.62499,30.87501,1079700,6.459996,0.00406536585366
1983-07-27,30.99999,31.37499,30.12501,30.375,2579400,6.355379,-0.0201609742455
1983-07-28,30.375,30.62499,29.37501,29.87499,1424100,6.250762,-0.0164612345679
1983-07-29,29.625,30.24999,29.00001,30.0,912600,6.276917,0.0126582278481
1983-08-01,29.625,30.0,29.00001,29.37501,681900,6.14615,-0.00843848101266
1983-08-02,29.25,29.87499,29.25,29.25,654000,6.119995,0.0
1983-08-03,29.25,29.75001,29.00001,29.625,804600,6.198456,0.0128205128205
1983-08-04,29.49999,29.625,28.62501,29.00001,727200,6.067689,-0.0169484803215
1983-08-05,29.00001,30.375,29.00001,30.375,849900,6.355379,0.0474134319264
1983-08-08,30.50001,31.25001,29.87499,30.87501,987600,6.459996,0.012295077936
1983-08-09,30.62499,30.87501,29.87499,30.75,1203600,6.43384,0.00408196051656
1983-08-10,30.62499,31.5,30.50001,30.99999,670500,6.486146,0.0122449019575
1983-08-11,31.5,32.12499,31.5,32.12499,1990500,6.72153,0.019840952381
