Date,Open,High,Low,Close,Volume,Adj Close,Returns
1987-11-05,15.0,15.24992,15.0,15.12512,400000,0.358826,
1987-11-06,15.12512,15.12512,14.75008,14.87488,483200,0.352889,-0.016544662125
1987-11-09,14.24992,14.24992,13.37504,13.50016,1440000,0.320275,-0.0526150322247
1987-11-10,13.24992,13.24992,12.62496,12.62496,3641600,0.299512,-0.0471670772352
1987-11-11,12.87488,13.0,12.12512,12.12512,1270400,0.287654,-0.0582343291743
1987-11-12,12.24992,13.0,12.24992,12.87488,1100800,0.305441,0.0510174760325
1987-11-13,12.87488,13.0,12.62496,12.75008,956800,0.302481,-0.00969329422876
1987-11-16,13.0,13.0,12.0,12.49984,15500800,0.296544,-0.0384738461538
1987-11-17,12.62496,12.62496,12.12512,12.12512,1612800,0.287654,-0.0395914125669
1987-11-18,12.24992,12.49984,12.12512,12.49984,806400,0.296544,0.0204017658891
1987-11-19,12.24992,12.75008,12.24992,12.62496,464000,0.299512,0.0306157101434
1987-11-20,12.37504,12.37504,12.12512,12.12512,544000,0.287654,-0.0201954902772
1987-11-23,11.87488,12.12512,11.87488,12.12512,582400,0.287654,0.021073055054
1987-11-24,12.0,12.24992,11.87488,12.24992,400000,0.290615,0.0208266666667
1987-11-25,12.12512,12.37504,11.75008,12.0,752000,0.284686,-0.0103190731308
1987-11-27,11.87488,12.0,11.75008,11.75008,1792000,0.278757,-0.0105095798863
1987-11-30,11.62496,11.62496,10.0,11.0,1190400,0.260962,-0.0537601849813
1987-12-01,11.0,11.12512,10.24992,10.75008,854400,0.255033,-0.02272
1987-12-02,10.49984,10.87488,10.37504,10.75008,387200,0.255033,0.023832744118
1987-12-03,10.62496,10.87488,10.0,10.24992,560000,0.243167,-0.0352980152396
1987-12-04,10.12512,10.37504,9.62496,9.87488,572800,0.23427,-0.0247147688126
1987-12-07,10.12512,10.12512,9.24992,9.62496,1046400,0.228341,-0.0493979330615
1987-12-08,9.75008,10.49984,9.75008,10.49984,1478400,0.249096,0.0768978305819
1987-12-09,10.75008,12.0,10.75008,11.87488,707200,0.281718,0.104631779484
1987-12-10,11.62496,12.49984,11.12512,12.37504,860800,0.293583,0.0645232327681
1987-12-11,12.49984,12.62496,12.24992,12.24992,1318400,0.290615,-0.0199938559214
1987-12-14,12.12512,12.12512,11.62496,12.0,617600,0.284686,-0.0103190731308
1987-12-15,12.0,12.12512,11.87488,12.12512,2553600,0.287654,0.0104266666667
1987-12-16,12.12512,12.75008,11.87488,12.75008,1952000,0.302481,0.0515425826713
1987-12-17,13.0,13.75008,12.87488,13.24992,1568000,0.314339,0.0192246153846
1987-12-18,13.24992,13.24992,12.87488,13.0,1027200,0.30841,-0.0188620006762
1987-12-21,13.0,13.50016,13.0,13.24992,416000,0.314339,0.0192246153846
1987-12-22,13.0,13.37504,13.0,13.37504,758400,0.317307,0.0288492307692
1987-12-23,13.62496,13.62496,13.24992,13.62496,668800,0.323236,0.0
1987-12-24,13.75008,13.87488,13.62496,13.75008,108800,0.326204,0.0
1987-12-28,13.50016,13.50016,12.87488,13.24992,355200,0.314339,-0.0185360766095
1987-12-29,12.75008,13.0,12.49984,12.75008,640000,0.302481,0.0
1987-12-30,12.75008,13.12512,12.62496,12.75008,588800,0.302481,0.0
1987-12-31,12.75008,13.12512,12.75008,13.0,620800,0.30841,0.019601445638
1988-01-04,13.24992,14.0,13.12512,14.0,608000,0.332134,0.0566101531179
1988-01-05,14.0,14.37504,14.0,14.0,1334400,0.332134,0.0
1988-01-06,14.0,14.0,13.62496,14.0,531200,0.332134,0.0
1988-01-07,14.12512,14.62496,14.0,14.62496,944000,0.34696,0.0353866020253
1988-01-08,14.49984,14.62496,14.0,14.0,473600,0.332134,-0.0344721045198
1988-01-11,13.24992,13.62496,13.12512,13.62496,473600,0.323236,0.028305076559
1988-01-12,13.75008,13.87488,13.0,13.37504,1299200,0.317307,-0.0272754776699
1988-01-13,13.12512,13.24992,13.0,13.24992,137600,0.314339,0.00950848449386
1988-01-14,13.12512,13.24992,13.0,13.0,137600,0.30841,-0.00953286522333
1988-01-15,13.50016,13.87488,13.50016,13.75008,403200,0.326204,0.0185123731867
1988-01-18,13.62496,13.87488,13.62496,13.87488,102400,0.329165,0.018342806144
1988-01-19,13.75008,13.75008,13.62496,13.75008,54400,0.326204,0.0
1988-01-20,13.62496,13.62496,13.0,13.24992,547200,0.314339,-0.0275259523698
1988-01-21,13.12512,13.12512,12.49984,12.62496,918400,0.299512,-0.0381070801638
1988-01-22,12.62496,12.75008,12.49984,12.62496,598400,0.299512,0.0
1988-01-25,12.62496,12.62496,12.0,12.12512,2310400,0.287654,-0.0395914125669
1988-01-26,12.37504,12.37504,12.0,12.12512,339200,0.287654,-0.0201954902772
1988-01-27,12.24992,12.24992,12.12512,12.24992,403200,0.290615,0.0
1988-01-28,12.24992,12.24992,12.12512,12.24992,150400,0.290615,0.0
1988-01-29,12.24992,12.37504,12.12512,12.24992,300800,0.290615,0.0
1988-02-01,12.12512,12.24992,11.87488,12.12512,2924800,0.287654,0.0
1988-02-02,12.37504,12.37504,12.0,12.24992,579200,0.290615,-0.0101106743897
1988-02-03,12.24992,12.37504,12.24992,12.24992,147200,0.290615,0.0
1988-02-04,12.37504,12.37504,12.24992,12.37504,259200,0.293583,0.0
1988-02-05,12.24992,12.37504,12.24992,12.24992,233600,0.290615,0.0
1988-02-08,12.37504,12.37504,12.24992,12.24992,67200,0.290615,-0.0101106743897
1988-02-09,12.24992,12.37504,12.24992,12.37504,195200,0.293583,0.0102139442543
1988-02-10,12.24992,12.49984,12.24992,12.49984,470400,0.296544,0.0204017658891
1988-02-11,12.49984,13.50016,12.49984,13.50016,1180800,0.320275,0.0800266243408
1988-02-12,13.75008,14.0,13.75008,14.0,707200,0.332134,0.0181758942493
1988-02-16,13.87488,14.0,13.37504,13.75008,656000,0.326204,-0.00899467238636
1988-02-17,13.75008,13.87488,13.62496,13.75008,128000,0.326204,0.0
1988-02-18,13.75008,13.87488,13.62496,13.87488,435200,0.329165,0.00907631082874
1988-02-19,13.75008,14.24992,13.75008,14.24992,403200,0.338063,0.0363517884987
