Date,Open,High,Low,Close,Volume,Adj Close,Returns
1990-03-26,18.75,18.75,18.25,18.25,18400,2.28125,
1990-03-27,18.37504,18.37504,17.75,18.25,141600,2.28125,-0.00680488314583
1990-03-28,17.5,18.0,17.5,17.75,136800,2.21875,0.0142857142857
1990-03-29,18.0,18.25,17.75,17.75,164000,2.21875,-0.0138888888889
1990-03-30,17.75,18.75,17.75,18.75,453600,2.34375,0.056338028169
1990-04-02,18.25,18.5,18.0,18.5,113600,2.3125,0.013698630137
1990-04-03,18.5,18.5,18.25,18.25,48800,2.28125,-0.0135135135135
1990-04-04,18.5,18.5,17.5,17.5,333600,2.1875,-0.0540540540541
1990-04-05,18.0,18.0,17.75,18.0,15200,2.25,0.0
1990-04-06,17.5,18.0,17.25,17.5,111200,2.1875,0.0
1990-04-09,17.25,17.5,17.0,17.0,88800,2.125,-0.0144927536232
1990-04-10,17.5,17.5,16.5,17.0,356800,2.125,-0.0285714285714
1990-04-11,17.25,17.5,17.0,17.37504,240000,2.17188,0.00724869565217
1990-04-12,17.5,17.75,17.0,17.25,120800,2.15625,-0.0142857142857
1990-04-16,17.75,17.75,17.0,17.0,84800,2.125,-0.0422535211268
1990-04-17,17.0,17.25,16.75,16.75,103200,2.09375,-0.0147058823529
1990-04-18,16.75,17.0,16.75,17.0,7200,2.125,0.0149253731343
1990-04-19,17.0,17.12496,17.0,17.12496,16000,2.14062,0.00735058823529
1990-04-20,17.5,17.5,17.0,17.0,30400,2.125,-0.0285714285714
1990-04-23,17.5,18.0,17.5,17.5,268000,2.1875,0.0
1990-04-24,18.25,18.25,17.75,18.0,125600,2.25,-0.013698630137
1990-04-25,18.0,18.75,18.0,18.5,93600,2.3125,0.0277777777778
1990-04-26,19.5,20.25,19.0,20.25,371200,2.53125,0.0384615384615
1990-04-27,20.5,21.25,20.0,20.62496,232000,2.57812,0.0060956097561
1990-04-30,20.25,21.25,20.25,21.25,42400,2.65625,0.0493827160494
1990-05-01,21.25,21.25,20.75,21.25,23200,2.65625,0.0
1990-05-02,21.0,21.0,20.0,20.25,230400,2.53125,-0.0357142857143
1990-05-03,20.75,21.75,20.25,21.5,596000,2.6875,0.0361445783133
1990-05-04,21.75,22.75,21.5,22.5,252800,2.8125,0.0344827586207
1990-05-07,23.25,23.25,22.75,22.75,31200,2.84375,-0.0215053763441
1990-05-08,22.5,23.12496,21.75,22.62496,635200,2.82812,0.00555377777778
1990-05-09,23.25,23.5,22.5,22.75,113600,2.84375,-0.0215053763441
1990-05-10,23.0,23.0,22.25,22.75,80800,2.84375,-0.0108695652174
1990-05-11,22.75,23.25,22.75,23.25,187200,2.90625,0.021978021978
1990-05-14,23.75,24.25,23.25,23.75,85600,2.96875,0.0
1990-05-15,24.0,24.25,23.5,23.5,54400,2.9375,-0.0208333333333
1990-05-16,24.25,24.25,23.5,24.25,123200,3.03125,0.0
1990-05-17,24.25,25.0,24.0,24.75,192000,3.09375,0.020618556701
1990-05-18,25.0,25.0,23.25,23.75,234400,2.96875,-0.05
1990-05-21,24.0,24.75,24.0,24.75,103200,3.09375,0.03125
1990-05-22,24.25,25.0,24.25,24.75,250400,3.09375,0.020618556701
1990-05-23,25.0,26.0,25.0,25.0,215200,3.125,0.0
