Date,Open,High,Low,Close,Volume,Adj Close,Returns
1995-11-03,21.75,23.5,20.375,22.75,9498000,11.375,
1995-11-06,22.5,23.25,22.25,22.875,1473800,11.4375,0.0166666666667
1995-11-07,23.0,23.0,22.25,22.5,1330000,11.25,-0.0217391304348
1995-11-08,22.0,22.75,22.0,22.25,333800,11.125,0.0113636363636
1995-11-09,22.25,23.0,22.25,22.75,225400,11.375,0.0224719101124
1995-11-10,22.25,23.0,21.75,21.75,420000,10.875,-0.0224719101124
1995-11-13,22.5,22.5,21.75,22.25,193000,11.125,-0.0111111111111
1995-11-14,21.75,22.5,21.75,21.75,414400,10.875,0.0
1995-11-15,21.75,22.75,21.75,22.1875,338400,11.09375,0.0201149425287
1995-11-16,22.75,22.75,21.75,22.5,249000,11.25,-0.010989010989
1995-11-17,21.75,22.75,21.75,22.0,114000,11.0,0.0114942528736
1995-11-20,22.0,22.75,22.0,22.0,105600,11.0,0.0
1995-11-21,22.75,22.75,22.0,22.0,137200,11.0,-0.032967032967
1995-11-22,22.0,22.75,22.0,22.0,266400,11.0,0.0
1995-11-24,22.75,22.75,22.25,22.6875,21800,11.34375,-0.00274725274725
1995-11-27,22.25,23.75,22.25,23.0,216400,11.5,0.0337078651685
1995-11-28,23.25,23.5,23.0,23.5,41600,11.75,0.010752688172
1995-11-29,23.0,25.75,23.0,25.5,611800,12.75,0.108695652174
1995-11-30,25.75,26.0,25.0,25.25,343800,12.625,-0.0194174757282
1995-12-01,25.25,25.75,25.0,25.25,253800,12.625,0.0
1995-12-04,25.5,25.5,24.25,24.375,156400,12.1875,-0.0441176470588
1995-12-05,24.75,24.75,24.25,24.75,199400,12.375,0.0
1995-12-06,24.75,25.0,24.25,24.875,66000,12.4375,0.00505050505051
1995-12-07,24.25,25.0,24.25,24.25,192000,12.125,0.0
1995-12-08,25.0,25.0,24.25,24.5,288400,12.25,-0.02
1995-12-11,24.5,25.0,24.25,24.5,138600,12.25,0.0
1995-12-12,25.0,25.0,24.0,24.25,519000,12.125,-0.03
1995-12-13,24.0,24.25,23.5,23.75,406200,11.875,-0.0104166666667
1995-12-14,23.25,23.75,23.0,23.25,81400,11.625,0.0
1995-12-15,22.75,23.25,22.75,23.25,123000,11.625,0.021978021978
1995-12-18,22.75,23.25,22.75,22.75,29600,11.375,0.0
1995-12-19,23.25,23.375,22.75,23.25,164800,11.625,0.0
1995-12-20,23.0,23.75,23.0,23.75,187800,11.875,0.0326086956522
1995-12-21,23.875,24.0,23.25,23.25,6400,11.625,-0.0261780104712
1995-12-22,24.0,24.0,23.25,24.0,6600,12.0,0.0
1995-12-26,23.25,24.0,23.25,23.25,5800,11.625,0.0
1995-12-27,24.0,26.75,23.5,26.75,195400,13.375,0.114583333333
1995-12-28,27.0,29.0,27.0,28.25,682400,14.125,0.0462962962963
1995-12-29,28.25,29.5,27.75,29.5,333800,14.75,0.0442477876106
1996-01-02,29.0,29.25,27.25,27.25,121200,13.625,-0.0603448275862
1996-01-03,27.75,27.75,25.75,26.25,307800,13.125,-0.0540540540541
1996-01-04,26.25,26.25,23.5,24.375,362800,12.1875,-0.0714285714286
1996-01-05,24.5,24.5,23.625,24.25,150800,12.125,-0.0102040816327
1996-01-08,24.25,24.25,23.625,23.625,10600,11.8125,-0.0257731958763
1996-01-09,24.5,24.5,23.75,23.8125,187600,11.90625,-0.0280612244898
