Date,Open,High,Low,Close,Volume,Adj Close,Returns
1985-07-01,47.375041,48.0,47.375041,47.874959,489600,1.973872,
1985-07-02,48.0,48.500038,48.0,48.249962,232800,1.989334,0.00520754166667
1985-07-03,48.249962,48.375,48.125038,48.375,217200,1.994489,0.00259146318084
1985-07-05,48.375,48.500038,48.0,48.0,112800,1.979028,-0.0077519379845
1985-07-08,48.0,48.375,47.750041,48.249962,354000,1.989334,0.00520754166667
1985-07-09,48.249962,48.500038,48.249962,48.500038,466800,1.999644,0.00518292636168
1985-07-10,48.500038,48.624962,48.249962,48.624962,133200,2.004795,0.00257575055921
1985-07-11,48.624962,48.875038,48.249962,48.75,124800,2.00995,0.00257147758799
1985-07-12,48.624962,48.624962,48.0,48.375,206400,1.994489,-0.00514061070115
1985-07-15,48.375,49.125,48.0,48.249962,489600,1.989334,-0.00258476485788
1985-07-16,48.249962,48.375,47.750041,47.750041,319200,1.968722,-0.0103610651548
1985-07-17,47.750041,48.0,47.000041,47.25,507600,1.948105,-0.0104720538355
1985-07-18,47.25,47.375041,47.000041,47.25,136800,1.948105,0.0
1985-07-19,47.25,47.375041,47.000041,47.25,357600,1.948105,0.0
1985-07-22,47.375041,47.750041,47.375041,47.750041,282000,1.968722,0.00791556043192
1985-07-23,47.750041,47.874959,46.125,46.125,331200,1.901722,-0.0340322430299
1985-07-24,46.125,46.374959,45.75,45.75,441600,1.886261,-0.00813008130081
1985-07-25,45.75,45.999959,44.499959,44.499959,286800,1.834722,-0.0273233005464
1985-07-26,44.25,44.25,43.5,43.749959,606000,1.8038,-0.0113003615819
1985-07-29,44.25,44.25,43.5,43.749959,606000,1.8038,-0.0113003615819
1985-07-30,43.875,44.375041,43.875,44.375041,424800,1.829572,0.0113969458689
1985-07-31,44.375041,45.0,44.25,44.874959,411600,1.850183,0.0112657473376
1985-08-01,44.874959,45.500041,44.874959,45.375,373200,1.8708,0.0111429851111
1985-08-02,45.375,45.624959,45.375,45.500041,230400,1.875955,0.00275572451791
1985-08-05,45.500041,45.500041,44.750041,45.0,153600,1.855339,-0.0109899021849
1985-08-06,45.0,45.375,44.874959,44.874959,217200,1.850183,-0.00277868888889
1985-08-07,44.874959,45.0,44.124959,44.499959,169200,1.834722,-0.00835655359596
1985-08-08,44.499959,44.750041,44.124959,44.25,141600,1.824416,-0.00561706135505
1985-08-09,44.25,44.750041,44.25,44.625,385200,1.839877,0.00847457627119
1985-08-12,44.625,45.375,44.499959,45.375,376800,1.8708,0.0168067226891
1985-08-13,45.375,45.375,45.0,45.249959,84000,1.865644,-0.00275572451791
1985-08-14,45.249959,45.249959,44.750041,45.0,279600,1.855339,-0.00552396080624
1985-08-15,45.0,45.0,44.25,44.499959,276000,1.834722,-0.0111120222222
1985-08-16,44.499959,44.625,43.875,43.875,394800,1.808955,-0.0140440354114
1985-08-19,43.875,44.000041,43.5,43.875,271200,1.823503,0.0
1985-08-20,44.000041,44.375041,44.000041,44.25,102000,1.839089,0.00568088107009
1985-08-21,44.25,44.375041,43.875,43.875,159600,1.823503,-0.00847457627119
1985-08-22,43.875,43.875,43.749959,43.749959,80400,1.818306,-0.00284993732194
1985-08-23,43.749959,43.875,42.875041,42.875041,398400,1.781944,-0.0199981444554
1985-08-26,42.875041,43.374959,42.875041,43.374959,367200,1.802721,0.0116598838938
1985-08-27,43.374959,43.5,43.250041,43.374959,172800,1.802721,0.0
1985-08-28,43.374959,43.374959,42.999959,43.250041,324000,1.797529,-0.00287995661275
1985-08-29,43.250041,43.250041,42.999959,42.999959,292800,1.787135,-0.00578223729314
1985-08-30,42.999959,44.000041,42.999959,43.749959,428400,1.818306,0.0174418770957
1985-09-03,43.875,44.375041,43.875,44.375041,170400,1.844286,0.0113969458689
1985-09-04,44.499959,45.249959,44.499959,44.625,411600,1.854674,0.00280991270127
1985-09-05,44.625,44.874959,44.499959,44.499959,106800,1.849477,-0.00280203921569
1985-09-06,44.625,45.0,44.625,44.874959,128400,1.865063,0.00560132212885
1985-09-09,44.874959,45.375,44.750041,45.375,466800,1.885845,0.0111429851111
1985-09-10,45.375,45.75,45.249959,45.375,334800,1.885845,0.0
1985-09-11,45.375,45.500041,44.874959,44.874959,238800,1.865063,-0.0110201873278
1985-09-12,44.874959,45.125041,44.124959,44.124959,112800,1.833892,-0.0167131071919
1985-09-13,44.124959,44.124959,43.250041,43.749959,388800,1.818306,-0.00849859146611
1985-09-16,43.749959,44.625,43.749959,44.124959,139200,1.833892,0.00857143660409
1985-09-17,44.124959,44.625,43.625041,43.749959,159600,1.818306,-0.00849859146611
1985-09-18,43.749959,43.749959,43.374959,43.5,156000,1.807918,-0.00571335392566
1985-09-19,43.5,44.499959,43.374959,44.375041,379200,1.844286,0.0201158850575
1985-09-20,44.375041,44.874959,44.000041,44.25,427200,1.839089,-0.0028178227486
1985-09-23,44.375041,44.750041,44.375041,44.499959,139200,1.849477,0.00281505092018
1985-09-24,44.499959,45.249959,44.499959,44.874959,157200,1.865063,0.00842697405631
1985-09-25,44.874959,44.874959,44.25,44.25,108000,1.839089,-0.0139266756767
1985-09-26,44.25,45.0,44.000041,44.874959,439200,1.865063,0.0141233672316
1985-09-30,44.874959,45.75,44.750041,45.125041,297600,1.875457,0.00557286303036
1985-10-01,45.125041,45.624959,44.625,45.624959,435600,1.896234,0.0110785051697
1985-10-02,45.999959,47.375041,45.999959,45.999959,986400,1.911819,0.0
1985-10-03,46.250041,46.875,46.250041,46.625041,499200,1.937799,0.00810810092039
1985-10-04,46.625041,46.625041,46.374959,46.374959,194400,1.927405,-0.00536368429145
1985-10-07,46.5,46.875,46.5,46.875,444000,1.948187,0.00806451612903
1985-10-08,46.875,47.124959,46.5,47.124959,331200,1.958576,0.00533245866667
1985-10-09,47.25,47.874959,47.25,47.625,586800,1.979358,0.00793650793651
1985-10-10,47.625,47.874959,47.375041,47.750041,219600,1.984555,0.0026255328084
1985-10-11,47.750041,48.375,47.499959,48.375,440400,2.010529,0.0130881353589
1985-10-14,48.125038,48.125038,47.625,47.874959,195600,1.989747,-0.00519644265008
1985-10-15,47.874959,48.0,47.000041,47.25,332400,1.963773,-0.0130539850697
1985-10-16,47.25,48.125038,47.25,48.0,229200,1.994944,0.015873015873
1985-10-17,48.0,48.500038,48.0,48.500038,405600,2.015726,0.0104174583333
1985-10-18,48.500038,49.125,48.375,48.500038,280800,2.015726,0.0
1985-10-21,48.500038,48.624962,47.874959,48.249962,174000,2.005332,-0.00515620214566
1985-10-22,48.249962,48.249962,47.499959,47.750041,541200,1.984555,-0.0103610651548
1985-10-23,47.750041,48.249962,47.499959,48.0,158400,1.994944,0.00523473896075
1985-10-24,48.0,48.0,47.375041,47.625,105600,1.979358,-0.0078125
1985-10-25,47.625,47.750041,47.000041,47.375041,115200,1.968969,-0.00524848293963
1985-10-28,47.375041,48.500038,47.124959,47.25,128400,1.963773,-0.00263938557858
1985-10-29,47.375041,48.249962,47.375041,48.0,339600,1.994944,0.0131917352853
1985-10-30,48.0,49.374962,48.0,49.250038,386400,2.046897,0.0260424583333
1985-10-31,49.250038,49.625038,48.999962,49.374962,270000,2.052089,0.00253652596167
1985-11-01,49.374962,50.124962,48.875038,50.000038,379200,2.078068,0.0126597768318
1985-11-04,50.000038,50.874962,49.5,50.000038,360000,2.078068,0.0
1985-11-05,50.000038,50.375038,49.749962,49.749962,206400,2.067674,-0.00500151619885
1985-11-06,49.749962,49.875,49.125,49.374962,399600,2.052089,-0.00753769419965
1985-11-07,48.999962,49.625038,48.999962,49.625038,357600,2.062482,0.0127566629541
1985-11-08,49.625038,49.875,49.625038,49.749962,154800,2.067674,0.00251735827386
1985-11-11,49.749962,50.499962,49.5,50.499962,466800,2.098845,0.0150753883993
1985-11-12,50.499962,50.750038,50.000038,50.25,726000,2.088457,-0.00494974629882
1985-11-13,50.25,50.375038,50.000038,50.375038,416400,2.093653,0.00248831840796
1985-11-14,50.375038,50.499962,50.124962,50.375038,488400,2.093653,0.0
1985-11-15,50.375038,51.125038,50.375038,51.125038,518400,2.124824,0.0148883262381
1985-11-18,51.125038,51.500038,50.499962,51.375,369600,2.135213,0.00488922863979
1985-11-19,51.375,51.75,51.0,51.249962,259200,2.145678,-0.0024338296837
1985-11-20,51.249962,52.250038,51.249962,52.125,252000,2.182313,0.0170739248548
1985-11-21,52.250038,53.000038,52.250038,52.749962,229200,2.208479,0.00956791648649
1985-11-22,52.749962,53.375038,52.374962,52.749962,645600,2.208479,0.0
1985-11-25,52.749962,52.749962,52.125,52.5,295200,2.198013,-0.00473861952735
1985-11-26,52.5,52.875,52.374962,52.749962,171600,2.208479,0.00476118095238
1985-11-27,52.749962,53.25,52.5,53.25,100800,2.229414,0.00947940019369
1985-11-29,53.25,54.249962,53.000038,54.0,241200,2.260814,0.0140845070423
1985-12-02,54.0,54.500038,53.750038,53.874962,379200,2.255579,-0.00231551851852
1985-12-03,53.874962,54.249962,53.625,53.750038,142800,2.250349,-0.00231877657751
1985-12-04,53.750038,54.624962,53.375038,54.624962,537600,2.286979,0.016277644306
1985-12-05,54.624962,54.999962,53.874962,53.874962,1483200,2.255579,-0.013729986668
1985-12-06,53.874962,54.249962,53.499962,53.874962,727200,2.255579,0.0
1985-12-09,53.874962,54.249962,53.625,54.249962,458400,2.271279,0.00696056175409
1985-12-10,54.249962,54.249962,53.375038,53.499962,304800,2.239879,-0.0138248944764
1985-12-11,53.499962,53.874962,53.124962,53.499962,285600,2.239879,0.0
1985-12-12,53.499962,53.750038,52.625038,53.124962,577200,2.224179,-0.007009350773
1985-12-13,53.124962,54.0,52.625038,53.750038,410400,2.250349,0.0117661448868
1985-12-16,53.750038,54.375,53.499962,54.249962,460800,2.271279,0.00930090505238
1985-12-17,54.249962,54.875038,54.125038,54.375,276000,2.276514,0.00230484954072
1985-12-18,54.249962,54.249962,53.375038,53.375038,255600,2.234649,-0.0161276426332
1985-12-19,53.375038,53.375038,52.749962,53.25,253200,2.229414,-0.00234263065068
1985-12-20,53.25,54.249962,53.25,53.874962,565200,2.255579,0.0117363755869
1985-12-23,53.874962,53.874962,52.5,52.5,319200,2.198013,-0.0255213544281
1985-12-24,52.5,52.5,51.624962,51.875038,136800,2.171848,-0.0119040380952
1985-12-26,51.875038,52.374962,51.75,52.125,282000,2.182313,0.00481854104859
1985-12-27,52.125,52.250038,51.75,51.999962,147600,2.177078,-0.00239881055156
1985-12-30,51.999962,51.999962,51.500038,51.624962,129600,2.161378,-0.00721154373151
1985-12-31,51.500038,51.500038,50.499962,51.500038,651600,2.156148,0.0
1986-01-02,51.500038,51.500038,50.625,50.625,595200,2.119513,-0.0169910165892
1986-01-03,50.750038,51.375,50.750038,51.125038,420000,2.140448,0.00738915702881
1986-01-06,51.125038,51.249962,50.25,50.874962,195600,2.129978,-0.00489145846698
1986-01-07,50.874962,51.0,50.625,50.750038,470400,2.124748,-0.0024555104336
1986-01-08,50.750038,50.874962,48.999962,48.999962,889200,2.051478,-0.0344842303369
1986-01-09,48.999962,49.125,47.750041,48.125038,811200,2.014847,-0.0178556056839
1986-01-10,48.249962,48.999962,48.249962,48.75,490800,2.041013,0.0103634900272
1986-01-13,48.75,48.999962,48.375,48.624962,228000,2.035778,-0.00256488205128
1986-01-14,48.624962,48.999962,48.125038,48.500038,412800,2.030547,-0.00256913311315
1986-01-15,48.375,48.375,47.750041,48.0,536400,2.009612,-0.0077519379845
1986-01-16,48.0,48.249962,46.5,46.875,540000,1.962512,-0.0234375
