Date,Open,High,Low,Close,Volume,Adj Close,Returns
1981-12-31,35.375004,35.750015,34.999993,34.999993,67800,2.06114,
1982-01-04,35.875006,36.37501,35.250011,36.249983,106500,2.134751,0.0104523188094
1982-01-05,35.999999,36.624994,35.375004,35.499994,240600,2.090585,-0.0138890281636
1982-01-06,35.375004,35.750015,34.874999,35.250011,238900,2.075863,-0.0035333706252
1982-01-07,35.124983,35.250011,34.999993,35.250011,162600,2.075863,0.00355951773699
1982-01-08,35.375004,35.624988,35.124983,35.499994,210900,2.090585,0.00353328581956
1982-01-11,35.375004,35.750015,34.874999,34.874999,218100,2.053779,-0.0141344153629
1982-01-12,34.750006,34.874999,34.499988,34.625015,198100,2.039058,-0.00359686268831
1982-01-13,34.625015,34.750006,34.499988,34.625015,465000,2.039058,0.0
1982-01-14,34.125011,34.374994,33.749999,34.125011,288100,2.009612,0.0
1982-01-15,33.999983,34.125011,33.874993,33.874993,408100,1.994889,-0.00367617830868
1982-01-18,33.625006,33.874993,33.249994,33.374988,623400,1.965444,-0.00743547822713
1982-01-19,33.249994,33.749999,32.749993,32.874983,420600,1.935999,-0.011278528351
1982-01-20,32.500006,32.874983,32.124994,32.749993,345700,1.928638,0.00769190627226
1982-01-21,32.624999,32.749993,32.375016,32.500006,339900,1.913916,-0.00383120318257
1982-01-22,32.375016,32.500006,32.249988,32.249988,257700,1.899193,-0.0038618668173
1982-01-25,32.500006,32.749993,32.124994,32.249988,269200,1.899193,-0.00769286011824
1982-01-26,31.875011,32.375016,31.375006,31.499999,187200,1.855026,-0.0117650782928
1982-01-27,31.624993,31.749983,31.375006,31.624993,236800,1.862387,0.0
1982-01-28,33.125004,34.250004,31.875011,34.250004,448600,2.016973,0.0339622600498
1982-01-29,35.499994,35.875006,34.999993,35.624988,432100,2.097946,0.00352095834157
1982-02-01,23.125009,23.500009,22.624993,22.750009,315000,2.009613,-0.016216209905
1982-02-02,22.750009,22.875001,22.500001,22.875001,206500,2.020654,0.00549415167264
1982-02-03,23.125009,23.374993,22.875001,23.374993,153400,2.06482,0.0108101147117
1982-02-04,22.624993,23.125009,22.000009,22.500001,201600,1.987528,-0.00552450999653
1982-02-05,23.250001,23.625001,22.750009,23.500009,310200,2.075864,0.0107530317956
1982-02-08,23.875009,24.750001,22.999993,23.625001,374400,2.086905,-0.0104715353196
1982-02-09,23.625001,24.250009,22.999993,23.125009,225600,2.042738,-0.0211636816439
1982-02-10,23.625001,24.000001,23.125009,23.749993,233400,2.097946,0.00529066644272
1982-02-11,23.749993,24.124993,23.250001,23.625001,239400,2.086905,-0.00526282260378
1982-02-12,24.124993,24.499993,23.625001,24.250009,180000,2.142114,0.00518201186628
1982-02-16,23.875009,24.124993,23.625001,23.875009,340600,2.108989,0.0
1982-02-17,24.375001,24.625009,24.000001,24.375001,212700,2.153156,0.0
1982-02-18,24.874993,25.249993,24.499993,25.000009,199300,2.208365,0.00502577025851
1982-02-19,25.375009,25.999993,24.750001,25.500001,434800,2.252532,0.00492579135637
1982-02-22,25.375009,26.125009,24.499993,24.499993,430200,2.164197,-0.034483376932
1982-02-23,24.375001,24.874993,23.875009,24.499993,280000,2.164197,0.0051278767127
1982-02-24,24.499993,25.000009,24.000001,25.000009,235000,2.208365,0.0204088221576
1982-02-25,25.249993,25.750009,24.750001,25.000009,208900,2.208365,-0.0099003591803
1982-02-26,24.750001,25.375009,24.000001,24.499993,200200,2.164197,-0.0101013329252
1982-03-01,25.125001,25.500001,24.750001,24.874993,157800,2.197322,-0.00995056676814
1982-03-02,24.874993,24.874993,24.750001,24.750001,69400,2.186281,-0.00502480543412
1982-03-03,24.499993,24.750001,24.124993,24.250009,171600,2.142114,-0.0102034314867
1982-03-04,23.625001,24.000001,23.125009,23.749993,269400,2.097946,0.00529066644272
1982-03-05,23.125009,23.625001,22.500001,23.125009,148500,2.042738,0.0
1982-03-08,22.500001,23.374993,21.499993,21.625008,444100,1.910236,-0.0388885760494
1982-03-09,22.375009,23.500009,21.250008,22.999993,366700,2.031695,0.0279322345747
1982-03-10,22.875001,23.125009,22.500001,22.500001,103000,1.987528,-0.0163934419063
1982-03-11,22.125001,22.500001,21.625008,21.874993,471600,1.932318,-0.0112997960994
1982-03-12,21.499993,22.249993,20.749993,20.875008,321000,1.843985,-0.0290690792318
1982-03-15,21.000001,21.250008,20.625001,21.124993,185100,1.866068,0.00595199971657
1982-03-16,21.499993,21.874993,21.124993,21.375001,317700,1.888152,-0.00581358328814
1982-03-17,20.875008,21.499993,20.125008,20.500008,852600,1.81086,-0.0179640649719
1982-03-18,20.875008,21.124993,20.500008,21.124993,355600,1.866068,0.011975324752
1982-03-19,22.000009,22.249993,21.625008,21.750001,191100,1.921277,-0.0113639953511
1982-03-22,22.375009,22.750009,21.874993,22.750009,245400,2.009613,0.016759769795
1982-03-23,23.125009,23.374993,22.750009,23.250001,362100,2.053779,0.00540505735587
1982-03-24,24.250009,24.750001,23.749993,24.000001,270000,2.12003,-0.0103096044212
1982-03-25,24.000001,24.124993,23.749993,24.000001,157200,2.12003,0.0
1982-03-26,23.625001,24.000001,23.250001,23.500009,435000,2.075864,-0.00529066644272
1982-03-29,23.125009,23.250001,22.999993,23.250001,49000,2.066973,0.00540505735587
1982-03-30,23.500009,23.749993,23.125009,23.500009,134100,2.089199,0.0
1982-03-31,23.749993,23.875009,23.500009,23.625001,149800,2.100311,-0.00526282260378
1982-04-01,23.500009,23.875009,22.999993,23.500009,689800,2.089199,0.0
1982-04-02,24.250009,25.000009,23.500009,25.000009,615700,2.222552,0.0309278235732
1982-04-05,25.125001,25.375009,24.750001,24.750001,353800,2.200326,-0.0149253725403
1982-04-06,24.874993,25.125001,24.499993,24.874993,213400,2.211438,0.0
1982-04-07,25.125001,25.375009,24.874993,25.125001,215400,2.233664,0.0
1982-04-08,25.375009,25.500001,25.125001,25.500001,288000,2.267002,0.00492579135637
1982-04-12,25.500001,25.875001,25.125001,25.125001,46900,2.233664,-0.0147058817762
1982-04-13,25.750009,25.999993,25.375009,25.500001,186000,2.267002,-0.00970904515024
1982-04-14,25.249993,25.375009,25.000009,25.000009,187300,2.222552,-0.0099003591803
1982-04-15,25.375009,25.750009,25.000009,25.500001,184900,2.267002,0.00492579135637
1982-04-16,26.374993,26.875009,25.750009,26.500009,375400,2.355905,0.00473994438596
1982-04-19,26.250001,26.749993,25.750009,25.750009,133800,2.289228,-0.0190473135601
1982-04-20,25.624993,25.999993,25.249993,25.375009,219700,2.25589,-0.00975547583564
1982-04-21,25.249993,25.375009,25.000009,25.000009,164400,2.222552,-0.0099003591803
1982-04-22,25.249993,25.375009,25.125001,25.249993,91800,2.244776,0.0
1982-04-23,25.624993,25.875001,25.375009,25.624993,123300,2.278114,0.0
1982-04-26,25.999993,26.625001,25.375009,26.625001,235500,2.367017,0.0240387757027
1982-04-27,26.749993,26.875009,26.500009,26.500009,322800,2.355905,-0.00934519870715
1982-04-28,26.500009,26.625001,26.250001,26.374993,112600,2.344791,-0.00471758330346
1982-04-29,25.875001,25.999993,25.624993,25.875001,110400,2.300341,0.0
1982-04-30,25.875001,26.125009,25.624993,25.875001,94200,2.300341,0.0
1982-05-03,25.999993,26.250001,25.624993,26.250001,171000,2.333679,0.00961569489653
1982-05-04,26.250001,26.374993,25.999993,26.125009,103900,2.322567,-0.00476159981861
1982-05-05,25.999993,26.125009,25.750009,25.875001,318900,2.300341,-0.00480738590968
1982-05-06,26.125009,26.374993,25.875001,25.875001,186000,2.300341,-0.00956968091379
1982-05-07,25.875001,25.999993,25.624993,25.750009,47800,2.289228,-0.00483060850896
1982-05-10,25.375009,25.624993,25.125001,25.375009,69900,2.25589,0.0
1982-05-11,25.375009,25.500001,25.249993,25.500001,68700,2.267002,0.00492579135637
1982-05-12,25.375009,25.624993,25.125001,25.249993,141700,2.244776,-0.00492673716884
1982-05-13,25.249993,25.500001,25.000009,25.375009,82900,2.25589,0.00495113008546
1982-05-14,25.249993,25.375009,25.000009,25.000009,114000,2.222552,-0.0099003591803
1982-05-17,25.249993,25.375009,25.125001,25.375009,55300,2.25589,0.00495113008546
1982-05-18,25.000009,25.375009,24.499993,24.874993,105900,2.211438,-0.00500063819977
1982-05-19,24.874993,25.000009,24.750001,24.750001,40200,2.200326,-0.00502480543412
1982-05-20,24.625009,24.874993,24.250009,24.499993,85000,2.1781,-0.0050767900227
1982-05-21,24.625009,24.750001,24.375001,24.750001,256900,2.200326,0.00507581540376
1982-05-24,24.499993,24.750001,24.124993,24.250009,194500,2.155875,-0.0102034314867
1982-05-25,24.375001,24.499993,24.250009,24.499993,90300,2.1781,0.0051278767127
1982-05-26,24.250009,24.375001,24.000001,24.124993,111900,2.144761,-0.00515529705577
1982-05-27,23.749993,24.124993,23.374993,23.749993,328900,2.111423,0.0
1982-05-28,23.500009,23.749993,23.250001,23.500009,173100,2.089199,0.0
1982-06-01,22.999993,23.374993,22.624993,22.750009,234600,2.022522,-0.0108688728731
1982-06-02,22.375009,22.750009,22.000009,22.624993,661800,2.011408,0.0111724647798
1982-06-03,22.750009,22.875001,22.500001,22.750009,122400,2.022522,0.0
1982-06-04,22.500001,22.875001,22.125001,22.249993,84300,1.97807,-0.0111114661728
1982-06-07,22.000009,22.375009,21.625008,22.125001,273900,1.966958,0.00568145222122
1982-06-08,22.000009,22.125001,21.874993,22.000009,132400,1.955846,0.0
1982-06-09,22.000009,22.249993,21.750001,22.000009,208900,1.955846,0.0
1982-06-10,22.125001,22.249993,21.874993,22.249993,211200,1.97807,0.00564935567687
1982-06-11,23.625001,24.124993,22.999993,24.000001,511300,2.133649,0.0158730152011
1982-06-14,23.875009,24.000001,23.625001,23.749993,229200,2.111423,-0.00523627027743
1982-06-15,24.000001,24.250009,23.625001,24.250009,102900,2.155875,0.010416999566
1982-06-16,24.000001,24.250009,23.625001,23.625001,245800,2.100311,-0.015624999349
1982-06-17,23.500009,23.625001,23.374993,23.625001,225600,2.100311,0.00531880647365
1982-06-18,23.500009,23.625001,23.374993,23.500009,108000,2.089199,0.0
1982-06-21,23.875009,24.250009,23.500009,23.875009,124600,2.122537,0.0
1982-06-22,24.250009,24.499993,23.875009,24.250009,58900,2.155875,0.0
1982-06-23,23.875009,24.250009,23.500009,24.250009,315600,2.155875,0.0157068003618
1982-06-24,24.625009,24.874993,24.250009,24.375001,269400,2.166987,-0.0101526054265
1982-06-25,24.375001,24.750001,24.000001,24.375001,89200,2.166987,0.0
