Date,Open,High,Low,Close,Volume,Adj Close,Returns
1987-11-05,32.5,32.624962,31.0,31.37504,552000,2.429198,
1987-11-06,31.62496,31.62496,30.25,30.25,496000,2.342092,-0.0434770510382
1987-11-09,30.25,30.25,28.5,29.0,876800,2.245311,-0.0413223140496
1987-11-10,28.5,28.75,26.75,27.62496,748000,2.13885,-0.0307031578947
1987-11-11,28.25,30.5,28.12496,30.5,496000,2.361448,0.0796460176991
1987-11-12,31.5,33.0,30.75,31.25,1035200,2.419517,-0.00793650793651
1987-11-13,31.0,31.75,30.0,30.0,928000,2.322736,-0.0322580645161
1987-11-16,30.25,30.87504,30.25,30.75,536800,2.380804,0.0165289256198
1987-11-17,30.5,30.5,29.75,30.37504,772000,2.351773,-0.00409704918033
1987-11-18,30.5,31.5,29.75,31.5,467200,2.438873,0.0327868852459
1987-11-19,31.5,32.25,30.0,30.5,335200,2.361448,-0.031746031746
1987-11-20,30.5,31.37504,29.75,31.0,1008800,2.400161,0.016393442623
1987-11-23,31.25,31.75,30.5,31.75,149600,2.458229,0.016
1987-11-24,32.0,32.375038,31.5,32.124962,564000,2.48726,0.0039050625
1987-11-25,31.62496,32.5,31.25,32.25,288000,2.496941,0.0197641356701
1987-11-27,32.25,32.25,31.0,31.25,695200,2.419517,-0.031007751938
1987-11-30,29.5,30.5,29.0,29.75,1473600,2.30338,0.00847457627119
1987-12-01,30.0,31.62496,29.75,31.0,597600,2.400161,0.0333333333333
1987-12-02,30.75,30.75,30.0,30.5,487200,2.361448,-0.00813008130081
1987-12-03,30.37504,30.37504,28.25,28.5,802400,2.206599,-0.0617296306441
1987-12-04,27.5,28.5,27.0,28.25,787200,2.187243,0.0272727272727
1987-12-07,27.75,28.75,27.25,28.5,227200,2.206599,0.027027027027
1987-12-08,28.25,31.5,28.25,31.25,396000,2.419517,0.106194690265
1987-12-09,31.0,33.0,30.87504,31.87504,1044800,2.46791,0.0282270967742
1987-12-10,30.75,33.25,30.75,31.5,572800,2.438873,0.0243902439024
1987-12-11,31.25,32.5,31.25,32.25,157600,2.496941,0.032
1987-12-14,32.0,33.5,32.0,33.5,832000,2.593722,0.046875
1987-12-15,33.75,34.0,32.75,33.5,992000,2.593722,-0.00740740740741
1987-12-16,33.5,33.5,32.5,33.5,502400,2.593722,0.0
1987-12-17,33.5,33.5,33.25,33.25,560000,2.574366,-0.00746268656716
1987-12-18,33.5,34.0,33.25,34.0,1742400,2.632434,0.0149253731343
1987-12-21,34.75,34.75,34.0,34.25,701600,2.65179,-0.0143884892086
1987-12-22,34.25,34.25,33.5,34.0,409600,2.632434,-0.00729927007299
1987-12-23,33.75,35.5,33.0,35.5,2480000,2.748571,0.0518518518519
1987-12-24,35.25,36.5,35.25,35.75,103200,2.767927,0.0141843971631
1987-12-28,35.0,35.0,33.75,34.5,484000,2.671146,-0.0142857142857
1987-12-29,34.25,34.25,33.124962,33.5,695200,2.593722,-0.021897810219
1987-12-30,33.25,33.5,33.0,33.5,385600,2.593722,0.00751879699248
1987-12-31,33.5,33.5,33.0,33.0,291200,2.55501,-0.0149253731343
1988-01-04,33.25,33.875038,33.0,33.875038,2088000,2.622759,0.0187981353383
1988-01-05,34.25,36.25,34.25,35.375038,1412000,2.738896,0.0328478248175
1988-01-06,36.0,36.25,35.5,36.0,396800,2.787283,0.0
1988-01-07,35.75,37.25,35.375038,37.0,676000,2.864708,0.034965034965
1988-01-08,36.25,36.75,33.75,33.75,383200,2.613078,-0.0689655172414
1988-01-11,34.0,34.0,30.5,33.875038,485600,2.622759,-0.00367535294118
1988-01-12,34.0,35.0,31.5,34.75,667200,2.690503,0.0220588235294
1988-01-13,34.25,34.75,33.0,33.0,824000,2.55501,-0.036496350365
1988-01-14,33.5,33.75,33.0,33.25,676000,2.574366,-0.00746268656716
1988-01-15,35.0,35.5,34.0,34.0,899200,2.632434,-0.0285714285714
1988-01-18,33.75,33.75,33.25,33.5,331200,2.593722,-0.00740740740741
1988-01-19,33.25,34.75,33.124962,33.25,858400,2.574366,0.0
1988-01-20,33.124962,33.75,32.624962,32.624962,752000,2.525972,-0.0150943569384
1988-01-21,32.875038,32.875038,31.5,32.0,696000,2.477585,-0.0266170947088
1988-01-22,32.25,32.75,32.0,32.25,1225600,2.496941,0.0
1988-01-25,32.5,34.75,32.25,34.375038,271200,2.661471,0.0576934769231
1988-01-26,33.875038,34.5,33.5,33.75,156800,2.613078,-0.00369115453096
1988-01-27,33.5,34.5,32.624962,33.0,231200,2.55501,-0.0149253731343
1988-01-28,33.0,33.0,32.624962,32.624962,512800,2.525972,-0.0113647878788
1988-01-29,32.75,33.25,32.75,33.25,284000,2.582281,0.0152671755725
1988-02-01,33.0,33.5,32.75,33.0,129600,2.562865,0.0
1988-02-02,33.0,33.25,31.75,32.75,1119200,2.543449,-0.00757575757576
