Date,Open,High,Low,Close,Volume,Adj Close,Returns
1995-08-25,33.625,34.124999,33.625,34.000001,3541000,4.343181,
1995-08-28,33.875,33.875,33.25,33.499999,1418500,4.27931,-0.0110701402214
1995-08-29,33.75,33.875,33.125,33.499999,879000,4.27931,-0.00740743703704
1995-08-30,33.499999,33.625,33.375001,33.625,436500,4.295278,0.00373137324571
1995-08-31,33.625,33.625,33.25,33.499999,606500,4.27931,-0.00371750185874
1995-09-01,33.499999,33.625,33.375001,33.625,217000,4.295278,0.00373137324571
1995-09-05,33.499999,33.625,33.375001,33.499999,385500,4.27931,0.0
1995-09-06,33.375001,33.499999,33.25,33.375001,247000,4.263343,0.0
1995-09-07,33.375001,33.375001,33.0,33.125,738000,4.231408,-0.00749066644223
1995-09-08,32.874999,33.0,31.375,31.375,946000,4.007862,-0.0456273473955
1995-09-11,31.500001,32.625,31.500001,32.125001,434000,4.103667,0.0198412692114
1995-09-12,32.750001,33.375001,32.750001,33.25,817500,4.247375,0.015267144572
1995-09-13,33.75,33.875,33.25,33.375001,542500,4.263343,-0.0111110814815
1995-09-14,33.375001,33.499999,33.25,33.499999,154500,4.27931,0.00374525831475
1995-09-15,33.375001,33.499999,33.375001,33.499999,218500,4.27931,0.00374525831475
1995-09-18,33.375001,33.625,33.25,33.625,422500,4.295278,0.00749060651714
1995-09-19,33.499999,33.499999,33.25,33.375001,116500,4.263343,-0.00373128369347
1995-09-20,33.25,33.25,32.625,32.750001,124500,4.183505,-0.0150375639098
1995-09-21,33.0,33.125,32.750001,33.0,157000,4.21544,0.0
1995-09-22,32.750001,32.750001,32.249999,32.249999,94500,4.119635,-0.015267236175
1995-09-25,32.5,32.5,32.125001,32.125001,53000,4.103667,-0.0115384307692
1995-09-26,32.750001,33.0,32.625,32.625,266500,4.167537,-0.00381682431094
1995-09-27,32.5,32.625,32.5,32.5,95000,4.15157,0.0
1995-09-28,32.750001,33.125,32.750001,33.0,205000,4.21544,0.00763355701882
1995-09-29,34.000001,34.625001,34.000001,34.5,1303000,4.407051,0.0147058525087
1995-10-02,35.0,35.625,35.0,35.125,570000,4.486889,0.00357142857143
1995-10-03,35.250001,35.374999,35.0,35.250001,165000,4.502857,0.0
1995-10-04,35.125,35.125,34.875,34.875,108500,4.454954,-0.00711743772242
