Date,Open,High,Low,Close,Volume,Adj Close,Returns
1983-12-30,44.000008,44.500006,43.500014,44.000008,211500,2.622884,
1984-01-03,43.937506,44.249986,43.624979,44.000008,385500,2.622884,0.00142252043163
1984-01-04,44.843758,45.874979,44.249986,45.874979,292500,2.734653,0.0229958648871
1984-01-05,46.812508,47.375008,46.250008,47.375008,344100,2.824071,0.0120160193083
1984-01-06,46.875014,47.375008,46.375021,46.875014,194400,2.794266,0.0
1984-01-09,46.999979,47.375008,46.624994,46.999979,216300,2.801715,0.0
1984-01-10,47.687492,48.249992,47.124992,47.875006,143100,2.853876,0.00393214220618
1984-01-11,47.875006,49.000006,47.375008,48.874994,397800,2.913486,0.020887475189
1984-01-12,48.874994,49.625008,48.625021,49.374992,297900,2.943292,0.0102301393633
1984-01-13,49.874986,50.250014,49.5,49.625008,591300,2.958196,-0.00501209163247
1984-01-16,49.374992,49.625008,49.125014,49.125014,103800,2.92839,-0.00506284638993
1984-01-17,49.125014,49.125014,48.000014,48.249992,134100,2.876229,-0.0178121475955
1984-01-18,48.9375,49.5,48.375,49.374992,1352700,2.943292,0.0089398109834
1984-01-19,49.374992,49.625008,49.125014,49.374992,245100,2.943292,0.0
1984-01-20,49.374992,49.374992,48.749986,49.000006,168300,2.920939,-0.00759465439508
1984-01-23,49.437494,49.750021,49.125014,49.625008,246000,2.958196,0.00379295115566
1984-01-24,49.937492,50.250014,49.625008,50.250014,292500,2.995453,0.00625826383111
1984-01-25,50.937479,51.250006,50.625,50.750008,243000,3.025258,-0.00368041378726
1984-01-26,50.750008,50.875021,50.125006,50.250014,212400,2.995453,-0.00985209696913
1984-01-27,50.250014,50.250014,49.625008,49.999994,183000,2.980549,-0.00497552100184
1984-01-30,49.750021,49.874986,49.625008,49.750021,99900,2.965648,0.0
1984-01-31,49.750021,51.250006,49.750021,50.499992,352200,3.010354,0.0150747876066
1984-02-01,50.499992,50.999986,49.625008,49.750021,225300,2.965648,-0.0148509132437
1984-02-02,49.750021,49.874986,49.374992,49.374992,230700,2.943292,-0.0075382681748
1984-02-03,49.999994,50.499992,49.5,49.750021,319800,2.965648,-0.00499946059994
1984-02-06,48.9375,49.625008,48.249992,48.625021,67500,2.898585,-0.00638526692209
