Date,Open,High,Low,Close,Volume,Adj Close,Returns
1997-02-04,22.0,22.0,20.625,21.125,26677600,10.5625,
1997-02-05,21.25,21.5,20.25,20.25,6762800,10.125,-0.0470588235294
1997-02-06,20.375,20.75,20.25,20.625,2238200,10.3125,0.0122699386503
1997-02-07,20.5,20.625,20.5,20.5,1405800,10.25,0.0
1997-02-10,20.5,21.25,20.5,21.0,1666800,10.5,0.0243902439024
1997-02-11,21.0,21.25,20.875,21.0,1444200,10.5,0.0
1997-02-12,21.0,21.125,20.625,20.75,780000,10.375,-0.0119047619048
1997-02-13,20.875,20.875,20.0,20.0,1518600,10.0,-0.0419161676647
1997-02-14,20.125,20.25,20.0,20.0,511600,10.0,-0.00621118012422
1997-02-18,20.125,20.125,20.0,20.125,746000,10.0625,0.0
1997-02-19,20.0,20.125,20.0,20.0,1593000,10.0,0.0
1997-02-20,20.0,20.125,20.0,20.0,614000,10.0,0.0
1997-02-21,20.0,20.125,20.0,20.0,756400,10.0,0.0
1997-02-24,20.0,20.125,20.0,20.0,244400,10.0,0.0
1997-02-25,20.0,20.125,20.0,20.0,836800,10.0,0.0
1997-02-26,20.0,20.375,20.0,20.25,2607200,10.125,0.0125
1997-02-27,20.25,20.25,20.0,20.0,2115000,10.0,-0.0123456790123
1997-02-28,20.0,20.125,20.0,20.125,188400,10.0625,0.00625
1997-03-03,20.125,20.125,20.0,20.0,2307000,10.0,-0.00621118012422
1997-03-04,20.0,20.125,18.75,19.0,1624600,9.5,-0.05
1997-03-05,19.0,19.25,18.875,19.125,795800,9.5625,0.00657894736842
1997-03-06,19.125,19.375,19.125,19.375,1049000,9.6875,0.0130718954248
1997-03-07,19.25,19.625,19.125,19.625,417000,9.8125,0.0194805194805
1997-03-10,19.625,20.0,19.5,19.625,567000,9.8125,0.0
1997-03-11,19.625,19.625,19.125,19.25,438800,9.625,-0.0191082802548
1997-03-12,19.375,19.375,19.0,19.0,72200,9.5,-0.0193548387097
1997-03-13,19.0,19.0,17.5,17.625,269200,8.8125,-0.0723684210526
1997-03-14,17.75,17.75,16.75,16.875,322200,8.4375,-0.0492957746479
1997-03-17,17.0,17.0,16.625,16.875,445800,8.4375,-0.00735294117647
1997-03-18,16.875,17.0,16.625,16.625,397200,8.3125,-0.0148148148148
1997-03-19,16.625,16.875,16.5,16.5,215800,8.25,-0.00751879699248
1997-03-20,16.5,16.875,16.5,16.875,182600,8.4375,0.0227272727273
1997-03-21,16.875,16.875,16.625,16.625,65400,8.3125,-0.0148148148148
1997-03-24,16.5,16.5,15.375,16.25,825200,8.125,-0.0151515151515
1997-03-25,16.125,16.125,15.375,15.5,499600,7.75,-0.0387596899225
1997-03-26,15.375,15.875,15.375,15.625,248200,7.8125,0.0162601626016
1997-03-27,15.625,15.625,15.25,15.25,692000,7.625,-0.024
1997-03-31,15.25,15.25,14.625,15.0,745800,7.5,-0.016393442623
1997-04-01,15.0,15.0,14.375,14.625,1067800,7.3125,-0.025
1997-04-02,14.625,14.625,14.375,14.625,344000,7.3125,0.0
1997-04-03,14.625,14.875,14.375,14.875,1059000,7.4375,0.017094017094
1997-04-04,14.75,15.0,14.5,15.0,338000,7.5,0.0169491525424
1997-04-07,15.125,17.0,15.125,16.0,750800,8.0,0.0578512396694
1997-04-08,15.375,15.625,15.125,15.25,201000,7.625,-0.00813008130081
1997-04-09,15.375,15.375,15.1875,15.25,219400,7.625,-0.00813008130081
1997-04-10,15.25,15.375,15.125,15.25,74600,7.625,0.0
1997-04-11,15.25,15.25,15.0,15.0,301000,7.5,-0.016393442623
1997-04-14,15.0,15.0,14.625,15.0,577000,7.5,0.0
