Date,Open,High,Low,Close,Volume,Adj Close,Returns
1977-01-03,23.87504,23.87504,23.62496,23.75008,156800,0.062947,
1977-01-04,23.75008,24.0,23.62496,23.87504,220800,0.063278,0.00526145596141
1977-01-05,24.0,24.24992,24.0,24.24992,134400,0.064272,0.0104133333333
1977-01-06,24.24992,24.75008,24.24992,24.75008,268800,0.065597,0.0206252226811
1977-01-07,24.5,24.5,24.37504,24.37504,169600,0.064603,-0.00510040816327
1977-01-10,24.37504,24.5,24.0,24.24992,297600,0.064272,-0.00513311978155
1977-01-11,24.24992,24.5,24.12496,24.37504,160000,0.064603,0.00515960465024
1977-01-12,24.24992,24.24992,24.12496,24.24992,89600,0.064272,0.0
1977-01-13,24.24992,24.37504,24.12496,24.12496,176000,0.063941,-0.00515300669033
1977-01-14,24.12496,24.37504,24.0,24.24992,956800,0.064272,0.00517969770727
1977-01-17,24.24992,24.5,24.24992,24.37504,163200,0.064603,0.00515960465024
1977-01-18,24.37504,24.5,24.12496,24.5,179200,0.064935,0.00512655568975
1977-01-19,24.24992,24.24992,24.0,24.12496,137600,0.063941,-0.00515300669033
1977-01-20,24.12496,24.24992,23.87504,23.87504,288000,0.063278,-0.0103593954145
1977-01-21,23.87504,24.37504,23.87504,24.12496,560000,0.063941,0.0104678358654
1977-01-24,24.12496,24.12496,23.87504,24.0,694400,0.064573,-0.00517969770727
1977-01-25,24.0,24.12496,23.87504,24.0,736000,0.064573,0.0
1977-01-26,24.0,24.12496,24.0,24.0,294400,0.064573,0.0
1977-01-27,24.0,24.24992,24.0,24.24992,512000,0.065245,0.0104133333333
1977-01-28,24.12496,24.12496,24.0,24.0,124800,0.064573,-0.00517969770727
1977-01-31,24.0,24.37504,24.0,24.24992,390400,0.065245,0.0104133333333
1977-02-01,24.24992,24.37504,24.24992,24.24992,176000,0.065245,0.0
1977-02-02,24.24992,24.37504,24.24992,24.24992,131200,0.065245,0.0
1977-02-03,24.24992,24.62496,24.12496,24.5,665600,0.065918,0.0103126113406
1977-02-04,24.5,24.62496,24.37504,24.62496,1564800,0.066254,0.00510040816327
1977-02-07,24.62496,24.62496,24.37504,24.5,134400,0.065918,-0.00507452600938
1977-02-08,24.5,24.5,24.24992,24.24992,124800,0.065245,-0.0102073469388
1977-02-09,24.24992,24.37504,24.24992,24.37504,163200,0.065582,0.00515960465024
1977-02-10,24.37504,24.75008,24.37504,24.62496,428800,0.066254,0.0102531113795
1977-02-11,24.62496,25.0,24.5,24.87504,1244800,0.066927,0.0101555494912
1977-02-14,24.87504,25.5,24.87504,25.5,540800,0.068609,0.0251239797001
1977-02-15,25.5,25.75008,25.24992,25.5,438400,0.068609,0.0
1977-02-16,25.5,25.75008,25.37504,25.5,1881600,0.068609,0.0
1977-02-17,25.5,25.5,25.37504,25.5,150400,0.068609,0.0
1977-02-18,25.5,25.75008,25.24992,25.75008,396800,0.069282,0.00980705882353
1977-02-22,25.75008,25.87504,25.5,25.62496,553600,0.068945,-0.00485901403025
1977-02-23,25.62496,26.24992,25.5,26.0,1315200,0.069954,0.0146357301631
1977-02-24,26.0,27.5,25.87504,27.24992,4403200,0.073317,0.0480738461538
1977-02-25,27.0,27.0,26.37504,26.62496,435200,0.071636,-0.0138903703704
1977-02-28,26.62496,26.62496,26.5,26.5,528000,0.071299,-0.00469334038436
1977-03-01,26.5,26.75008,26.24992,26.75008,998400,0.071972,0.00943698113208
1977-03-02,26.75008,26.75008,26.24992,26.24992,240000,0.070626,-0.0186975141757
1977-03-03,26.24992,26.5,26.24992,26.24992,281600,0.070626,0.0
1977-03-04,26.24992,26.5,26.12496,26.37504,377600,0.070963,0.00476649071692
1977-03-07,26.37504,26.62496,26.24992,26.24992,185600,0.070626,-0.00474387906142
1977-03-08,26.24992,26.5,26.0,26.24992,188800,0.070626,0.0
1977-03-09,26.12496,26.12496,25.87504,26.12496,1148800,0.07029,0.0
1977-03-10,26.12496,26.24992,25.75008,26.12496,211200,0.07029,0.0
1977-03-11,26.12496,26.5,26.12496,26.24992,275200,0.070626,0.00478316521824
1977-03-14,26.24992,26.5,26.0,26.12496,291200,0.07029,-0.00476039546025
1977-03-15,26.12496,26.24992,26.0,26.0,147200,0.069954,-0.00478316521824
1977-03-16,25.87504,25.87504,25.5,25.62496,480000,0.068945,-0.0096649125953
1977-03-17,25.62496,25.87504,25.5,25.75008,339200,0.069282,0.00488273932915
1977-03-18,25.75008,26.37504,25.75008,26.12496,275200,0.07029,0.014558401372
1977-03-21,26.12496,26.24992,26.0,26.24992,457600,0.070626,0.00478316521824
1977-03-22,26.24992,26.37504,26.0,26.0,217600,0.069954,-0.00952079092051
1977-03-23,26.0,26.24992,25.75008,25.75008,1177600,0.069282,-0.00961230769231
1977-03-24,25.75008,25.87504,25.5,25.5,172800,0.068609,-0.00971181448757
1977-03-25,25.37504,25.37504,25.12496,25.37504,172800,0.068273,0.0
1977-03-28,25.37504,25.62496,24.87504,25.0,188800,0.067264,-0.0147798781795
1977-03-29,25.0,25.37504,25.0,25.37504,358400,0.068273,0.0150016
1977-03-30,25.37504,25.37504,25.12496,25.24992,131200,0.067936,-0.00493082966569
1977-03-31,25.24992,25.37504,25.12496,25.12496,115200,0.0676,-0.00494892657086
1977-04-01,25.12496,25.24992,25.12496,25.24992,96000,0.067936,0.00497354025638
1977-04-04,25.24992,25.37504,25.12496,25.12496,112000,0.0676,-0.00494892657086
1977-04-05,25.12496,25.24992,25.12496,25.12496,134400,0.0676,0.0
1977-04-06,25.12496,25.5,25.12496,25.5,361600,0.068609,0.0149269889385
1977-04-07,25.5,25.62496,25.24992,25.5,115200,0.068609,0.0
1977-04-11,25.5,25.62496,25.24992,25.24992,60800,0.067936,-0.00980705882353
1977-04-12,25.24992,26.12496,25.12496,26.12496,275200,0.07029,0.0346551593035
1977-04-13,26.12496,26.12496,25.62496,26.12496,304000,0.07029,0.0
1977-04-14,26.12496,26.24992,25.87504,26.0,211200,0.069954,-0.00478316521824
1977-04-15,26.0,26.12496,25.75008,26.12496,611200,0.07029,0.00480615384615
1977-04-18,26.0,26.0,25.75008,26.0,256000,0.069954,0.0
1977-04-19,25.75008,25.75008,25.75008,25.75008,508800,0.069282,0.0
1977-04-20,25.75008,25.87504,25.62496,25.62496,76800,0.068945,-0.00485901403025
1977-04-21,25.62496,25.87504,25.5,25.5,102400,0.068609,-0.00487649541697
1977-04-22,25.5,25.62496,25.37504,25.62496,291200,0.068945,0.00490039215686
1977-04-25,25.24992,25.24992,25.12496,25.12496,163200,0.068563,-0.00494892657086
1977-04-26,25.12496,25.12496,24.87504,24.87504,252800,0.067881,-0.00994708051277
1977-04-27,24.87504,25.0,24.62496,25.0,188800,0.068222,0.00502350950993
1977-04-28,25.0,25.0,24.75008,25.0,204800,0.068222,0.0
1977-04-29,25.0,25.24992,25.0,25.12496,137600,0.068563,0.0049984
