Date,Open,High,Low,Close,Volume,Adj Close,Returns
1987-11-05,24.0,24.25,23.75,24.12496,65600,1.334302,
1987-11-06,24.25,24.5,24.12496,24.12496,15200,1.334302,-0.00515628865979
1987-11-09,24.25,24.25,24.0,24.0,9600,1.32739,-0.0103092783505
1987-11-10,24.0,24.62496,24.0,24.5,32000,1.355044,0.0208333333333
1987-11-11,24.5,24.75,24.5,24.5,94400,1.355044,0.0
1987-11-12,24.5,24.62496,24.25,24.25,213600,1.341217,-0.0102040816327
1987-11-13,24.25,24.37504,23.75,23.75,26400,1.313563,-0.020618556701
1987-11-16,24.0,24.25,23.75,23.75,175200,1.313563,-0.0104166666667
1987-11-17,23.5,23.5,23.12496,23.12496,58400,1.278994,-0.0159591489362
1987-11-18,23.0,23.25,22.75,23.25,339200,1.285909,0.0108695652174
1987-11-19,23.25,23.5,23.12496,23.12496,320800,1.278994,-0.00537806451613
1987-11-20,22.87504,22.87504,22.5,22.62496,69600,1.258962,-0.0109324398996
1987-11-23,22.62496,22.75,22.37504,22.62496,19200,1.258962,0.0
1987-11-24,23.0,23.5,23.0,23.25,219200,1.293742,0.0108695652174
1987-11-25,23.12496,23.12496,23.0,23.0,89600,1.279831,-0.00540368502259
1987-11-27,23.0,23.0,22.25,22.25,76800,1.238097,-0.0326086956522
1987-11-30,22.0,22.12496,21.0,21.25,144000,1.182452,-0.0340909090909
1987-12-01,21.5,22.25,21.5,22.12496,28800,1.231139,0.0290679069767
1987-12-02,22.12496,22.37504,22.12496,22.12496,80000,1.231139,0.0
1987-12-03,22.37504,22.37504,21.75,21.75,445600,1.210275,-0.0279346986642
1987-12-04,21.62496,21.75,21.0,21.25,219200,1.182452,-0.017339222824
1987-12-07,21.12496,21.12496,21.0,21.0,112800,1.168541,-0.00591527747271
1987-12-08,21.0,21.12496,20.75,21.0,186400,1.168541,0.0
1987-12-09,21.0,21.87504,21.0,21.62496,53600,1.203317,0.02976
1987-12-10,21.62496,21.75,20.87504,20.87504,211200,1.161588,-0.034678445648
1987-12-11,21.0,21.0,20.37504,20.37504,266400,1.133765,-0.02976
