Date,Open,High,Low,Close,Volume,Adj Close,Returns
1987-11-05,12.0,12.0,11.5,12.0,33000,1.617712,
1987-11-06,11.75,12.25,11.625,11.625,27900,1.567158,-0.0106382978723
1987-11-09,11.5,11.75,11.125,11.125,104700,1.499754,-0.0326086956522
1987-11-10,10.875,11.0,10.625,10.875,146700,1.466051,0.0
1987-11-11,10.875,11.5,10.875,11.25,52200,1.516605,0.0344827586207
1987-11-12,11.25,11.5,11.125,11.125,24600,1.499754,-0.0111111111111
1987-11-13,11.0,11.25,10.625,10.875,58800,1.466051,-0.0113636363636
1987-11-16,11.0,11.0,10.75,10.875,72300,1.466051,-0.0113636363636
1987-11-17,10.875,11.25,10.75,10.875,191100,1.466051,0.0
1987-11-18,10.625,10.75,10.5,10.75,51900,1.4492,0.0117647058824
1987-11-19,11.0,11.0,10.375,10.75,88200,1.4492,-0.0227272727273
1987-11-20,10.5,10.5,10.375,10.5,34200,1.415498,0.0
1987-11-23,10.25,10.75,10.25,10.625,71100,1.432349,0.0365853658537
1987-11-24,10.5,11.0,10.5,10.625,144600,1.432349,0.0119047619048
1987-11-25,10.5,10.875,10.5,10.75,36000,1.4492,0.0238095238095
1987-11-27,10.625,11.25,10.5,11.125,42300,1.499754,0.0470588235294
1987-11-30,10.875,10.875,10.5,10.5,100200,1.415498,-0.0344827586207
1987-12-01,10.625,10.75,10.5,10.625,69900,1.432349,0.0
1987-12-02,10.625,10.625,10.0,10.0,171000,1.348093,-0.0588235294118
1987-12-03,10.125,10.125,9.75,9.75,97200,1.314391,-0.037037037037
1987-12-04,9.625,9.875,9.625,9.625,62700,1.29754,0.0
1987-12-07,9.5,10.0,9.5,10.0,28800,1.348093,0.0526315789474
1987-12-08,9.875,10.0,9.75,10.0,23100,1.348093,0.0126582278481
1987-12-09,9.75,10.0,9.75,10.0,31200,1.348093,0.025641025641
1987-12-10,9.875,9.875,9.75,9.875,32400,1.331242,0.0
1987-12-11,9.75,10.0,9.625,10.0,47100,1.348093,0.025641025641
1987-12-14,9.75,10.125,9.75,10.125,75900,1.364945,0.0384615384615
1987-12-15,10.0,10.625,9.875,10.5,65100,1.423229,0.05
1987-12-16,10.625,10.625,9.625,10.0,89100,1.355456,-0.0588235294118
1987-12-17,9.875,10.0,9.625,10.0,14400,1.355456,0.0126582278481
1987-12-18,10.0,11.25,9.75,11.25,568800,1.524888,0.125
1987-12-21,11.0,11.25,10.625,10.875,91200,1.474059,-0.0113636363636
1987-12-22,10.75,11.0,10.625,11.0,41100,1.491002,0.0232558139535
1987-12-23,10.875,11.0,10.5,10.625,88800,1.440172,-0.0229885057471
1987-12-24,10.5,11.25,10.375,11.25,69900,1.524888,0.0714285714286
1987-12-28,11.0,11.0,10.625,11.0,36000,1.491002,0.0
1987-12-29,11.0,11.25,10.875,11.0,54000,1.491002,0.0
1987-12-30,10.75,11.0,10.75,11.0,49200,1.491002,0.0232558139535
1987-12-31,10.75,11.0,10.5,10.875,170700,1.474059,0.0116279069767
1988-01-04,10.75,11.125,10.75,11.125,39000,1.507945,0.0348837209302
1988-01-05,11.125,11.375,11.0,11.25,68400,1.524888,0.0112359550562
1988-01-06,11.125,11.5,11.0,11.5,63000,1.558775,0.0337078651685
1988-01-07,11.625,12.875,11.625,12.875,48600,1.74515,0.10752688172
1988-01-08,12.625,12.875,11.625,11.625,53100,1.575718,-0.0792079207921
1988-01-11,11.5,11.5,11.125,11.25,27000,1.524888,-0.0217391304348
1988-01-12,11.0,11.25,11.0,11.25,13800,1.524888,0.0227272727273
1988-01-13,11.125,11.875,11.125,11.875,21000,1.609604,0.0674157303371
1988-01-14,11.75,11.875,11.5,11.875,12000,1.609604,0.0106382978723
1988-01-15,11.875,12.0,11.625,11.75,17100,1.592661,-0.0105263157895
1988-01-18,11.75,11.875,11.625,11.625,9000,1.575718,-0.0106382978723
1988-01-19,11.5,12.0,11.5,12.0,11100,1.626548,0.0434782608696
1988-01-20,12.25,12.25,11.5,11.5,30300,1.558775,-0.0612244897959
1988-01-21,11.5,11.5,11.25,11.25,15000,1.524888,-0.0217391304348
1988-01-22,11.25,11.25,11.25,11.25,22800,1.524888,0.0
1988-01-25,11.125,11.25,11.125,11.25,18300,1.524888,0.0112359550562
1988-01-26,11.125,11.25,11.125,11.125,4800,1.507945,0.0
1988-01-27,11.25,11.25,11.125,11.125,55800,1.507945,-0.0111111111111
1988-01-28,11.375,11.625,11.25,11.625,102600,1.575718,0.021978021978
1988-01-29,11.5,11.625,11.375,11.625,29100,1.575718,0.0108695652174
1988-02-01,11.875,12.0,11.75,11.75,42300,1.592661,-0.0105263157895
1988-02-02,11.625,11.75,11.5,11.75,6300,1.592661,0.010752688172
1988-02-03,11.5,11.75,11.375,11.5,15900,1.558775,0.0
1988-02-04,11.75,11.75,11.5,11.5,13200,1.558775,-0.0212765957447
1988-02-05,11.5,11.625,11.375,11.375,52200,1.541832,-0.0108695652174
1988-02-08,11.375,11.375,11.125,11.25,24600,1.524888,-0.010989010989
1988-02-09,11.25,11.375,11.125,11.25,9900,1.524888,0.0
1988-02-10,11.5,11.5,11.25,11.25,54600,1.524888,-0.0217391304348
1988-02-11,11.375,11.375,10.875,10.875,166200,1.474059,-0.043956043956
1988-02-12,10.875,10.875,10.5,10.625,154200,1.440172,-0.0229885057471
1988-02-16,10.875,11.0,10.5,11.0,122400,1.491002,0.0114942528736
1988-02-17,11.25,11.375,11.0,11.25,15900,1.524888,0.0
1988-02-18,11.25,11.25,10.75,10.75,18600,1.457116,-0.0444444444444
1988-02-19,10.75,10.875,10.75,10.875,26400,1.474059,0.0116279069767
1988-02-22,10.5,11.0,10.5,11.0,52800,1.491002,0.047619047619
1988-02-23,11.0,11.0,10.75,10.75,139200,1.457116,-0.0227272727273
1988-02-24,10.875,11.0,10.75,11.0,11100,1.491002,0.0114942528736
1988-02-25,11.0,11.0,10.875,10.875,67200,1.474059,-0.0113636363636
1988-02-26,10.875,10.875,10.625,10.625,7800,1.440172,-0.0229885057471
1988-02-29,10.75,11.0,10.5,10.5,76800,1.423229,-0.0232558139535
1988-03-01,10.875,11.0,10.75,11.0,187200,1.491002,0.0114942528736
1988-03-02,10.875,12.0,10.875,11.5,56700,1.558775,0.0574712643678
1988-03-03,11.75,11.75,11.625,11.75,264300,1.592661,0.0
1988-03-04,11.75,12.0,11.75,11.875,27000,1.609604,0.0106382978723
1988-03-07,11.75,11.875,11.75,11.875,40200,1.609604,0.0106382978723
1988-03-08,11.875,12.25,11.75,12.0,136200,1.626548,0.0105263157895
1988-03-09,12.25,12.375,12.0,12.0,40800,1.626548,-0.0204081632653
1988-03-10,11.875,12.25,11.875,12.0,60600,1.626548,0.0105263157895
1988-03-11,12.125,12.125,11.75,11.875,12300,1.609604,-0.020618556701
1988-03-14,12.125,12.125,11.875,11.875,10200,1.609604,-0.020618556701
1988-03-15,11.875,12.125,11.875,12.125,70800,1.643491,0.0210526315789
1988-03-16,12.0,12.0,11.75,12.0,26400,1.633959,0.0
1988-03-17,12.125,12.125,12.0,12.125,87900,1.65098,0.0
1988-03-18,12.25,12.25,12.0,12.125,61200,1.65098,-0.0102040816327
1988-03-21,12.125,12.125,11.875,11.875,21900,1.616939,-0.020618556701
1988-03-22,11.75,11.75,11.625,11.625,12000,1.582898,-0.0106382978723
1988-03-23,11.5,11.625,11.375,11.5,21000,1.565878,0.0
1988-03-24,11.25,11.25,10.875,11.0,27000,1.497796,-0.0222222222222
1988-03-25,11.25,11.25,11.0,11.0,17100,1.497796,-0.0222222222222
1988-03-28,10.875,10.875,10.75,10.75,14400,1.463755,-0.0114942528736
1988-03-29,10.875,10.875,10.75,10.75,8700,1.463755,-0.0114942528736
1988-03-30,10.75,10.875,10.75,10.75,3000,1.463755,0.0
1988-03-31,10.625,11.125,10.625,11.0,69000,1.497796,0.0352941176471
1988-04-04,10.875,11.0,10.875,10.875,7800,1.480776,0.0
1988-04-05,10.75,10.875,10.75,10.875,56700,1.480776,0.0116279069767
1988-04-06,11.0,11.25,11.0,11.125,40200,1.514816,0.0113636363636
1988-04-07,11.0,11.5,11.0,11.25,9000,1.531837,0.0227272727273
1988-04-08,11.0,11.5,11.0,11.5,23100,1.565878,0.0454545454545
1988-04-11,11.375,11.375,11.375,11.375,8700,1.548857,0.0
1988-04-12,11.25,11.375,11.25,11.25,36300,1.531837,0.0
1988-04-13,11.25,11.375,11.125,11.25,94800,1.531837,0.0
1988-04-14,11.125,11.125,10.625,10.625,43200,1.446735,-0.0449438202247
1988-04-15,10.5,10.625,10.5,10.625,224700,1.446735,0.0119047619048
1988-04-18,10.5,10.875,10.5,10.625,410400,1.446735,0.0119047619048
1988-04-19,10.625,10.875,10.5,10.75,46200,1.463755,0.0117647058824
1988-04-20,10.625,10.75,10.625,10.625,18600,1.446735,0.0
1988-04-21,10.625,10.875,10.625,10.625,6600,1.446735,0.0
1988-04-22,10.5,10.75,10.5,10.75,216600,1.463755,0.0238095238095
1988-04-25,10.625,10.875,10.625,10.875,12300,1.480776,0.0235294117647
1988-04-26,10.875,11.0,10.875,10.875,9900,1.480776,0.0
