Date,Open,High,Low,Close,Volume,Adj Close,Returns
1984-10-05,32.125,33.875,31.875,31.875,8216000,3.002952,
1984-10-08,34.0,34.0,33.125,33.875,263200,3.191372,-0.00367647058824
1984-10-09,33.375,33.75,33.25,33.5,245600,3.156043,0.00374531835206
1984-10-10,33.625,33.625,33.0,33.25,56800,3.132491,-0.0111524163569
1984-10-11,33.125,34.125,33.125,34.125,350800,3.214925,0.0301886792453
1984-10-12,34.25,34.375,34.0,34.0,282000,3.203148,-0.00729927007299
1984-10-15,34.125,34.5,33.75,34.5,322000,3.250253,0.010989010989
1984-10-16,34.75,36.0,34.75,35.375,1021200,3.332687,0.0179856115108
1984-10-17,35.125,35.125,34.25,34.5,134000,3.250253,-0.017793594306
1984-10-18,35.0,35.375,34.5,35.375,61200,3.332687,0.0107142857143
1984-10-19,36.0,37.25,36.0,36.5,2053200,3.438674,0.0138888888889
1984-10-22,35.5,36.5,35.5,35.75,824000,3.368016,0.00704225352113
1984-10-23,35.75,36.75,35.75,36.25,284400,3.415121,0.013986013986
1984-10-24,36.125,36.875,36.0,36.25,442800,3.415121,0.00346020761246
1984-10-25,36.125,36.375,36.0,36.125,426800,3.403345,0.0
1984-10-26,36.0,36.25,35.75,35.75,341600,3.368016,-0.00694444444444
1984-10-29,36.0,36.25,35.75,36.25,243600,3.415121,0.00694444444444
1984-10-30,36.25,38.75,36.25,37.875,712400,3.568213,0.0448275862069
1984-10-31,37.625,38.5,37.25,38.5,251600,3.627094,0.0232558139535
1984-11-01,38.5,41.5,38.5,39.75,2243200,3.744857,0.0324675324675
1984-11-02,39.5,39.75,39.25,39.75,374000,3.744857,0.00632911392405
1984-11-05,39.625,39.75,39.5,39.5,270400,3.721305,-0.00315457413249
1984-11-06,39.625,40.25,39.375,40.0,410800,3.76841,0.00946372239748
1984-11-07,40.0,40.125,39.75,40.0,584800,3.76841,0.0
1984-11-08,39.75,39.875,39.5,39.5,203600,3.721305,-0.0062893081761
1984-11-09,39.25,40.875,39.25,40.5,356800,3.815515,0.031847133758
1984-11-12,40.5,40.5,39.625,40.5,231600,3.815515,0.0
1984-11-13,40.5,40.5,39.875,40.5,284000,3.815515,0.0
1984-11-14,40.0,40.375,39.625,40.375,452800,3.803739,0.009375
1984-11-15,40.125,40.25,39.875,40.125,434800,3.780186,0.0
1984-11-16,40.0,40.125,39.0,39.375,919200,3.709528,-0.015625
1984-11-19,39.125,39.375,37.25,37.5,99200,3.532884,-0.0415335463259
1984-11-20,37.375,38.0,37.375,37.75,91600,3.556437,0.0100334448161
1984-11-21,37.625,38.625,37.625,38.25,119200,3.603542,0.0166112956811
1984-11-23,38.25,39.75,38.25,39.75,131200,3.744857,0.0392156862745
1984-11-26,39.875,39.875,39.0,39.375,86800,3.709528,-0.012539184953
1984-11-27,39.5,39.5,39.25,39.25,70000,3.697752,-0.00632911392405
