Date,Open,High,Low,Close,Volume,Adj Close,Returns
1990-03-26,6.87501,7.375005,6.62499,7.375005,656100,1.592069,
1990-03-27,7.124985,7.62498,7.124985,7.375005,603900,1.592069,0.0350906001907
1990-03-28,7.249995,7.375005,7.124985,7.375005,1009800,1.592069,0.0172427705123
1990-03-29,7.249995,7.500015,7.249995,7.249995,313200,1.565083,0.0
1990-03-30,7.249995,7.375005,7.249995,7.375005,453600,1.592069,0.0172427705123
1990-04-02,7.249995,7.249995,7.00002,7.00002,189000,1.51112,-0.0344793341237
1990-04-03,7.249995,7.249995,7.00002,7.249995,263700,1.565083,0.0
1990-04-04,7.124985,7.249995,7.124985,7.124985,177300,1.538096,0.0
1990-04-05,7.124985,7.249995,7.00002,7.249995,442200,1.565083,0.0175453000954
1990-04-06,7.124985,7.375005,7.124985,7.124985,219600,1.538096,0.0
1990-04-09,7.249995,7.249995,7.124985,7.249995,60600,1.565083,0.0
1990-04-10,7.124985,7.375005,7.124985,7.249995,376200,1.565083,0.0175453000954
1990-04-11,7.375005,7.62498,7.249995,7.249995,918000,1.565083,-0.0169504969827
1990-04-12,7.249995,7.500015,7.249995,7.375005,539100,1.592069,0.0172427705123
1990-04-16,7.500015,7.500015,7.249995,7.375005,142200,1.592069,-0.0166679666641
1990-04-17,7.500015,7.500015,7.00002,7.249995,333000,1.565083,-0.0333359333281
1990-04-18,7.124985,7.249995,7.124985,7.249995,147000,1.565083,0.0175453000954
1990-04-19,7.124985,7.249995,7.00002,7.249995,271200,1.565083,0.0175453000954
1990-04-20,7.00002,7.124985,6.75,6.87501,94800,1.484133,-0.0178585204042
1990-04-23,6.62499,6.87501,6.49998,6.62499,228000,1.430161,0.0
1990-04-24,6.62499,7.00002,6.62499,6.62499,793800,1.430161,0.0
1990-04-25,6.62499,6.75,6.375015,6.62499,334200,1.430161,0.0
1990-04-26,6.75,6.75,6.62499,6.62499,11100,1.430161,-0.01852
1990-04-27,6.75,6.75,6.49998,6.75,91800,1.457147,0.0
1990-04-30,6.75,6.75,6.49998,6.49998,8400,1.403174,-0.03704
1990-05-01,6.49998,6.75,6.49998,6.62499,19200,1.430161,0.0192323668688
1990-05-02,6.75,6.87501,6.49998,6.87501,214200,1.484133,0.01852
1990-05-03,7.00002,7.00002,6.87501,6.87501,33600,1.484133,-0.0178585204042
1990-05-04,7.00002,7.124985,6.87501,7.00002,53400,1.51112,0.0
1990-05-07,7.00002,7.249995,7.00002,7.124985,161100,1.538096,0.0178520918512
1990-05-08,7.124985,7.249995,7.00002,7.124985,88500,1.538096,0.0
1990-05-09,7.124985,7.124985,7.124985,7.124985,27900,1.538096,0.0
1990-05-10,7.249995,7.375005,7.124985,7.375005,360300,1.592069,0.0172427705123
1990-05-11,7.375005,7.875,7.375005,7.62498,659700,1.646032,0.0338948922746
1990-05-14,7.62498,7.875,7.500015,7.875,280800,1.700005,0.0327895942022
1990-05-15,7.62498,7.875,7.500015,7.62498,468000,1.646032,0.0
1990-05-16,7.875,7.875,7.62498,7.62498,172800,1.646032,-0.0317485714286
1990-05-17,7.62498,8.12502,7.62498,8.12502,431100,1.753978,0.0655791884044
1990-05-18,8.00001,8.374995,7.875,8.12502,700500,1.753978,0.0156262304672
1990-05-21,8.00001,8.12502,7.875,8.00001,1095300,1.726991,0.0
1990-05-22,8.12502,8.12502,7.74999,7.875,530100,1.700005,-0.0307716165622
1990-05-23,8.00001,8.500005,8.00001,8.500005,1566000,1.834927,0.0624992968759
1990-05-24,8.500005,9.0,8.500005,8.87499,1021500,1.915876,0.0441158564024
1990-05-25,8.87499,8.87499,8.625015,8.625015,669900,1.861913,-0.0281662289197
1990-05-29,8.625015,8.87499,8.500005,8.625015,405300,1.861913,0.0
1990-05-30,8.625015,8.87499,8.500005,8.625015,1369200,1.861913,0.0
1990-05-31,8.625015,8.625015,8.374995,8.374995,118200,1.807941,-0.0289877756734
1990-06-01,8.374995,8.500005,8.374995,8.374995,687000,1.807941,0.0
1990-06-04,8.374995,8.625015,8.374995,8.500005,714900,1.834927,0.0149265760756
1990-06-05,8.374995,8.500005,7.500015,7.74999,831000,1.673018,-0.0746275072403
1990-06-06,7.124985,7.62498,7.00002,7.375005,863400,1.592069,0.0350906001907
1990-06-07,7.375005,7.375005,6.75,7.249995,820800,1.565083,-0.0169504969827
1990-06-08,7.124985,7.124985,7.00002,7.00002,36900,1.51112,-0.0175389842926
1990-06-11,7.00002,7.124985,6.87501,7.124985,134400,1.538096,0.0178520918512
1990-06-12,7.124985,7.124985,6.87501,7.124985,894900,1.538096,0.0
1990-06-13,7.124985,7.124985,7.00002,7.124985,430500,1.538096,0.0
1990-06-14,7.124985,7.124985,6.75,6.75,166800,1.457147,-0.0526295844833
1990-06-15,7.00002,7.00002,6.75,6.87501,246900,1.484133,-0.0178585204042
1990-06-18,6.75,6.87501,6.250005,6.250005,398100,1.349211,-0.0740733333333
1990-06-19,6.375015,6.62499,6.250005,6.49998,187500,1.403174,0.0196023068181
1990-06-20,6.49998,6.62499,6.375015,6.49998,261000,1.403174,0.0
1990-06-21,6.375015,6.49998,6.250005,6.250005,154200,1.349211,-0.019609365625
1990-06-22,6.250005,6.49998,6.124995,6.124995,283500,1.322225,-0.0200015839987
1990-06-25,6.124995,6.250005,5.87502,6.124995,272700,1.322225,0.0
1990-06-26,6.124995,6.124995,5.87502,5.999985,192900,1.295239,-0.0204098125794
1990-06-27,5.999985,6.124995,5.999985,6.124995,88200,1.322225,0.0208350520876
1990-06-28,5.999985,6.124995,5.999985,6.124995,354600,1.322225,0.0208350520876
1990-06-29,6.124995,6.124995,5.999985,6.124995,60300,1.322225,0.0
1990-07-02,5.999985,6.124995,5.75001,5.87502,389700,1.268262,-0.0208275520689
1990-07-03,5.999985,6.124995,5.87502,6.124995,708600,1.322225,0.0208350520876
1990-07-05,5.999985,6.124995,5.87502,5.87502,13800,1.268262,-0.0208275520689
1990-07-06,6.124995,6.49998,5.999985,6.375015,1087500,1.376198,0.0408196251589
1990-07-09,6.375015,6.375015,6.124995,6.375015,1079400,1.376198,0.0
1990-07-10,6.375015,6.375015,6.250005,6.375015,464700,1.376198,0.0
1990-07-11,6.375015,6.375015,6.124995,6.375015,167700,1.376198,0.0
1990-07-12,6.375015,6.375015,6.124995,6.375015,218700,1.376198,0.0
1990-07-13,6.375015,6.375015,6.124995,6.250005,446400,1.349211,-0.019609365625
1990-07-16,6.124995,6.250005,5.625,5.75001,3009000,1.241276,-0.0612220907935
1990-07-17,5.49999,5.75001,5.49999,5.625,855900,1.214289,0.0227291322348
1990-07-18,5.75001,5.75001,5.49999,5.49999,84600,1.187303,-0.0434816635102
1990-07-19,5.49999,5.49999,4.874985,4.999995,668100,1.079367,-0.0909083471061
1990-07-20,5.125005,5.37498,4.999995,5.37498,698700,1.160316,0.0487755621702
1990-07-23,5.125005,5.250015,4.874985,4.999995,345000,1.079367,-0.0243921713247
1990-07-24,4.999995,5.125005,4.874985,5.125005,246900,1.106354,0.025002025002
1990-07-25,5.125005,5.37498,4.999995,5.37498,311400,1.160316,0.0487755621702
1990-07-26,5.37498,5.49999,5.125005,5.37498,384600,1.160316,0.0
1990-07-27,5.250015,5.37498,5.250015,5.37498,114600,1.160316,0.0238027891349
1990-07-30,4.999995,5.37498,4.999995,5.125005,300900,1.106354,0.025002025002
1990-07-31,4.999995,5.250015,4.75002,4.874985,1795500,1.052381,-0.025002025002
1990-08-01,4.75002,4.874985,4.62501,4.75002,441900,1.025404,0.0
1990-08-02,4.75002,4.874985,4.62501,4.874985,179400,1.052381,0.0263083102808
1990-08-03,4.874985,4.874985,4.24998,4.37499,264900,0.944445,-0.102563392503
1990-08-06,4.37499,4.5,4.125015,4.24998,498900,0.917459,-0.0285737795972
1990-08-07,4.5,4.62501,4.37499,4.37499,483300,0.944445,-0.02778
1990-08-08,4.5,4.5,4.000005,4.125015,300900,0.890482,-0.08333
1990-08-09,4.125015,4.24998,4.000005,4.24998,314100,0.917459,0.030294435293
1990-08-10,4.125015,4.37499,4.000005,4.000005,690600,0.863496,-0.0303053443442
1990-08-13,4.000005,4.125015,3.874995,4.000005,95400,0.863496,0.0
1990-08-14,4.125015,4.125015,3.874995,4.000005,675300,0.863496,-0.0303053443442
1990-08-15,4.000005,4.125015,3.874995,4.000005,142500,0.863496,0.0
