Date,Open,High,Low,Close,Volume,Adj Close,Returns
2010-04-28,22.25,22.25,21.700001,22.0,5244400,15.49155,
2010-04-29,22.0,23.25,21.9,23.0,8773600,16.195711,0.0454545454545
2010-04-30,22.950001,23.0,22.25,22.299999,1644400,15.702797,-0.028322525999
2010-05-03,22.75,22.950001,22.65,22.799999,3302700,16.054878,0.00219775824176
2010-05-04,22.799999,22.799999,21.5,21.5,2276500,15.139469,-0.0570175025008
2010-05-05,22.0,22.0,20.0,20.59,6999200,14.498682,-0.0640909090909
2010-05-06,20.5,20.549999,18.450001,19.450001,8029400,13.695939,-0.0512194634146
2010-05-07,19.5,19.549999,17.9,18.6,3881500,13.097401,-0.0461538461538
2010-05-10,19.75,19.85,18.700001,19.01,3861100,13.386107,-0.0374683544304
2010-05-11,18.75,19.280001,18.75,18.9,2626900,13.308649,0.008
2010-05-12,19.200001,20.040001,19.200001,19.799999,5714300,13.942394,0.0312498942057
2010-05-13,19.85,20.1,19.6,19.65,2475900,13.83677,-0.0100755667506
2010-05-14,19.299999,19.4,18.75,18.75,3133400,13.203025,-0.0284973589895
2010-05-17,19.0,19.200001,18.700001,18.85,10117000,13.273442,-0.00789473684211
2010-05-18,19.049999,19.32,18.25,18.790001,6219800,13.231192,-0.0136481896928
2010-05-19,18.9,18.93,17.549999,17.700001,6227700,12.463656,-0.063492010582
2010-05-20,17.139999,17.139999,16.200001,16.9,10248400,11.900326,-0.0140022761962
2010-05-21,16.35,17.120001,16.25,16.549999,4560800,11.65387,0.0122323547401
2010-05-24,16.700001,17.15,16.68,16.9,1761300,11.900326,0.0119759873068
2010-05-25,16.790001,16.790001,16.200001,16.57,4649600,11.667953,-0.0131030963012
2010-05-26,16.99,17.4,16.799999,17.15,2079300,12.076367,0.00941730429665
2010-05-27,17.65,18.0,17.65,17.9,3156100,12.604488,0.014164305949
2010-05-28,17.9,17.9,16.25,17.77,222200,12.512947,-0.0072625698324
2010-06-01,17.65,17.799999,17.200001,17.5,900800,12.322824,-0.00849858356941
2010-06-02,17.610001,17.66,17.219999,17.33,829900,12.203116,-0.0159001126689
2010-06-03,17.450001,17.5,17.15,17.33,2173600,12.203116,-0.00687684774345
2010-06-04,17.049999,17.1,16.75,17.049999,3147200,12.00595,0.0
2010-06-07,17.15,17.200001,16.74,16.889999,2826800,11.893285,-0.0151604081633
2010-06-08,17.030001,17.030001,16.5,16.75,2037700,11.794703,-0.0164416314479
2010-06-09,16.790001,17.1,16.700001,16.790001,1410200,11.82287,0.0
2010-06-10,16.969999,17.07,16.85,16.969999,1401000,11.949618,0.0
2010-06-11,16.940001,17.190001,16.940001,17.139999,452500,12.069325,0.011806256682
2010-06-14,17.190001,17.58,17.190001,17.49,1008500,12.315782,0.0174519477922
2010-06-15,17.48,18.0,17.35,17.969999,1974300,12.653779,0.028031979405
2010-06-16,17.93,17.969999,17.629999,17.639999,1041500,12.421406,-0.0161740658115
2010-06-17,17.68,17.75,17.139999,17.299999,1090600,12.181991,-0.0214932692308
2010-06-18,17.33,17.35,17.15,17.209999,1373700,12.118616,-0.00692446624351
2010-06-21,17.450001,17.530001,17.09,17.1,514100,12.041159,-0.0200573627474
2010-06-22,17.09,17.1,16.799999,16.84,1502900,11.858077,-0.0146284376829
2010-06-23,16.9,16.950001,16.6,16.65,1125700,11.724286,-0.0147928994083
2010-06-24,16.690001,16.92,16.35,16.799999,2151600,11.82991,0.00659065269079
2010-06-25,16.9,16.92,16.700001,16.82,612000,11.843994,-0.00473372781065
2010-06-28,16.870001,16.870001,16.700001,16.870001,355800,11.879202,0.0
2010-06-29,16.74,16.74,16.25,16.25,2561000,11.442622,-0.0292712066906
2010-06-30,16.27,16.5,16.15,16.15,1534100,11.372205,-0.00737553779963
2010-07-01,16.24,16.299999,15.4,15.55,4006100,10.949709,-0.0424876847291
2010-07-02,15.58,15.69,15.4,15.48,231700,10.900417,-0.00641848523748
2010-07-06,15.5,15.59,14.9,15.06,833700,10.60467,-0.0283870967742
2010-07-07,15.05,15.15,14.86,15.0,2137200,10.56242,-0.00332225913621
2010-07-08,14.95,15.15,14.95,15.05,2422200,10.597628,0.0066889632107
2010-07-09,15.1,16.02,15.0,15.8,1478700,11.125749,0.046357615894
2010-07-12,15.82,16.02,15.8,15.82,786100,11.139832,0.0
2010-07-13,15.83,16.5,15.83,16.4,1647300,11.548246,0.0360075805433
2010-07-14,16.4,16.450001,16.25,16.4,1537200,11.548246,0.0
2010-07-15,16.43,16.43,16.0,16.370001,905900,11.527122,-0.00365179549604
2010-07-16,16.299999,16.299999,16.0,16.200001,624700,11.407414,-0.00613484700214
2010-07-19,16.18,16.700001,16.110001,16.450001,497300,11.583455,0.0166873300371
2010-07-20,16.440001,16.440001,16.15,16.190001,1244700,11.400373,-0.0152068117271
2010-07-21,16.190001,16.299999,16.190001,16.24,1801200,11.43558,0.00308826416996
2010-07-22,16.26,16.59,16.26,16.549999,1126300,11.65387,0.0178351168512
2010-07-23,16.549999,16.790001,16.52,16.780001,1415100,11.815828,0.0138974026524
2010-07-26,17.0,17.700001,17.0,17.65,3400400,12.428447,0.0382352941176
2010-07-27,17.92,18.34,17.25,18.23,5778800,12.836861,0.0172991071429
2010-07-28,18.219999,18.219999,17.82,17.93,2440000,12.625613,-0.0159165211809
2010-07-29,18.1,18.15,17.84,17.940001,1598500,12.632655,-0.00883972375691
2010-07-30,17.92,18.07,17.68,18.0,2023100,12.674904,0.00446428571429
2010-08-02,18.15,18.26,18.049999,18.059999,1543000,12.717154,-0.00495873278237
2010-08-03,18.09,18.120001,17.700001,17.9,1558700,12.604488,-0.0105030403538
2010-08-04,17.9,18.459999,17.9,18.299999,4194300,12.886152,0.0223463128492
2010-08-05,18.299999,18.299999,18.200001,18.24,252300,12.843903,-0.00327863405894
2010-08-06,18.219999,18.25,17.92,18.0,500600,12.674904,-0.0120745890271
2010-08-09,18.0,18.15,17.99,18.049999,1252900,12.710112,0.00277772222222
2010-08-10,18.049999,18.049999,17.9,17.99,1056300,12.667862,-0.00332404450549
2010-08-11,17.799999,17.799999,17.6,17.610001,2021000,12.400282,-0.0106740455435
2010-08-12,17.629999,17.629999,17.4,17.5,3260500,12.322824,-0.00737373836493
2010-08-13,17.51,18.030001,17.51,18.02,2973700,12.688988,0.0291262135922
2010-08-16,18.85,19.299999,18.65,18.700001,10729700,13.167818,-0.0079575066313
2010-08-17,18.950001,19.200001,18.950001,19.07,4572800,13.428357,0.00633240072125
2010-08-18,19.1,20.049999,19.1,19.799999,3564800,13.942394,0.0366491623037
2010-08-19,19.889999,20.09,19.0,19.799999,5313000,13.942394,-0.00452488710532
2010-08-20,19.799999,20.02,19.76,19.889999,3292700,14.005769,0.00454545477502
2010-08-23,19.9,20.25,19.9,20.059999,2222900,14.125476,0.00804015075377
2010-08-24,19.799999,20.049999,19.700001,19.99,5178500,14.076185,0.00959601058566
2010-08-25,19.940001,20.049999,19.870001,19.93,3994300,14.033936,-0.000501554638839
2010-08-26,19.950001,20.5,19.950001,20.0,2807100,14.083227,0.00250621541322
2010-08-27,20.139999,20.440001,19.98,20.440001,1984200,14.393058,0.0148958299352
2010-08-30,20.4,20.799999,20.219999,20.219999,1728000,14.238142,-0.00882357843137
2010-08-31,20.219999,20.51,20.219999,20.5,2316300,14.435308,0.0138477257096
2010-09-01,20.5,21.299999,20.49,21.02,5464700,14.801472,0.0253658536585
2010-09-02,21.049999,21.049999,20.76,20.950001,1548700,14.752181,-0.00475049903803
