Date,Open,High,Low,Close,Volume,Adj Close,Returns
1994-03-10,19.375,19.625,19.375,19.5,2952400,4.981409,
1994-03-11,19.5,19.75,19.5,19.75,294600,5.045273,0.0128205128205
1994-03-14,19.75,19.75,19.5,19.75,346400,5.045273,0.0
1994-03-15,19.75,19.75,19.5,19.625,274100,5.013341,-0.00632911392405
1994-03-16,19.625,19.75,19.5,19.625,218500,5.013341,0.0
1994-03-17,19.625,19.75,19.5,19.625,171500,5.013341,0.0
1994-03-18,19.625,20.0,19.625,19.875,187500,5.077205,0.0127388535032
1994-03-21,19.875,20.0,19.75,20.0,135600,5.109137,0.0062893081761
1994-03-22,19.875,20.0,19.875,20.0,97600,5.109137,0.0062893081761
1994-03-23,20.0,20.25,19.875,20.25,213000,5.173002,0.0125
1994-03-24,20.25,20.5,20.25,20.375,253000,5.204934,0.00617283950617
1994-03-25,20.25,20.5,20.25,20.375,127000,5.204934,0.00617283950617
1994-03-28,20.25,20.5,20.25,20.5,162500,5.236866,0.0123456790123
1994-03-29,20.375,20.5,19.625,19.625,113100,5.013341,-0.0368098159509
1994-03-30,19.5,19.625,19.25,19.5,223200,4.981409,0.0
1994-03-31,19.375,19.5,19.0,19.5,231400,4.981409,0.00645161290323
1994-04-04,18.5,19.0,18.125,19.0,86800,4.85368,0.027027027027
1994-04-05,19.125,19.5,19.125,19.5,98900,4.981409,0.0196078431373
1994-04-06,19.5,19.625,19.375,19.625,121700,5.013341,0.00641025641026
1994-04-07,19.75,19.75,19.375,19.375,41600,4.949477,-0.0189873417722
1994-04-08,19.5,19.5,19.375,19.375,9800,4.949477,-0.00641025641026
1994-04-11,19.375,19.5,19.25,19.5,35300,4.981409,0.00645161290323
1994-04-12,19.5,19.625,19.375,19.5,71400,4.981409,0.0
1994-04-13,19.625,19.875,19.375,19.5,77900,4.981409,-0.00636942675159
1994-04-14,19.5,19.625,19.25,19.625,27300,5.013341,0.00641025641026
1994-04-15,19.625,19.625,19.125,19.25,72300,4.917545,-0.0191082802548
1994-04-18,19.375,19.375,19.125,19.125,48700,4.885613,-0.0129032258065
1994-04-19,19.125,19.25,19.125,19.125,20000,4.885613,0.0
1994-04-20,19.125,19.125,18.875,19.125,25700,4.885613,0.0
1994-04-21,19.25,19.25,19.0,19.125,65100,4.885613,-0.00649350649351
1994-04-22,19.25,19.5,19.25,19.5,30700,4.981409,0.012987012987
1994-04-25,19.375,19.5,19.375,19.5,13300,4.981409,0.00645161290323
1994-04-26,19.5,19.625,19.5,19.625,13700,5.013341,0.00641025641026
1994-04-28,19.5,19.5,19.375,19.375,19300,4.949477,-0.00641025641026
1994-04-29,19.25,19.625,19.25,19.625,35500,5.013341,0.0194805194805
1994-05-02,19.5,19.625,19.5,19.5,54100,4.981409,0.0
1994-05-03,19.5,19.75,19.5,19.75,31500,5.045273,0.0128205128205
1994-05-04,19.5,19.75,19.5,19.5,16400,4.981409,0.0
