Date,Open,High,Low,Close,Volume,Adj Close,Returns
2000-04-05,14.5,15.75,14.3125,15.5,68703000,11.790093,
2000-04-06,15.375,15.875,15.25,15.5625,15301000,11.837634,0.0121951219512
2000-04-07,15.375,15.5625,15.125,15.3125,13486200,11.647471,-0.00406504065041
2000-04-10,15.4375,15.5,15.25,15.4375,5637200,11.742552,0.0
2000-04-11,15.3125,15.375,15.0625,15.125,5425900,11.504849,-0.0122448979592
2000-04-12,15.25,16.75,15.125,16.1875,10846600,12.313041,0.0614754098361
2000-04-13,16.25,17.25,15.9375,17.0,10626100,12.93107,0.0461538461538
2000-04-14,16.9375,17.0,15.8125,15.875,9500300,12.075337,-0.0627306273063
2000-04-17,16.0,16.4375,16.0,16.125,3522200,12.2655,0.0078125
2000-04-18,16.1875,16.3125,15.5,16.125,5422400,12.2655,-0.003861003861
2000-04-19,16.1875,16.1875,15.75,16.0,5348800,12.170419,-0.011583011583
2000-04-20,15.75,15.9375,15.375,15.4375,6912000,11.742552,-0.0198412698413
2000-04-24,15.5,16.0,15.4375,15.9375,3114800,12.122878,0.0282258064516
2000-04-25,15.9375,16.1875,15.875,16.0,7407400,12.170419,0.00392156862745
2000-04-26,15.9375,16.0625,15.875,16.0625,5941700,12.217959,0.0078431372549
2000-04-27,15.9375,16.0,15.5,15.9375,2484900,12.122878,0.0
2000-04-28,15.9375,16.875,15.375,16.5625,6218800,12.598285,0.0392156862745
2000-05-01,17.125,18.0,16.875,18.0,5887100,13.691721,0.0510948905109
2000-05-02,17.625,17.9375,17.375,17.8125,3132600,13.549099,0.0106382978723
2000-05-03,17.75,17.8125,17.25,17.5,1981800,13.311395,-0.0140845070423
2000-05-04,17.375,17.5,16.1875,17.5,3429800,13.311395,0.00719424460432
2000-05-05,17.25,17.8125,17.0625,17.5625,1821500,13.358936,0.018115942029
2000-05-08,17.875,18.5625,17.8125,18.0,2897500,13.691721,0.00699300699301
2000-05-09,18.1875,18.375,16.75,17.125,4234300,13.026151,-0.0584192439863
2000-05-10,17.0,17.8125,17.0,17.5625,3283500,13.358936,0.0330882352941
2000-05-11,17.625,18.3125,17.375,18.0,2997400,13.691721,0.0212765957447
2000-05-12,18.125,18.5625,18.0625,18.4375,1927200,14.024506,0.0172413793103
2000-05-15,19.0,19.25,18.625,18.9375,2696800,14.404832,-0.00328947368421
2000-05-16,19.0,19.5625,18.8125,19.0625,4982700,14.499913,0.00328947368421
2000-05-17,19.0625,19.6875,18.375,19.0625,1577200,14.499913,0.0
2000-05-18,19.0,19.125,18.6875,18.921881,2858600,14.392951,-0.00411152631579
2000-05-19,18.5,18.5,17.875,18.1875,3832600,13.834343,-0.0168918918919
2000-05-22,18.25,18.375,17.375,18.25,1712700,13.881884,0.0
2000-05-23,18.25,19.0,18.25,18.875,2093900,14.357291,0.0342465753425
2000-05-24,18.875,19.5,18.625,19.375,1573100,14.737616,0.0264900662252
2000-05-25,19.3125,19.375,18.75,19.1875,1732700,14.594994,-0.00647249190939
2000-05-26,19.125,19.8125,18.9375,19.75,2644600,15.022861,0.0326797385621
2000-05-30,19.9375,20.125,19.5,19.875,3229000,15.117942,-0.00313479623824
2000-05-31,19.875,20.5,19.375,20.5,3549600,15.593349,0.0314465408805
2000-06-01,20.4375,20.5,19.9375,20.0,2878400,15.213023,-0.0214067278287
2000-06-02,21.0,21.0625,20.375,21.0,3446100,15.973675,0.0
2000-06-05,20.5,20.875,20.375,20.5625,2376300,15.64089,0.0030487804878
2000-06-06,20.875,20.875,20.375,20.4375,2953900,15.545808,-0.0209580838323
2000-06-07,20.5,20.6875,20.3125,20.6875,922400,15.735971,0.00914634146341
2000-06-08,20.5625,20.625,20.25,20.4375,965300,15.545808,-0.00607902735562
2000-06-09,20.5,21.0,20.5,21.0,1196800,15.973675,0.0243902439024
2000-06-12,20.75,20.8125,19.6875,20.4375,1072600,15.545808,-0.0150602409639
2000-06-13,20.6875,20.8125,20.1875,20.8125,974900,15.831053,0.00604229607251
2000-06-14,20.5625,20.625,19.8125,20.0,2310400,15.213023,-0.0273556231003
