Date,Open,High,Low,Close,Volume,Adj Close,Returns
1994-02-17,25.5,25.875,24.5,24.625,4478600,17.511208,
1994-02-18,24.75,25.0,24.25,24.625,777900,17.511208,-0.00505050505051
1994-02-22,24.25,24.5,24.0,24.375,361900,17.33343,0.00515463917526
1994-02-23,24.375,24.5,23.25,23.25,284500,16.533425,-0.0461538461538
1994-02-24,23.125,23.25,22.75,23.0,494600,16.355646,-0.00540540540541
1994-02-25,23.0,23.875,23.0,23.75,102000,16.888983,0.0326086956522
1994-02-28,23.875,24.0,23.75,23.875,115200,16.977872,0.0
1994-03-01,23.75,24.0,23.125,23.25,246600,16.533425,-0.0210526315789
1994-03-02,22.75,22.875,22.625,22.75,355900,16.177868,0.0
1994-03-03,22.75,23.0,22.75,22.875,51500,16.266757,0.00549450549451
1994-03-04,23.0,23.375,22.75,23.125,145500,16.444536,0.0054347826087
1994-03-07,23.125,23.25,23.0,23.0,102200,16.355646,-0.00540540540541
1994-03-08,23.0,23.125,22.875,23.0,34700,16.355646,0.0
1994-03-09,23.125,23.125,22.875,22.875,101100,16.266757,-0.0108108108108
1994-03-10,22.875,23.0,22.125,22.25,220400,15.82231,-0.0273224043716
1994-03-11,22.125,22.375,22.0,22.375,42100,15.9112,0.0112994350282
1994-03-14,22.25,22.5,22.125,22.25,11900,15.82231,0.0
1994-03-15,22.75,23.0,22.5,22.75,128500,16.177868,0.0
1994-03-16,22.75,22.875,22.5,22.75,93800,16.177868,0.0
1994-03-17,22.875,22.875,22.5,22.625,43700,16.088978,-0.0109289617486
1994-03-18,22.5,22.875,22.5,22.875,125000,16.266757,0.0166666666667
1994-03-21,22.75,23.125,22.75,23.125,81100,16.444536,0.0164835164835
1994-03-22,23.0,23.625,23.0,23.5,91800,16.711204,0.0217391304348
1994-03-23,24.25,24.875,24.25,24.25,332700,17.24454,0.0
1994-03-24,24.375,24.375,24.0,24.0,113300,17.066761,-0.0153846153846
1994-03-25,24.0,24.25,24.0,24.0,54700,17.066761,0.0
1994-03-28,24.25,24.25,23.75,24.0,67900,17.066761,-0.0103092783505
1994-03-29,23.875,24.0,22.5,22.5,174400,16.000089,-0.0575916230366
1994-03-30,22.25,22.25,22.0,22.125,198000,15.733421,-0.00561797752809
1994-03-31,22.25,22.375,21.5,22.0,201000,15.644531,-0.0112359550562
1994-04-04,21.625,21.625,21.0,21.5,206600,15.288974,-0.00578034682081
1994-04-05,21.5,22.75,21.5,22.75,40500,16.177868,0.0581395348837
1994-04-06,22.75,22.875,22.5,22.875,31700,16.266757,0.00549450549451
1994-04-07,22.875,22.875,22.625,22.875,14500,16.266757,0.0
1994-04-08,22.875,22.875,22.125,22.5,29900,16.000089,-0.016393442623
1994-04-11,22.75,22.75,22.25,22.625,28900,16.088978,-0.00549450549451
1994-04-12,22.5,22.5,22.0,22.125,56200,15.733421,-0.0166666666667
1994-04-13,22.25,22.375,21.25,21.75,48100,15.466753,-0.0224719101124
1994-04-14,21.5,21.5,21.25,21.375,81800,15.200084,-0.00581395348837
1994-04-15,21.375,21.375,21.25,21.375,23400,15.200084,0.0
1994-04-18,21.375,21.375,20.5,20.5,119100,14.577859,-0.0409356725146
1994-04-19,20.5,20.5,20.0,20.125,23100,14.311191,-0.0182926829268
1994-04-20,20.125,20.125,19.5,19.75,72900,14.044522,-0.0186335403727
1994-04-21,19.625,19.875,19.5,19.75,67100,14.044522,0.00636942675159
1994-04-22,19.5,19.75,19.5,19.75,8000,14.044522,0.0128205128205
1994-04-25,19.5,19.625,18.25,19.625,130900,13.955633,0.00641025641026
1994-04-26,19.625,21.0,19.625,20.75,172800,14.755638,0.0573248407643
1994-04-28,21.0,21.125,20.75,20.875,73900,14.844527,-0.00595238095238
1994-04-29,21.0,23.0,21.0,23.0,166100,16.355646,0.0952380952381
1994-05-02,22.75,23.75,22.625,23.75,87800,16.888983,0.043956043956
1994-05-03,23.5,23.75,23.25,23.375,55000,16.622315,-0.00531914893617
1994-05-04,23.5,24.0,23.375,23.5,81500,16.711204,0.0
1994-05-05,23.25,23.5,23.25,23.375,14200,16.622315,0.00537634408602
1994-05-06,23.125,23.25,22.375,22.5,67900,16.000089,-0.027027027027
1994-05-09,22.25,22.5,21.75,22.0,65200,15.644531,-0.0112359550562
1994-05-10,22.0,22.0,21.75,21.875,18000,15.555642,-0.00568181818182
1994-05-11,21.875,21.875,21.375,21.375,24200,15.200084,-0.0228571428571
1994-05-12,21.5,21.5,21.25,21.25,18400,15.111195,-0.0116279069767
1994-05-13,21.25,21.25,20.875,20.875,68700,14.844527,-0.0176470588235
1994-05-16,20.75,20.75,20.0,20.125,13800,14.311191,-0.0301204819277
1994-05-17,20.125,20.125,19.875,19.875,18300,14.133412,-0.0124223602484
1994-05-18,19.875,19.875,19.5,19.75,40900,14.044522,-0.0062893081761
1994-05-19,19.5,19.625,18.0,19.0,772400,13.511186,-0.025641025641
1994-05-20,18.875,20.0,18.875,19.875,58400,14.133412,0.0529801324503
1994-05-23,20.0,20.25,20.0,20.125,12600,14.311191,0.00625
1994-05-24,20.25,20.25,19.875,20.0,92000,14.222301,-0.0123456790123
1994-05-25,19.75,20.0,19.75,20.0,36600,14.222301,0.0126582278481
1994-05-26,20.125,20.25,20.125,20.25,3700,14.40008,0.00621118012422
1994-05-27,20.25,20.25,19.625,19.75,15800,14.044522,-0.0246913580247
1994-05-31,19.5,19.5,19.375,19.375,3000,13.777854,-0.00641025641026
1994-06-01,19.25,19.375,19.25,19.375,17900,13.777854,0.00649350649351
1994-06-02,19.625,20.0,19.625,20.0,25300,14.222301,0.0191082802548
1994-06-03,20.25,21.0,20.25,20.875,60300,14.844527,0.0308641975309
1994-06-06,20.75,20.875,20.625,20.75,55400,14.755638,0.0
1994-06-07,20.875,21.0,20.875,21.0,34300,14.933416,0.0059880239521
1994-06-08,21.0,21.0,20.875,21.0,3600,14.933416,0.0
1994-06-09,21.0,21.0,20.875,20.875,3600,14.844527,-0.00595238095238
1994-06-10,20.75,21.125,20.75,21.0,10600,14.933416,0.0120481927711
1994-06-13,21.0,21.125,20.875,21.0,9200,14.933416,0.0
1994-06-14,21.0,21.0,20.25,20.5,51500,14.577859,-0.0238095238095
1994-06-15,21.25,21.625,21.25,21.625,63100,15.377863,0.0176470588235
1994-06-16,21.75,21.75,21.625,21.75,11600,15.466753,0.0
1994-06-17,22.0,22.25,21.875,22.25,25400,15.82231,0.0113636363636
1994-06-20,22.0,22.0,21.75,22.0,14400,15.644531,0.0
1994-06-21,22.0,22.0,21.5,21.75,30200,15.466753,-0.0113636363636
1994-06-22,22.0,22.5,22.0,22.5,22600,16.000089,0.0227272727273
1994-06-23,22.25,22.25,21.875,21.875,4800,15.555642,-0.0168539325843
1994-06-24,22.0,22.0,21.75,21.75,7800,15.466753,-0.0113636363636
1994-06-27,21.5,21.75,21.5,21.75,6400,15.466753,0.0116279069767
1994-06-28,21.5,21.5,21.125,21.5,18000,15.288974,0.0
1994-06-29,21.25,21.25,21.0,21.25,15800,15.111195,0.0
1994-06-30,21.5,22.0,21.375,22.0,38000,15.644531,0.0232558139535
1994-07-01,22.0,22.0,21.5,21.5,13700,15.288974,-0.0227272727273
1994-07-05,21.5,21.875,21.5,21.875,4800,15.555642,0.0174418604651
1994-07-06,21.75,22.0,21.625,21.75,39900,15.466753,0.0
1994-07-07,21.75,21.75,21.75,21.75,11100,15.466753,0.0
1994-07-08,21.875,22.0,21.75,21.875,16200,15.555642,0.0
1994-07-11,21.75,21.875,21.625,21.875,37700,15.555642,0.00574712643678
1994-07-12,22.0,22.0,21.875,22.0,16100,15.644531,0.0
1994-07-13,22.0,22.0,21.75,21.75,1200,15.466753,-0.0113636363636
1994-07-14,21.875,22.25,21.875,22.0,28200,15.644531,0.00571428571429
1994-07-15,22.125,22.125,22.0,22.125,6000,15.733421,0.0
1994-07-18,21.875,22.0,21.625,21.625,17500,15.377863,-0.0114285714286
1994-07-19,21.75,21.875,21.625,21.75,4600,15.466753,0.0
1994-07-20,21.75,22.0,21.75,22.0,15800,15.644531,0.0114942528736
1994-07-21,21.75,21.75,21.25,21.5,33100,15.288974,-0.0114942528736
1994-07-22,21.5,21.5,21.25,21.375,5400,15.200084,-0.00581395348837
1994-07-25,21.625,21.75,21.5,21.625,5600,15.377863,0.0
1994-07-26,21.5,22.0,21.5,22.0,26600,15.644531,0.0232558139535
1994-07-27,21.75,21.75,21.5,21.5,10800,15.288974,-0.0114942528736
1994-07-28,21.625,21.875,21.625,21.875,29400,15.555642,0.0115606936416
1994-07-29,21.875,22.125,21.75,22.0,23600,15.644531,0.00571428571429
1994-08-01,21.875,22.0,21.875,22.0,36100,15.644531,0.00571428571429
1994-08-02,21.75,22.0,21.75,22.0,65500,15.644531,0.0114942528736
1994-08-03,21.875,21.875,21.875,21.875,1300,15.555642,0.0
1994-08-04,22.0,22.0,21.75,21.875,4500,15.555642,-0.00568181818182
1994-08-05,21.875,21.875,21.875,21.875,1200,15.555642,0.0
1994-08-08,21.875,21.875,21.5,21.625,2700,15.377863,-0.0114285714286
1994-08-09,21.375,21.5,21.25,21.25,1900,15.111195,-0.00584795321637
1994-08-10,21.125,21.375,21.125,21.375,9400,15.200084,0.0118343195266
1994-08-11,21.375,21.375,21.0,21.0,5600,14.933416,-0.0175438596491
1994-08-12,21.0,21.25,21.0,21.0,16300,14.933416,0.0
1994-08-15,21.125,21.125,20.75,20.75,3000,14.755638,-0.0177514792899
1994-08-16,20.625,20.625,19.0,19.75,174700,14.044522,-0.0424242424242
1994-08-17,20.0,20.25,19.875,20.0,43300,14.222301,0.0
1994-08-18,19.75,20.0,19.5,19.625,29200,13.955633,-0.00632911392405
1994-08-19,19.875,20.0,19.75,19.875,40300,14.133412,0.0
1994-08-22,19.875,20.0,19.75,19.75,1200,14.044522,-0.0062893081761
1994-08-23,20.0,20.25,19.875,20.125,31100,14.311191,0.00625
1994-08-24,20.25,20.375,20.125,20.375,5500,14.488969,0.00617283950617
1994-08-25,20.375,20.375,20.125,20.125,40900,14.311191,-0.0122699386503
1994-08-26,20.25,20.25,19.25,19.375,92900,13.853576,-0.0432098765432
1994-08-29,19.5,20.0,19.5,20.0,12700,14.300466,0.025641025641
1994-08-30,20.0,20.0,19.75,19.875,4100,14.211088,-0.00625
1994-08-31,20.0,20.0,19.5,19.5,18700,13.942954,-0.025
1994-09-01,19.75,19.75,19.625,19.75,34600,14.12171,0.0
1994-09-02,19.875,19.875,19.75,19.875,44300,14.211088,0.0
1994-09-06,20.0,20.25,20.0,20.25,9100,14.479221,0.0125
1994-09-07,20.25,20.25,19.875,20.0,17300,14.300466,-0.0123456790123
1994-09-08,20.125,20.25,20.0,20.0,10900,14.300466,-0.00621118012422
1994-09-09,20.0,20.0,19.875,19.875,1700,14.211088,-0.00625
1994-09-12,19.75,19.875,19.75,19.75,2900,14.12171,0.0
1994-09-13,19.625,19.75,19.5,19.5,51600,13.942954,-0.00636942675159
1994-09-14,19.75,19.75,19.5,19.5,88500,13.942954,-0.0126582278481
1994-09-15,19.5,19.875,19.5,19.875,3500,14.211088,0.0192307692308
1994-09-16,19.625,20.0,19.625,19.875,29000,14.211088,0.0127388535032
1994-09-19,19.875,20.0,19.625,19.875,4100,14.211088,0.0
1994-09-20,19.875,19.875,19.125,19.5,83300,13.942954,-0.0188679245283
1994-09-21,19.25,19.5,19.25,19.5,16700,13.942954,0.012987012987
1994-09-22,19.625,19.625,18.875,19.0,13200,13.585442,-0.031847133758
1994-09-23,19.0,19.25,19.0,19.0,647600,13.585442,0.0
1994-09-26,19.0,19.375,18.75,19.375,19700,13.853576,0.0197368421053
1994-09-27,19.5,19.5,19.0,19.0,12300,13.585442,-0.025641025641
1994-09-28,19.25,19.375,19.25,19.375,2500,13.853576,0.00649350649351
1994-09-29,19.375,19.625,19.375,19.5,86100,13.942954,0.00645161290323
1994-09-30,19.5,20.0,19.5,20.0,80500,14.300466,0.025641025641
1994-10-03,20.0,20.125,20.0,20.125,74600,14.389843,0.00625
1994-10-04,20.0,20.25,20.0,20.125,20000,14.389843,0.00625
1994-10-05,20.25,20.25,20.0,20.25,38900,14.479221,0.0
1994-10-06,20.125,20.75,20.125,20.75,148300,14.836733,0.0310559006211
1994-10-07,20.625,20.875,20.625,20.75,1800,14.836733,0.00606060606061
1994-10-10,21.0,21.25,21.0,21.25,5600,15.194245,0.0119047619048
1994-10-11,21.375,21.875,21.25,21.875,30900,15.641134,0.0233918128655
1994-10-12,21.75,21.875,21.625,21.875,1100,15.641134,0.00574712643678
1994-10-13,22.0,22.25,22.0,22.0,11900,15.730512,0.0
1994-10-14,22.125,22.375,21.875,22.375,4900,15.998646,0.0112994350282
1994-10-17,22.25,22.25,22.0,22.0,1400,15.730512,-0.0112359550562
1994-10-18,21.75,21.75,21.375,21.625,6700,15.462378,-0.00574712643678
1994-10-19,21.5,21.625,21.5,21.625,1000,15.462378,0.00581395348837
1994-10-20,21.375,21.375,20.75,20.75,33300,14.836733,-0.0292397660819
1994-10-21,20.875,20.875,20.625,20.625,93300,14.747355,-0.0119760479042
1994-10-24,20.5,20.75,20.5,20.75,2100,14.836733,0.0121951219512
1994-10-25,20.75,20.75,20.25,20.25,13400,14.479221,-0.0240963855422
1994-10-26,20.375,20.5,20.25,20.25,2300,14.479221,-0.00613496932515
1994-10-27,20.375,20.5,20.25,20.375,3800,14.568599,0.0
1994-10-28,20.5,20.75,20.5,20.75,3700,14.836733,0.0121951219512
1994-10-31,20.5,20.625,20.5,20.625,12700,14.747355,0.00609756097561
1994-11-01,20.375,20.375,20.0,20.0,24300,14.300466,-0.0184049079755
1994-11-02,20.125,20.125,20.0,20.0,17700,14.300466,-0.00621118012422
1994-11-03,20.0,20.0,19.75,19.75,24700,14.12171,-0.0125
1994-11-04,19.75,20.25,19.75,19.875,17800,14.211088,0.00632911392405
1994-11-07,20.0,20.0,19.75,19.75,9100,14.12171,-0.0125
1994-11-08,19.75,20.0,19.75,20.0,13800,14.300466,0.0126582278481
1994-11-09,20.0,20.0,19.75,19.75,13300,14.12171,-0.0125
1994-11-10,20.0,20.0,19.75,19.75,30100,14.12171,-0.0125
1994-11-11,19.5,19.5,19.125,19.25,120800,13.764198,-0.0128205128205
1994-11-14,19.375,19.375,19.125,19.25,3300,13.764198,-0.00645161290323
1994-11-15,19.25,19.5,19.25,19.25,4400,13.764198,0.0
1994-11-16,19.125,19.25,19.0,19.25,10800,13.764198,0.00653594771242
1994-11-17,19.0,19.375,19.0,19.0,54200,13.585442,0.0
1994-11-18,19.0,19.25,18.875,19.25,6900,13.764198,0.0131578947368
1994-11-21,19.25,19.375,19.25,19.25,1300,13.764198,0.0
1994-11-22,19.125,19.25,19.125,19.125,1200,13.67482,0.0
1994-11-23,19.375,19.5,19.0,19.0,18700,13.585442,-0.0193548387097
1994-11-25,19.0,19.125,18.625,19.125,11700,13.754452,0.00657894736842
1994-11-28,18.875,18.875,18.75,18.875,12300,13.574655,0.0
1994-11-29,18.875,19.0,18.625,18.625,52700,13.394858,-0.0132450331126
1994-11-30,18.5,18.625,17.875,18.0,164200,12.945366,-0.027027027027
1994-12-01,18.25,18.375,18.125,18.25,2900,13.125163,0.0
1994-12-02,18.25,18.375,18.25,18.375,14000,13.215062,0.00684931506849
1994-12-05,18.5,18.625,18.375,18.625,97800,13.394858,0.00675675675676
1994-12-06,18.5,18.625,18.375,18.375,5100,13.215062,-0.00675675675676
1994-12-07,18.5,18.5,18.375,18.375,8100,13.215062,-0.00675675675676
1994-12-08,18.375,18.375,18.25,18.25,9200,13.125163,-0.00680272108844
1994-12-09,18.125,18.375,18.125,18.375,6600,13.215062,0.0137931034483
1994-12-12,18.5,18.5,18.25,18.375,2200,13.215062,-0.00675675675676
1994-12-13,18.5,18.5,18.375,18.375,4300,13.215062,-0.00675675675676
1994-12-14,18.375,18.375,18.125,18.375,23200,13.215062,0.0
1994-12-15,18.25,18.25,17.0,17.5,213900,12.585773,-0.041095890411
1994-12-16,17.75,17.875,17.5,17.75,32400,12.76557,0.0
1994-12-19,17.875,17.875,17.5,17.625,18300,12.675671,-0.013986013986
1994-12-20,17.625,18.0,17.625,17.625,11300,12.675671,0.0
1994-12-21,17.75,17.75,17.125,17.125,101200,12.316078,-0.0352112676056
1994-12-22,17.0,17.25,17.0,17.0,38900,12.226179,0.0
1994-12-23,17.0,17.375,17.0,17.375,4800,12.495874,0.0220588235294
1994-12-27,17.5,17.75,17.25,17.75,17100,12.76557,0.0142857142857
1994-12-28,17.5,17.75,17.5,17.75,5800,12.76557,0.0142857142857
1994-12-29,17.75,17.75,17.0,17.5,70900,12.585773,-0.0140845070423
1994-12-30,17.5,17.75,17.25,17.75,41400,12.76557,0.0142857142857
1995-01-03,17.75,17.75,17.5,17.75,22100,12.76557,0.0
1995-01-04,17.75,17.75,16.9375,17.0,71300,12.226179,-0.0422535211268
1995-01-05,16.75,16.875,16.5,16.75,50500,12.046383,0.0
1995-01-06,16.75,17.5,16.625,17.5,51900,12.585773,0.044776119403
1995-01-09,17.625,18.0,17.625,17.875,12800,12.855468,0.0141843971631
1995-01-10,18.0,18.375,18.0,18.375,23500,13.215062,0.0208333333333
1995-01-11,18.5,18.5,18.125,18.25,18700,13.125163,-0.0135135135135
1995-01-12,18.25,18.875,18.25,18.875,18300,13.574655,0.0342465753425
1995-01-13,18.875,18.875,18.625,18.75,68000,13.484757,-0.00662251655629
1995-01-16,18.75,19.0,18.75,19.0,5000,13.664553,0.0133333333333
1995-01-17,18.875,19.375,18.875,19.375,34400,13.934249,0.0264900662252
1995-01-18,19.25,19.375,19.25,19.25,3400,13.84435,0.0
1995-01-19,19.25,19.25,18.75,18.875,67200,13.574655,-0.0194805194805
1995-01-20,19.0,19.0,18.75,18.75,1400,13.484757,-0.0131578947368
1995-01-23,18.625,19.5,18.625,19.375,31800,13.934249,0.0402684563758
1995-01-24,19.25,19.25,18.375,18.5,55700,13.30496,-0.038961038961
1995-01-25,18.375,18.75,18.375,18.75,12300,13.484757,0.0204081632653
1995-01-26,19.0,19.0,18.75,18.75,2700,13.484757,-0.0131578947368
1995-01-27,18.75,18.75,18.375,18.375,6600,13.215062,-0.02
1995-01-30,18.25,18.5,18.25,18.5,2700,13.30496,0.013698630137
1995-01-31,18.625,18.625,18.375,18.375,14400,13.215062,-0.0134228187919
1995-02-01,18.5,18.625,18.5,18.625,600,13.394858,0.00675675675676
1995-02-02,18.625,18.75,18.5,18.5,3200,13.30496,-0.00671140939597
1995-02-03,18.625,18.75,18.625,18.75,700,13.484757,0.00671140939597
1995-02-06,18.75,19.25,18.75,19.25,24500,13.84435,0.0266666666667
1995-02-07,19.25,19.25,19.125,19.125,9000,13.754452,-0.00649350649351
1995-02-08,19.125,19.125,18.75,18.75,27700,13.484757,-0.0196078431373
1995-02-09,18.5,19.0,18.5,19.0,37500,13.664553,0.027027027027
1995-02-10,18.75,18.75,18.75,18.75,5000,13.484757,0.0
1995-02-13,18.875,19.875,18.875,19.0,10100,13.664553,0.00662251655629
1995-02-14,19.0,19.125,19.0,19.0,59300,13.664553,0.0
1995-02-15,19.0,19.125,19.0,19.125,13400,13.754452,0.00657894736842
1995-02-16,19.0,19.125,19.0,19.0,8600,13.664553,0.0
1995-02-17,18.875,19.0,18.5,18.5,37200,13.30496,-0.0198675496689
1995-02-21,18.625,18.875,18.625,18.75,8800,13.484757,0.00671140939597
1995-02-22,18.875,18.875,18.75,18.75,900,13.484757,-0.00662251655629
1995-02-23,18.75,18.75,18.625,18.75,900,13.564333,0.0
1995-02-24,19.0,19.0,18.625,18.75,9700,13.564333,-0.0131578947368
1995-02-27,18.75,18.75,18.5,18.625,5000,13.473904,-0.00666666666667
1995-02-28,18.5,18.625,18.375,18.625,916800,13.473904,0.00675675675676
1995-03-01,18.625,18.625,18.5,18.625,5300,13.473904,0.0
1995-03-02,18.625,18.625,18.5,18.5,2900,13.383476,-0.00671140939597
1995-03-03,18.625,18.625,18.25,18.5,19200,13.383476,-0.00671140939597
1995-03-06,18.5,18.625,18.5,18.5,6800,13.383476,0.0
1995-03-07,18.5,18.5,18.25,18.5,12400,13.383476,0.0
