Date,Open,High,Low,Close,Volume,Adj Close,Returns
1975-01-02,45.75,45.75,44.25,44.875038,942400,1.496336,
1975-01-03,44.875038,45.25,44.25,44.25,712800,1.475495,-0.0139284116038
1975-01-06,44.25,45.375038,43.875038,43.875038,451200,1.462992,-0.00847371751412
1975-01-07,43.875038,44.25,43.25,44.25,453600,1.475495,0.00854613504836
1975-01-08,44.25,44.624962,43.624962,44.124962,478400,1.471325,-0.00282571751412
1975-01-09,44.124962,44.5,43.624962,44.5,392800,1.483831,0.00849945207885
1975-01-10,45.25,46.375038,45.25,45.75,676800,1.525512,0.0110497237569
1975-01-13,45.75,47.25,45.5,46.25,423200,1.542184,0.0109289617486
1975-01-14,46.25,47.0,46.0,46.5,675200,1.55052,0.00540540540541
1975-01-15,46.5,46.5,45.75,46.5,258400,1.55052,0.0
1975-01-16,46.5,46.75,46.25,46.5,421600,1.55052,0.0
1975-01-17,46.5,47.0,46.0,46.0,596000,1.533848,-0.010752688172
1975-01-20,46.0,46.375038,45.5,46.375038,209600,1.546353,0.008153
1975-01-21,46.375038,47.25,45.5,45.5,280000,1.517175,-0.0188687284741
1975-01-22,45.5,45.875038,45.5,45.75,243200,1.525512,0.00549450549451
1975-01-23,45.75,45.75,44.25,44.375038,340000,1.479664,-0.0300538142077
1975-01-24,44.375038,44.375038,43.0,43.375038,789600,1.44632,-0.0225351919699
1975-01-27,43.75,45.75,43.75,45.75,1576800,1.525512,0.0457142857143
1975-01-28,45.75,47.124962,45.624962,45.75,1266400,1.525512,0.0
1975-01-29,45.75,46.5,44.5,46.375038,1121600,1.546353,0.0136620327869
1975-01-30,46.375038,47.0,45.0,45.124962,905600,1.50467,-0.0269557946238
1975-01-31,45.124962,46.25,45.0,46.0,486400,1.533848,0.0193914401523
1975-02-03,46.5,48.25,46.5,48.25,660000,1.608873,0.0376344086022
1975-02-04,48.25,49.25,47.124962,48.75,804000,1.625545,0.0103626943005
1975-02-05,48.75,49.75,48.124962,49.624962,592000,1.65472,0.0179479384615
1975-02-06,49.75,51.875038,49.75,49.75,1116800,1.65889,0.0
1975-02-07,49.75,50.0,49.25,49.75,506400,1.65889,0.0
1975-02-10,49.75,50.124962,49.0,49.624962,397600,1.65472,-0.00251332663317
1975-02-11,49.624962,49.624962,48.5,49.0,423200,1.633881,-0.0125937023388
1975-02-12,48.25,48.25,46.5,47.75,958400,1.592201,-0.0103626943005
1975-02-13,47.75,49.75,47.75,48.5,1142400,1.617209,0.0157068062827
1975-02-14,48.5,48.624962,47.75,48.124962,608000,1.615965,-0.00773274226804
1975-02-18,48.124962,48.124962,47.124962,47.624962,468800,1.599176,-0.0103896185934
1975-02-19,47.624962,48.0,47.25,47.875038,565600,1.607573,0.00525094382228
1975-02-20,48.124962,49.624962,48.124962,49.624962,921600,1.666333,0.0311688557801
1975-02-21,50.5,53.124962,50.5,52.75,1422400,1.771267,0.0445544554455
1975-02-24,52.75,54.5,52.5,53.5,849600,1.796451,0.0142180094787
1975-02-25,52.875038,52.875038,50.5,50.5,1478400,1.695716,-0.0449179440779
1975-02-26,50.5,52.25,50.5,51.75,648000,1.737689,0.0247524752475
1975-02-27,51.875038,52.75,51.875038,52.375038,629600,1.758677,0.00963854715634
1975-02-28,52.375038,54.375038,52.25,54.0,617600,1.81324,0.0310255049361
1975-03-03,54.375038,56.0,54.375038,55.875038,756800,1.876201,0.0275861876179
1975-03-04,56.5,58.375038,56.5,57.0,1065600,1.913976,0.00884955752212
1975-03-05,56.875038,56.875038,55.0,55.0,930400,1.846819,-0.0329676790721
1975-03-06,55.0,56.5,54.624962,56.124962,584000,1.884594,0.0204538545455
1975-03-07,56.124962,56.875038,56.0,56.75,560800,1.905581,0.0111365420613
1975-03-10,56.25,56.25,55.124962,56.0,737600,1.880397,-0.00444444444444
1975-03-11,56.0,56.0,54.624962,54.75,505600,1.838424,-0.0223214285714
1975-03-12,54.5,54.5,53.0,53.124962,1406400,1.783858,-0.0252300550459
1975-03-13,52.624962,52.624962,51.624962,51.875038,918400,1.741887,-0.0142503475822
1975-03-14,51.875038,52.5,51.25,52.124962,842400,1.750279,0.004817808519
1975-03-17,52.25,55.0,52.25,54.5,712000,1.83003,0.0430622009569
1975-03-18,54.5,55.124962,53.875038,53.875038,692000,1.809044,-0.0114671926606
1975-03-19,53.875038,53.875038,52.75,52.75,833600,1.771267,-0.020882361141
1975-03-20,52.75,53.0,52.124962,52.124962,497600,1.750279,-0.0118490616114
1975-03-21,52.124962,52.5,51.375038,51.5,541600,1.729294,-0.0119896873978
1975-03-24,51.124962,51.124962,50.5,50.75,715200,1.70411,-0.00733422550026
1975-03-25,50.75,51.875038,50.25,51.5,560800,1.729294,0.0147783251232
1975-03-26,51.5,52.25,51.5,51.624962,446400,1.73349,0.00242644660194
1975-03-27,51.624962,52.25,51.25,51.25,471200,1.720899,-0.00726319178695
1975-03-31,51.25,51.875038,50.75,51.0,438400,1.712505,-0.00487804878049
1975-04-01,51.0,51.25,50.25,51.124962,623200,1.716701,0.00245023529412
1975-04-02,51.124962,51.375038,50.25,50.5,1002400,1.695716,-0.012224204685
1975-04-03,50.124962,50.124962,48.0,48.0,2176000,1.611769,-0.0423932889964
1975-04-04,48.0,48.75,47.75,48.0,607200,1.611769,0.0
1975-04-07,47.5,47.5,46.5,47.375038,506400,1.590784,-0.00263077894737
1975-04-08,47.375038,48.5,47.25,47.5,506400,1.59498,0.00263771820088
1975-04-09,47.75,49.875038,47.75,49.875038,560000,1.67473,0.0445034136126
1975-04-10,50.25,51.624962,50.25,50.375038,831200,1.69152,0.00248831840796
1975-04-11,50.375038,52.5,50.375038,52.375038,462400,1.758677,0.0397022033016
1975-04-14,52.375038,54.5,51.875038,54.0,608800,1.81324,0.0310255049361
1975-04-15,54.0,55.624962,53.75,55.25,1022400,1.855214,0.0231481481481
1975-04-16,55.25,55.375038,54.25,54.624962,1241600,1.834226,-0.0113129049774
1975-04-17,54.624962,55.5,54.5,55.0,992800,1.846819,0.00686568898666
1975-04-18,55.0,55.624962,54.375038,54.624962,894400,1.834226,-0.00681887272727
1975-04-21,54.624962,56.25,54.375038,56.25,703200,1.888792,0.0297490001
1975-04-22,56.5,57.124962,56.5,57.0,864000,1.913976,0.00884955752212
1975-04-23,57.0,58.375038,56.375038,57.75,1228000,1.93916,0.0131578947368
1975-04-24,57.75,58.0,57.124962,57.75,1237600,1.93916,0.0
1975-04-25,57.75,58.875038,57.75,58.875038,779200,1.976937,0.0194811774892
1975-04-28,58.75,58.75,57.624962,58.124962,458400,1.951751,-0.0106389446809
1975-04-29,58.124962,58.5,57.124962,57.624962,488000,1.934961,-0.00860215616141
1975-04-30,57.624962,59.875038,57.624962,59.875038,941600,2.010516,0.0390468977663
1975-05-01,60.75,62.25,60.75,61.5,1492800,2.065079,0.0123456790123
1975-05-02,61.5,62.75,61.375038,62.5,1764800,2.098658,0.0162601626016
1975-05-05,62.5,64.25,61.75,64.25,920000,2.15742,0.028
1975-05-06,64.25,64.5,63.25,63.25,880800,2.123842,-0.0155642023346
1975-05-07,63.25,65.5,63.25,64.875038,560800,2.178408,0.0256923003953
1975-05-08,64.875038,65.124962,64.0,64.25,391200,2.15742,-0.0096344914665
1975-05-09,64.25,65.25,64.25,65.0,548800,2.182604,0.011673151751
1975-05-12,65.0,65.75,64.875038,65.5,465600,2.199393,0.00769230769231
1975-05-13,65.5,65.624962,64.75,65.375038,399200,2.195197,-0.00190781679389
1975-05-14,65.375038,66.624962,64.375038,66.25,511200,2.224577,0.0133837321823
1975-05-15,66.25,67.375038,65.375038,65.375038,668800,2.195197,-0.0132069735849
1975-05-16,65.25,65.25,64.0,64.25,392800,2.15742,-0.0153256704981
1975-05-19,64.25,64.75,63.375038,64.75,334400,2.185708,0.00778210116732
1975-05-20,64.75,66.25,64.375038,65.5,442400,2.211025,0.011583011583
1975-05-21,65.25,65.25,64.375038,65.0,676800,2.194147,-0.00383141762452
1975-05-22,65.0,66.0,64.624962,65.0,306400,2.194147,0.0
1975-05-23,65.25,66.5,65.25,65.875038,288800,2.223685,0.00957912643678
1975-05-27,65.875038,66.25,65.624962,66.25,744800,2.236342,0.00569201948696
1975-05-28,66.25,66.624962,65.375038,65.5,354400,2.211025,-0.011320754717
1975-05-29,65.5,66.124962,65.0,65.0,351200,2.194147,-0.00763358778626
1975-05-30,65.25,66.0,65.25,65.75,206400,2.219464,0.00766283524904
1975-06-02,66.624962,68.0,66.624962,67.375038,292800,2.274319,0.0112581827814
1975-06-03,67.375038,68.0,67.124962,67.124962,722400,2.265877,-0.00371170106056
1975-06-04,67.124962,67.75,66.624962,67.624962,291200,2.282755,0.00744879378852
1975-06-05,67.375038,67.375038,66.5,66.75,277600,2.25322,-0.00927699662299
1975-06-06,66.75,66.75,65.375038,66.0,247200,2.227903,-0.0112359550562
1975-06-09,65.875038,65.875038,63.0,63.0,347200,2.126635,-0.0436438154313
1975-06-10,63.0,63.25,61.624962,62.75,590400,2.118196,-0.00396825396825
1975-06-11,63.0,63.875038,63.0,63.5,397600,2.143513,0.00793650793651
1975-06-12,63.5,63.875038,63.0,63.25,380800,2.135074,-0.00393700787402
1975-06-13,63.25,63.875038,62.75,63.124962,256800,2.130853,-0.00197688537549
1975-06-16,63.124962,63.875038,63.0,63.75,471200,2.151952,0.00990159803977
1975-06-17,63.75,64.25,63.124962,63.25,256000,2.135074,-0.0078431372549
1975-06-18,63.25,63.375038,62.25,62.875038,256000,2.122417,-0.00592825296443
1975-06-19,62.875038,63.624962,62.624962,63.5,193600,2.143513,0.0099397474718
1975-06-20,63.75,64.75,63.75,64.0,558400,2.160391,0.00392156862745
1975-06-23,64.124962,65.5,64.124962,64.875038,206400,2.189929,0.0116970985495
1975-06-24,64.875038,66.0,64.75,65.624962,375200,2.215243,0.0115595153871
1975-06-25,65.624962,66.25,65.0,66.0,332800,2.227903,0.00571486807109
1975-06-26,66.0,67.124962,65.5,66.875038,539200,2.257441,0.0132581515152
1975-06-27,66.875038,67.375038,66.624962,66.624962,298400,2.248999,-0.00373945208076
1975-06-30,66.624962,67.5,66.25,67.25,136800,2.270098,0.00938143874664
1975-07-01,67.124962,67.124962,66.5,66.875038,200800,2.257441,-0.0037232646776
1975-07-02,66.875038,66.875038,66.25,66.75,303200,2.25322,-0.00186972604038
1975-07-03,66.75,66.875038,65.75,65.875038,368000,2.223685,-0.0131080449438
1975-07-07,65.875038,66.25,65.25,65.25,403200,2.202586,-0.00948823741096
1975-07-08,65.25,65.25,64.75,64.75,339200,2.185708,-0.00766283524904
1975-07-09,64.75,65.25,64.375038,64.75,449600,2.185708,0.0
1975-07-10,64.75,65.124962,63.25,63.25,364000,2.135074,-0.023166023166
1975-07-11,63.0,63.0,61.624962,62.375038,564800,2.105538,-0.00992003174603
1975-07-14,62.25,62.25,61.624962,62.0,449600,2.092879,-0.00401606425703
1975-07-15,62.0,62.25,60.124962,60.5,321600,2.042244,-0.0241935483871
1975-07-16,60.5,61.5,60.5,61.124962,455200,2.063341,0.0103299504132
1975-07-17,61.124962,61.25,60.624962,60.75,785600,2.050684,-0.00613435146185
1975-07-18,60.624962,60.624962,60.124962,60.25,685600,2.033805,-0.00618494408293
1975-07-21,60.0,60.0,59.5,59.75,216800,2.016927,-0.00416666666667
1975-07-22,59.75,59.75,58.375038,58.375038,397600,1.970514,-0.023011916318
1975-07-23,58.375038,58.5,57.5,57.5,618400,1.940976,-0.0149899345676
1975-07-24,57.5,57.875038,56.875038,57.875038,416800,1.953636,0.0065224
1975-07-25,57.875038,58.375038,56.624962,56.624962,339200,1.911438,-0.0215995711312
1975-07-28,56.624962,57.25,56.5,57.0,205600,1.924098,0.00662319208267
1975-07-29,57.0,57.5,56.25,56.75,486400,1.915659,-0.00438596491228
1975-07-30,56.75,57.375038,56.25,57.0,305600,1.924098,0.00440528634361
1975-07-31,57.0,58.25,57.0,57.25,261600,1.932537,0.00438596491228
1975-08-01,57.124962,57.124962,56.5,57.0,346400,1.924098,-0.00218752005472
1975-08-04,57.0,57.5,56.25,57.0,235200,1.924098,0.0
1975-08-05,57.0,58.5,56.5,57.0,300800,1.924098,0.0
1975-08-06,57.0,57.5,56.5,56.5,380800,1.90722,-0.00877192982456
1975-08-07,56.5,56.875038,55.75,55.875038,281600,1.886124,-0.0110612743363
1975-08-08,55.875038,56.124962,55.375038,55.5,176800,1.873464,-0.00671208492064
1975-08-11,55.5,55.875038,55.375038,55.624962,180800,1.877682,0.00225156756757
1975-08-12,56.25,57.875038,56.25,56.75,362400,1.915659,0.00888888888889
1975-08-13,56.75,57.5,54.624962,54.624962,356800,1.843926,-0.0374456035242
1975-08-14,54.25,54.25,53.5,53.875038,406400,1.818612,-0.00691174193548
1975-08-15,53.875038,55.5,53.75,55.25,217600,1.865025,0.0255213184258
1975-08-18,55.25,55.25,54.25,54.375038,254400,1.846755,-0.0158364162896
1975-08-19,54.375038,54.375038,53.0,53.0,328000,1.800055,-0.0252880374999
