Date,Open,High,Low,Close,Volume,Adj Close,Returns
1988-01-26,23.0,23.5,22.5,23.0,7244600,7.910934,
1988-01-27,23.125,24.75,22.875,24.75,3652400,8.512853,0.0702702702703
1988-01-28,24.5,25.125,24.25,25.125,2180000,8.641835,0.0255102040816
1988-01-29,24.875,25.125,23.75,24.5,1335400,8.426864,-0.0150753768844
1988-02-01,24.25,24.5,23.875,24.0,488800,8.254887,-0.0103092783505
1988-02-02,24.0,24.0,23.625,24.0,476800,8.254887,0.0
1988-02-03,24.0,25.25,24.0,24.25,1284600,8.340876,0.0104166666667
1988-02-04,24.25,24.625,24.125,24.625,328000,8.469858,0.0154639175258
1988-02-05,24.5,24.875,24.5,24.75,403600,8.512853,0.0102040816327
1988-02-08,24.25,24.25,23.75,24.0,143400,8.254887,-0.0103092783505
1988-02-09,24.25,24.25,23.75,23.75,157000,8.168899,-0.020618556701
1988-02-10,24.0,24.625,24.0,24.5,456400,8.426864,0.0208333333333
1988-02-11,24.75,25.125,24.75,24.75,484000,8.512853,0.0
1988-02-12,25.0,25.625,25.0,25.5,222600,8.770818,0.02
1988-02-16,25.625,26.5,25.625,26.5,838000,9.114771,0.0341463414634
1988-02-17,26.5,26.875,25.75,26.125,642400,8.985789,-0.0141509433962
1988-02-18,26.0,26.625,25.875,26.5,516000,9.114771,0.0192307692308
1988-02-19,26.5,29.25,26.5,28.5,1103400,9.802679,0.0754716981132
1988-02-22,28.25,28.5,28.0,28.375,326600,9.759685,0.00442477876106
1988-02-23,28.25,28.25,27.625,28.0,245000,9.630702,-0.00884955752212
1988-02-24,27.875,27.875,27.5,27.75,271600,9.544713,-0.00448430493274
1988-02-25,27.75,28.5,27.75,28.125,948000,9.673696,0.0135135135135
1988-02-26,28.125,28.25,28.0,28.25,256000,9.71669,0.00444444444444
1988-02-29,28.5,30.375,28.375,30.25,647800,10.404598,0.0614035087719
1988-03-01,30.375,30.75,29.75,29.75,587200,10.232621,-0.0205761316872
1988-03-02,29.625,30.375,29.625,30.375,192000,10.447592,0.0253164556962
1988-03-03,30.625,30.625,30.0,30.0,232800,10.318609,-0.0204081632653
1988-03-04,29.75,31.0,29.75,31.0,426000,10.662563,0.0420168067227
1988-03-07,30.5,32.125,30.5,31.875,463400,10.963522,0.0450819672131
1988-03-08,31.75,32.125,31.625,31.875,494800,10.963522,0.00393700787402
1988-03-09,32.0,32.0,31.625,31.75,205400,10.920528,-0.0078125
1988-03-10,31.875,31.875,29.125,29.125,414200,10.01765,-0.0862745098039
1988-03-11,29.0,29.375,28.0,29.0,223400,10.022834,0.0
1988-03-14,29.25,30.25,29.125,30.125,144800,10.411651,0.0299145299145
1988-03-15,30.5,31.875,30.5,31.875,673200,11.016477,0.0450819672131
1988-03-16,32.0,32.25,31.125,31.375,202800,10.84367,-0.01953125
1988-03-17,31.75,31.75,31.0,31.5,146600,10.886872,-0.00787401574803
1988-03-18,31.625,31.625,30.875,30.875,166800,10.670862,-0.0237154150198
1988-03-21,30.75,30.75,29.875,30.0,254400,10.368449,-0.0243902439024
1988-03-22,30.0,30.5,29.625,29.75,515000,10.282045,-0.00833333333333
1988-03-23,29.875,30.0,29.75,30.0,27600,10.368449,0.00418410041841
1988-03-24,29.0,29.0,28.0,28.75,699200,9.93643,-0.00862068965517
1988-03-25,29.0,29.375,28.375,28.375,152800,9.806825,-0.0215517241379
1988-03-28,27.625,28.5,27.625,28.5,137000,9.850027,0.0316742081448
1988-03-29,28.75,30.25,28.75,30.125,186000,10.411651,0.0478260869565
1988-03-30,30.125,30.25,29.75,29.875,125000,10.325247,-0.00829875518672
1988-03-31,29.5,30.125,29.5,30.125,294400,10.411651,0.021186440678
1988-04-04,30.0,30.0,30.0,30.0,148200,10.368449,0.0
1988-04-05,29.875,30.5,29.875,30.25,219600,10.454853,0.0125523012552
1988-04-06,30.25,32.0,30.25,31.625,125200,10.930073,0.0454545454545
1988-04-07,31.75,32.0,31.5,32.0,165400,11.059679,0.00787401574803
1988-04-08,31.875,32.0,31.625,32.0,182400,11.059679,0.00392156862745
1988-04-11,31.875,32.0,31.375,31.5,85400,10.886872,-0.0117647058824
1988-04-12,31.375,31.375,30.75,30.875,419000,10.670862,-0.0159362549801
1988-04-13,30.75,31.125,30.75,30.875,208000,10.670862,0.00406504065041
1988-04-14,30.5,30.5,29.5,29.5,167000,10.195642,-0.0327868852459
