Date,Open,High,Low,Close,Volume,Adj Close,Returns
1993-02-23,32.0,32.5,30.625,31.0,40594800,4.568902,
1993-02-24,31.5,32.25,31.125,31.875,9426400,4.697863,0.0119047619048
1993-02-25,32.0,32.625,31.875,32.625,5229200,4.808401,0.01953125
1993-02-26,32.625,33.125,32.125,33.125,2761200,4.882093,0.0153256704981
1993-03-01,32.75,32.875,32.0,32.0,3014400,4.716286,-0.0229007633588
1993-03-02,32.25,33.0,32.125,32.875,3022800,4.845247,0.0193798449612
1993-03-03,32.75,33.25,32.5,32.75,2808800,4.826824,0.0
1993-03-04,32.625,33.0,32.625,32.625,1783600,4.808401,0.0
1993-03-05,32.5,33.375,32.0,33.25,3868800,4.900516,0.0230769230769
1993-03-08,33.0,33.25,32.75,33.125,2516000,4.882093,0.00378787878788
1993-03-09,33.0,34.5,33.0,34.125,2449200,5.029477,0.0340909090909
1993-03-10,33.875,35.625,33.75,35.5,3192800,5.232129,0.0479704797048
1993-03-11,35.875,35.875,35.125,35.5,1276400,5.232129,-0.0104529616725
1993-03-12,35.25,36.25,34.0,36.125,2958800,5.324244,0.0248226950355
1993-03-15,36.0,36.0,35.25,35.5,1858400,5.232129,-0.0138888888889
1993-03-16,35.25,35.625,34.625,34.75,2182000,5.121592,-0.0141843971631
1993-03-17,34.75,35.125,34.375,35.125,2413600,5.17686,0.0107913669065
1993-03-18,35.0,36.125,35.0,36.0,1765200,5.305821,0.0285714285714
1993-03-19,36.25,36.25,35.625,35.625,2397600,5.250552,-0.0172413793103
1993-03-22,35.75,35.75,35.125,35.5,729200,5.232129,-0.00699300699301
1993-03-23,35.5,35.5,34.75,34.75,924000,5.121592,-0.0211267605634
1993-03-24,34.75,34.75,33.375,34.375,1787600,5.066323,-0.0107913669065
1993-03-25,34.125,34.375,33.625,34.375,1080400,5.066323,0.00732600732601
1993-03-26,35.5,36.625,35.375,36.625,2376800,5.397936,0.0316901408451
1993-03-29,36.375,37.0,35.75,37.0,1273600,5.453205,0.0171821305842
1993-03-30,37.5,38.375,37.125,38.375,1463600,5.655858,0.0233333333333
1993-03-31,38.5,39.25,38.25,38.375,1856000,5.655858,-0.00324675324675
1993-04-01,37.875,38.0,36.75,37.0,1410000,5.453205,-0.023102310231
1993-04-02,36.5,37.125,35.625,35.625,1338800,5.250552,-0.0239726027397
1993-04-05,35.5,36.375,35.5,36.25,873200,5.342667,0.0211267605634
1993-04-06,36.375,36.5,35.75,35.75,763200,5.268975,-0.0171821305842
1993-04-07,35.625,36.375,35.625,36.25,240400,5.342667,0.0175438596491
1993-04-08,36.25,36.25,36.0,36.125,304000,5.324244,-0.00344827586207
1993-04-12,36.125,37.0,36.125,37.0,217600,5.453205,0.0242214532872
1993-04-13,37.5,38.375,37.5,38.125,937600,5.619012,0.0166666666667
1993-04-14,38.125,39.25,38.125,39.125,689600,5.766396,0.0262295081967
1993-04-15,38.625,38.625,37.0,37.5,1319600,5.526897,-0.0291262135922
1993-04-16,37.75,38.0,37.25,37.375,1452400,5.508474,-0.00993377483444
1993-04-19,37.125,37.375,36.375,36.5,861600,5.379513,-0.016835016835
1993-04-20,36.875,37.125,34.625,35.375,2764000,5.213706,-0.0406779661017
1993-04-21,35.375,35.875,34.875,34.875,1372800,5.140014,-0.0141342756184
1993-04-22,34.875,35.5,34.75,34.875,1387600,5.140014,0.0
1993-04-23,34.75,34.875,34.0,34.375,660400,5.066323,-0.0107913669065
1993-04-26,34.5,34.75,33.25,33.625,1847200,4.955785,-0.0253623188406
1993-04-27,33.25,34.0,32.625,34.0,1674000,5.011054,0.0225563909774
1993-04-28,34.25,34.75,33.875,34.625,726800,5.103169,0.0109489051095
1993-04-29,34.625,34.875,34.5,34.5,228800,5.084746,-0.00361010830325
1993-04-30,34.625,39.0,34.625,38.75,3105600,5.711127,0.119133574007
1993-05-03,38.0,38.0,36.5,36.75,2001200,5.416359,-0.0328947368421
1993-05-04,37.0,37.25,36.625,37.0,826000,5.453205,0.0
1993-05-05,36.875,36.875,36.5,36.625,512000,5.397936,-0.00677966101695
1993-05-06,36.625,36.625,36.0,36.375,183200,5.36109,-0.00682593856655
1993-05-07,36.5,36.75,36.375,36.5,245200,5.379513,0.0
1993-05-10,36.625,37.25,36.625,37.0,708800,5.453205,0.0102389078498
1993-05-11,37.0,37.0,36.5,36.875,568800,5.434782,-0.00337837837838
1993-05-12,36.875,37.125,36.625,36.875,258000,5.434782,0.0
1993-05-13,36.625,36.625,36.0,36.0,163200,5.305821,-0.0170648464164
1993-05-14,35.875,35.875,34.375,35.0,848000,5.158437,-0.0243902439024
1993-05-17,35.0,35.875,34.875,35.625,382000,5.250552,0.0178571428571
1993-05-18,35.5,35.5,34.875,35.25,883600,5.195283,-0.00704225352113
1993-05-19,35.125,35.875,35.125,35.625,514800,5.250552,0.0142348754448
1993-05-20,35.875,35.875,34.75,35.0,936800,5.158437,-0.0243902439024
1993-05-21,34.75,34.75,33.875,34.0,834000,5.011054,-0.0215827338129
1993-05-24,33.875,34.625,33.75,34.625,262400,5.103169,0.0221402214022
1993-05-25,34.625,34.75,34.25,34.5,662400,5.099473,-0.00361010830325
1993-05-26,34.5,36.75,34.5,36.625,659200,5.413571,0.0615942028986
1993-05-27,36.5,36.875,35.0,35.125,1011600,5.191855,-0.0376712328767
