Date,Open,High,Low,Close,Volume,Adj Close,Returns
2011-01-27,24.9,25.85,24.9,25.4,5809300,23.524059,
2011-01-28,25.4,25.4,25.0,25.0,2611900,23.153602,-0.0157480314961
2011-01-31,24.98,26.5,24.75,26.07,2505300,24.144575,0.0436349079263
2011-02-01,26.450001,26.629999,25.5,25.75,2155300,23.84821,-0.026465065162
2011-02-02,25.98,26.33,25.74,25.950001,1173100,24.033439,-0.00115469591994
2011-02-03,25.76,26.08,25.75,25.950001,668300,24.033439,0.00737581521739
2011-02-04,26.049999,27.1,25.75,26.08,720200,24.153837,0.00115166990985
2011-02-07,26.049999,26.200001,25.639999,25.790001,1204800,23.885256,-0.00998072974974
2011-02-08,25.700001,26.059999,25.65,26.030001,3632000,24.107531,0.0128404664264
2011-02-09,25.969999,26.200001,25.530001,25.58,873200,23.690765,-0.0150172897581
2011-02-10,25.5,25.639999,25.0,25.4,1149600,23.524059,-0.00392156862745
2011-02-11,26.02,26.02,25.110001,25.219999,2107900,23.357353,-0.0307456187548
2011-02-14,25.469999,25.469999,25.110001,25.370001,1122500,23.496276,-0.00392610930216
2011-02-15,25.32,25.42,25.059999,25.379999,887500,23.505536,0.00236962875197
2011-02-16,25.309999,26.0,25.309999,26.0,853400,24.079746,0.0272619923849
2011-02-17,25.879999,27.209999,25.879999,27.01,1733100,25.015151,0.0436631006052
2011-02-18,27.08,27.84,26.9,27.690001,1360800,25.64493,0.0225258862629
2011-02-22,27.15,27.49,26.209999,26.42,1109400,24.468726,-0.0268876611418
2011-02-23,26.15,26.719999,25.969999,26.66,1125400,24.691001,0.0195028680688
2011-02-24,26.459999,26.52,25.940001,25.950001,496900,24.033439,-0.0192743015599
2011-02-25,26.040001,26.16,25.780001,25.99,556100,24.070484,-0.00192016121658
2011-02-28,26.110001,26.74,25.959999,26.59,872400,24.626171,0.0183837220075
2011-03-01,26.0,27.5,25.92,27.129999,1033500,25.126288,0.0434615
2011-03-02,27.049999,27.25,26.74,26.92,419700,24.931798,-0.00480587818136
2011-03-03,26.84,26.940001,26.07,26.74,2173600,24.765092,-0.00372578241431
2011-03-04,26.52,27.040001,26.32,26.549999,719100,24.589124,0.00113118401207
2011-03-07,27.27,27.84,26.85,27.0,1476600,25.00589,-0.00990099009901
2011-03-08,27.0,27.49,26.9,27.1,921300,25.098504,0.0037037037037
2011-03-09,27.0,27.18,26.68,26.969999,470800,24.978105,-0.00111114814815
2011-03-10,26.469999,26.940001,25.870001,26.02,1128300,24.098269,-0.0170003406498
2011-03-11,25.809999,26.48,25.809999,26.0,706900,24.079746,0.00736152682532
2011-03-14,25.790001,26.76,25.77,26.459999,786600,24.505771,0.025978983095
2011-03-15,25.9,26.58,25.809999,26.34,859600,24.394635,0.0169884169884
2011-03-16,26.32,26.379999,25.709999,26.030001,1261100,24.107531,-0.0110181990881
2011-03-17,26.43,26.49,26.040001,26.09,363600,24.163099,-0.0128641695044
2011-03-18,26.200001,26.66,26.200001,26.639999,663900,24.672477,0.0167938161529
2011-03-21,26.65,27.059999,26.440001,27.0,377600,25.00589,0.0131332082552
2011-03-22,26.91,27.469999,26.82,27.15,720600,25.144811,0.00891861761427
2011-03-23,27.01,27.379999,26.629999,26.780001,812000,24.802139,-0.00851532765642
2011-03-24,26.85,27.139999,26.43,27.059999,225200,25.061458,0.00782119180633
2011-03-25,27.209999,28.15,27.209999,27.620001,475200,25.5801,0.0150680637658
2011-03-28,27.58,28.02,27.34,27.49,605300,25.4597,-0.0032632342277
2011-03-29,27.52,27.940001,27.309999,27.940001,410800,25.876466,0.0152616642442
2011-03-30,28.01,28.15,27.620001,27.82,912000,25.765328,-0.00678329168154
2011-03-31,27.84,27.950001,27.15,27.309999,5847400,25.292994,-0.0190373922414
2011-04-01,27.4,27.66,27.01,27.290001,609800,25.274472,-0.0040145620438
2011-04-04,27.280001,28.0,27.280001,27.75,945500,25.700498,0.0172287017145
2011-04-05,27.639999,27.639999,27.17,27.41,273400,25.385609,-0.00832123763825
2011-04-06,27.49,27.530001,27.059999,27.5,653900,25.468962,0.000363768643143
2011-04-07,27.389999,27.610001,26.940001,27.48,242400,25.450438,0.00328590738539
2011-04-08,27.77,27.77,26.91,27.030001,446100,25.033675,-0.0266474252791
2011-04-11,27.0,27.969999,26.879999,27.65,483700,25.607883,0.0240740740741
2011-04-12,27.48,28.26,27.32,28.08,1260300,26.006125,0.0218340611354
2011-04-13,28.18,28.42,27.93,28.07,1031600,25.996864,-0.00390347764372
2011-04-14,27.969999,28.049999,27.48,27.66,161600,25.617145,-0.0110832681832
2011-04-15,27.629999,28.030001,27.540001,28.02,246800,25.950557,0.0141151289944
2011-04-18,27.700001,27.879999,27.219999,27.299999,311500,25.283732,-0.0144405048938
2011-04-19,27.299999,28.190001,27.27,27.6,371200,25.561577,0.0109890480216
2011-04-20,27.92,28.0,27.139999,27.280001,1493500,25.265211,-0.0229226002865
2011-04-21,27.48,29.23,27.48,28.75,1009500,26.626642,0.0462154294032
2011-04-25,28.870001,29.059999,27.809999,28.6,1074200,26.487721,-0.00935230310522
2011-04-26,28.6,28.74,28.09,28.469999,491200,26.367321,-0.00454548951049
2011-04-27,28.57,29.110001,28.52,28.719999,848500,26.598857,0.00525022751138
2011-04-28,28.77,31.5,28.65,29.32,2091200,27.154544,0.0191171359055
2011-04-29,29.379999,30.1,29.27,29.889999,1065600,27.682445,0.0173587480381
2011-05-02,29.889999,30.15,29.74,29.83,437800,27.626877,-0.00200732693233
2011-05-03,29.85,29.950001,29.26,29.35,470700,27.182329,-0.0167504187605
2011-05-04,29.5,29.58,28.58,28.85,599000,26.719257,-0.0220338983051
2011-05-05,28.77,29.83,28.75,29.77,415600,27.571309,0.034758428919
2011-05-06,29.940001,30.129999,29.6,29.83,198500,27.626877,-0.00367404797348
2011-05-09,29.9,30.780001,29.780001,30.290001,742200,28.052905,0.0130435117057
2011-05-10,30.43,30.85,30.09,30.219999,328500,27.988073,-0.00690111731844
2011-05-11,30.41,30.5,30.040001,30.190001,701900,27.96029,-0.00723442946399
2011-05-12,30.08,30.52,29.35,30.27,657000,28.034381,0.0063164893617
2011-05-13,30.370001,30.719999,29.91,30.6,383700,28.340009,0.00757322991198
2011-05-16,30.49,31.469999,30.200001,30.9,694400,28.617851,0.0134470318137
2011-05-17,30.889999,32.619999,30.889999,32.060001,1846300,29.69218,0.0378764013557
2011-05-18,31.129999,32.330002,30.73,32.029999,1327400,29.664393,0.028911019239
2011-05-19,31.9,32.150002,31.35,31.700001,643200,29.358768,-0.00626956112853
2011-05-20,31.73,32.07,31.5,31.940001,599400,29.581042,0.00661837377876
2011-05-23,31.690001,32.029999,31.209999,31.450001,732900,29.127232,-0.00757336675376
2011-05-24,31.74,31.75,30.129999,30.610001,1721400,28.34927,-0.0356017328292
2011-05-25,30.610001,31.860001,30.33,30.74,1114400,28.469668,0.00424694530392
2011-05-26,30.77,31.200001,30.540001,31.02,669100,28.728989,0.00812479688008
2011-05-27,31.309999,31.83,31.09,31.360001,1110200,29.043878,0.0015969978153
2011-05-31,31.780001,33.0,31.25,31.49,4236000,29.164276,-0.00912526717668
2011-06-01,31.59,31.690001,30.700001,30.83,618100,28.553021,-0.0240582462805
2011-06-02,30.9,32.110001,30.85,32.0,597600,29.63661,0.0355987055016
2011-06-03,31.65,31.959999,31.139999,31.620001,360400,29.284676,-0.000947835703001
2011-06-06,31.639999,31.790001,31.07,31.15,281200,28.849387,-0.0154866945476
2011-06-07,31.18,32.060001,31.15,31.77,782900,29.423597,0.018922386145
2011-06-08,31.639999,31.85,31.379999,31.440001,397200,29.11797,-0.00632104950446
2011-06-09,31.549999,31.549999,31.129999,31.49,153200,29.164276,-0.00190171162921
2011-06-10,31.43,31.43,30.290001,30.559999,280900,28.302962,-0.0276805917913
2011-06-13,30.540001,31.27,30.48,30.639999,508900,28.377054,0.00327432864197
2011-06-14,30.82,31.200001,30.57,30.610001,242200,28.34927,-0.00681372485399
2011-06-15,30.360001,31.16,29.719999,29.74,848200,27.543524,-0.0204216396436
2011-06-16,29.709999,29.9,28.59,29.129999,1063300,26.978576,-0.0195220471061
2011-06-17,29.27,31.17,29.27,30.280001,1302500,28.043643,0.0345063546293
2011-06-20,30.16,30.25,29.389999,29.540001,515400,27.358296,-0.0205569960212
2011-06-21,29.5,30.74,29.32,30.549999,291000,28.2937,0.0355931864407
2011-06-22,30.379999,30.5,29.940001,30.01,345900,27.793584,-0.012179032659
2011-06-23,29.780001,30.93,29.530001,30.75,927900,28.47893,0.0325721614314
2011-06-24,30.67,30.780001,29.66,29.969999,1285600,27.756537,-0.0228236387349
2011-06-27,29.92,30.15,29.34,29.4,285800,27.228635,-0.0173796791444
2011-06-28,29.700001,30.08,29.129999,29.93,435400,27.719492,0.00774407381333
2011-06-29,29.969999,30.719999,29.73,30.5,629500,28.247394,0.0176843849745
2011-06-30,30.629999,31.68,30.43,31.16,779500,28.858649,0.0173033306335
2011-07-01,31.110001,31.290001,30.17,30.84,628000,28.562283,-0.00867891325365
2011-07-05,30.74,30.950001,30.200001,30.9,190400,28.617851,0.00520494469746
2011-07-06,30.91,31.200001,30.41,30.690001,307200,28.423362,-0.00711740537043
2011-07-07,30.84,31.799999,30.719999,31.360001,210400,29.043878,0.0168612516213
2011-07-08,30.93,31.01,30.309999,30.620001,150200,28.358532,-0.010022599418
2011-07-11,30.32,30.51,30.0,30.08,106500,27.858413,-0.00791556728232
