Date,Open,High,Low,Close,Volume,Adj Close,Returns
1995-11-21,17.24992,21.24992,17.24992,20.5,51412800,1.208755,
1995-11-22,20.5,25.75008,20.24992,25.0,11921600,1.474092,0.219512195122
1995-11-24,25.0,27.24992,25.0,27.0,2419200,1.592019,0.08
1995-11-27,28.5,29.0,24.5,25.24992,6720000,1.488828,-0.114037894737
1995-11-28,25.24992,25.75008,25.0,25.5,3451200,1.503573,0.00990418979545
1995-11-29,25.0,29.0,25.0,28.75008,3628800,1.69521,0.1500032
1995-11-30,28.75008,31.75008,28.24992,30.24992,8254400,1.783646,0.0521682026624
1995-12-01,30.75008,31.5,29.75008,30.0,2616000,1.76891,-0.0243927820676
1995-12-04,30.0,38.5,30.0,37.5,5961600,2.211137,0.25
1995-12-05,37.5,38.0,35.24992,35.375038,2907200,2.085842,-0.0566656533333
1995-12-06,35.75008,36.24992,33.24992,33.5,3456000,1.975283,-0.0629391598564
1995-12-07,33.5,33.5,31.75008,31.75008,2665600,1.872101,-0.0522364179104
1995-12-08,31.75008,36.24992,31.75008,35.24992,3099200,2.078464,0.110230903355
1995-12-11,35.5,35.75008,34.75008,35.75008,564800,2.107956,0.00704450704225
1995-12-12,36.0,37.75008,34.75008,36.75008,2086400,2.166919,0.0208355555556
1995-12-13,37.375038,37.375038,36.5,37.0,1510400,2.181655,-0.0100344513362
1995-12-14,36.75008,37.24992,36.75008,36.75008,668800,2.166919,0.0
1995-12-15,36.75008,37.5,35.75008,35.75008,2635200,2.107956,-0.0272108251193
1995-12-18,36.0,36.75008,31.5,32.24992,1246400,1.901573,-0.104168888889
1995-12-19,31.24992,33.0,30.562559,32.5,4568000,1.916319,0.0400026624068
1995-12-20,33.5,34.5,32.0,34.0,2275200,2.004764,0.0149253731343
1995-12-21,34.5,34.75008,33.5,33.75008,321600,1.990028,-0.0217368115942
1995-12-22,33.0,35.0,33.0,34.0,1657600,2.004764,0.030303030303
1995-12-26,34.0,36.5,33.75008,36.24992,2286400,2.137428,0.0661741176471
1995-12-27,36.5,37.75008,35.124962,37.24992,2633600,2.196392,0.0205457534247
1995-12-28,36.75008,40.0,36.75008,39.24992,2569600,2.314319,0.0680227090662
1995-12-29,39.75008,41.75008,39.24992,40.124962,1920000,2.365915,0.00943097473011
1996-01-02,40.0,40.0,38.0,38.0,1892800,2.240619,-0.05
1996-01-03,38.0,38.5,33.5,34.0,3336000,2.004764,-0.105263157895
1996-01-04,34.24992,34.24992,27.0,30.0,6041600,1.76891,-0.124085545309
1996-01-05,30.24992,33.0,29.0,31.0,3273600,1.827873,0.0247960986343
1996-01-08,31.5,32.0,31.24992,31.24992,166400,1.84261,-0.00793904761905
1996-01-09,32.0,32.0,26.5,27.0,2500800,1.592019,-0.15625
1996-01-10,25.75008,27.5,25.24992,26.0,3016000,1.533055,0.00970560091464
1996-01-11,28.24992,30.24992,27.75008,28.75008,3654400,1.69521,0.0177048288986
1996-01-12,30.0,30.0,27.0,28.0,793600,1.650982,-0.0666666666667
1996-01-15,28.0,28.24992,26.24992,27.24992,668800,1.606755,-0.0267885714286
1996-01-16,26.75008,27.0,22.75008,27.0,3932800,1.592019,0.00934277579731
1996-01-17,25.5,27.0,25.24992,26.75008,1545600,1.577283,0.049022745098
1996-01-18,26.0,27.0,26.0,27.0,3180800,1.592019,0.0384615384615
1996-01-19,26.87504,30.75008,26.24992,29.281281,4825600,1.726531,0.0895344155767
1996-01-22,30.0,31.0,29.24992,30.0,1913600,1.76891,0.0
1996-01-23,29.75008,30.75008,29.75008,30.37504,1126400,1.791024,0.0210070023341
1996-01-24,30.5,33.0,30.24992,32.0,1267200,1.886837,0.0491803278689
1996-01-25,32.75008,34.75008,32.0,33.75008,2702400,1.990028,0.0305342765575
1996-01-26,33.5,35.0,33.0,34.375038,982400,2.026878,0.0261205373134
1996-01-29,34.24992,35.0,33.75008,34.0,936000,2.004764,-0.00729695135054
1996-01-30,33.24992,34.0,30.0,32.0,3513600,1.886837,-0.0375916693935
1996-01-31,31.5,33.24992,30.75008,30.75008,1129600,1.813137,-0.023806984127
1996-02-01,31.24992,32.5,30.75008,31.5,857600,1.857355,0.00800258048661
1996-02-02,32.5,32.5,30.75008,31.12496,1857600,1.835242,-0.0423089230769
1996-02-05,31.0,32.24992,30.75008,32.24992,964800,1.901573,0.04032
1996-02-06,32.24992,35.24992,31.75008,33.24992,2483200,1.960537,0.0310078288566
1996-02-07,34.0,35.0,32.75008,34.0,3126400,2.004764,0.0
1996-02-08,35.24992,37.24992,34.5,36.24992,2886400,2.137428,0.0283688587095
1996-02-09,36.24992,38.24992,35.75008,35.75008,1934400,2.107956,-0.0137887200855
1996-02-12,36.124962,36.124962,33.0,35.24992,2108800,2.078464,-0.0242226413968
1996-02-13,34.24992,37.75008,33.5,36.0,2425600,2.122692,0.0510973456288
1996-02-14,36.5,38.0,36.0,37.875038,2414400,2.233251,0.0376722739726
1996-02-15,37.875038,40.24992,37.24992,38.75008,4148800,2.284847,0.0231033959623
1996-02-16,40.5,41.24992,35.24992,35.75008,4108800,2.107956,-0.117281975309
1996-02-20,35.5,36.375038,34.75008,34.75008,1452800,2.048992,-0.0211245070423
1996-02-21,35.0,36.0,34.75008,36.0,1270400,2.122692,0.0285714285714
1996-02-22,36.0,37.75008,35.75008,37.5,2659200,2.211137,0.0416666666667
1996-02-23,37.0,37.75008,34.5,35.5,2572800,2.09321,-0.0405405405405
1996-02-26,34.5,34.5,33.5,34.0,3064000,2.004764,-0.0144927536232
1996-02-27,34.375038,34.375038,32.75008,33.24992,2192000,1.960537,-0.0327306692723
1996-02-28,33.0,34.0,33.0,33.24992,763200,1.960537,0.00757333333333
1996-02-29,33.24992,34.124962,30.5,31.75008,2452800,1.872101,-0.0451080784555
1996-03-01,32.24992,32.24992,30.75008,31.0,456000,1.827873,-0.0387573054445
1996-03-04,31.75008,31.75008,30.75008,31.75008,278400,1.872101,0.0
1996-03-05,31.75008,32.0,31.0,31.0,670400,1.827873,-0.0236245074028
1996-03-06,31.0,32.5,31.0,31.5,166400,1.857355,0.0161290322581
1996-03-07,31.5,32.5,31.5,31.75008,398400,1.872101,0.00793904761905
1996-03-08,31.75008,32.75008,31.24992,31.24992,246400,1.84261,-0.0157530311735
1996-03-11,31.24992,32.24992,31.24992,32.24992,163200,1.901573,0.0320000819202
1996-03-12,31.24992,32.24992,31.0,31.0,187200,1.827873,-0.0079974604735
1996-03-13,32.0,32.0,31.0,31.0,137600,1.827873,-0.03125
1996-03-14,32.0,32.0,31.0,31.24992,499200,1.84261,-0.02344
1996-03-15,31.24992,32.24992,31.24992,32.24992,3489600,1.901573,0.0320000819202
1996-03-18,31.24992,32.24992,31.24992,31.24992,1588800,1.84261,0.0
1996-03-19,32.24992,32.24992,31.24992,31.5,144000,1.857355,-0.0232533910162
1996-03-20,31.5,32.0,30.75008,30.75008,534400,1.813137,-0.023806984127
1996-03-21,30.75008,31.75008,30.75008,30.75008,563200,1.813137,0.0
1996-03-22,31.75008,31.75008,30.0,30.75008,1032000,1.813137,-0.0314959836322
1996-03-25,31.75008,32.24992,30.75008,32.24992,340800,1.901573,0.0157429524587
1996-03-26,31.24992,32.24992,30.75008,30.75008,475200,1.813137,-0.015994920947
1996-03-27,31.75008,31.75008,30.75008,31.75008,339200,1.872101,0.0
1996-03-28,31.75008,31.75008,30.75008,30.75008,163200,1.813137,-0.0314959836322
1996-03-29,31.75008,31.75008,30.75008,31.75008,796800,1.872101,0.0
1996-04-01,31.75008,31.75008,28.75008,29.75008,1193600,1.754174,-0.0629919672643
1996-04-02,29.75008,29.75008,28.75008,28.75008,729600,1.69521,-0.0336133549893
1996-04-03,28.75008,29.75008,28.75008,28.75008,48000,1.69521,0.0
1996-04-04,29.75008,29.75008,27.0,27.5,1596800,1.621501,-0.0756327377943
1996-04-08,27.5,28.0,27.0,27.0,491200,1.592019,-0.0181818181818
1996-04-09,27.0,28.0,27.0,27.12496,500800,1.599387,0.00462814814815
1996-04-10,27.0,28.0,27.0,27.0,1577600,1.592019,0.0
1996-04-11,28.0,28.0,27.0,27.24992,809600,1.606755,-0.0267885714286
1996-04-12,28.0,28.0,26.0,27.0,6328000,1.592019,-0.0357142857143
1996-04-15,28.0,28.0,27.0,27.0,809600,1.592019,-0.0357142857143
1996-04-16,28.0,28.0,27.0,27.0,606400,1.592019,-0.0357142857143
1996-04-17,27.0,28.0,27.0,27.0,128000,1.592019,0.0
1996-04-18,28.0,28.0,27.062559,28.0,96000,1.650982,0.0
1996-04-19,27.0,28.5,27.0,28.12496,1664000,1.658351,0.0416651851852
1996-04-22,28.5,28.5,27.5,28.24992,500800,1.665719,-0.00877473684211
1996-04-23,27.75008,29.0,27.75008,29.0,822400,1.709946,0.0450420323113
1996-04-24,29.0,30.0,28.0,29.87504,1388800,1.761542,0.0301737931034
1996-04-25,29.62496,32.75008,29.0,31.75008,1884800,1.872101,0.071734105295
1996-04-26,32.75008,35.0,32.0,34.24992,1382400,2.019501,0.045796529352
1996-04-29,35.0,35.0,33.75008,33.75008,483200,1.990028,-0.035712
1996-04-30,34.5,34.5,32.0,32.0,766400,1.886837,-0.0724637681159
1996-05-01,33.0,33.0,31.5,31.5,243200,1.857355,-0.0454545454545
1996-05-02,32.5,32.5,31.5,31.5,206400,1.857355,-0.0307692307692
1996-05-03,32.0,32.5,31.0,32.0,392000,1.886837,0.0
1996-05-06,31.24992,32.0,31.0,32.0,1449600,1.886837,0.0240026214467
1996-05-07,33.0,33.0,32.0,33.0,331200,1.945801,0.0
1996-05-08,32.0,33.0,32.0,33.0,2251200,1.945801,0.03125
1996-05-09,32.24992,36.0,32.24992,36.0,2867200,2.122692,0.116281838839
1996-05-10,35.5,37.124962,35.0,37.124962,3934400,2.189024,0.0457735774648
1996-05-13,37.5,39.24992,36.5,38.5,3163200,2.270101,0.0266666666667
1996-05-14,38.5,39.5,37.75008,37.75008,2824000,2.225883,-0.0194784415584
1996-05-15,37.75008,38.75008,37.75008,38.75008,2094400,2.284847,0.0264900100874
1996-05-16,36.0,36.5,34.0,36.5,5265600,2.152174,0.0138888888889
1996-05-17,36.5,36.5,35.5,35.5,4318400,2.09321,-0.027397260274
1996-05-20,35.5,36.5,34.75008,34.75008,6369600,2.048992,-0.0211245070423
1996-05-21,34.75008,35.75008,34.75008,34.75008,1406400,2.048992,0.0
1996-05-22,34.75008,35.75008,34.75008,34.75008,878400,2.048992,0.0
1996-05-23,35.75008,35.75008,34.75008,34.75008,1516800,2.048992,-0.0279719653774
1996-05-24,35.75008,35.75008,34.24992,34.24992,233600,2.019501,-0.0419624235806
1996-05-28,33.75008,34.75008,32.75008,33.75008,416000,1.990028,0.0
1996-05-29,32.75008,33.75008,32.75008,33.24992,1569600,1.960537,0.0152622527945
1996-05-30,33.24992,33.24992,33.24992,33.24992,62400,1.960537,0.0
1996-05-31,34.24992,34.24992,33.24992,34.24992,4156800,2.019501,0.0
1996-06-03,34.24992,34.24992,33.24992,33.75008,2275200,1.990028,-0.0145939027011
1996-06-04,34.24992,34.24992,33.24992,33.5,596800,1.975283,-0.0218955255954
1996-06-05,33.24992,34.24992,33.0,33.24992,1793600,1.960537,0.0
1996-06-06,34.0,34.0,33.0,33.0,502400,1.945801,-0.0294117647059
1996-06-07,32.75008,33.75008,32.75008,33.24992,923200,1.960537,0.0152622527945
1996-06-10,33.24992,33.24992,32.24992,32.24992,104000,1.901573,-0.0300752603315
1996-06-11,33.0,33.24992,32.24992,32.24992,179200,1.901573,-0.0227296969697
1996-06-12,32.24992,33.24992,32.24992,33.24992,156800,1.960537,0.0310078288566
1996-06-13,33.24992,35.5,32.24992,34.24992,5417600,2.019501,0.0300752603315
1996-06-14,35.0,35.24992,33.75008,34.75008,553600,2.048992,-0.00714057142857
1996-06-17,34.75008,34.75008,32.75008,32.75008,305600,1.931065,-0.0575538243365
1996-06-18,32.75008,33.24992,29.0,29.0,1616000,1.709946,-0.114505979833
1996-06-19,30.0,30.0,29.0,29.37504,1459200,1.73206,-0.020832
1996-06-20,29.62496,30.0,29.0,29.37504,1216000,1.73206,-0.00843612953401
1996-06-21,29.0,30.0,29.0,30.0,140800,1.76891,0.0344827586207
1996-06-24,30.0,30.0,29.0,30.0,1096000,1.76891,0.0
1996-06-25,29.0,30.0,29.0,29.0,580800,1.709946,0.0
1996-06-26,29.5,30.0,29.0,29.0,472000,1.709946,-0.0169491525424
1996-06-27,28.5,29.5,28.5,28.5,523200,1.680464,0.0
1996-06-28,29.0,29.75008,28.5,29.75008,1696000,1.754174,0.0258648275862
1996-07-01,28.75008,29.75008,28.75008,29.24992,430400,1.724682,0.0173856907529
1996-07-02,29.24992,29.24992,28.75008,29.0,40000,1.709946,-0.00854429687329
1996-07-03,29.0,29.0,29.0,29.0,308800,1.709946,0.0
1996-07-05,29.0,29.0,29.0,29.0,0,1.709946,0.0
1996-07-08,29.5,29.5,28.75008,29.0,251200,1.709946,-0.0169491525424
1996-07-09,28.5,28.5,26.75008,27.75008,371200,1.636246,-0.0263129824561
1996-07-10,27.0,27.75008,26.0,27.0,355200,1.592019,0.0
1996-07-11,27.0,27.0,25.5,25.5,270400,1.503573,-0.0555555555556
