Date,Open,High,Low,Close,Volume,Adj Close,Returns
1990-03-26,62.750038,62.750038,62.000038,62.000038,139200,3.187587,
1990-03-27,62.000038,62.499962,61.5,62.000038,471600,3.187587,0.0
1990-03-28,62.000038,62.000038,61.5,62.000038,15600,3.187587,0.0
1990-03-29,62.000038,62.25,60.999962,61.5,787200,3.161878,-0.00806512408912
1990-03-30,61.5,61.5,60.999962,61.5,906000,3.161878,0.0
1990-04-02,61.250038,61.250038,60.75,60.75,362400,3.123319,-0.00816388064935
1990-04-03,61.250038,61.250038,60.75,61.250038,123600,3.149027,0.0
1990-04-04,61.250038,61.250038,60.500038,60.500038,496800,3.110468,-0.0122448903624
1990-04-05,60.75,61.250038,60.500038,60.999962,712800,3.13617,0.00411460082305
1990-04-06,60.75,61.250038,60.75,60.75,630000,3.123319,0.0
1990-04-09,60.999962,60.999962,60.249962,60.999962,330000,3.13617,0.0
1990-04-10,60.999962,60.999962,60.500038,60.75,210000,3.123319,-0.00409774025761
1990-04-11,60.999962,60.999962,60.500038,60.500038,43200,3.110468,-0.00819548051522
1990-04-12,60.500038,60.999962,60.500038,60.999962,93600,3.13617,0.00826320142146
1990-04-16,60.500038,61.250038,60.500038,61.250038,478800,3.149027,0.0123966864285
1990-04-17,61.5,61.749962,60.75,61.749962,140400,3.17473,0.00406442276423
1990-04-18,61.5,62.000038,61.250038,61.749962,555600,3.17473,0.00406442276423
1990-04-19,62.000038,62.000038,61.5,61.5,1048800,3.161878,-0.00806512408912
1990-04-20,61.5,62.000038,61.5,61.749962,81600,3.17473,0.00406442276423
1990-04-23,62.000038,62.000038,61.5,62.000038,56400,3.187587,0.0
1990-04-24,61.5,62.000038,61.5,62.000038,70800,3.187587,0.00813069918699
1990-04-25,62.000038,62.000038,61.5,61.5,76800,3.161878,-0.00806512408912
1990-04-26,61.250038,62.000038,61.250038,61.250038,273600,3.149027,0.0
1990-04-27,61.250038,61.749962,60.999962,60.999962,442800,3.13617,-0.00408287093634
1990-04-30,60.999962,61.5,60.75,60.999962,1083600,3.13617,0.0
1990-05-01,30.75,30.75,30.499981,30.75,166000,3.161878,0.0
1990-05-02,30.75,30.75,30.250019,30.250019,106800,3.110468,-0.0162595447154
1990-05-03,30.75,30.75,30.250019,30.250019,242400,3.110468,-0.0162595447154
1990-05-04,30.499981,30.499981,30.0,30.375,348400,3.123319,-0.00409774025761
1990-05-07,30.499981,30.499981,30.0,30.499981,1182400,3.13617,0.0
1990-05-08,30.0,30.499981,30.0,30.499981,895200,3.13617,0.0166660333333
1990-05-09,30.75,31.249981,30.250019,31.000019,415600,3.187587,0.00813069918699
1990-05-10,31.249981,31.750019,31.000019,31.750019,126400,3.264706,0.0160012257287
1990-05-11,31.750019,32.500019,31.750019,32.500019,247600,3.341825,0.0236220331081
1990-05-14,32.500019,32.749981,31.999981,31.999981,174400,3.290408,-0.0153857756206
1990-05-15,32.500019,33.499981,31.999981,33.250019,377200,3.418944,0.0230769095858
1990-05-16,33.250019,33.250019,32.749981,33.124981,168000,3.406087,-0.0037605392045
1990-05-17,33.250019,33.250019,32.749981,32.749981,68800,3.367527,-0.0150387282485
1990-05-18,32.749981,33.124981,32.500019,33.0,53200,3.393235,0.00763417236792
1990-05-21,33.250019,33.75,32.749981,33.499981,131200,3.444646,0.00751764983954
1990-05-22,33.499981,33.75,33.250019,33.250019,193600,3.418944,-0.00746155647073
1990-05-23,33.250019,33.75,33.0,33.250019,1092000,3.418944,0.0
1990-05-24,33.0,33.250019,32.749981,32.749981,31600,3.367527,-0.00757633333333
1990-05-25,32.749981,33.250019,32.500019,32.500019,34000,3.341825,-0.00763243190889
1990-05-29,33.0,33.0,32.500019,32.500019,117600,3.341825,-0.0151509393939
1990-05-30,32.500019,32.749981,32.500019,32.749981,338800,3.367527,0.00769113396518
1990-05-31,32.500019,32.500019,31.5,31.750019,667200,3.264706,-0.0230769095858
1990-06-01,31.750019,31.999981,31.5,31.624981,437200,3.251849,-0.00393820236769
1990-06-04,31.750019,31.750019,31.5,31.624981,286800,3.251849,-0.00393820236769
1990-06-05,31.750019,32.25,31.5,31.999981,612000,3.310298,0.00787281418635
1990-06-06,32.25,32.749981,31.750019,32.749981,177600,3.387883,0.0155032868217
1990-06-07,33.0,33.0,32.500019,32.500019,120400,3.362026,-0.0151509393939
1990-06-08,32.500019,33.250019,32.500019,32.749981,176800,3.387883,0.00769113396518
1990-06-11,33.0,33.0,32.25,32.25,162000,3.336162,-0.0227272727273
1990-06-12,32.749981,32.749981,32.25,32.25,655200,3.336162,-0.0152666042768
1990-06-13,32.25,32.500019,31.999981,32.500019,687600,3.362026,0.00775252713178
1990-06-14,32.25,32.25,31.750019,32.25,655600,3.336162,0.0
1990-06-15,31.750019,31.999981,31.5,31.5,217200,3.258577,-0.00787460946086
1990-06-18,31.5,31.999981,31.5,31.999981,366000,3.310298,0.0158724126984
1990-06-19,31.750019,31.750019,31.249981,31.249981,204400,3.232713,-0.0157492189217
1990-06-20,31.249981,31.249981,31.000019,31.000019,18400,3.206855,-0.00799878886326
1990-06-21,31.000019,31.5,31.000019,31.000019,370800,3.206855,0.0
1990-06-22,31.5,31.5,30.75,30.75,792000,3.180992,-0.0238095238095
1990-06-25,30.499981,30.75,30.250019,30.75,320400,3.180992,0.00819734936884
1990-06-26,30.75,31.000019,30.250019,30.499981,302400,3.155128,-0.00813069918699
1990-06-27,30.499981,31.000019,30.0,30.0,546400,3.103406,-0.0163928298841
1990-06-28,30.499981,30.499981,29.749981,30.250019,396400,3.12927,-0.00819548051522
1990-06-29,30.250019,30.250019,29.749981,30.250019,344400,3.12927,0.0
1990-07-02,29.749981,30.250019,29.749981,30.0,505600,3.103406,0.00840400536726
1990-07-03,29.749981,30.0,29.749981,29.875019,774400,3.090478,0.00420296066744
1990-07-05,29.749981,30.0,29.749981,29.875019,428400,3.090478,0.00420296066744
1990-07-06,30.0,30.0,29.625,29.749981,249600,3.077543,-0.00833396666667
1990-07-09,29.749981,30.0,29.625,29.625,371200,3.064614,-0.00420104469983
1990-07-10,29.625,29.749981,28.999981,28.999981,254800,2.999958,-0.0210976877637
1990-07-11,28.999981,29.25,28.5,28.5,587200,2.948236,-0.0172407354336
1990-07-12,28.750019,28.750019,27.0,27.375,1723600,2.831858,-0.0478267162189
1990-07-13,27.499981,30.0,27.250019,29.500019,1783200,3.051685,0.0727287047944
1990-07-16,30.0,30.625019,29.500019,30.250019,623200,3.12927,0.00833396666667
1990-07-17,30.250019,30.499981,30.0,30.250019,398400,3.12927,0.0
1990-07-18,29.749981,30.250019,29.500019,29.500019,1322400,3.051685,-0.00840208939965
1990-07-19,29.500019,29.749981,29.500019,29.749981,84400,3.077543,0.00847328267822
1990-07-20,29.625,29.749981,29.500019,29.749981,519600,3.077543,0.00421876793249
1990-07-23,29.500019,29.749981,28.750019,28.750019,434800,2.9741,-0.025423712439
1990-07-24,28.750019,28.999981,28.750019,28.875,2634400,2.987029,0.00434716234448
1990-07-25,28.875,28.999981,28.249981,28.750019,334000,2.9741,-0.00432834632035
1990-07-26,28.249981,28.999981,28.249981,28.5,391600,2.948236,0.00885023604087
1990-07-27,28.750019,28.750019,28.249981,28.249981,154000,2.922372,-0.0173926145927
1990-07-30,28.249981,28.5,28.249981,28.5,197200,2.948236,0.00885023604087
1990-07-31,28.5,28.750019,28.249981,28.750019,337600,2.9741,0.00877259649123
1990-08-01,28.750019,28.750019,28.249981,28.249981,95200,2.922372,-0.0173926145927
1990-08-02,28.000019,28.125,27.75,27.75,712000,2.870651,-0.00892924394087
1990-08-03,27.75,28.000019,25.999981,27.0,728400,2.793066,-0.027027027027
1990-08-06,26.749981,26.749981,25.999981,26.500019,286000,2.741344,-0.00934438046891
1990-08-07,26.374981,26.500019,25.750019,25.999981,675600,2.689617,-0.014218019721
1990-08-08,25.750019,26.25,25.750019,25.750019,139200,2.663759,0.0
1990-08-09,26.25,26.25,25.750019,25.999981,389200,2.689617,-0.00952453333333
1990-08-10,25.999981,25.999981,25.000019,25.000019,619200,2.586174,-0.0384601050285
1990-08-13,25.000019,25.249981,24.75,25.249981,175200,2.612032,0.00999847240116
1990-08-14,25.249981,25.249981,24.75,25.000019,463600,2.586174,-0.00989949259764
1990-08-15,25.249981,25.750019,25.249981,25.750019,1021600,2.663759,0.0198035000502
1990-08-16,25.5,25.750019,25.000019,25.000019,250800,2.586174,-0.0196070980392
1990-08-17,25.000019,25.249981,24.499981,25.000019,187600,2.586174,0.0
1990-08-20,24.499981,25.000019,24.499981,25.000019,314400,2.586174,0.0204097301137
1990-08-21,24.499981,24.499981,23.25,23.749979,440400,2.456861,-0.0306123502708
1990-08-22,23.749979,24.499981,23.749979,24.124981,426400,2.495654,0.015789571856
1990-08-23,23.749979,24.0,23.500021,23.625,534000,2.443933,-0.00526227833717
1990-08-24,24.250019,24.250019,23.500021,23.625,790800,2.443933,-0.0257739591874
1990-08-27,24.499981,25.000019,24.250019,24.499981,514000,2.534447,0.0
1990-08-28,25.000019,25.000019,24.499981,25.000019,410400,2.586174,0.0
1990-08-29,25.249981,25.249981,24.75,24.874981,518400,2.573239,-0.0148514963239
1990-08-30,25.249981,25.249981,24.75,24.75,490800,2.56031,-0.0198012426227
1990-08-31,24.75,25.000019,24.499981,24.874981,1270000,2.573239,0.00504973737374
1990-09-04,24.75,25.000019,24.499981,24.75,506800,2.580019,0.0
1990-09-05,25.249981,25.5,25.000019,25.249981,967600,2.632139,0.0
1990-09-06,25.000019,25.5,25.000019,25.249981,519600,2.632139,0.00999847240116
1990-09-07,25.125,25.5,25.000019,25.125,680400,2.61911,0.0
1990-09-10,25.000019,25.750019,25.000019,25.624981,772800,2.67123,0.0249984610012
1990-09-11,25.624981,25.624981,25.125,25.125,730000,2.61911,-0.0195114681256
1990-09-12,25.000019,25.5,24.75,25.5,266800,2.658201,0.0199992248006
1990-09-13,25.000019,25.249981,25.000019,25.000019,361200,2.606082,0.0
1990-09-14,25.000019,25.249981,25.000019,25.249981,431200,2.632139,0.00999847240116
1990-09-17,25.000019,25.249981,25.000019,25.249981,69600,2.632139,0.00999847240116
1990-09-18,24.75,25.249981,24.625019,25.249981,328800,2.632139,0.0202012525253
1990-09-19,24.75,25.249981,24.75,24.874981,705600,2.593047,0.00504973737374
1990-09-20,25.249981,25.249981,24.0,24.250019,827200,2.527899,-0.0396024852454
1990-09-21,24.0,24.499981,23.749979,23.749979,549600,2.475774,-0.0104175416667
1990-09-24,23.500021,23.500021,22.750021,22.875,356400,2.384563,-0.0265966145307
1990-09-25,22.750021,23.25,22.5,22.5,738400,2.345472,-0.0109899239214
1990-09-26,22.999979,22.999979,21.0,21.0,1110000,2.189107,-0.08695568809
1990-09-27,21.75,21.75,20.25,20.25,1400800,2.110925,-0.0689655172414
1990-09-28,19.999979,21.0,19.5,21.0,1438800,2.189107,0.0500011025012
1990-10-01,21.250021,22.000021,21.0,21.75,1084000,2.267289,0.0235284002778
1990-10-02,22.249979,23.625,22.000021,23.374979,902800,2.436682,0.0505618454741
1990-10-03,22.999979,24.250019,22.999979,23.500021,456400,2.449717,0.0217409763722
1990-10-04,23.749979,24.250019,23.500021,24.250019,64800,2.527899,0.0210543344059
1990-10-05,23.500021,24.75,23.500021,24.250019,320400,2.527899,0.031914779991
1990-10-08,25.000019,25.5,24.75,25.5,361600,2.658201,0.0199992248006
1990-10-09,24.75,25.249981,24.75,24.75,694800,2.580019,0.0
1990-10-10,24.874981,25.000019,24.499981,24.874981,765600,2.593047,0.0
1990-10-11,24.499981,24.75,22.999979,23.500021,336000,2.449717,-0.0408147255298
1990-10-12,23.500021,24.0,23.25,23.875021,454000,2.488808,0.0159574325487
1990-10-15,24.0,24.250019,23.500021,23.749979,403600,2.475774,-0.0104175416667
1990-10-16,23.875021,24.499981,23.500021,23.875021,516400,2.488808,0.0
1990-10-17,24.0,24.250019,23.500021,23.875021,172000,2.488808,-0.00520745833333
1990-10-18,24.250019,24.250019,23.500021,24.250019,152800,2.527899,0.0
1990-10-19,24.0,24.75,24.0,24.75,242400,2.580019,0.03125
1990-10-22,25.000019,26.25,24.250019,26.25,588000,2.736384,0.0499992020006
