Date,Open,High,Low,Close,Volume,Adj Close,Returns
1983-09-01,68.000158,69.0,67.249918,67.5,672000,0.793577,
1983-09-02,67.12512,67.5,66.999842,67.249918,552000,0.790637,0.00185918475825
1983-09-06,68.000158,68.499842,67.5,68.499842,374400,0.805332,0.00734827704371
1983-09-07,68.499842,68.62512,67.249918,67.249918,854400,0.790637,-0.0182471077816
1983-09-08,68.000158,69.0,67.375202,69.0,1257600,0.811212,0.0147035246595
1983-09-09,69.0,69.500158,67.249918,67.5,902400,0.793577,-0.0217391304348
1983-09-12,68.499842,69.0,68.000158,68.749918,513600,0.808272,0.00365075294626
1983-09-13,69.74976,70.5,69.0,69.999842,5289600,0.822967,0.00358541735484
1983-09-14,71.000158,72.0,70.249918,72.0,129600,0.846482,0.0140822503522
1983-09-15,72.999842,74.499842,72.0,74.499842,129600,0.875872,0.0205479896792
1983-09-16,75.0,76.249918,74.499842,75.999842,2587200,0.893507,0.0133312266667
1983-09-19,78.999842,81.999842,77.499842,81.0,2587200,0.952292,0.0253185063332
1983-09-20,81.0,81.0,77.000158,78.999842,1118400,0.928777,-0.024693308642
1983-09-21,39.0,40.5,38.62512,39.0,1004800,0.917022,0.0
1983-09-22,39.0,40.5,39.0,40.374959,230400,0.949352,0.0352553589744
1983-09-23,40.750079,40.87488,40.5,40.5,393600,0.952292,-0.00613689607816
1983-09-26,40.000079,40.249921,39.250079,40.249921,528000,0.948283,0.00624603766408
1983-09-27,39.0,40.000079,38.500079,38.874959,782400,0.915889,-0.00320617948718
1983-09-28,38.874959,39.499921,38.874959,39.499921,222400,0.930614,0.016076209881
1983-09-29,39.499921,39.75,39.0,39.0,201600,0.918835,-0.0126562531606
1983-09-30,39.0,39.499921,37.999921,37.999921,1139200,0.895274,-0.0256430512821
1983-10-03,37.5,37.999921,37.000079,37.5,158400,0.883496,0.0
1983-10-04,38.500079,39.0,37.999921,38.749921,707200,0.912944,0.00648938928151
1983-10-05,38.749921,39.0,38.749921,39.0,2049600,0.918835,0.00645366477005
1983-10-06,39.0,39.250079,38.25,38.749921,385600,0.912944,-0.00641228205128
1983-10-07,38.749921,38.874959,38.62512,38.874959,163200,0.915889,0.00322679367527
1983-10-10,38.62512,38.749921,38.500079,38.749921,96000,0.912944,0.00323108381281
1983-10-11,38.749921,38.749921,38.500079,38.749921,86400,0.912944,0.0
1983-10-12,38.749921,38.749921,38.500079,38.500079,240000,0.907057,-0.00644754862855
1983-10-13,38.500079,38.874959,38.25,38.62512,62400,0.910003,0.00324781151748
1983-10-14,38.62512,38.749921,38.25,38.500079,140800,0.907057,-0.00323729738574
1983-10-17,38.500079,38.749921,38.500079,38.500079,116800,0.907057,0.0
1983-10-18,38.500079,38.500079,38.25,38.25,120000,0.901166,-0.00649554511304
1983-10-19,38.25,38.25,37.999921,37.999921,153600,0.895274,-0.0065380130719
1983-10-20,37.999921,38.375041,37.87488,37.999921,155200,0.895274,0.0
1983-10-21,37.999921,38.25,37.5,38.25,278400,0.901166,0.00658103999743
1983-10-24,37.625041,37.999921,37.249921,37.249921,38400,0.877604,-0.00996995591314
1983-10-25,37.249921,37.249921,36.75,37.000079,390400,0.871718,-0.00670718200986
1983-10-26,37.000079,38.500079,36.875041,38.500079,768000,0.907057,0.0405404539812
1983-10-27,38.124959,38.124959,37.750079,37.750079,155200,0.889387,-0.00983292860722
1983-10-28,37.5,37.999921,37.5,37.750079,984000,0.889387,0.00666877333333
1983-10-31,37.625041,37.625041,37.5,37.5,217600,0.883496,-0.00332334521576
1983-11-01,37.625041,37.625041,37.000079,37.249921,587200,0.877604,-0.00996995591314
1983-11-02,37.000079,37.000079,36.499921,36.499921,78400,0.859934,-0.0135177549216
1983-11-03,36.499921,36.499921,34.999921,36.0,625600,0.848156,-0.0136964953979
1983-11-04,36.0,36.499921,36.0,36.250079,419200,0.854048,0.00694663888889
1983-11-07,36.37488,36.37488,35.62512,35.749921,201600,0.842264,-0.0171810601162
1983-11-08,35.749921,36.499921,35.749921,36.499921,366400,0.859934,0.0209790673384
1983-11-09,36.125041,36.250079,36.0,36.125041,92800,0.851102,0.0
1983-11-10,36.499921,37.000079,36.499921,36.499921,230400,0.859934,0.0
1983-11-11,36.499921,37.000079,36.499921,36.624959,187200,0.86288,0.00342570604468
1983-11-14,36.875041,37.000079,36.75,36.75,121600,0.865826,-0.00339093860262
1983-11-15,36.75,37.000079,36.250079,37.000079,1532800,0.871718,0.0068048707483
1983-11-16,37.249921,37.750079,37.12512,37.249921,97600,0.877604,0.0
1983-11-17,38.500079,39.499921,37.5,38.749921,240000,0.912944,0.00648938928151
1983-11-18,39.0,39.250079,38.62512,38.749921,198400,0.912944,-0.00641228205128
1983-11-21,39.0,39.37488,38.375041,38.375041,443200,0.904111,-0.0160245897436
1983-11-22,38.749921,39.0,37.999921,38.874959,566400,0.915889,0.00322679367527
1983-11-23,38.874959,39.0,38.500079,38.874959,155200,0.915889,0.0
1983-11-25,38.874959,38.874959,38.25,38.500079,78400,0.907057,-0.00964322560443
1983-11-28,38.749921,38.749921,37.750079,37.999921,331200,0.895274,-0.0193548781687
1983-11-29,37.750079,38.874959,37.750079,38.874959,4108800,0.915889,0.0297980833365
1983-11-30,39.0,39.75,39.0,39.624959,883200,0.933559,0.0160245897436
1983-12-01,39.75,39.75,38.749921,39.250079,476800,0.924727,-0.0125766289308
1983-12-02,39.499921,39.875041,39.250079,39.499921,385600,0.930614,0.0
1983-12-05,39.499921,39.875041,39.250079,39.250079,64000,0.924727,-0.0063251265743
1983-12-06,39.37488,39.37488,38.874959,39.250079,409600,0.924727,-0.00316955886596
1983-12-07,39.499921,39.75,39.125041,39.624959,331200,0.933559,0.00316552531839
1983-12-08,39.499921,39.875041,39.0,39.37488,283200,0.927668,-0.00316560126791
1983-12-09,39.250079,39.499921,39.125041,39.125041,249600,0.921781,-0.00318567511673
1983-12-12,39.499921,39.75,39.0,39.125041,539200,0.921781,-0.0094906518927
1983-12-13,39.125041,39.37488,39.125041,39.125041,163200,0.921781,0.0
1983-12-14,39.250079,39.250079,39.0,39.0,380800,0.918835,-0.00637142666643
1983-12-15,38.749921,39.37488,38.749921,38.874959,174400,0.915889,0.00322679367527
1983-12-16,38.874959,39.250079,38.874959,39.250079,91200,0.924727,0.00964939924438
1983-12-19,39.499921,39.499921,38.874959,38.874959,120000,0.915889,-0.0158218544285
1983-12-20,39.125041,39.75,39.125041,39.37488,302400,0.927668,0.00638565465018
1983-12-21,39.250079,40.249921,39.250079,40.249921,609600,0.948283,0.0254736302569
1983-12-22,40.000079,40.000079,39.499921,39.75,1316800,0.936505,-0.00625196265237
1983-12-23,39.875041,39.875041,39.624959,39.875041,96000,0.941344,0.0
1983-12-27,39.75,40.000079,39.499921,39.875041,254400,0.941344,0.00314568553459
1983-12-28,40.000079,40.12512,39.75,40.000079,160000,0.944296,0.0
